Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-11-11	ParlaMint-NO_2003-11-11.ana.ud1351e42	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-11-11	2003-11-11	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-11-11	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.THA	Hansen, Torbjørn	M	1972	
ParlaMint-NO-en_2003-11-11	ParlaMint-NO_2003-11-11.ana.ud1351e72	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-11-11	2003-11-11	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-11-11	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.SIVJ	Jensen, Siv	F	1969	
ParlaMint-NO-en_2003-11-11	ParlaMint-NO_2003-11-11.ana.ud1351e81	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-11-11	2003-11-11	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-11-11	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-11-11	ParlaMint-NO_2003-11-11.ana.ud1351e84	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-11-11	2003-11-11	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-11-11	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.ALYS	Lysbakken, Audun	M	1977	
ParlaMint-NO-en_2003-11-11	ParlaMint-NO_2003-11-11.ana.ud1351e117	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-11-11	2003-11-11	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-11-11	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-11-11	ParlaMint-NO_2003-11-11.ana.ud1351e122	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-11-11	2003-11-11	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-11-11	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ML	Lund, Morten	M	1945	
ParlaMint-NO-en_2003-11-11	ParlaMint-NO_2003-11-11.ana.ud1351e139	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-11-11	2003-11-11	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-11-11	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.OKD	Djupedal, Øystein	M	1960	
ParlaMint-NO-en_2003-11-11	ParlaMint-NO_2003-11-11.ana.ud1351e150	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-11-11	2003-11-11	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-11-11	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2003-11-11	ParlaMint-NO_2003-11-11.ana.ud1351e165	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-11-11	2003-11-11	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-11-11	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-11-11	ParlaMint-NO_2003-11-11.ana.ud1351e173	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-11-11	2003-11-11	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-11-11	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-11-11	ParlaMint-NO_2003-11-11.ana.ud1351e181	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-11-11	2003-11-11	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-11-11	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-11-11	ParlaMint-NO_2003-11-11.ana.ud1351e219	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-11-11	2003-11-11	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-11-11	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
