ParlaMint-NO_2003-11-05.ana.ud2613e28	The called alternate of the Aust-Agder County, Liv Marit Moland, has taken the seat.
ParlaMint-NO_2003-11-05.ana.ud2613e37	The President will propose the election of a President-in-Office of the European Parliament today – and consider it adopted. The President is asking for proposals from the President-in-Office.
ParlaMint-NO_2003-11-05.ana.ud2613e42	I suggest Øyvind Halleraker.
ParlaMint-NO_2003-11-05.ana.ud2613e47	Mr. Øyvind Halleraker has been proposed as President-in-Office. – Other proposals are not available, and Øyvind Halleraker is considered unanimously elected president of today’s meeting in Stortinget.
ParlaMint-NO_2003-11-05.ana.ud2613e71	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: State Council Dagfinn HøybrättenState Council Ansgar GabrielsenState Council Torild Skogsholm The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, wish to ask themselves the main questions asked. – We start with the first main questions, from the representative Øystein Hedstrøm.
ParlaMint-NO_2003-11-05.ana.ud2613e90	I have a question for the Minister of Economic Affairs and Trade. Industrial unemployment is shockingly high. From the third quarter of last year to the third quarter of this year, we have lost 21 000 industrial jobs, which is more than the average drop in unemployment. We have to go far back in time to find a corresponding industrial death in Norway. And this happens with the Business Party Right in a central position in the sitting government. Other countries that create industrial workplaces in Europe have, in addition to general framework conditions and lower taxes – which has also been provided by the Bondevik Government – invested in a much more active industrial policy. That makes sense to the Progress Party. We must invest in our natural resources and where we have proved our own excellence. Will the Government now learn from those countries in Europe that have led an active business policy, in order to create more industrial jobs also in Norway?
ParlaMint-NO_2003-11-05.ana.ud2613e101	Let me first say that the number of representatives refers to is right. It shows that there is a significant challenge in reducing the number of industrial jobs. And there has been a significant increase in unemployment over the last few years. There is no doubt about this. Opinions have been shared in many countries about what is best to meet this. Some countries have pursued different policies to meet this challenge. What is also indisputable is that, despite the fact that we have had increased unemployment in Norway as well, these countries to which it refers have experienced a significantly higher rate of growth in unemployment. So I don't think the picture is unique as to what it is going to be done nationally to meet these things. What is at least raised above any doubt is that most of the unemployment growth we have received is due to international trends. And then we've had some strange things related to cost growth, to strong crowns and to a high level of taxes and charges. These things have been taken into account by the Government. Over the course of these two years, we have put in place a lot of measures to improve the business environment, and in fact, I think I dare to say that you have to go back far in time to find periods where there have been so fundamental and so radical improvements for our competitive business. And it's mainly competitive business that's had problems. The biggest problem has been in the export industry, and the most important element in improving it has been to correct the high level we have had on the dollar price. To give a little example, Peterson's Moss factory, which is in Hedstrom's own state, lost 50 million. kr in 2002, while Norwegian Forest, a major group, lost DKK 1 billion at a high crown price. Then you see what it's important to do to improve this, the very basic things.
ParlaMint-NO_2003-11-05.ana.ud2613e110	Our prime minister said earlier this year that Norway would be one of the world's most innovative countries. We have now received a plan from the Government, an innovation plan, based on this. I have gone through this plan, but there are only small things, which do not follow the promises of the Prime Minister, and there are no signs of more to the instrument, either there or in the state budget, which can lift Norwegian businesses, and which can remove some of the capital-dried entrepreneurs and industrialists in Norway. So I have to ask the Council of State: what in the state budget or in this plan is going to help realize that Norway can become one of the world's most innovative countries?
ParlaMint-NO_2003-11-05.ana.ud2613e117	Firstly, it is quite right that the Prime Minister has stressed the need for a far greater total commitment, both in business and in public terms, to increase innovation. It is necessary to meet tomorrow’s challenges in a high-cost country such as Norway. The government is going to attack this along two lines. One is to coordinate on the public side to clear up all the obstacles that exist, whatever the department, to bring about innovation in businesses. There are many ministerial areas of responsibility that will be involved in this, and we will set up a Council of State committee to manage the coordination nationally. The second thing is that we have to contribute to creating a culture of increased innovation. I was in Oslo yesterday at a collection of 750 entrepreneurs, where I got good insights into these things. There is no doubt that in this country we have at least not had a culture enough to do anything about this.
ParlaMint-NO_2003-11-05.ana.ud2613e124	There will be four follow-up questions – first Olav Akselsen.
ParlaMint-NO_2003-11-05.ana.ud2613e127	I will first boast the Minister of Industry that he says today that this is a serious problem. It's actually a big step forward, because when others have shown concern for the increasing unemployment, the government's main response is to minimize these problems and underestimate them. One has also not taken the necessary measures to ensure that something is done. One of the main areas of activity of this government when it comes to industrial policy is our tax haven, and of course it's nice for those who get it. The philosophy has been that these money would then go back to business. One of the strongest feedbacks we have on the business committee is that today there is a lack of capital. So my question is, where has it become of all these taxpayers' money? In any case, it is not the business community that says they are at their disposal, especially in those parts of the country that have been cut off in SND.
ParlaMint-NO_2003-11-05.ana.ud2613e136	Now I don't know who Olav Aksensen hits, but I have the impression that we hit many of the same people. My feedback is the fact that, for example, in the representative Akselsen's own home state, we have given 800 million. in tax reductions for the enterprises of the Lord 2003. At the same time, it's just to see in the government budget that there's a few million dollars less to the distribution from SND. But what's undeniably, at least is that the business community in Hordaland, for example, has several hundred million dollars more available for further development, bud shooting, catching up on innovation processes. You have to be able to sum up the content of all of the pockets you have, and you've got 10 million. kr less in one pocket and 800 million. kr more in the other, you stand better rusted. I can't imagine the head of the nutrition committee thinking that the business community in Hordaland would have been better equipped if it had paid 800 million in addition. kr more in taxes and taxes this year.
ParlaMint-NO_2003-11-05.ana.ud2613e142	Odd Roger Enoksen – for follow-up questions.
ParlaMint-NO_2003-11-05.ana.ud2613e145	The Minister of Economic Affairs recently said in an interview with the Evening Post that there is not just a lack of foreign investment in Norway, but Norwegian owners invest too little in jobs and in business. This shows that the problem that Olav Akselsen has just pointed out is real. And then there is reason to ask again whether the Minister of Industry sees that a more targeted policy should be pursued to replace the business-neutral policy that this government has pursued, where efforts have been made in areas where we are good from before, and where we have all the opportunities to become best in the world, use Norwegian capital strength to help private shareholders also enter and invest in these industries. Is it not a policy that the Government would see as more useful to strengthen the future-oriented economy? Low interest rates and exchange rates are important, but they do not represent everything necessary to strengthen business.
ParlaMint-NO_2003-11-05.ana.ud2613e150	That's right, what Enoch finally said, it doesn't represent everything that's needed to strengthen Norwegian business. I can only remember on the move one document that has come to Stortinget, where business neutrality has been mentioned at all. It was a document from a government where Enoch himself was a member. We have not argued in any document to abolish such a socio-economic principle to all other measures at all. Our policies and policies and those of enlargement and the policies of the previous government are, in effect, a misguided attempt to compensate for some of the disadvantages of individual industries, individual regions have. It's just reading from A to Å. That's the way it is. We haven't really made any significant changes there. But we have also taken into account the fundamental and fundamental link between the interest rate level, the exchange rate, and not least the level of taxes and charges. There's no reason we shouldn't be – I was saying – world champions in this area too. In the case of capital: it is not strange that there is no private capital in this country. For two generations, there has been a policy aimed at combating the build-up of private capital. Then you can't wait for it to exist in the next round. So the policies that have been pursued since the war have been successful.
ParlaMint-NO_2003-11-05.ana.ud2613e157	Øystein Djupedal – for follow-up questions.
ParlaMint-NO_2003-11-05.ana.ud2613e160	I had the pleasure of sitting on the podium with the government council Gabrielsen at the Business Conference yesterday with 750 entrepreneurs in the hall, and that was interesting. What's interesting is that these people aren't primarily asking for a lower tax. They see that tax of course is one element, everyone would have had lower taxes if they had the option. But there are two things that they especially think about: we should have equity through the state, because the private market is not good enough, and we want to have the opportunity for research and development, that is, to spend the state's money on research – at universities, at colleges, on research councils, or whatever else. It is these two factors that are to be the Norway of the future that focus on. Strangely, however, the government still insists that lower taxes are what are demanded in Norwegian business. So it's a positive mistake, and my challenge to the Minister of Industry is: if you really thought that unemployment was the biggest problem, why don't you take these people seriously and say yes, we're going to spend the money on equity, well, we're going to spend more money on research, at least to get on the OECD average – as the Storting has confirmed a number of times, and as this government is miles away from reaching.
ParlaMint-NO_2003-11-05.ana.ud2613e165	I'm going to address that part of the question that's going on research and development. In the case of equity, it is not the absence of state capital in Norwegian business that meets one. It's a completely different relationship. As far as research and development are concerned, I know that Djupedal and SV have been and are concerned about it, and that is commendable. It's quite clear that we just have to have the common recognition, all the parties that are in this room, that we have not really managed to fulfil the ambitions we ourselves have had in the 1990s. And it's not to stick under the chair that there's a reason for that. This is not because it has not been important, but for the last decade, the budgetary procedure has given priority to other things in front of it. And so when you're doing a budgetary process, it has to be a priority. And it's well known, not least for Djupedal, that there have been other things that have been even higher priority than increasing research. But what's undeniably: if we don't do anything about this, we'll meet a weekday in 10-20 years that we definitely don't want, when the oil revenue falls. We can't live on returns and reading account statements from the oil fund.
ParlaMint-NO_2003-11-05.ana.ud2613e172	Lodve Solholm – to the last follow-up question.
ParlaMint-NO_2003-11-05.ana.ud2613e175	What surprises me is that the government is running such a business-neutral policy. Now we have seen that the so-called plan has been slaughtered by Right's own members in our county to be little targeted, little forward-looking, and that he makes the industry, not least in areas where Norway is the best and can still be the best – within the offshore and marine sectors – go roughly west, to say it in our language. Then I am amazed that the Government does not take this into account and is willing to give business in our country the same framework conditions as business in the countries with which we compete. Then it becomes strange to me that a constant swarm of business neutrality, when one knows, as the Council of State also said, that our competitive business is now in trouble. Why can't we have the same framework conditions they have in the countries with which these industries compete?
ParlaMint-NO_2003-11-05.ana.ud2613e182	For guidance to the Council of State, the President will assume that the expression ‘right west’ is not positive, even if the questioner comes from the west coast.
ParlaMint-NO_2003-11-05.ana.ud2613e185	Walking right west will have very different consequences if you do it from Ålesund, or if you do it from Oslo. Let me first say in relation to this myth of business-neutral policy that I do not know about any party that has been more consistently implemented in proposals to introduce the socio-economic term of business neutrality, than the Progress Party, by its proposal to abolish SND, by its proposal to cut to a level beyond what we should have, and which fortunately has not been given a majority in the Grand Duchy throughout the 1990s. So in terms of the myth that Solholm, possibly by mistake, is now trying to stick to others in relation to the marine sector, the fishing industry and the farming industries, it's just that there have been significant challenges there, and that's still it. The main challenge, of course, has been resource access. With regard to the farming industry, I think maybe some of the problem has been that you spent between 5 and 6 billion kroner on buying concessions, and then it turns out at a market drop that you get a blue-collar day. I think that's about to straighten out by the slope we're now experiencing in that market.
ParlaMint-NO_2003-11-05.ana.ud2613e192	Let's go to the next main question.
ParlaMint-NO_2003-11-05.ana.ud2613e196	I have a question for the Minister of Transport. There is currently quite a lot of dissatisfaction with the Post's services throughout the country. It shall apply, inter alia, to: that the post office takes a long time; in fact, the post office may take many days between neighbouring municipalities. There's a huge fee on packages from abroad, it's a threat to end the offer and cancellation of people, and now people are wondering if they might only get mail a few days a week. This creates anxiety and dissatisfaction. The Norwegian people have been used to trusting the Post. A lot of people don't do it anymore. I have noted that the Council of State has invited Posten AS to ensure that everything is very well and in accordance with the terms of the concession. What if this is not the case? What if it is not possible for Posten AS to do what they should, within the financial framework they have? What will the government do then?
ParlaMint-NO_2003-11-05.ana.ud2613e205	The post office has given commitments through concession, where we have provided guidance for quality and service requirements that the Posten will contribute to throughout the country. Then I register that in some parts of the country there is expressed dissatisfaction with the quality of the Post. There is a response The post office has also received. In the big picture, I would like to remind you that today we have a better quality of the Post than we have ever had. Almost 90 pst. of the A-post has now been sent to the consignee on the following day. It's never been that good before. In Norway, we have a six-day shift of mail every week. That means that 99.94 pst. the Norwegian population has an entry of six days a week. Show me the other countries that have it like this! At the same time, as I said at the outset, there are individual areas in the country where it is not. Among other things, we have the situation in Finnmark, where there are reactions to the Post not meeting the expectations of the State. The Post Office has been addressed, and the Post and Telecommunications Authority has also launched a review of the concrete situation in Finnmark.
ParlaMint-NO_2003-11-05.ana.ud2613e216	I thank the Council of State for your answer. The State at the State Council is both the owner of the Post and the concession authority. It gives a lot of responsibility, and it gives a lot of impact. I expect that the Council of State, even if it might seem like a trivialization, sees the problems that the major changes have led to in the Post. In part, the entry AS provides a better one and, in part, a worse one than before the conversions. But there is a lot of evidence to suggest that the road is going wrong. So this is going to be 10 pst. Of the 27 000 who work in the post office prior to the conversion, now are dissatisfaction, and there is a great deal of sick leave. The item has been reduced, but much indicates that the country has not been reduced because the expenditure has been transferred to the social security budget. I must say I'm worried. I want a review before we proceed to further conversions, which are now alerted. I wonder if the council wants such a review, or whether it's pretty much satisfied with the state that it is.
ParlaMint-NO_2003-11-05.ana.ud2613e227	We use postal and telecommunications supervision on an ongoing basis to assess whether the Post fulfils the requirements of the concession. It's an important function, and it's important that we do that job. It is clearly our policy that the whole country should have good postal services. It's solid. Conversion creates problems. What matters to us in the post-political field is that the whole country has good services. Then it is often that you have to go through changes, which are sometimes painful. There has been a broad political consensus that it is necessary to achieve the overall objectives. I won't be able to agree that we're going wrong in terms of transitions to make the Post more effective precisely to achieve these overall policy objectives. That's something that we'll always take care of. But I'm not ready to say that we're going crazy.
ParlaMint-NO_2003-11-05.ana.ud2613e234	There will be three follow-up questions – first Magnhild Melting Group Kleppa.
ParlaMint-NO_2003-11-05.ana.ud2613e237	The entry is one of several examples of a dramatic centralisation in state enterprises, while the Government is flagging the relocation of state jobs. This results in jobs in many districts; it results from the foundation of many jobs because distribution is getting worse. And then, in fact, it also follows the lack that we have today when it applies to local viewers. It has been said that it is the department's requirement for ignition in the Post that causes many newspapers now to be in danger of going down the doll as a result of increased postal tariffs. My question will then be: Is it good left policy to contribute to the absence of local authorities, the ability to communicate and local persuasion being removed, or will the Council of State take action in this field?
ParlaMint-NO_2003-11-05.ana.ud2613e244	The left is as well known for a diversity in our society. This is precisely why we are dedicated to doing the Post as a tool to ensure that, wherever you live in the country, you have a good postal service that will also help to spread your opinion throughout the country. It is important for us that the post office is protected for this. That means we have to have an organization, an enterprise, that is capable of taking care of this function. At the same time, we have a regulatory framework to deal with. It is such that there is no cross-subsidisation between different types of functions. It applies in several sectors, and so does the Post Office. The most important thing is that we have an enterprise that is able to perform that function as efficiently as possible.
ParlaMint-NO_2003-11-05.ana.ud2613e249	Sigrun Eng – for follow-up questions.
ParlaMint-NO_2003-11-05.ana.ud2613e252	I want to drill a little bit more into what the last question was about. What has created dissatisfaction in the last few weeks is Posten's demand for extra postage tariffs for newspapers and magazines. The increase should be 60 pst. in three years. The result may be newspaper death, the result may be that our pride, that we are the world's most newspaper-reading people, disappear. And as many people have been in the past, the lack of progress, we get poorer communities because of the Post's prizes. The entry explains that they have deficits on services, a deficit that should have increased enormously over the last few years. Could this be right? What will the Council of State do about this matter?
ParlaMint-NO_2003-11-05.ana.ud2613e259	The country purchases annual services from the Item for 300 million. kr. It's precisely because we're concerned that there should be equivalent offers also around the districts. With regard to what the representative Eng here is talking about, which is a postage for newspapers, I would like to remind you that in the past there was a differentiation of the content of the concession given to the Post Office. The post office was able to differentiate the tariffs by content. This part was removed from the concession under the previous government. It was the government of Stoltenberg that made sure that part of the concession was gone. Based on that situation, it is important to me that we have a company, Posten Norge AS, which is able to perform its functions as best as possible, given the concession we have.
ParlaMint-NO_2003-11-05.ana.ud2613e264	Geir-Ketil Hansen – to the last follow-up question.
ParlaMint-NO_2003-11-05.ana.ud2613e268	The government spends more than 300 million dollars. NOK on the purchase of postal services because we are going to have a qualitatively good postal delivery across the country. Nevertheless, it appears that there are failures in parts of the country, especially in Finnmark, among others. the closure of the sorting terminal in Alta has focused on the fact that we will have a further weakening offer. It appears that the Council of State has met with the management of the Post on these matters, and Group Director Kaare Frydenberg says in a press release after the meeting that the Council of State has had a great deal of understanding of the necessity of the Post’s decision to change the terminal structure. What's right here? Does this mean that the Council of State has made good the changes made by the Post, or will the Council of State intervene to stop part of the closure?
ParlaMint-NO_2003-11-05.ana.ud2613e275	The post is facing major changes. There is a sharp decline in traditional mail. This situation the Post has to deal with. They have to have an organisation that takes this development into account. We still want as a society and as politicians to have a good postal quality around the country. This means that the Post Office board has a great responsibility to ensure that they have an organisation that is suitable for this. And then we have to separate this from what goes on in quality. The quality of Posten's services in some parts of the country can certainly be discussed, even though it is largely very, very good. I have myself taken the initiative to review Finnmark especially as to whether the quality is good enough, and whether it can do something to get it better. The Post itself must then be allowed to make recordings in relation to how to make this job as effective as possible.
ParlaMint-NO_2003-11-05.ana.ud2613e282	Let's move on to the next question of hope.
ParlaMint-NO_2003-11-05.ana.ud2613e285	I want to ask a question to the Minister of Industry. One of Højre's most prominent politicians is County rapporteur Roald Bergsaker in Rogaland. He has written a letter to the Stortinget stating that he is deeply concerned about the commercial policy being pursued. In the letter, Bergsaker says that if they are not followed up with resources, they are of little use with great words and fine plans. Does the Council agree with its own county rapporteur from Rogaland that today's industrial policy is marked by a surplus of words and deficits of action?
ParlaMint-NO_2003-11-05.ana.ud2613e292	If the representative Ryan had asked if I agreed with what Bergsaker had said, without saying what he had said, I would probably have said yes. I know Bergsaker very well over many years as a very sensible man and as a capable county rapporteur. In addition, he is now, as far as I know, Chairman of SND Rogaland. It means that it is for Bergsaker as it is for Ryan, for me and for many others, that you have some hats to manage. Then it is that SND Rogaland has been reduced in appropriations over the SND, Bergsaker believes that SND could have been used in a reasonable way. As far as I remember on the go, the difference from 2001 to 2002 is 14.1 million. kr in the case of Rogaland. The same business as both County rapporteur Bergsaker and SND Chairman of the Board of Directors Bergsaker should be responsible for regional development has received a tax reduction of approximately 800 million. kr in the case of Rogaland. I've been in contact with a lot of companies in Rogaland. Let me put it this way: the melody is a little different, depending on whether you talk to people who are in the middle of business, or those who are state politicians and members of a government in the SND. It is not so strange that it is different, and that should be so. But of course we have to make an overall assessment. I'm pretty sure that if we had taken 14.1 million. NOK 800 million. kr we have given in tax relief, sent it to SND in Rogaland and confiscated the 786 other millions, there would have been a significant weakening of the opportunities for business in Rogaland to create new jobs. One could not possibly imagine the idea that there should have been more jobs of it than what we have chosen as an alternative, and that now turns out to be working.
