ParlaMint-NO_2003-03-25.ana.ud1136e47	The representative of Afghan Rafiq, who has been on leave, has once again taken his seat.
ParlaMint-NO_2003-03-25.ana.ud1136e55	The President will propose the election of two presidents for the Stortinges meetings this week – and consider it adopted. The President is asking for proposals from the President-in-Office.
ParlaMint-NO_2003-03-25.ana.ud1136e60	I'd like to suggest Øyvind Halleraker and Finn Martin Vallersnes.
ParlaMint-NO_2003-03-25.ana.ud1136e65	Øyvind Halleraker and Finn Martin Vallersnes are proposed as presidents. – Other proposals are not available, and Finn Martin Vallersnes and Øyvind Halleraker are considered unanimously elected presidents for the current week. The representative of Marit Arnstad will make a private proposal.
ParlaMint-NO_2003-03-25.ana.ud1136e70	I would like to make a proposal for the introduction of recruitment quotas for young people in the fishing industry.
ParlaMint-NO_2003-03-25.ana.ud1136e75	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2003-03-25.ana.ud1136e89	At the request of the Committee on Energy and the Environment, the President will propose that the debate be limited to 1 hour and 20 minutes and that speaking time be allocated to the groups as follows: Working Party 20 minutes, Right 15 minutes, Advance Party, Socialist Left Party and Christian People's Party 10 minutes each and the Center Party, Left and Coast Party 5 minutes each. Furthermore, the President will propose that there be a replication of up to three lines with replies after the speeches of the main speakers of each party group and five lines with replies after the contributions of members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted. The first speaker is Mr Halleraker, on behalf of the rapporteur.
ParlaMint-NO_2003-03-25.ana.ud1136e102	On behalf of the rapporteur, Siri Meling, I would like to thank the Committee for constructive cooperation, a work that has been positive and instructive in many ways. The Clean and Rich Sea Storing Communication, or the Marine Environment Communication, provides a review of the state of the environment in our seas and coastal areas and what challenges we face in the future. Keywords such as increased transport of dangerous goods along the coast, preparedness for accidents at sea, problems related to introduced species, ballast water hazards, contamination by sediments in our fjords and radioactive contamination by Sellafield are some of the many important elements to which this notification relates. We all know our dependence on the sea. Industries such as fisheries and aquaculture and petroleum activities are of great importance for both coastal value creation and employment. Around this, there is a large and diverse industrial activity. Among other things, in the last decades the petroleum industry has been the main carrier of the Norwegian economy. Norway has strong interests in managing marine areas and resources. Norway has jurisdiction and responsibility for a sea area six times greater than the land area. The basis for this message is the Government's vision of ensuring a clean and rich sea, so that future generations can also reap the wealth that the sea can provide. The overall objective is to provide the basis for a clean and rich sea, including: by establishing framework conditions for balancing industrial interests related to fisheries, aquaculture and petroleum activities in the context of sustainable development. The Marine Environment Communication has as its starting point that we need to base the whole of a management plan for the marine areas. Historically, the approach has been sectoral while the more comprehensive assessments have been lacking. The government proposes that the management should be ecosystem-based, and that is an administration based on the framework conditions that the ecosystem itself sets for the maintenance of the production and conservation of biodiversity. To achieve this objective, knowledge and tools for analysis and coordination are important. The same applies to coordination between different sectoral managers. It is natural here to refer to the big message of biodiversity that the Stortinge treated last year. The first part of this work will be a comprehensive management plan for the Barents Sea. With this message, the government has taken some challenges seriously. We know that the balance between different interests in the sea area can be problematic. An important balance goes between the petroleum and fisheries industries. The majority of the Committee endorses the approach that a co-existence model should be the starting point for these industries, i.e. that they should be able to operate side by side with their activities. Through our 30-year oil history in the North Sea, we have shown that this is possible. During the consultation process of this Communication, it was also found that the oil industry and the fishing industry are working together towards a document or a platform for good coexistence. The Government has taken the view that new permits for oil drilling from Lofoten and northwards should not be granted until the impact assessment of all-year petroleum activities for these sea areas has been completed. In recent years, we have experienced shipping accidents that have been a strong reminder of how vulnerable our coastal waters can be. The losses of «John R» in the north and «Green Ålesund» in the south are examples of this. Unfortunately, the ‘Prestige’ off the coast of Spain is also an example showing the seriousness of this type of accident. These are situation images that we do not want to experience along the coast of Norway. Shipwrecks reveal vulnerability. The government has met this challenge by, among others: to pool all responsibility for state preparedness for acute contamination in the Coastal Works. In the past, this was known to be shared between the Coastal Administration, the SFT and the Maritime Directorate. Another important measure is the Government's proposal to extend our territorial waters from 4 to 12 nautical miles, and this matter is being dealt with in the Stortinget. In recognition of both the dependence on and the vulnerability of our seas, it is positive that the Government's message is essentially behind a broad political majority.
ParlaMint-NO_2003-03-25.ana.ud1136e119	It's going to be line change.
ParlaMint-NO_2003-03-25.ana.ud1136e122	The issue of traffic monitoring is a matter of concern to many. Accidents such as «John R» and «Green Ålesund» showed us that there was a strong need to clear up responsibilities related to monitoring and preparedness, but also that preparedness was not good enough. During the post-John R accident, much has been done to clean up the responsibilities, but major changes have also occurred in the traffic image. In 2002, it went about the same. 200 oil transports along the Norwegian coast. There is therefore a need to step up efforts. One of the key instruments in this context is the establishment of a traffic centre in North Norway. This was also a theme when Stortinget dealt with the vulnerability message. It was examined by two major committees — the Justice Committee and the Defence Committee. The two committees unanimously agreed to set up a traffic centre in North Norway, and said that it would, for example: could be added to Vardø in connection with the coastal radio station there. The government shall return to this matter in the context of the revised national budget or the State budget. The Labour Party wants to await the Government's proposal for localization, but we still think it was strange that, among other things. government parties were unable to repeat the wording from the setting to the vulnerability message that Vardø was an alternative. We also believe that this has become a matter where there is so much uncertainty that there is a need for a quick decision. We therefore believe that this matter must be brought back into the revised national budget by the Government. My question to the representative Halleraker is: Why could the government not agree to repeat the same comments that were made in the Vulnerability Committee setting, pointing out that Vardø was one option for the location of the traffic monitoring centre?
ParlaMint-NO_2003-03-25.ana.ud1136e129	It is correct that the right was included in these comments in the vulnerability message settings. Then it would be quite fine what we think about it. I am pleased that the Labour Party agrees with us that we should await what the Government believes about this in the revised national budget. It is a very important establishment to take place, and it is important to assess all aspects of this establishment. For my part, Vardø can be a good alternative, but I think it's important to see all of this in a perspective where both economics, resources and existing infrastructure are involved, and of course what might be important in this particular case, namely the relationship with our neighbouring countries and perhaps especially with Russia. It is important that we have a monitoring and establish a good device that has mutual trust, including among our neighbours.
