ParlaMint-NO_2003-02-27.ana.ud1013e47	The representative, Karin Andersen, will make a private proposal.
ParlaMint-NO_2003-02-27.ana.ud1013e50	On behalf of Hallgeir H. Langeland, May Hansen, Sigbjørn Molvik and myself, I will put forward proposals to give foster parents the right to care allowance in case of illness.
ParlaMint-NO_2003-02-27.ana.ud1013e55	The proposal will be dealt with in a regulatory manner. Before the matters on today's map are dealt with, the President will announce that the suspension of case No. 1 has not been outside the regulatory period — i.e. 48 hours. On the basis of Rule 32 of the Rules of Procedure, the President will propose that the Stortinget should nevertheless deal with this matter now. – No objection has been raised, and it is deemed to have been adopted.
ParlaMint-NO_2003-02-27.ana.ud1013e73	At the request of the Business Committee, the President will propose that the debate be limited to 1 hour and 15 minutes and that the speaking time be allocated to the groups as follows: Working Party 15 minutes, Right 15 minutes, Advance Party 10 minutes, Socialist Left Party 10 minutes, Christian People's Party 10 minutes, Center Party 5 minutes, Left 5 minutes and Coast Party 5 minutes. Furthermore, the President will propose that there be a replication of up to three lines with replies after the speeches of the main speakers of each party group and five lines with replies after the contributions of members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2003-02-27.ana.ud1013e84	Let me start by recording suggestion number. 1 from the minority of the Committee. The matter we are dealing with today has received a lot of attention over a relatively long time. Today we are discussing a very solid industry, which in many ways is the pride of the nation, and which through generations has proved to be better off than any other industry in this country. It has an international profile to which almost no other industry in this country can refer. It has survived through thick and thin due to its competence, long-term sustainability, sound economic carrying capacity and an international profile which, as I said, cannot rely on any other industry. I understand them as today, when they see the final result, expresses great disappointment at it. I have no problem understanding that. I also understand those who take words in their mouths as a breach of promises and similar expressions, which some people believe belong in this matter. The fact that we have been given solid peppers in this matter shall not be punctuated, not least because there is probably no majority for anything other than that the proposal is annexed to the Protocol and that III in the vote will be adopted. The other parties will probably present their proposals. There is a joint proposal from the Labour Party, the Progress Party and the Centre for the phase-in of the net pay regime for the offshore fleet with effect from 1 July of this year, and reference is made to the revised national budget for the containment. The Progress Party and the Centre Party have two proposals. One is about to implement the reimbursement scheme by raising the level to 20 p.m. and the other is about to investigate the phase-in of a full net pay scheme with effect from 1 January 2004. SV has two proposals that they themselves want to explain. So to the matter. It may seem that the nation is not spending money on net pay and reimbursement schemes. It's a big misunderstanding. The amount allocated in the budget of the year is historically high. No more money has ever been allocated to this sector than for 2003. I think those who go high on the track and criticise this relationship should take the trouble of mentioning that, after all, there is an amount of 550 million in the year's budget. kr for this purpose. It's never been higher. I also record that there are some parties that, throughout all the years, from the introduction of these schemes, have durably fought against these schemes. I also see that there is a party that goes high on the track and says that they are against the net pay scheme, but that today launches a proposal that is in phase of such a scheme. Let me just say that in the case of the device of these 550 million. kr, which was put in place thanks to the budgetary agreement between the Government Parties and the Advance Party, the Government Parties are willing to look at it. But we are not willing to go a path that requires the government parties to take an initiative to break the intentions of the agreement. For this is nothing but money. It's about the use of money in a situation where we have a very brutal economic reality around us, no matter where we turn our gaze. We're in a situation where we're experiencing the biggest stock market fall around the world since World War II. We see that unemployment gets a profile ashore around us that creates recession and pessimism, and we see numbers that have been unknown in the Western world since World War II. We see that our unemployment is crawling over 100,000, and the underlying figures indicate that it will remain at a high level, naturally enough because Norway is not located alone in this world. It knows at least Norwegian shipping more about than any other industry. We've seen that our savings, the petroleum fund, are short-lived, and we're talking about tens of billions. We have seen that one of the nation's flagships, Norwegian Hydro, has in a short time reduced its value from NOK 120 billion down to NOK 80 billion. We see every day around us corporations, corner stone companies, that go beyond the end because we have chosen to navigate differently than all the competing countries around us have done. It is not useful to point out that other countries have framework conditions that we are unable to demonstrate to our industries, once we have navigated completely differently. This has led to a development that has brought the crown price to a historically high level, which has allowed us over the last five to six years to pay more than any other country in Europe with which we are going to compete and which, in turn, led to the Workers' Party leaving the government offices in a situation where we had Europe's highest interest rate base. In the interests of Norwegian shipping, in the interests of all other competitive sectors, it has been necessary to elaborate on the concept of «tightness» in a strong effort to drive down the krone price and strengthen competitiveness and to drive down Europe’s highest interest rate base. This is what we're doing. There will be a kind of double communication when, over the years, parties that have so dubiously fought against these schemes, today, together with the organisations in the maritime sector, are presented as the heroes of the debate – when we see that this is about containment and about budget allocation. I cannot say that there is a single proposal, with the exception of SVS, to increase the tonnage tax and shipping tax, which has taken into account the concept of containment. Then the government parties can't take this more seriously than what we've done, and say that we don't have money. Neither did the other parties when this case was dealt with where it belongs, namely the State budget for 2003. Then there was no one, with the exception of the Advance Party, who had prioritised an increase in the allocation for these purposes. This proposal was promoted in November. The state budget was dealt with in December, and I could not see then that some parties, with the exception of the Advance Party, had prioritised either the offshore fleet or other sectors higher than the government parties were able to do. In addition, I would like to ask the Council of State and his College to look ahead, because we cannot live in a situation where there is even greater uncertainty about the maritime sector, and especially when we have a goal of transferring more of the transport from road to keel, we must take this seriously. We cannot live with a situation where developments especially for the shipping industry, but also for the offshore industry – wellboats, ropeboats, etc. – become so that they will not prevail over international competition. But in today's situation, there's one goal that has to overshadow everyone if we're going to take a term like 'priority' in use, and that's that we have to push down the dollar rate. We have to drive down Europe's highest interest rate. If we don't succeed, we'll phase out any other competitive sector. Then we commend ourselves to one mast, and that is that we should have a sustained high crude oil price and a sustained high gas price. It is not certain that there is a threat of war around the world that will guarantee us the kind of economic success of the years to come.
ParlaMint-NO_2003-02-27.ana.ud1013e112	It's going to be line change.
ParlaMint-NO_2003-02-27.ana.ud1013e115	This was a very interesting article, because all of a sudden the argument has changed once again. Now, for the sake of the budget, these schemes cannot be introduced. The last time we discussed this was ideology, simply business neutrality and favoring an industry over another industry, which was the main argument. However, I agree with the speaker that one of our most important tasks in this room is to ensure that the interest rate and the exchange rate come down, and that it is important to have a tight budget. I can't think that it's been particularly decisive before the Right when we've discussed this question. However, I would like to contact another side of this matter, because in my view, there are few areas where the promises are clearer than this. Not least, the government ringing party Right sent a letter to the maritime organisations in June, prior to the election, and promised that one would introduce similar arrangements as they had in our neighbouring country if one entered the government offices. Now we know that's the opposite one has done. My question becomes very simple: Is it true that this kind of lifting break is helping to increase the confidence of politicians, or does it believe the opposite? Then I see that the panic has taken the Right-Representatives when they're supposed to defend their position in the media. So in the absence of any better arguments, another representative suspects his or her involvement in this matter, and among other things. said Ivar Kristiansen yesterday in Haugesund's newspaper that in the Labour Party we trap crocodile tears when we say that we will do something about this cause, because we don't have coverage. But it's like the government itself is running things this spring that's spent $200 million. SEK – 300 million. kr, without showing cover. So you have to be able to ask back: are there crocodile tears when the government makes suggestions to improve the situation of Aeta?
ParlaMint-NO_2003-02-27.ana.ud1013e124	I have great respect for the commitment that everyone shows in these questions, also the commitment that the representative Aksensen shows. I remind you that today there is not enough money in the budget to be able to meet the ambitions that we probably all have, but we are talking about a historically high level. I think that the representative Aksensen and his party would make the situation easier for us, much easier for the government parties, if not this would have been week's menu. Last week there was housing aid with reference to financing from the revised national budget; 300 million. kr would be financed in. Next week, there's a proposal on the menu that's going to give 250 million. SEK in guarantees to the Norwegian fishing industry. In the past, there has been a prioritisation of the kindergarten sector, and there is a new situation in which the opposition, including with reference to the revised national budget, will create a system of tax exemptions for the employer’s financing of childcare facilities for employees. It will be completely impossible to deal with this issue when you have proposals of this kind on a weekly basis, with reference to the revised national budget. If this were to be given priority by the Labour Party more than by the government parties, this should, of course, be done in the budget. I also understand the concept of a breach of obligations. I am not so sure that we are standing in front of the queue, compared to the party represented by the Axis. But I'm not sure it has such a great interest in the gallery here and now.
ParlaMint-NO_2003-02-27.ana.ud1013e135	I ask myself, what happened to Right? Everyone knows a little about Jan Petersen's letter. A part of us – locally – know the representative Elisabeth Røbekk Nørve's promises in the fall, in the Sunnmørspost, when she promised in capital letters that the seafarers would have their rightful claims met. Then the representative Kristiansen says there's so much money in this. Yeah, we know that. But perhaps it was reasonable for the representative Kristiansen to tell the finance minister that, because he is going around saying now that he is against a net payroll scheme, because he does not want to give net paychecks to the bartenders on the ferries. But they already have it, they! So what would be right was that the representative Kristiansen told him that he had a government about what was inside this arrangement. So talk to Ivar Kristiansen that this industry was "the pride of the nation". Yes, she is. But where does she leave it? So Kristiansen boasts that a now has received the highest amount that has been within this scheme. But the cause is that these money would be taken away by the representative Kristiansen – at least by his government. In the context of the presentation of the budget, all this money was gone. And then there was a party that got them back in. I don't really need names, because one would think most people know about it. The representative Kristiansen says that one should keep promises, and that the Right will not break the budget agreement. Why, then, did they break the budget agreement on the revised last year? Then the Progress Party and the Government had a written agreement that this should be included in the budget – and then they take it away! That's what the truth is. Then I have to ask the question: can we trust them when they come out with new promises? At least I don't believe that "the pride of the nation" can trust the Right Party and the government party in this matter – unfortunately.
ParlaMint-NO_2003-02-27.ana.ud1013e148	This is probably a good opportunity for a rematch, but I am not sure if it is a rematch that will bring this matter forward. The representative of Solholm is right in much of what he brings up here today. We have never hidden that it was in connection with the agreement with the Progress Party that the amount of 550 million. kr came in for the financing of net wages and salaries and reimbursement schemes. I think we're all happy about that. But what we are not pleased about is the series of proposals that are being launched and for which it is not referred to coverage. There is a need to have an upper framework in the budgets to be followed by the State. It would be unnecessary to repeat to the representative Solholm what kind of situation the country has come into – with the threats we face internationally, the brutal increase in unemployment and the brutal increase in the number of jobs around it, not least in Solholm's own county, which is threatened every day by closure due to the difficult economic situation we have brought it into through a series of years where we have navigated completely different from the rest of the world. I also believe that Solholm, if he thinks about it, will agree that driving down the greatest reduction in taxes and taxes in history, including for the country's maritime sector, has been a significant contribution, perhaps also a necessary contribution, to meet the future better than would have been the alternative. The representative of Solholm must always consider what would have been the alternative to the economic policy pursued today.
ParlaMint-NO_2003-02-27.ana.ud1013e157	I have a little bit of difficulty in understanding Right-wing arguments. First, the Right went from its promises of better framework conditions to the shipping industry long before this series of individual proposals that Ivar Kristiansen now uses as justification came into the Stortinget. Secondly, the Right's policy will now help to increase the number of unemployed when the Norwegian Seafarers are also going to fall as a result of not having the same framework conditions as the countries with which we compete. But what I would like to have answers to from Ivar Kristiansen is what's Right's actual reason for going against. Per-Kristian Foss has, as the representative Solholm quite rightly said, argued that he does not want to subsidize bartenders on ferries. He has also said that one wants to facilitate general framework conditions, and one does not want to distribute individual industries. On the other hand, there is a desire to have business-neutral schemes to treat all industries equally. That is the reason we have heard from the Minister of Finance, and as we have heard from several Right-wing representatives in different contexts. Ivar Kristiansen argues unilaterally with regard to interest rates today. In that case, it means that Ivar Kristiansen does not have the same fundamental objections to these types of arrangements that the Minister of Finance is at least expressing. So my question is short and good: what is the Right's actual reason for going against the proposals today, and going against improving the framework conditions of seafarers?
