ParlaMint-NO_2003-06-10.ana.ud1780e122	The representative Knut Storberget, who has been on leave, has once again taken his seat.
ParlaMint-NO_2003-06-10.ana.ud1780e131	The President will propose the election of a President-in-Office of the Stortinge meeting this week – and consider it adopted. The President is asking for proposals from the President-in-Office.
ParlaMint-NO_2003-06-10.ana.ud1780e136	I suggest Kjell Engebretsen.
ParlaMint-NO_2003-06-10.ana.ud1780e141	The Kjell Engretsen has been proposed as President. – Other proposals are not available, and Kjell Engebretsen is unanimously elected president of Stortinget’s meetings this week.
ParlaMint-NO_2003-06-10.ana.ud1780e160	At the request of the Judicial Committee, the President will propose that speaking time be limited to 10 minutes to the rapporteur and 5 minutes to each of the other groups. Furthermore, the President will propose that three lines of reply be given to comments by members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2003-06-10.ana.ud1780e169	When matters are assigned to the Storting and the various committees, it is always interesting to see how serious a matter is — what kind of motivation lies in the matter, what kind of challenges there are in it. Sometimes one considers a case to be relatively small in scope. That was the starting point for this matter, although it is enough for those affected, means a lot. It has been a challenge for the Committee, but also an opportunity, to seek solutions to meet the intentions of the proposers, while at the same time taking care of those who are exposed to having one of their children abducted. It is likely that nothing worse can happen to a parent or a parent than that someone in a formerly close family is abducting one of the children. It's probably some of the worst that can hit a family. Thus, it is a good initiative that has been taken here by the proposers. The size should show how you are able to deal with the challenges and the seriousness that lies here. Although there are probably few issues relating to this type of problem on an annual basis, it is no less important for that reason. You probably have to experience it to imagine what a deep intervention it is in someone's life to lose one of their children, even if it's for a short period of time. Even if you know who has your child, it's no less serious for that reason. Unfortunately, it is sometimes read in the media about the difficulty in Norway with Norwegian parents fighting between them — to use such a concept — about parental responsibility and parental rights. It's not going to be any easier when people from other countries are involved, with different nationality and with different family and cultural backgrounds. Then, unfortunately, the challenges get even bigger in some cases. I think that one of the most important things we should take with us is to focus on the child's situation and the child's role. Children do not choose their parents, they are assigned from birth to – good and bad, and the consequences it gives may well surprise them sometimes. Although parents have the best intentions, it can still be wrong. Although the intention here is the best of the child, as I said, it can also be wrong here. With regard to the concrete proposals that have come from the three representatives of the Labour Party, and the Committee's consideration of them, what is needed here: what is needed to make this easier? Yes, among others. There is an ambition to get more countries to accede to international conventions, for example: The Hague Convention. It was one of the intentions of the proposers that the Judicial Committee has agreed to be involved, and sends the challenge to the Government to support further work. In the case of free legal aid, it could also be a challenge. The Committee has stated that: ‘If a child is abducted from Norway, the Norwegian authorities shall assist the parent.’;» Persons residing in Norway who have parental responsibility shall receive free legal assistance. The experience so far is that such applications are largely met. You will come back to it when the Government of the autumn presents changes to the Law on Legal Aid. As a matter of fact, the Committee is well on its way and believes that this will be covered up. Another element is where competence exists, and what are the problem areas in relation to these kinds of issues. Initiatives have promoted a proposal to set up a working group to look at this, which the Committee has agreed to. There was a discussion in the committee about who should be part of this working group – would the government itself be free to pick out, or would you give some signals from the committee about it? Over and over again, it was concluded that both the police and the EEAS should be part of the group. I guess that's quite natural since a kidnapping case becomes a police case. In these cases, it is likely that most abductions take place in another country — if not internally — and then it is natural that the foreign service is also involved, and others who had to be competent in this respect. And it's probably a part that does. In addition, the proposers had a desire to propose their own organisation to do this job, as well as to set up their own telephone line. In principle, the Committee also discussed it well back and forth before drawing the conclusions. We took what was the proposal No. 7 and No 9 from the proposers, under point 3, so it is now up to the working group to assess how to summarize this and what to address. It may be that the answer lies in what were the two proposals, but you are now asking the group to look at it. Moreover, economics is a factor. If you have a bad economy, it can be difficult to carry out abduction, you have a better economy, it may be easier. The Committee has been in agreement on the possibility of stopping financial benefits for the abductor of a child from Norway. At least that should be a matter of course after I've been signed. It becomes a paradox to me that a person who takes a child illegally out of the country receives public benefits from Norway at the same time. It does not harmonize with the scope of the case and the content of the case. There the Committee has been in agreement. Similarly, the Committee has been in agreement with a review of Section 216 of the Penal Code. It will come back to this when the work of the Penal Court is reviewed later by the Storting. The Committee has also said something about the need to punish abduction cases more severely, at least giving a signal of its importance – a political signal about its consequences. But there's also a minority here, which is made up of the Progress Party and the Labour Party. We have made proposals to extend the access to custody of child abductors when they return to Norway. The minority believe that it should be a matter of course that you have a very active attitude to this, and we are not afraid of what the majority has suggested, namely that in that case you can end up in a situation where you attack the abductor, but not get a solution to the matter. We think it's important that this shows a consistent and rapid response. I also expect other representatives to come back to the proposals that the minority is behind. The same minority have a proposal to confiscate the assets of child-rearers in Norway and to make child-rearing an immediate grounds for divorce. Although the majority has rejected the two proposals, I nevertheless feel that they should be given the honour of their intention. Because that's enough essentially the intentions of the Storting debate many times. There is an opening to seize wealth today, but this should nevertheless be clarified. Making child-removal an immediate basis for divorce should also be a priority after the minority has been assessed. This means that the consequences become even clearer for those who consider making or abduction. So I'm going to take up the three proposals of the minority. As I said, the committee has worked a lot on this, there has been a lot of commitment around this proposal. I think the result shows that the committee is very united in its ambition to have a better tool to intervene and to prevent and reduce the extent of child Abduction.
ParlaMint-NO_2003-06-10.ana.ud1780e208	The representative Jan Arild Ellingsen has taken up the suggestions he referred to.
ParlaMint-NO_2003-06-10.ana.ud1780e211	I thank Ellingen for a very thorough review of a very serious matter. Several children are abducted from Norway today. It is therefore necessary that more measures are now laid down in order to prevent child abductions. We need some rules that make it easier to bring the child back to the proper caregiver in Norway. Child Abduction is such a serious matter that, together with other representatives of the Workers' Party, it was found necessary in Stortinget to propose measures such as: provides for the possibility for the country to stop financial benefits for the child-removaler. We also want our own telephone advisory line and an assessment of abduction as an immediate grounds for divorce. Action is urgent. All such matters are tragedies that hit both children and caregivers very hard. Today is an important day for all those who have experienced the tragedy of being deprived of their child. Even more important is the day for those who may in the future avoid having to become part of a child-removal case as a result of our taking targeted action. If we avoid one episode where a child is taken away from his caregiver against his will, we avoid one case where a parent has to sit with the uncertainty about where the child is located, yes, then all the measures are well worth it. It is important to point out that just as important as statutory measures are the actual debate on the problem. Focusing on the families and children who experience this is important to raise awareness of the topic. Child Abduction cases are not suitable for party politics and tactics. We must agree on that. In Norway, there are several lone parents who have not seen their young children for a long time. It hurts to read about and hear about all the parents who are left without knowing where their child is or if they will ever see it again. We hear about mothers, and fathers, who sit at home in the certainty of where the child is, but who have no chance of getting it back. We have seen and heard heartwarming stories about children who are being repatriated after many years in another country, where their childhood has gone without one parent having taken part in it. The problem of child abduction may not be so great in numbers, but it's increasing. In addition to the growing number of cases, it is completely impossible to understand the feelings and experiences of the parties involved. Only one who himself has been deprived of his child knows what a tragedy this is. Only a child who himself has had to spend less or greater parts of his life abducted knows what tragedy this is. The Labour Party's proposal makers believe that we have come up with some well-targeted measures in the fight against child abduction. It is therefore disappointing that we have not reached agreement on all the points, which I deeply regret. We have to go a long way in the use of instruments in matters of such a serious nature. This concerns matters where children are abducted against their will, this concerns matters where parents become left in uncertainty about where their child is, and whether the child is well. Nothing shall stand up in the fight to get rid of the problem of child abduction. Many good measures are being adopted here today to prevent the abduction of children to other countries. I think we have to go home. Increase efforts to get more countries to join the Hague Convention to expand the provision of legal assistance in Norway and abroad to coordinate and set up a working group in Norway on such issues of police, foreign service and other relevant authorities that can respond quickly and effectively to increase the potential to stop financial benefits for child Abductors from Norway consider making child abduction for immediate grounds of divorce provide public assistance to establish a Norwegian Child Abduction Support Organisation to establish its own telephone advisory line The sum of the measures proposed in Document No. The 8 proposal will make things easier in the fight against child abduction. We can't change the tragic events we've heard about and experienced, but we can put all the measures in place to avoid it happening again.
ParlaMint-NO_2003-06-10.ana.ud1780e263	The right-hand side looks very seriously at the problems associated with child Abduction cases. For most parents and for the children who come up in such a situation, it is perceived as a cruel assault. I think it's hard to understand how terrible it feels to lose the opportunity to have contact with her child or with her mother or father. I understand very well that that situation feels totally unsustainable to many. I have received enquiries from desperate parents who are left in Norway and feel completely helpless, but also from parents who have been deprived of their child and who have traveled on their own to the country in question to do what is possible to get their child back. Recently, we've seen such cases, unfortunately, increase in scope. It is therefore important to prevent child Abduction cases from taking place. One of the most important in the area of prevention is the need for several countries to accede to the Hague Convention. In cases outside the Hague Convention, Norway is dependent either on reaching negotiated solutions with abductors or on pursuing the case in the legal system of that country. The intention of this proposal is good. It is important that Norway pursue an active policy to prevent childbirth and facilitate the return of the child to the caregiver if the abduction has taken place. The reason why the Right does not want to go into all the individual proposals is that we know that many of the proposals put forward by the proposers are already in force today and are well taken care of. Many of the measures proposed by the Labour Party work well today, and then, of course, the majority sees no reason to support this. Examples include: the extension of the right of access to information. First of all, you can't go to prison without law and judgment in Norway, and everyone here in the Chamber agrees. Prison of Varet is an exception to this, and we use it only in the context of the risk of evidence being wasted or, for example, in the case of prisons. in case of a flight risk to the rest of the world. It will therefore break with the EMK if the Government proposes something in line with what the Workers' Party is asking for here. It surprises me that the Labour Party in this case is not concerned about how Norway should take responsibility and fulfil its international obligations in relation to current human rights. It seems here that you put your human rights aside and jump on a little bit of thought. The representative of Storberget, as one of the proposers, has repeatedly criticized the government parties and the Minister of Justice for the use of more prison as an instrument. I am therefore very surprised that the representative of Storberget does not think about the consequences of this proposal, and does exactly the opposite of what he otherwise foresaw. Instead of detailing the Government by instructing it to address individual measures, e.g.: setting up your own telephone service, the Right is pleased that the Committee joins a proposal whereby we allow the Government itself to assess what measures can be taken to assist or advise individuals, public authorities or organisations that may be involved in such cases. With regard to the proposal to extend the provision of legal aid, the Right considers that those who are caregivers should be entitled to free legal assistance. We look forward to the changes in the law that come to the autumn, and that these kinds of issues come into the law as a priority. It is important that Norway has the same type of regime as other countries, and that Norway plays a central role in getting more countries to join the Hague Convention. These matters are terribly bad and difficult for them. The key must always be that the child’s best interests and the child’s rights come into focus. I believe that the proposals for which it is the majority here will be a contribution.
ParlaMint-NO_2003-06-10.ana.ud1780e284	It is a very important proposal that has been put forward here. From the SV side, we see that it is especially important to get an extra pressure on these matters. There's a lot going on in this area. We have received information about that from the Minister of Justice. That's very good. However, there are some things that can still be done better and more effectively, not least if there is a clear pressure on those actors who need to implement some of the measures. SV believes it is important that we have a review of the legislation on citizenship, but at the same time we are very clear that it should not be that if a person does not get rid of his or her original citizenship, it should exclude him or her from having citizenship in Norway. We believe that this is going to be completely wrong, and we are glad that it is only the Progress Party that does not decide on this matter. We believe that it is particularly important that Norway plays an active role in getting as many countries as possible to join the Hague Convention. We believe that Norway has a job to do internationally to put pressure on other countries to give priority to child Abduction cases. These are extremely serious cases, where kids may be at risk of being torn up with the root, away from their playmates, their one parent and sent far from the farm, but where in addition, the dilemma arises – which some actors have also pointed out to us in connection with the incorporation of the Children’s Convention, which we will come back to later – that some of these children will not even return to Norway if they have been abroad for a long time. It creates an extra big dilemma. That's why it's so important that this is given high priority, so that we get the action as early as possible. For many years have passed, and the child does not actually want to come back here again because it may not even know his or her parent anymore and have settled in a completely new environment in the new country, it may be all the more traumatic to be sent back. Therefore, it is so important that this shock is inserted immediately. SV believes it is very positive that the Committee, together, states that the person with parental responsibility, who has been deprived of his child, should have free legal assistance in child abduction cases. We are pleased that there will be a review of this in connection with the Law on Legal Aid for the Autumn. We support, and are pleased, the proposal to set up a working group to look at the possibility of drawing up proposals for various assistance measures and advice to individuals, public authorities and organisations that may be involved in cases of repatriation of abducted children. SV also agrees that there is a need to look at the potential to stop government financial benefits for someone who abducts children abroad. We believe that it makes sense for the Government to assess whether existing voluntary organisations can be strengthened to provide assistance in child abduction cases, but that it is also assessed through the working group whether support for a separate organisation needs to be given in these cases. We believe that the victims must be able to receive assistance and advice from the police, and not least from Kripos, who have gained experience in this area. SV also agrees that there may be a need to review the provision of the penal code § 216 – in addition to the provision on illegal detention in § 223 – against child abduction. We believe that this should be done in connection with the work of the Government on new criminal law, as the rest of the Committee also believes. We also believe that the signal given by the Penal Court that the penalty framework should be lower in these cases is problematic. These are so serious things that we should actually raise the penalties. There are some suggestions we think are troubling – they are referenced in the setting. However, we believe that one of the most important things is that we put pressure on what we already have on measures, on the different agencies and, for example, on the various agencies. Kripos, the police, is putting a click on this. And then we believe that the working group that is now being set up must have the opportunity to assess this and carry out a proper review, because some of the proposals made by the proposers are not well thought out, for example. automatic divorce, which may be counterproductive. So the Minister of Justice, in his letter to the Committee, made this clear.
ParlaMint-NO_2003-06-10.ana.ud1780e307	I would like to begin by commending the representatives Fallet, Bekkemel Orheim and Storberget to focus on the many and serious issues that child-removal travels. Parents and children affected by child abduction experience a serious breach of the right to contact one another. The emotional stress of abduction is very high. It is therefore important that Norway pursue an active policy to prevent childbirth and that we have instruments that are suitable for repatriating children who have been abducted to countries outside Norway. Abduction of children to countries which have committed themselves to the Hague Convention on the Civil Aspects of Child Abduction often leads to a positive outcome by returning the child to Norway. However, the return effort is significantly more difficult when the child is taken to a country that has not entered into international commitments in this area or that does not comply with international commitments entered into. It is therefore positive that the Government will work towards the accession of several countries to the Hague Convention. This work must be done primarily through political pressure in meetings held by Norway with non-Conventional countries. Once a child has been abducted, the Norwegian authorities shall assist the parent. A natural consequence of this is that the parent who lives in Norway and has parental responsibility receives free legal aid in a child-removal case. I am familiar with the fact that the state largely accepts applications for legal aid in such cases. However, the Christian People's Party believes that this practice should be confirmed by the Law on Legal Aid, and we look forward to the Ministry proposing this in the forthcoming Legal Aid Communication. One of the parents from whom the child is abducted experiences a crisis and chaos in life. In such a situation, it is important that the public utility is well-organised and coordinated so that it can easily receive guidance and assistance. Proposals propose to extend the right of access to children’s abductors on return to Norway. In this regard, it is important to point out that there is today scope for apprehension towards those who have committed child abduction, and in the view of the Christian People's Party, this access is sufficiently wide. I consider it appropriate to remind you that arrest and imprisonment should only be used when necessary for the purposes of future criminal proceedings. Attacks cannot or shall not be used as a means of pressuring the child to return to Norway. If we follow the recommendation of the Workers' Party and the Advance Party and use force for repatriation, it will be a clear breach of Article 5(1)(b) of the European Convention on Human Rights. The Christian People's Party will not participate in the implementation of criminal procedural arrangements contrary to international human rights obligations. Section 217 of the Criminal Procedures Act lays down rules on the confiscation of the property of the victim. Paragraph 220 provides for the management of the property of a foreign resident. Those provisions are sufficient if there is a need to ensure that the entire or part of the stockpiles of sieves in Norway. This may, for example: be applicable in relation to a claim from the other parent. On the basis of this, the Christian People's Party believes that there is no need for additional warrants to seize the fortune of a child abductor. However, we support the proposal to increase the possibility of halting financial transfers to children’s abductors from Norway. This, together with the proposal to strengthen the work of non-governmental organisations on child abduction issues, should be assessed by the Government as quickly as possible and subsequently submitted to the Stortinget. Childbirth should not constitute a basis for immediate divorce. The marriage law has appropriate rules for the winding-up of marriage. Furthermore, the proposal will not facilitate the return of a kidnapped child to Norway. The Ministry of Justice is working on proposals for new criminal law. In this context, it is important to carefully assess the need for clarifications in the legislation with a view to the legal certainty of children in general. In particular, clear rules on child abduction are important. The Christian People's Party therefore asks the Minister of Justice to ensure that Section 216 of the Penal Code is reviewed with that aim in mind.
