ParlaMint-NO_2003-06-19-2.ana.ud1033e28	No one has asked for the floor. [[See page 3539]]
ParlaMint-NO_2003-06-19-2.ana.ud1033e44	At the request of the Social Committee, the President will propose that the debate be limited to 1 hour and 15 minutes and that speaking time be allocated to the groups as follows: Working Party 15 minutes, Right 15 minutes, Advance Party 15 minutes, Socialist Left Party 10 minutes, Christian People's Party 10 minutes, Center Party 5 minutes, Left 5 minutes and Coast Party 5 minutes. Furthermore, the President will propose that there will be a change of line of up to five lines with replies after contributions by members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2003-06-19-2.ana.ud1033e55	rapporteur on the subject): On 28 May 2003, the size of the population adopted new guidelines on social security. The new guidelines imply that the objective of settlement is to create income developments at least in line with developments in active employment. The previous wording was «overly» in line with, which over time led to under-regulation of the basic amount of social security, so that the development of pensions has not followed the general wage trend. In the new guidelines, the wording that can be corrected for ‘specific conditions’ is retained. This means that a wage increase due to a change in working conditions may be excluded from the calculation basis. An example of this has been the teacher’s settlement where extended working time has resulted in higher remuneration. The basis for the adjustment shall be the expected income development of employees as a whole in the regulatory year following the adjustment of the basic amount for deviations between expected and actual wage increases in the last year. In addition, Stortinget agreed that the new guidelines should also be taken into account in the year’s settlement. So that's the year's settlement we're now dealing with in the hall. If the Government's offer is consistent with adopted guidelines, the Storting will normally approve the offer. As far as I am aware, there are no historical examples that a social security settlement has not been approved by the Stortinget. The special feature of this year’s settlement is that through many individual decisions, both at the time of last year’s social security settlement, the State budget for 2003 and its treatment and by adopting new guidelines, the Storting has provided strong leadership both for the year and for its settlement. A central question thus becomes: Has the Government, through its offer to organisations, followed up the decisions – and guidelines – taken by the Storting? The majority of the population decided during the budgetary procedure. S. No 11 for 2002–03 that the Government should resume the recession in the last two years, i.e. the slowdown between 2001 and 2002, and the slowdown between 2002 and 2003. Taking into account the special circumstances and the teaching system as such, the majority of the Committee has come to the conclusion that the lag between 2001 and 2002 was 0.6 pst, while the lag between 2002 and 2003 was 0.5 pst. It is consistent with the Government’s offer to the organisations, and thus in line with the Storting decision, including adopted guidelines that are also used for the settlement of the year. According to the revised national budget, the expected wage growth for employees overall is 4.5 p.p. The government's offer to the organizations is 4 pst. The Committee has come to the conclusion that when correcting the teacher’s settlement, an expected salary increase for next year is 4.4 pst. Thus, there is an deviation of 0,4 pst. between the Government's offer to the organisations and that reached by the majority of the Committee. The majority of the Committee therefore considers that the Government does not follow the guidelines adopted by the Stortinge, which allowed an offer to be made at least in line with the general wage trend. On the basis of this, the majority of the Committee has found that it was not able to accept the offer made by the Government and has instead made a proposal for a 4.4 p.m. offer, which constitutes the majority vote of the Committee. I assume that the divergent proposals that exist here from different minorities will be presented by the parties behind the proposals.
ParlaMint-NO_2003-06-19-2.ana.ud1033e81	One year ago, the Workers' Party chose to support the Government's proposal for social security settlement, despite the fact that we believed that the basic amount was under-regulated in relation to the general wage development. We've got a lot of criticism for doing that. The reason for our position in 2002 was that there was no basis for claiming that the Government had broken the Storting's assumptions for the settlement. The Storting’s “order” was unclear, and then it would be wrong for the Storing in retrospect to vote against the Government’s proposal. We learned an important lesson from this: that there was a need to change the social security policy. Therefore, in the context of the treatment of social security in 2002, we proposed that the Government should submit proposals for new guidelines so that they could be addressed well in advance of the year’s settlement. This proposal was widely endorsed by Stortinget. However, although the Government failed to follow up this decision, the majority ensured that on 28 May this year the Stortinge adopted new guidelines for the establishment of social security funds. These new guidelines are clearly different from the old ones in some important areas. Firstly, a clear system for calculating backlogs from previous year’s settlement is established. In this area, the Government has not had a choice. The guidelines are so clear that the follow-up is also in place in the Government's social security plan this year. In addition, the error is corrected from last year. The under-regulation that took place in the social security settlement for 2002 is reflected in the year’s settlement. This is a direct consequence of a decision taken by the Stortinget, on a proposal from the Labour Party, in the context of the 2003 budgetary procedure. The new guidelines further state that, in addition to resuming a possible lag, a supplement shall be calculated for expected wage developments during the regulatory year. The expected total wage development of employees shall be taken as a starting point. Int. S. No 223 for 2002-2003 the majority of the Social Committee clarifies how this should be understood by the following comment: ‘The discussions will focus on the expected wage growth for all groups in the coming years, as reflected in the Government’s proposal for the Revised National Budget 2003’.» [[total employees]] The heart of the conflict is the point of the guidelines that it should be possible to correct for specific circumstances. However, in this area too, the majority of the Committee has been clear in its comments in the Inst. S. No 223 for 2002-2003. That's what it says. «Special conditions» means the development of earnings for individual groups, which is due not only to a purely pay supplement but also to changes in duties or working hours, and which results in a reduction in the relevance of a comparison of wage developments between the years in which the assumptions were changed.» In the discussions with social security organisations, the government chose to submit a final offer in terms of expected salary developments this year, at 4.0 pst. – despite the fact that the Government itself has estimated the overall wage development of the revised national budget at 4,5 pst. This led to a break in the discussions. The Labour Party has always voted in favour of the proposal for social security settlement submitted by the Government, in whatever political colour, to the Stortinget. We're not going to do that this year. It is, in my opinion, the sole fault of the Government. It's not a big business that's going to take place in this room today. The government knew when it started discussions with the social security organisations, that the Stortinget had given clear commitments to the year and the coming years. Despite this, and through a number of more or less subtle excuses, the government has chosen to disregard the Storting decision and the Storting intention. The government must take the consequences of that today.
ParlaMint-NO_2003-06-19-2.ana.ud1033e104	The government’s proposal for social security settlement is based on the new guidelines adopted on 28 May 2003. There are three aspects in the context that are important, the coverage of late 2001 and the establishment as a starting year for the new guidelines that the annual regulation follows at least the wage developments of employees, corrected for special circumstances that take account of income policy cooperation in 2003, as the guidelines also express: Firstly, it is important that the 2001 aftermath is covered. The rules for compensating for the 2001 settlement are based on the organisation’s presentation of the settlement and the delivery of the protocol, where the parties agree that the organisations included recital 4 pst. wage growth from 2000 to 2001. This is because the then Labour Party government chose to speed up discussions with the pensioners’ organisations, so that they were not familiar with the Government's estimate of wage growth in the revised national budget. This increase is in addition to the ordinary G-regulation for 2003 and will thus settle the discussion on lag, which arose as a result of the Stollenberg government’s settlement management in 2001. Secondly, it is important to ensure an increase in income at least in line with employees, but where the growth in wages, to which G is to be compared, is corrected for ‘special circumstances’. The salary growth estimate in the revised national budget is 4,5 pst., as corrected for the impact of the teacher package in 2003 at -0,1 pst., can be set at 4,4 pst. Wage growth from 2002 to 2003 is strongly influenced by high overhangs until 2003 for example. health professionals and community groups. For a large part, these have their background in high additions for individual groups in 2002, which were aimed at reintroducing a follow-up. An estimate of the effect of such an addition in salary growth may be in the range of 0,2 pst. In the case of pensioners, the growth of income is taken into account as a result of the reduction in the number of pensioners. As a result, the government parties, and the Government, assume that it may be reasonable to use 4.2 pst. as an estimate of expected wage growth. The government's offer for annual regulation was 4 p.m. In addition, an over-regulation of the backlog in 2002 of 0.13 p.m. should also be taken into account. and an effect on the growth of income from 2002 to 2003 of the increase in the basic pension from 1 May 2003 to 0,5 pst. Government parties thus believe that the guidelines related to annual regulation have been fully followed. Thirdly, 2003 is a special year because of cooperation in income policy. Both the previous and the new guidelines take account of such situations by attaching the following premise to the annual regulation: ‘... in line with the principles and objectives on the basis of which the income policy approach is to be implemented’. That is why the Government has incorporated the competitive sector into its offer, but – and I stress but – with exactly the same additional regulation clause as the state employees have received. Then I will refer to the next matter to be dealt with in this room. In general, it may be appropriate to assume that the estimates of expected wage increases to be regulated by pensions are prudent – this is because otherwise, the situation in which the growth of pensions contributes to raising expectations of wage increases that tend to push it up. Over time, this practice will not affect the income development of pensioners, as it is guaranteed by the post-regulation provision in the guidelines. This means that any difference will be corrected by two back-regulations, the first by the safety regulation in January 2004 and the second by the ordinary regulation in 2005. I want to show that the opposition is against this security provision. The government’s proposal involves an increase in the basic amount of a total of NOK 2374. This gives an average increase in G from 2002 to 2003 of 4.73 pst. As a result, the pension for single minimum pensioners will increase by NOK 4 260 per year. in 2003 and the additional expenditure for this amount is approximately DKK 4.3 billion. I would like to remind you of the discussion about the famous 1000-pocket of the country's smallest pensioners in 1997. The Government's proposals in this matter, as well as the changes in the coordination rules, will increase the income of a minimum pensioner couple in 2003 by NOK 12 984. It is quite obvious that the settlement that the government parties, and the government, have presented here, makes the pensioners the income earners of the year. From this, government parties believe that the guidelines have been followed by 100 pst. The opposition believes that due to the estimate in the revised national budget, a base of 4.4 pst should be added. for the growth of earnings in 2003, where they have, according to the guidelines, corrected for ‘special circumstances’. They then calculate a correction of 0.1 relative to the effect of the teacher's settlement. I have to ask the opposition parties what is the fundamental difference between the special skills resulting from the teaching arrangement and the special circumstances resulting from the overhanging of the additions given to individual groups in 2002. Once again, I would like to remind the opposition parties that in the adopted guidelines, proposed by the same parties, there is also a clear reference to the other income policy approach. I have to ask the same parties where their proposals will show consideration for income cooperation. Or, in other words, where in the opposition's proposal and in the demands of the pensioners' organizations is solidarity with the unemployed? Large employee groups have shown that solidarity in this year's settlement. It is a paradox, then, that when the Storting has the ability to directly influence income policy cooperation, it does the very opposite of what one expects of others. The slogan «fight against unemployment» is case number one and will be without substance when one is unable to follow this up in practical policy when it requires political courage. This is the difference between the proposals of the government parties and the opposition. For the sake of the unemployed, we choose to give pensioners a guarantee that they get exactly the same thing as other groups, but through an additional back-up clause equal to the state employees. However, the danger is that the new guidelines and the whole discussion institute will be undermined by the fact that the Storting does not measure whether the guidelines have been followed, but in detail directly provides directives on the outcome. As a result, there will be no basis for discussion, as organisations would rather negotiate directly with the Stortinget. In the consultations with the Committee, the organisations themselves expressed their strong concern at the importance of the discussion institute. But if it's going to survive, it also has to have a content. The regulation of the social security scheme is not just about the income development of the country's pensioners. Each fourth crown of the State budget is linked to the amount of the basic amount. It is therefore essential that, in the context of the revised national budget, the government parties and the Workers' Party have agreed to pay the krone for what this year's settlement costs extra in relation to what the Government had planned. This means that one does not push the bill ahead of future generations. We are all faced with a major challenge as a result of the gap between the cost of popular protection and the state's coming income. This challenge is now under consideration by the Pension Commission. Once we've recognized this, there's a point not to increase the gap between the expectations and the possibilities of meeting them. We therefore have a common responsibility not to push decisions that may seem politically difficult today, ahead of us to our descendants, so that their problems become so great that they have to make changes that have dramatic consequences for the welfare society that we all want. With this, I will address the proposal of the Right and Christian People's Party referred to in the vote.
ParlaMint-NO_2003-06-19-2.ana.ud1033e152	The representative Bent Höie has taken up the suggestion he referred to.
ParlaMint-NO_2003-06-19-2.ana.ud1033e155	In conclusion, I am going to take part of the moments in the posts of the representative, but I simply have to let myself calm down a bit with my own post before I reply to some of those recordings. The current treatment of the social security scheme is characterised by the fact that the Committee has recently examined St.meld. No 32 on social security guidelines. In that case, a firm principle of what Stortinget expected to be presented when the Government was going to present the document that we have today for consideration. One of the principles established was that, with regard to the estimate of what would apply to the expected wage development of employees in total, the majority of the population, all except the government parties, pointed out that one would use the corrected estimate resulting from the revised budget. Here the government itself had estimated that this salary increase would be 4.5 pst. When the bulk of the population gives such clear leadership to the Government about what one expects to be presented, it is with some surprise that the government council responsible for the social security system does not seem to care about these clear leadership. It has been decided by Stortinget that the two previous years' lag should be taken again before a start on this year's discussions. In this context, it is considered that the lag from 2000 to 2001 was 0.6 pst, while the lag from 2001 to 2002 was 0.7 pst. The majority of the Committee, all with the exception of the Party of Advances, refers to the special composition of teachers which has taken place as being so special that this cannot be taken into account in the average of wage developments. On this basis, the majority, all with the exception of the Progress Party, proposes that the under-regulation for the period 2001 to 2002 be set at 0.5 pst. and not 0,7 pst., as proposed by the Progress Party. Although the new adopted social security guidelines have opened up the possibility of correction for special circumstances, the Progress Party believes that the special teacher settlement covers so many workers and contains more elements than just those relating to increased working time, that we believe that this settlement should not be excluded. There has been a great deal of confusion and uncertainty among pensioners as to whether a person should be under-regulated in the previous year or whether this should only be re-regulated with effect from 1 May 2003. Confusions include: to a large extent created by the country's Prime Minister, who himself in the form of various opinions, among others. uses the term ‘payment’ for these under-regulations. The Contracting Party has proposed that such a post-payment should be made in connection with the treatment of Innst. S. No 223 for 2002-2003, but this proposal was supported only by the Progress Party and the Centre Party and was therefore voted down by the majority. The Progress Party also proposes that, in the case of expected wage growth for professionals in total, the estimate made in the revised budget should be taken into account and not be corrected for the after-effects of teacher training. This means that this salary increase is set at 4,5 pst. Against this background, the Progress Party supports the proposal that the basic amount of the population’s security be set at SEK 57,396 with effect from 1 May 2003. The government's policy towards Norwegian pensioners is under any criticism. In spite of the fact that the majority of the population have pointed out that, in the case of discussions with the organisations, the Government's estimate, revised for the expected wage development of professionals in total, should be taken into account, suggests that a 4 pst wage increase be taken into account. This is not sustainable, and especially when one also sees that the Government makes significant increases in ownership in the revised budget. Through constant under-regulations of the basic amount, by a number of different governments, one has come to the conclusion that current pensions are relatively lower than expected at the time of the introduction of the population's population in 1967. At the time of the introduction of population protection in 1967, it was assumed that when the system was fully developed in 2007, the pension would be two thirds of the employee income. With the progress made in the under-regulation of the basic amount, it is quite clear that it is no longer possible to achieve this if one does not take a force on the evolution of basic amounts. Although it may not be possible to develop the basic amount in order to achieve the target in 2007, it is important that the current emphasis on long-term developments is significantly greater than that which has so far been the case. The Progress Party will, at a later stage, come back with proposals for a rapprochement plan, so that pensions will be more in line with what was the pre-requisite for the introduction of popular security in 1967. The representative, Höie, asked in his speech where solidarity with the unemployed from the pensioners becomes, and then the representative, Höie, showed how much a pensioner couple will get in more income, and how much they will get in this society. If the representative, Höie and his colleagues in this room, had been more concerned with the problem of unemployment by facilitating the business environment, what the representative had in mind could have been held. In addition, when one looks at the increase in the percentages of sick people to which it is added in this country from the sitting government, the claim is not, in fact, at all for believers. When we have also participated in debates in this Chamber on other social security schemes, and among others. I have to say that I am surprised by the fact that the game has the right-hand position regarding the 1000-notes of the minimum pensioners. But this is, after all, a party that is always voting in favour of the proposal on social security that exists and that does not make its own proposals at all in that context. Finally, I would like to mention the proposal of the Advance Party included in the vote. If our proposal falls, the Progress Party will give its support to the Committee's position, which is, after all, considerably better than the proposal promoted by the Government.
ParlaMint-NO_2003-06-19-2.ana.ud1033e185	The representative, Harald T. Nesvik, has taken up the suggestions he referred to.
ParlaMint-NO_2003-06-19-2.ana.ud1033e188	The regulation of the basic amount means much too many people who live on a pension — whether it is an old age pension or a disability pension. For many of these, it means that it becomes a simpler everyday life, and that a thing to keep its financial obligations. At the same time, this regulation means increasing expenditure on the government budget this year and has strong ties for the years to come. It is important for Stortinget to take inward that more than every four kroner in the State budget are allocated to expenditure affected by the regulation of the basic amount. The Christian People's Party will help those who need it the most, and would have liked the arrangement to be more focused, so that it was the smallest pensioners who got the largest payoff. We are also, like the other parties, concerned that pensioners with social security pensions should not be suspended in wage developments. That is why we voted for the new social security guidelines to provide pensioners with income development in line with the active labour force. The Christian People's Party thought the government's offer was good. This would give an increase in the basic amount of NOK 2374, which means that the basic amount would be NOK 56 544 from 1 May this year. The government has for a long time announced that it should be compensated for the delay for the period 2001–2002. Reregulation is calculated as the difference between total real wage growth and expected wage growth corrected for particular circumstances. This means that the total wage growth is to be corrected for additions in the pay statements of the teachers, which are estimated to be 0.2 pst. of the annual wage growth. The deregulation from 2001 therefore amounts to 0,6 pst. and from 2002 to 0,5 pst. This was agreed in the negotiations. There was no agreement on an increase in the basic amount of popular fear by 4 pst. from 1 May of this year. For the Christian People's Party, it is important to clarify that pensioners' income development was guaranteed by the post-regulation provisions of the guidelines. According to the agreement on income policy cooperation, the growth of wages and salaries this year is to be measured by the competitive sector. If the difference between this and actual wage growth in industry increases, this difference shall be remunerated and remunerated as from 1 January next year. In addition, pensioners were offered compensation from 1 May 2004 for any difference between total wage growth in 2003 and the wage growth in industry. With this safeguard clause given to pensioners, the Christian People's Party believes that the Government has followed up what was adopted on social security policies and ensured that pensioners are at least in line with developments in working, corrected for special circumstances and in line with the principles and objectives underlying the implementation of the other income policy framework. The Christian People's Party believes it is important that pension settlement is within the framework of the income policy approach. At the same time, it is important that one does not get into a situation where the growth of pensions contributes to increasing wage growth. For us, it is also of great importance that the negotiating institute is real. It should not be the case that the Stortinget meets the demands of the pensioners each year. I had thought that this was also in line with the intentions of the Workers' Party, and that we had come to an agreement. It seems that the party is not entirely in agreement, when about at the same time as the release of this year's social security settlement reads in our country that the former Minister of Finance of the Workers' Party, Sigbjørn Johnsen, who is now the head of the Pension Commission, says that it can be too expensive to hold on to today's pension schemes, and that it will be very difficult to make the commitments in the future, since the number of pensioners increases, and they live longer. Although the Joint Organisation of Disabilities at the hearings was satisfied with the offer made by the majority today, it is strange that the Progress Party still wants G to be 4,5 pst. and not even corrected for the salary settlement of 0,1 pst. I guess a lot can be explained by the fact that we're in an election year. Despite this offer, I am pleased that the government parties together with the Advance Party have increased the basic pension for couples and consensual residents from 0.75 G to 0.8 G from 1 May this year. For the minimum pensioners, this gives an increase of $12,984. They deserve that. This has long been an issue for the Christian People's Party about equality and equivalency.
ParlaMint-NO_2003-06-19-2.ana.ud1033e218	The leaders of the social security settlement of the year were actually laid last autumn when we dealt with the state budget for 2003. I mean, budget-inner. No 11 it is proposed for Decision VII: ‘The government is asking for the regulation of the basic amount of the population’s income to be regulated at least in line with the wage trend of the economically active.’ We wanted the Government to come back with guidelines on social security arrangements and the Institute. When the government came back with it in one must be able to call twelve hours, a record could be made that the government instead of choosing the formulation that the majority of the Social Committee had made, and the majority of the Stortinge continued to be based on an income development ‘in line with’ the development of active workers. When we dealt with the guidelines, the majority in Stortingen amended this again, so that now it says that pensions are to be regulated ‘at least in line with’ wage developments. We also assumed that one should focus on wage developments for all groups, i.e. ‘total wage earners’, as it says in the adjustment. The calculations shall be based on the existence of pensioners from all groups of employees and shall be based on the average. So we said that special circumstances should be taken into account, and ‘special conditions’ specified so that the wage development of individual groups that are not only due to pure pay supplements, but may also be due to changed tasks or changed working hours, should be corrected for. We also specified that the delay should be introduced at the start of the discussions. We believe that in the Center Party in retrospect could be much more tidy than what we have today, and there should be no doubt about which part of the regulation of the basic amount is due to post-regulation, and what part is due to regulation based on expected wage growth. Now, when we register that the government is coming back with an offer that, for the sake of the chase, is in line with what the majority said, we are satisfied with it. The under-regulation, due to the settlement made in 2001 under the direction of the Stoltenberg Government, is regulated by 0,6 p.m. and the back-regulation for the settlement in 2002 is regulated by 0.5 p.m. It's adjusted for the so-called teacher package. So that's okay. But it becomes more remarkable when the government in the revised national budget points out that the expected wage growth will be 4.5 p.m., and then comes with an offer to the organisations at the social security settlement negotiations of 4 p.m. Although corrections are made for special cases, or ‘special circumstances’, the offer from the Government to the organisations is too poor when it is only 4 pst. This has a majority consisting of the Centre Party together with SV and the Workers' Party corrected for. The majority have said that at least there must be an offer of 4.4 p.m., and then it is adjusted for that part of the teacher's package that still affects this settlement. There is also a question of how long this teacher package will take effect. I think it should be possible to look at how long such adjustments will have an impact on social security. By offering a regulation of 4.4 pst. at the end of the year, the Centre considers that pensioners are subject to social security regulation at least in line with the expected wage increase. And we are satisfied with that. The representative, Höie, said that the solidarity of the minimum pensioners with the unemployed was called for. This means that the representative will set up two groups of low incomes and low payability against each other. I don't think so. I think it is gratifying that we can now increase the basic amount of population protection from 1 May this year to 56 861 kroner, and that the average increase in the basic amount from 2002 to 2003 is 5.13 pst. It's important that we can get some good settlement for the pensioners, based on the historical aftermath that has been there for a long time. The representative of the Progress Party referred to Innst. S. No 223, where we and the Progress Party agreed to be able to make the follow-up regulation from 2000 to 2001 in the form that it would be paid before the settlement. We didn't get a majority for that, and we have to take note of it. But in all, we think it's a good retirement stoppage this year.
ParlaMint-NO_2003-06-19-2.ana.ud1033e245	The Coastal Party marvels at this Government. They have such a high-level view of humanity that it seems restrictive in relation to whom they can enter into formal cooperation. However, it is the unworthy partner and supporter of the Government who, together with the majority in this Chamber, acknowledges that money has to be given to enable people to live a decent life. It's preferably people who come to the country as immigrants, who are covered by the Highness of the Government's view of humanity. The coastal party finds it totally incomprehensible that these should be blessed with more statutory rights to minimum wages and housing support than the country's pensioners, who have paid their social security contributions over a long life. What about the slogan "Do your duty, demand your right"? The size has decided that immigrants on the introduction programme should have a statutory individual income from the country of 2 G plus housing aid, whether they have wealth or employee income, and whether they live alone or with others. What about these people? What obligation have they done, and what right do they have to demand a better counting than the pensioners? But that's what we've decided in this room. The coastal party finds it totally incomprehensible that the Stortinget actually believes that pensioners can live a worthwhile life for less than the young migrant workers can, and we find it striking that this is not shown in the overview on pages 1 and 2 of the adjustment. Is it perhaps that the government expected this to be overlooked in silence, and that pensioners and dissatisfied persons would not get the price of a worthy life for them below the price of a dignified life for newly arrived immigrants? The coastal party believes that this is an injustice that should be corrected as soon as possible. The Coastal Party records that the Government is assuming an expected salary increase of 4.5 p.p., but was not willing to give pensioners the same wage growth, despite the fact that the Storting has decided that the government’s negotiating room in the social security settlement is above, and not below, average wage growth in society. Now the Stortinget has pressed forward 4.4 pst. upgrading G, is at the bottom of what Size has decided. But with the evolution we see in society around us, it can still be the right number in relation to what wage developments really are. The Coastal Party is not in the Committee, and we experience time and time again that our support for the best possible retirement stoppages is happening. We are part of the majority who are now adopting a retirement stop adjustment that is above the government's offer. We have programmed that pensions should be re-governed to the level foreseen at the time of the adoption of the law on popular security in 1967. The aim was to ensure that the combination of tax age reductions, the adjustment of the basic amount as wage developments and additional earnings earned should ensure that pensioners would not have a dramatic fall in living standards after the end of the working day. The size has changed the rules of the game along the way, and today's pensioners experience the dramatic standard of living that the combination of popular and tax systems would guarantee against. Minimum pensioners do not pay direct taxes, but people who have arrived at the repair age and who like to live in a dwelling that has arrived at the repair age are hit pretty hard by indirect taxes, and they are hit by rent and property taxes on their private homes. Pensioners also often get large repair costs in connection with dental health. Bad dental health also has effects on the overall health status. So the teeth aren't part of the body! The teeth are treated differently than an arm, foot or finger. This has not been taken into account in any part of the budget. The coastal party believes that dental care should be phased into public health provision. It would mean a lot to the retired and the underprivileged. The share of the total tax payment is now greater on the indirect tax than on the direct tax. Not least, most people noticed when the government's failure to control the power supply sent the electricity price to heaven in winter – with VAT! The Coastal Party is primarily in agreement with the Progress Party in this matter. Subsidy, we support the majority's proposal for a decision.
