ParlaMint-NO_2003-10-01.ana.ud1736e29	If no one has anything to object to, I will comply with the request.
ParlaMint-NO_2003-10-01.ana.ud1736e41	The President-in-Office will ask the Secretary of the last Storting, Signe Eye, to act temporarily as a secretary. A roll call was then made. The following representatives were absent: André Kvakkestad, Kjell Engretsen, Julie Christiansen, Finn Kristian Marthinsen, Karin Andersen, Olav Akselsen, Karin S. Woldseth, May-Helen Molvær Grimstad, Asmund Kristoffersen, Ivar Kristiansen, Haakon Blankenborg, Berit Brørby, Thore A. Nistad, Heidi Larssen, Marit Nybakk, Finn Martin Vallersnes, Oddbjørg Ausdal Starrfelt, Reidar Sandal, John I. Alvheim, Bendiks H. Arnesen, Åge Konradsen, Ivar Østberg, Synnøve Konglevoll, Øystein Djupedal, Gunn Karin Gjul, Inga Marte Thorkildsen, Elsa Scarbøvik, Per Erik Monsen and Martin Engeset. The following representatives had reported decay: Asmund Kristoffersen, Ivar Kristiansen, Marit Nybakk, Bendiks H. Arnesen, Åge Konradsen and Inga Marte Thorkildsen. From 22 of the other representatives present the application for leave [[see below]]
ParlaMint-NO_2003-10-01.ana.ud1736e55	The President-in-Office proposes that the last Rules of Procedure, as amended by the Council on 6 and 28 May and 16 June 2003, be put into effect. – It shall be deemed to have been adopted. A number of permit applications are available: From 1 October to 19 April 2004 from the Workers' Group on the maternity leave of the representative Gunn Karin Gjul from 1 October 2004 onwards and from the autumn session of the Christian People's Party on the sick leave of the representative May-Helen Molvær Grimstad from 1 October onwards and until further notice from the Christian People's Party Group on the sick leave of the representative Finn Kristian Marthinen from 1 October until further notice of the representatives John I. Alvheim, Berit Brørby, Øystein Djupedal, Heidi Larssen, Reidar Sandal and Ivar Østberg on the leave of the representative from 1 October until 17 October – all to participate in the 58th General Assembly of the United Nations from New York from the General Assembly of the Progressive Party on the leave of the representative Karin S. Woldsparleget at the end of the debate at the 13th plenary session and the plenary session of the 17th plenary session and the total from 1 October. The application concerns authorisation in the days 1 and 2 October of the representatives of Karin Andersen, Thore A. Nistad, Oddbjørg Ausdal Starrfelt and Finn Martin Vallersnes from Stortingets delegation to the 2003 session of the Council of Europe, Part Four, in Strasbourg, signed by the Head of the Delegation, Depositary Representative Haakon Blankenborg. The application concerns leave in the days 1 and 2 October of the representatives of Olav Akselsen, Haakon Blankenborg, Martin Engeset, André Kåkkestad and Per Erik Monsen, and of the representative of Synnøve Konglevoll Wednesday 1 October from the Christian People's Party Group on welfare leave of the representative Else Scarbøvik from 1 October to 6 October from the Höres Storingsgruppe on health leave of the representative Silja Ekeland Bjørkly from 2 October until further notice. On a proposal from the President, it was decided unanimously: The applications shall be examined immediately and accepted. The following alternates are invited to meet during the leave period: For Akershus County: Harald Espelund and Mette Korsrud For the Province of Buskerud: Unni Hennum Lie For the state of Hedmark: Helge Bjørnsen For the county of Hordaland: Rita Tveiten, Jan Koløy and Erlend Nornes For More and Romesdal counties: Rigmor Andersen Eide For Uppland County: Reidun Gravdahl, Espen Johnsen and Morten Ørsal Johansen For Oslo: Brit I. The President For the Rogaland County: Inger Lise Aarrestad and Jan Petter Rasmussen For Sogn and Fjordane County: Aud Viken For Telemark County: Board André Hoksrud For Troms County: Leif Christian Johansen and Knut Werner Hansen For the South-Trundellag counties: Jørund Leknes and Ola Røtvej For Vestfold County: Inger Møll and Vidar Andersen For Eastfold County: Gretha Kant
ParlaMint-NO_2003-10-01.ana.ud1736e251	Harald Espelund, Mette Korsrud, Unni Hennum Lie, Helge Bjørnsen, Rita Tveiten, Jan Koløy, Rigmor Andersen Eide, Reidun Gravdahl, Espen Johnsen, Morten Ørsal Johansen, Brit I. H. Andreassen, Inger Lise Aarrestad, Jan Petter Rasmussen, Aud Viken, Bård André Hoksrud, Leif Christian Johansen, Knut Werner Hansen, Jørund Leknes, Ola Røtvei, Inger Møll, Vidar Andersen and Gretha Kant are present and will take the seat.
ParlaMint-NO_2003-10-01.ana.ud1736e257	The Presidents and Secretaries shall then be elected. The President-in-Office will refer to the fifth and sixth paragraphs of Section 4 of the Rules of Procedure, which reads as follows: ‘In the first election of Presidents and Vice-Presidents, the votes shall be in the case of non-signatured banknotes. In subsequent elections in the same parliamentary term, the rules of § 44, first paragraph, points (d), first and second sentences apply. more than half of the votes cast. If none of the candidates reaches such a majority in the first election or in the case of free re-election, the two candidates to whom the highest number of votes has been cast shall be re-elected. [[(see section 4.4). § 45 para. (b)]] That provision of the Rules of Procedure means, therefore, that the election of Presidents and Vice-Presidents can now be made in a normal manner, without the use of ballots. The President-in-Office will then propose that we vote in the usual manner. – No one has objected to it, and it is deemed to have been adopted. The President-in-Office of the Council is asking for proposals from the President of the Grand Duchy.
ParlaMint-NO_2003-10-01.ana.ud1736e275	I have the pleasure of proposing Jørgen Kosmo.
ParlaMint-NO_2003-10-01.ana.ud1736e283	Jørgen Kosmo has been proposed to the President of Stortinget. Other proposals are not available.
ParlaMint-NO_2003-10-01.ana.ud1736e292	The President then asks for proposals to the Vice-President of the United Kingdom.
ParlaMint-NO_2003-10-01.ana.ud1736e298	I suggest Inge Wage.
ParlaMint-NO_2003-10-01.ana.ud1736e306	Inge Wohnning has been proposed to the Vice President of Storting. Other proposals are not available.
ParlaMint-NO_2003-10-01.ana.ud1736e315	The Secretary of State and the Secretary of State, the First and Second Vice-President and the Secretary of State of the Grand Duchy shall then be elected. The President is asking for a proposal from the Secretary.
