ParlaMint-NO_2003-10-15.ana.ud1651e28	The representative, André Kukkestad, who has been licensed, has once again taken the seat.
ParlaMint-NO_2003-10-15.ana.ud1651e36	The President will propose the election of a President-in-Office of the Stortinge meeting this week – and consider it adopted. The President is asking for proposals from the President-in-Office.
ParlaMint-NO_2003-10-15.ana.ud1651e41	I suggest Kjell Engebretsen.
ParlaMint-NO_2003-10-15.ana.ud1651e46	The Kjell Engretsen has been proposed as President. – Other proposals are not available, and Kjell Engebretsen is unanimously elected president of Stortinget’s meetings this week. The representative of May Britt Vihovde will make a private proposal.
ParlaMint-NO_2003-10-15.ana.ud1651e51	On behalf of the representative Trine Skei Grande and myself, I would like to suggest that the Stortinget mentions a commission to assess the conditions and developments of local democracy.
ParlaMint-NO_2003-10-15.ana.ud1651e56	The proposal will be dealt with in a regulatory manner. Then the President has the pleasure to announce that a delegation from the Bosnia-Herzegovina Parliament, consisting of all the presidents of both houses, is today initiating an official visit to the Grand Duchy and is present at the Gestival Gallery. We welcome the guests from Bosnia-Herzegovina and look forward to a useful and pleasant visit. Welcome!
ParlaMint-NO_2003-10-15.ana.ud1651e81	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: State Council Odd Einar City Council Hilde Frafjord Johnson Council Børge Brende The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. – We then start with the first main questions, from the representative Sylvia Brustad.
ParlaMint-NO_2003-10-15.ana.ud1651e100	My question goes to the Minister for the Environment. Climate change and pollution are changing Norwegian nature. There is growth in algae on trees, the nesting season for birds starts earlier than before, and we see that there is a lot of weather – rain, wind and flood – to mention some examples. Climate problems are one of our greatest challenges. We have to bring down emissions, and we have to cooperate with other countries to get it done. Therefore, it was important that Norway acceded to the Kyoto Agreement. The more surprising and alarming it was that our prime minister recently questioned whether Norway would meet the Kyoto targets. My question is: Does the Minister for the Environment think that Norway should stand by those commitments, or does the Minister for the Environment support the Prime Minister, who has said that Norway is not sure that it is doing so?
ParlaMint-NO_2003-10-15.ana.ud1651e109	It is clear that Norway accepts its international obligations under the Kyoto Protocol. The daily newspaper has published something different to the Prime Minister, based on an interview with two environmental organisations that had attended a meeting of the Prime Minister. The Prime Minister has also stated to the Newspaper that Norway is a country on which we are going to have tougher commitments after the first commitment period attached to the Kyoto Protocol, i.e. after 2012. It is right that the representative, Mr Brustad, is also concerned that what we are now seeing of tougher weather – this year there was a drought and heat wave in Europe, last year there were floods – is something we will see more of in the years to come if we do not manage to stop the dramatic climate change that is currently taking place. We can't prove that this has something to do with climate change, this tougher one has been in Europe, and the brown cloud over Asia. But what the Intergovernmental Panel on Climate Change states is that the type of weather is much more if climate change becomes as IPCC says it can be, in the worst case, that climate change can change by between 1.4 and 5.8 oC over the next hundred years. Since the last ice age, for approx. 10,000 to 15,000 years ago, maybe the temperature of the earth has changed by 6 to 8 oC, so in a hundred years we can change almost as much as we've done in this long period. Therefore, the Government is very concerned that we in Norway should fulfil our obligations through national measures combined with the use of the so-called Kyoto mechanisms, which were a clear prerequisite, and which are also a prerequisite for developing countries to be willing to assume an additional obligation after 2012 and for Russia to ratify.
ParlaMint-NO_2003-10-15.ana.ud1651e116	I am pleased that the Minister for the Environment is abrogating the doubt that the Prime Minister really sowed in the statements he had, among other things. in the newspaper – and I do not see that the Prime Minister has swept away that doubt – because it is vital that we make progress towards our commitments and that we stand by our commitments. And it's huge challenges. The Labour Party has promoted a number of proposals in the UK to which the Government has so far refused, for example: electrification of our base, i.e. replacing the gaseous power stations that are standing around on the oil platforms in the North Sea with gas power stations that do not pollute much. The Government has not yet applauded this. We have also called for considerable more money to be spent on researching and developing new technologies, including those related to this, and a number of other proposals. My question is then: When does the Government come up with a message about how we are going to follow up on these challenges and follow up on what the Storting treats in connection with the climate communication?
ParlaMint-NO_2003-10-15.ana.ud1651e123	It is a little difficult to claim that the Prime Minister has expressed himself unclearly in the newspaper, as he has not actually spoken. It was based on someone who had heard a post from him. What he said when he was actually interviewed in the Newspaper was that there is no doubt that Norway should fulfil its international obligations in relation to the Kyoto Protocol. Now, of course, there is some doubt as to whether the Kyoto Protocol will actually come into force, but that is because, for example, the Kyoto Protocol will come into force. The United States, which is responsible for 25 pst. of all greenhouse gases in the world, have declared themselves and that Russia is now on the verge. What the government has done, and as many governments have done in recent years, is in Norway implementing the toughest set of climate policy instruments I think any country has ever done. We were almost first out with the CO2 tax, and we have disregarded the highest CO2 tax. This has led to emissions being 20 pst. lower than they would have been without this. We are implementing a conversion of waste policy, which is also important in this way.
ParlaMint-NO_2003-10-15.ana.ud1651e130	It will be follow-up questions – Synnove Konglevoll.
ParlaMint-NO_2003-10-15.ana.ud1651e133	I think it is positive that the Minister for the Environment now clearly states that Norway should follow up its commitments in the period 2008-2012. I am also pleased that he mentions the CO2 tax as an instrument, an instrument introduced by the Workers' Party, but for the time being it seems that it is very slow to achieve the objectives we have set ourselves. My question is, what kind of concrete instruments will the Government now take in the coming years to actually bring down emissions? That is our challenge today.
ParlaMint-NO_2003-10-15.ana.ud1651e140	Of course, it is good that it is positive that I establish something that is quite a natural thing, namely that Norway should fulfil its international obligations under the Kyoto Protocol. There has never been any doubt about it, and there will be no doubt about it. In the case of greenhouse gas emissions in Norway, they went down by 2.5 pst last year, so now we are 5 pst. Over the level we had in 1990. Last year's decline is due to the fact that we have economically tough times, and a change in magnesium production. As far as the CO2 tax is concerned, it was as far as I remember the government Syse with Finance Minister Skauge who promoted this, but I am not going to take up any race with the Workers' Party about who is the best at introducing taxes and taxes in this way. But in relation to concrete measures, I am working on the follow-up to this climate communication that we have promoted. Among other things, we're going to introduce a national quota system for the process industry, which stands for 30 pst. of greenhouse gas emissions in Norway.
ParlaMint-NO_2003-10-15.ana.ud1651e149	Ingvild Vaggen Malvik – for follow-up questions.
ParlaMint-NO_2003-10-15.ana.ud1651e153	I am pleased that both the State Council of Brende and Prime Minister Bondevik in a letter to SV confirm that the Government is on the Kyoto agreement, thereby also confirming the climate cooperation that the Government has had with SV, and the climate agreement that we have entered into. A good advice from one who has experience is that one should not listen so much to the Workers' Party in climate policy – even if it happens that a blind hen finds a grain. However, the climate agreement means that the measures needed to reduce emissions must be taken. And then the question is, is the construction of gas power plants and the Government's gas power policy in line with Norwegian climate policy? If the gas power plants for which the Government establishes the concessions are to be built, should private cars be banned, or should the Norwegian process industry be shut down? If gas power plants are realised, what will be the result in relation to the climate objectives?
ParlaMint-NO_2003-10-15.ana.ud1651e160	Of course, it is a paradox that our greenhouse gas emissions are increasing as we now export gas to Europe instead of coal. At least coal emits twice as much CO2 as the Norwegian gas. But we will then solve this problem of implementing national measures at the lowest possible cost. Nevertheless, we know that implementing a reduction in Norway is much tougher, because we have based our electricity production 100 pst. on renewable energy, hydropower. We do not have coal-fired power stations that we can shut down, and we already have the toughest instruments – probably worldwide – in relation to greenhouse gas emissions. We know that e.g. investing in upgrading a coal-fired power plant in Botswana costs one sixth of what it means and involves implementing a corresponding reduction in Norway. It's just as good for the climate. That is why I think we also need to state that we are going to take important steps at home, but at the same time we need to use the Kyoto mechanisms, which were a precondition for ratification, and for it to become part of the Kyoto Protocol.
ParlaMint-NO_2003-10-15.ana.ud1651e165	Let's go to the next main question.
ParlaMint-NO_2003-10-15.ana.ud1651e168	I have a question for the Minister of Justice. It's about the government's view of the issue of criminal care in relation to mental health protection, where I think the government sometimes seems to be somewhat modest in expressing where it actually stands. Unfortunately, it is a fact today that people with mental problems commit a great deal of crime, they are a problem for some ‘common’ people. We have known people like Celina Midelfart and others, who are terrorized by people who have put their love on them, and there are also ordinary people who are exposed to this. We have a police force that uses a lot of resources to transport people between psychiatric institutions and prisons. They use their resources for it, and that can't be in line with what we want. In a letter to me, the Minister of Justice said that it should not be the case that people with mental illness have a free ticket to commit extensive or atrocious crimes. And then the question is, what does the minister actually intend to do?
ParlaMint-NO_2003-10-15.ana.ud1651e177	The representative addresses an important but difficult relationship, the relationship between criminal law and health — psychiatry and mental disorders — in other words, the relationship between criminal law and, in this specific case, as I understand the representative, mental health protection. I perceive that the representative on this issue addresses the issues where people are not affected by what we call criminal law special reactions. What has happened in this area – and that is quite right, one should not have a free ticket to commit extensive or painful crimes – is that the Riksadvokat has stressed in a separate circular that in such cases, the prosecution authority must be satisfied that the offender is really unreliable before the case is settled. And that's the way the Riksadvokat has marked, that a psychosis diagnosis itself is not sufficient, at least not in more extensive and annoying situations. The representative and I know about such situations – they are mentioned in public. The national lawyer emphasises that a judicial psychiatric investigation should be sought even if the offences themselves cannot give rise to a special reaction, so that at least there is a guarantee that punishment is not used. This area is located in the border between health and justice. There have been contacts between the Ministry of Health and the Ministry of Justice in this area. It will be intensified, and I have said in response to Mr Ellingen’s representative in relation to specific criminal law reactions – and I will repeat this here – that I will take steps to ensure that the investigation that normally takes place after a certain period of time will take place earlier. It is simply because the frontier zone – what we will call grey zone problems – should not live its own lives. I share the representative's commitment. Even if it's hard, we get to go into it.
ParlaMint-NO_2003-10-15.ana.ud1651e188	I thank you for the answer so far. I look forward to getting more «speed» – to use such a concept – on this, because this is a challenge. We have people who suffer daily because of this. I had the last Friday ‘joy’ of visiting a lady who has been terrorized for four years. The police say they're powerless. They transport him from a to b – and send him back again. Then we have a system that doesn't work well enough. The Minister of Justice has also stated that he is concerned with intelligent punishment and intelligent responses. Then I assume that he also thinks about the victim's role in this, which some of us have missed the emphasis on in such cases. Once again, I record what the Minister of Justice says, that he will consider accelerating this. Is it the case that the Minister of Justice will consider whether today's special reactions are good enough? Or does he just imagine a continuation of today's order?
ParlaMint-NO_2003-10-15.ana.ud1651e197	I am absolutely sure that the representative, Mr Ellingen, and I fully agree that we need to react intelligently. We are e.g. agree that it is good to ‘snow’ a teenager before he becomes 15 and criminal. And so it is that even though the Ministry of Justice gradually covers about most of the conditions of human life, it does not cover all the departments. It is a challenge for all elected people, including those who have trust on behalf of the Norwegian people as the Council of State – which I have – to enter the grey zones, even if it may be that you refuse to do so. This I have said that I will actively do. I've done it in terms of childhood and juvenile delinquency, I've done it in terms of people who are addicts, and I'm going to do it in this area. I'm familiar with the police's, in my opinion, patient and wise efforts in society for people who really need psychiatric help, where the police must be transport services. I myself have been in situations in Trondheim where the police have had such jobs, and where solutions have been found after a while. So the representative has my word that I have an involvement in it, and then, with the intensity I have, I get to dig through the problem, even if it will take some time.
ParlaMint-NO_2003-10-15.ana.ud1651e209	There will be follow-up questions – Anne Helen Rui.
ParlaMint-NO_2003-10-15.ana.ud1651e212	I am very pleased that the Dørum Council has an involvement in this matter, because there is no doubt that much of the violence, the crime and the abuse that is taking place in our society is being committed by people with mental problems. We are in the middle of a phase-out of the psychiatry plan, while Norway around now appears to be cutting health care businesses within the psychiatry. The next moment we see that the police are getting the problems – with the transport. My question is then: Does the Minister of Justice intend to do some concrete action within the Government to get more money into the psychiatry – or perhaps the police are doing another job? In any case, there must be some concrete grip on the grey zone that we have.
ParlaMint-NO_2003-10-15.ana.ud1651e221	The representative Rui and I probably share the reality that very often the police are in practice the lucky day continuous service in Norway that serves as a social apparatus. It's the side of Norwegian social reality that the representative addresses to me. As far as I remember, the government, through its psychiatry efforts in another department area, has made a significant increase of 700 million. kr, in the budget for the following year. I note that many people must stand in line, and that is the way they are, for example. are in the same system as those on the outside. I have a commitment to it, and what I do as a member of the government – and here the representative gets me responsible – is then expressed through the Ministry of Health budget. What I'm doing in addition, is trying to fight down the grey zones. To put it another way: I am doing my part because the health care system acts with the lowest possible doorstep to those who are not always considered the most teachers among us.
ParlaMint-NO_2003-10-15.ana.ud1651e228	Let's move on to the next main question.
ParlaMint-NO_2003-10-15.ana.ud1651e232	I have a question for the Minister for the Environment. The Green Everyday Environment Organisation, through the ‘Puls’ programme, revealed that cosmetic products and baby care products contain the environmental poison parabens. This is a poison that can interfere with the hormonal balance in humans. Five years ago, we had a similar case. Then it was revealed that plastic children's bodies contained the environmental toxin phthalate, which is a plasticiser. At that time the Government chose to ban phthalates for use in children's play. My question is: Will the Council of State Børge Burnde take the initiative – as a starting point in any case – to prohibit the use of environmentally hazardous parabens in all care products intended for children?
ParlaMint-NO_2003-10-15.ana.ud1651e241	I also found out in various media that a special product contains additives that may have negative effects on children. I examined the matter. It is a matter that is mainly covered by the health authorities, but I have also asked the State pollution authorities to contact the appropriate health authorities to review the information that Green Everyday has provided here. When it's done, I want to have a conversation with the Minister of Health. We will look at the report that has come from the current Directorates. We take seriously the report that Green Everyday has presented, but of course I'm dependent on getting the government's professional authorities to review it, because there are serious claims in relation to a very large and a lot of used cosmetics brand. Even I know it. If you have had small children, I guess that's what you've been using. In relation to phthalates, as the representative Sørensen mentions, the State pollution control authorities have had different controls in recent years and have actually revealed that this substance is still used in a number of plastic toys for children. I think it is good that the state's pollution authorities give priority to this matter, that they have controls and are hard on it.
ParlaMint-NO_2003-10-15.ana.ud1651e250	I thank the Council of State for taking the problem seriously. We who have been working on pollutants over a certain period of time know that the only thing we can say with certainty is that in five years' time we will have a new surprise in connection with a new group of substances if we do not manage to take any new action – including internationally – in the field of chemicals policy. There are hundreds of thousands of different chemicals on the market and today it is the authorities, environmental organisations or professional bodies that have to prove that a substance is dangerous before it can be banned. That's what the Council of State now describes in relation to parabens, that is, the burden of proof lies with the authorities. It should have been the opposite. It should have been the company that has to prove that a product or substance is harmless. I hope that the Council of State can take part in a wide-ranging review of chemicals policy and make sure that Norway can become a leading country in turning the burden of proof.
