Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-03-03-lower	ParlaMint-NO_2003-03-03-lower.ana.ud1428e48	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SKO	Konglevoll, Synnøve	F	1972	
ParlaMint-NO-en_2003-03-03-lower	ParlaMint-NO_2003-03-03-lower.ana.ud1428e65	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.LFO	Onarheim, Leif Frode	M	1934	
ParlaMint-NO-en_2003-03-03-lower	ParlaMint-NO_2003-03-03-lower.ana.ud1428e86	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.HHL	Langeland, Hallgeir H.	M	1955	
ParlaMint-NO-en_2003-03-03-lower	ParlaMint-NO_2003-03-03-lower.ana.ud1428e95	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GHA	Halvorsen, Gunnar	M	1945	
ParlaMint-NO-en_2003-03-03-lower	ParlaMint-NO_2003-03-03-lower.ana.ud1428e111	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GHA	Halvorsen, Gunnar	M	1945	
ParlaMint-NO-en_2003-03-03-lower	ParlaMint-NO_2003-03-03-lower.ana.ud1428e120	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2003-03-03-lower	ParlaMint-NO_2003-03-03-lower.ana.ud1428e139	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.HKH	Hogsnes, Hans Kristian	M	1954	
ParlaMint-NO-en_2003-03-03-lower	ParlaMint-NO_2003-03-03-lower.ana.ud1428e154	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.HEH	Holmås, Heikki Eidsvoll	M	1972	
ParlaMint-NO-en_2003-03-03-lower	ParlaMint-NO_2003-03-03-lower.ana.ud1428e169	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.PK	Kårbø, Pål	M	1973	
ParlaMint-NO-en_2003-03-03-lower	ParlaMint-NO_2003-03-03-lower.ana.ud1428e182	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ODG	Gløtvold, Ola D.	M	1949	
ParlaMint-NO-en_2003-03-03-lower	ParlaMint-NO_2003-03-03-lower.ana.ud1428e197	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GHA	Halvorsen, Gunnar	M	1945	
ParlaMint-NO-en_2003-03-03-lower	ParlaMint-NO_2003-03-03-lower.ana.ud1428e205	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GHA	Halvorsen, Gunnar	M	1945	
ParlaMint-NO-en_2003-03-03-lower	ParlaMint-NO_2003-03-03-lower.ana.ud1428e303	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GHA	Halvorsen, Gunnar	M	1945	
ParlaMint-NO-en_2003-03-03-lower	ParlaMint-NO_2003-03-03-lower.ana.ud1428e312	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GHA	Halvorsen, Gunnar	M	1945	
