ParlaMint-NO_2003-06-20.ana.ud1707e82	Magnhild Melting Group Kleppa will make a private proposal.
ParlaMint-NO_2003-06-20.ana.ud1707e85	On behalf of Arne Braut and myself, I would like to propose a special compensation to the South Trondelag County in connection with the extension of the Regional Hospital in Trondheim. [[RiT]]
ParlaMint-NO_2003-06-20.ana.ud1707e90	The proposal will be dealt with in a regulatory manner. Before considering the issues on today’s map, the President will propose that the morning meeting – if necessary – continue beyond the regulatory time, at 1 p.m. 15 until today's map has been processed. – No objections have been raised to the President’s proposal and it is deemed to have been adopted. At the request of the Financial Committee, the President will propose that cases be brought before the Court of Justice of the European Communities. 1 to 8 is dealt with as a whole – and considers it to be adopted.
ParlaMint-NO_2003-06-20.ana.ud1707e186	At the request of the Financial Committee, the President will propose that the debate be limited to 2 hours and 35 minutes and that the speaking time be allocated to the groups as follows: Working Party 40 minutes, Right 35 minutes, Advance Party, Socialist Left Party and Christian People's Party 20 minutes each, Center Party 10 minutes, Left and Coast Party 5 minutes each. Furthermore, the President will propose that there be an opportunity for a change of line of up to five lines, with replies from the Prime Minister and the Minister of Finance, and three lines, with replies from the main speakers of each party group, from parliamentary leaders and from other members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – This is deemed to be adopted.
ParlaMint-NO_2003-06-20.ana.ud1707e197	The Financial Committee gave its opinion on the revised budget on 15 June 2003. The purpose of the budget revision is to adjust the budget in relation to changes in the financial framework conditions or to any specific need for changes in the decisions to be taken after the adoption of the ordinary budget. The government has not taken sufficient account of the changes that have actually taken place since Christmas. Since the adoption of the budget, the economy has changed. We have a whole new situation that calls for action, not action paralysis. More and more people are drawing a gloomy picture of the Norwegian economy. Gross domestic product for mainland Norway had a negative growth of 0.6 pst. the first quarter of the year, corresponding to the negative growth of the economy in the last quarter of last year. Thus, the mainland economy is within a travel period, i.e. a deep economic downturn. This is the largest recession recorded since 1988. At the end of 1988, where the unemployment rate was at the current level, i.e. 105 000 persons, increased the unemployment rate by 40000 persons until the end of 1991. The government does not take this crisis seriously. It is pointless to cling to a tight fiscal policy when production falls, and unemployment increases. It is also wrong to collect a falling interest rate as a reward for a sensible economic policy. A new strong interest rate drop now, which is all sorts of reason to believe will come, is of course very desirable for anyone with a lot of debt, but it is a consequence of the bad times, not a result of a healthy economic policy. The Progress Party warned in its 2003 alternative budget that the Norwegian economy would be able to enter the recession, and we recommended a shift in economic policy with significant tax reliefs and increased State real investment. But the tone of both the Government and the Workers' Party was, as it is now, that it was important not to overheat the economy. Now one had the chance to adjust the rate in the revised budget, but that chance will leave both the Government and the Workers' Party. It has very serious consequences for Norwegian enterprises and jobs. The goal should now have been more at work and a restoration of Norwegian value creation. The alternative is that unemployment is accelerating and becoming high for many years, and that business is becoming confused. The Progress Party will not take the chance. Although the position of the Finance Committee has been such a slump, it may appear that agreement has been negotiated between the Government Parties and the Workers' Party. The working party has made itself completely flat for the Government, and has contributed to so-called containment through very many dubious cuts and with very many dubious reasons. To me, the Workers' Party and government parties now appear to be so similar that there are really only cosmetic dividing lines between them. The working party is desperately trying to create the impression that they are the alternative to the Government. But it's in words. In action, the fainting ones are the same. This budgetary audit should have provided a good basis for budgetary negotiations between the Government Parties and the Workers' Party for the autumn. The slumping has resulted in minor adjustments to the adopted budget. The Research Fund will be charged DKK 1 billion in addition to the Government's proposal. Ten million will be granted. SEK to the international marketing of Norway, 50 million. kr for road race protection, some additional appropriations for industrial research, marine innovation programmes, housing aid is increased, funding is granted for the start-up of construction in the university and higher education sectors, the majority secures its previous decision on net pay for offshore vessels, protective vessels receive 10 million. kr, the express buses are maintained, the competence development programme is continued – to mention something. It is also the majority of many and completely incomprehensible cuts. The government parties and the Workers' Party cut in grants to private church buildings, to the police, to the defense, they increase the legal fee and, in a perceptive way, ensure the Workers' Party a majority for increased self-esteem, for which they have criticized others throughout the winter. The real budget winners are illegal refugees in Norway. For some reason, you will not stick to the budget when it comes to receiving refugees and putting your foot down when the number is reached. Then you just give more money. In a number of other budgetary areas, however, strict budgetary discipline is being applied and problems are growing. The Labour Party also had many other non-majority containment proposals: tax and tax reinforcements in flanges, including an increase in the charge on drug shower. This is and will be something entirely on its own. As an argument, the Labour Party claims that the increase in fees will help to reduce the consumption of alcohol among young people, while budgeting for the state fund with increased revenue. It becomes relatively incomprehensible. During the winter, Jens Stoltenberg has been attacked in various media by increased excesses, child-rescue cuts, burial aid, municipal economy, unemployment, etc. – but in the revised version this is forgotten. The sand strike The Workers' Party operates in relation to unemployment, which unfortunately employs very few people. There is little helpful use of words when it is not effective to support proposals that could provide many more jobs. On 16 May, Jens Stoltenberg said to Today's Business that the Workers' Party would propose comprehensive measures to ensure work for all. What are the broad measures proposed by the Workers' Party in the revision? For example, when the Workers' Party: has there been an increase in construction activities to combat unemployment, and what is the link between increasing the appropriations for the construction of higher education institutions and postponing new construction in the defence sector on the one hand? Why does the construction of higher education give employment effect and not the defence's new building? In the nation on June 3rd, it could be read that the Workers' Party was concerned that the majority of the Stortingen have allocated nearly 3 billion kroner less to road construction than was agreed in the National Transport Plan. Why, then, does the Workers' Party not grant funds for road construction? For it is well that it is through budgetary procedure that the actual appropriations are granted. In the newspaper on 22 February, Jens Stoltenberg said that the Workers' Party would never accept increasing unemployment as an instrument of economic policy. But that's exactly what the Workers' Party has now accepted. By keeping the so-called tightness of the budget and being completely passive in relation to the reality we are now facing, all responsibility for monetary policy has actually been left to us, and that means that unemployment must increase. The Working Party cannot run from this. Nor does the Workers' Party have any credibility in terms of local economy. They have indicated the need for additions and have expressed the poor situation in the municipal sector. Nevertheless, the representatives of the Workers' Party are able to say that, after all, this is just a revision of the budget, and then there is nothing to be done. But it's right now, when you're making changes to the budget, that it would be natural to add if you thought it was necessary to give the local government a boost. In the Workers' Party's comments in the suspension, they state that they are aware that the tax revenue of the local government sector has been reduced by DKK 1 billion, they are aware that the financial situation is strained, that they are alerting to the provision of services in many municipalities, and even that there must be consistency between the tasks to be undertaken by municipalities and the money available to municipalities. After this description of poverty, the Workers' Party's conclusion is to grant zero kroner to the municipalities. The Progress Party took the consequences and proposed to compensate for the reduced tax intake in the primary municipalities by NOK 1 billion, but the Workers' Party said no, and instead helps the Government with cuts that are highly questionable. Practices around increased dividends have to end. On Wednesday, there was a heated debate in Stortinget about adding 10 billion kroner. Two days later, the Workers' Party votes to take a significant increase in dividends from the same company. How seriously are you going to take this? This is special, because when you add money to a state company, it happens below the line and does not affect the balance sheet. But if you take the money back from the company, it affects the balance, so that you can balance other expenditure increases with this. The priorities of the Progress Party in the revised budget may be summarised as follows: the refurbishment and start-up of public building projects with DKK 1 billion of redundancy and start-up of agreed road projects, increased maintenance and race protection with over DKK 1.5 billion a nationwide seed fund under the SND with DKK 2 billion for the Research Fund increased framework grants to municipalities reduced reception and increased transport of refugees increased investment in export promotion and international marketing increased allocation to hospitals no to any proposal from the Government to increase ownership 50 million. on mental health protection, a significant strengthening of the police budget and criminal justice, which are in a serious situation increased appropriations for defence and education We're going against the increased dividends from state-owned companies. We have promoted a number of proposals that will boost innovation and contribute to innovation in Norwegian business. We have resisted the temptation to propose reduced taxes, take a number of political battles and make major changes to the state budget. We will come back to that during the autumn budgetary procedure. But we have also taken the economic situation seriously and therefore made proposals that will help to speed up the development of industry, increase activity in the economy and increase employment, by granting it for purposes that we should in any case implement. When the economy of the country went well, it talked at all times about the need for a tight budget. Now that the economy is in recession, we are still talking about the need for a tight budget. I'm having trouble understanding this. I have been reading the budget debates from 1988 to 1992, and it is striking – especially because we were in a quite identical situation as we are now – that no one is learning from the past. Then the debates in Stortinget went just as they are now. It is, in fact, quite strange to read in particular the comments made by the Right in these debates. There, the Right is talking hot and lush about the need for growth in the economy. Much of it's very good reading, but the problem is that it's just in word and not in action. This government is following this up by not taking the economic development seriously. We have repeatedly criticised the current fiscal policy. We have pointed out the need for a system shift where economic growth must be the bearer, not the budgetary balance, the rule of action or so-called tightness. But here you hold on, and despite very alarming warnings from large parts of Norwegian business, which either have to go down, flagged out, permitting, or going to quit. It doesn't create optimism. What had created optimism had been that the Stortinget signaled that it was willing to make an offensive commitment to new business development in Norway. Unfortunately, the government has taken the position that everything called industrial policy and industrial development is being taken care of out there, despite the fact that we are now in a world championship where governments in all other countries are actively promoting business to strengthen their competitiveness and to facilitate conditions through framework conditions and tax changes, precisely so that they are both attracted to more jobs and businesses, and to be the best in the world. Here you won't even define what might be Norway's comparative advantage. Here you will not raise anything, actively focus on anything, or contribute to Norway as a unit in a number of areas – I think it is sad. There should have been a much greater degree of will in this room to take the larger grips, instead of ending up as we are now doing, with sand-pulsing. We are discussing small details and minor adjustments that have no bearing whatsoever on the budgetary balance. It is certainly the case that this debate is going to be marked by a vigorous attempt by the Workers' Party to expound what they have done in the revised. But that's not possible. It is not possible to explain the fact that the government has been completely flattened here. It is not possible to explain everything you have previously announced that you should do something about it, which you have not done anything about. There's no valid argument to say that since this is just a budget audit, we're not going to do anything. That's now you should do something. That's when you should have summed up all the plays and suggestions you've made during the winter, but they've been put into stable side rentals. With this, I address the proposals in the vote that the Progress Party is promoting either alone or with others.
ParlaMint-NO_2003-06-20.ana.ud1707e288	The representative, Siv Jensen, has taken up the suggestions she referred to. It's going to be line change.
ParlaMint-NO_2003-06-20.ana.ud1707e293	The aim of the revised budget is to adjust the budget, says the Chairman of the Committee. Yes, it is. And so it is the Progress Party with the government party that is responsible for the budget for the current year, just as they were responsible for the budget for last year, including the exchange from Statkraft and the other state companies. They are responsible for this. So it's almost 100,000 unemployed. The Labour Party is not so busy with the Government, but we are very busy with those who are unemployed, and those who can become unemployed in the future. The party of progress runs out of responsibility for them, and I want to challenge the leader of the committee on what one does for these free people. Last year, the Progress Party was involved in this year's budget and in making it much harder for those who are unemployed. They removed the holiday money and made it harder to get back when you're free, because they raised the limits. All of these things have been taken up by the Labour Party again in proposals in the revised national budget, but the Progress Party does not vote in favour. Why not?
ParlaMint-NO_2003-06-20.ana.ud1707e300	The Progress Party does not feel any responsibility for the budget. We feel a responsibility for the country's economy and for all the country's unemployed who have no bright future to look forward to. It is quite strange when the Workers' Party is considering the claim that it is those who, through the revised budget, have suggested something to get all the 100,000 unemployed in the job. All proposals from the Workers' Party are activating measures. If the Workers' Party had voted in favour of proposals from the Advance Party on increased funding for road construction, on the maintenance of approved construction projects and on the funding of a national seed fund, there would have been instruments that had created new jobs. I think that all those who receive unemployment benefits now, more than anything else, want a job to go to, not passivating measures, which is the only working party that has been involved in the revision. It's very bad.
ParlaMint-NO_2003-06-20.ana.ud1707e307	It is quite fascinating to hear the debate between the old and the new Workers' Party. I'm a little uncertain about who is who, and who is most associated with the Government. If you go through the setting, you'll see that the Labour Party and the Advance Party are united about a lot in terms of politics. Otherwise, I register that the committee leader says there is no point in a tight fiscal policy. No, it's meaningful. We see that the government's policy is producing results: the interest rate is falling, and the exchange rate is weakening. The central statistical agency reported yesterday that lower interest rates are speeding up the economy. We're getting messages from more and more companies saying that now it looks lighter. The point is that the economic policy of the Progress Party is a solid experiment, which might have given work to a few more construction workers for a period of time, but the price would be the reduction and deflagration of the competitive sector.
ParlaMint-NO_2003-06-20.ana.ud1707e314	It's not right, as Jan Tore Sanner claims, that the government has led a successful economic policy, and that's why the interest rate is now falling and the exchange rate is weakening. If you had wanted to read most of the analyses that have been given by the Norwegian economy lately, you would have seen that the interest rate would have fallen anyway, because we're in decline. The economy has negative growth. That means there is no development in the economy. Even the interest rate has to fall, especially because the consumer price index is as low in the same period as it is now. It would have been alarming if interest didn't go down. And of course, it has over time an impact on the price of the crown. But I think it is quite daunting to try to collect it as a benefit that Norwegian economic policy is so good. On the contrary, it lies in stable side rentals, and it does not seem that the government intends to take this situation inwards.
ParlaMint-NO_2003-06-20.ana.ud1707e319	Siv Jensen has spoken in strong order about the Progress Party's efforts in the fight against unemployment. It is a rhetoric that sounds quite hollow when we see how the Progress Party has put forward concrete proposals that could help with the growing number of long-term unemployed in the country. Proposals for more than one action area, proposals for a guarantee of action, work or training for the long-term unemployed, and not least proposals for a cut of 150 million. kr in labour market measures for people with disabilities – Siv Jensen’s support is last received. The number's speech in this area is crystal clear. We've had an increase of 10 pst. in the number of unemployed disabled persons and yet the Progress Party will reduce efforts to help this group. This is a matter in which we could, if the political will were present, enable Aetat to do a job for a group that needs much action to get back to work. The progress party's new social profile is set in a special doubtful light when SV stays standing alone to go against such a cut. My question to Siv Jensen is, how are you supposed to defend yourself against the 76 000 disabled people who want to get into work?
