ParlaMint-NO_2003-04-11.ana.ud1636e36	The representative Knut Storberget will make a private proposal.
ParlaMint-NO_2003-04-11.ana.ud1636e39	On behalf of the representatives of Olav Aksensen, Sylvia Brustad, Bjarne Håkon Hanssen, Sigrun Eng and myself, I would like to propose measures to increase the share of timber and timber products transported by rail.
ParlaMint-NO_2003-04-11.ana.ud1636e44	The representative Rolf Rikvam will make a private proposal.
ParlaMint-NO_2003-04-11.ana.ud1636e47	On behalf of Lena Jensen, Heikki Holmås and myself, I will make proposals to renew today's examination system and assessment methods in primary and secondary education.
ParlaMint-NO_2003-04-11.ana.ud1636e52	The representative Heikki Holmås will make a private proposal.
ParlaMint-NO_2003-04-11.ana.ud1636e55	On behalf of Sigbjørn Molvik, Inga Marte Thorkildsen and myself, I would like to propose measures for the homeless.
ParlaMint-NO_2003-04-11.ana.ud1636e60	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2003-04-11.ana.ud1636e72	The President shall request a proposal for a new member of the Election Committee.
ParlaMint-NO_2003-04-11.ana.ud1636e75	I'll suggest Marit Arnstad.
ParlaMint-NO_2003-04-11.ana.ud1636e80	Marit Arnstad has been proposed as a new member of the electoral committee instead of Odd Roger Enoksen. Other proposals are not available.
ParlaMint-NO_2003-04-11.ana.ud1636e100	No one has asked for the floor. [[Fotation, see page 2668]]
