ParlaMint-NO_2003-06-04.ana.ud1647e57	The representative, Jan Simonsen, will make two private proposals.
ParlaMint-NO_2003-06-04.ana.ud1647e60	I'm delighted to make two suggestions. One is on the action plan for increased road safety, including: proposals for reducing the import charge on cars and increasing speed limits on certain road sections. The second is a proposal that all foreigners applying for a residence permit in Norway must sign a declaration of allegiance to the Norwegian Constitution and the promise to comply with Norwegian laws.
ParlaMint-NO_2003-06-04.ana.ud1647e69	The representative of Thore A. Nistad will make two private proposals.
ParlaMint-NO_2003-06-04.ana.ud1647e72	On behalf of Siv Jensen, Kenneth Svendsen and myself, I would like to make a proposal on the construction of environmental tunnels for Rv 4 in Oslo inner east from Hausmann's bridge to Sinsen. I would also like to make a proposal on behalf of Kenneth Svendsen and myself on the extension of Rv 4 to motorway through Nittedal between Gran in Oppland and Grorud in Oslo.
ParlaMint-NO_2003-06-04.ana.ud1647e79	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2003-06-04.ana.ud1647e98	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: Prime Minister Kjell Magne Bondevik Council Torild Skogsholm The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, wish to ask themselves the main questions asked. – We start with the first main questions, from the representative Jens Stoltenberg.
ParlaMint-NO_2003-06-04.ana.ud1647e114	I would like to ask the Prime Minister a question. Social security is the cornerstone of the Norwegian welfare society. There are many hundreds of thousands of people who depend on income from retirement — retirement, disability — and it is important that people can rely on popular security and trust that benefits are promised. All parties have promised that pensions will be regulated in line with other social wage developments. In the revised budget, the government estimates that wage developments this year will be 4.5 pst. average for all groups. Nevertheless, it offers 4 pst. That is why we believe that the offer from the State is too poor and does not comply with the guidelines that the Government has also adopted in the case of pensionstopping. We invited the Government to resume discussions with the pensioners to see if there was an opportunity to reach an agreement on a pension regulation agreement in line with the guidelines laid down by the Stortinget. My question is: Will the Prime Minister take the initiative to re-contact the pensioners' organisations in order to get regulation in line with what is promised?
ParlaMint-NO_2003-06-04.ana.ud1647e125	I agree with Mr Stoltenberg's emphasis on the importance of popular protection and that those who benefit from it are given in accordance with law and regulation. That's what the government is doing. Firstly, the offer made by the State to the social security and pensioners' organisations has fully fulfilled both the Storting and the Government, and signed as Prime Minister, saying that it is under-regulating the former under-regulation of the basic amount that has taken place under changing governments, including the Labour Party Government. We've done that by re-regulating underregulation in 2001 by 0.6 pst. and in 2002 by 0.5 pst., and I have understood that this is satisfactory. In addition to that, we have proposed a regulation of the basic amount of 4 pst. We guarantee that the pensioners will get in line with others. That is why a regulation clause has been introduced, just as in the settlement of government employees, by ensuring that from 1 January, if this means less than in the LO and NHO areas, they will be reregulated. And from 1 May next year, when you have a better overview of developments for all groups, according to the rules of the Storting, they will also receive a back-up if they do not have income developments in line with others. This guarantees the Government. This is in line with Storting's guidelines and our own promises. The two after-regulations plus the adjustment of the basic amount mean that they will have an income development of 4.7 pst in 2003. The G-regulation itself shall also be brought into line with the other, corrected for specific conditions. Therefore, it is not possible today to say that this is 4.5 pst, as the representative Stoltenberg says. The size has itself said that it needs to be corrected for specific circumstances.
ParlaMint-NO_2003-06-04.ana.ud1647e134	It's not going to pass that the government has created a lot of confusion about what it really thinks about the retirement stoppage. It's created unnecessary uncertainty. When the revised national budget was presented, everyone understood that it was not going to be re-regulated. Since then, the Prime Minister said it was a misunderstanding, but that misunderstanding had created the Minister of Finance. There's some of the problem, that the government has obviously communicated two different messages. It's good that it's now being re-regulated. The problem is that there is a new underregulation, because the budget says that the wage increase is provided for is 4,5 pst. We are willing to see if there is evidence in relation to whether or not it is lower – if the Government can prove it. But no one thinks it's going to be 4 pst. Nevertheless, the Government offers 4 pst. The working party reached agreement with the pensioners’ organisations in all settlements in the 1990s, even when we were with the government in 2000 and 2001. It has been broken the times that Bondevik has been Prime Minister, simply because it has not taken seriously enough the importance that people can trust that the pension will be regulated, as all parties have promised.
ParlaMint-NO_2003-06-04.ana.ud1647e143	When it comes to creating confusion, I think the representative Stoltenberg should be a little careful. In fact, he himself has contributed significantly to it. I think it's wise for someone and everyone, including Stoltenberg, to wait for the proposition that is planned to come on Friday. That's where we're going to explain the different numbers. This is complicated, but with the adjustments made, with the adjustment of the basic amount proposed, a rise in income development of 4.7 pst. In addition, if one also includes the extraordinary effort for married and cohabiting pensioners, which is true for some and not all pensioners, one will arrive at an additional 0.5 pst. higher. But we have also said that the basic amount should be regulated in line with the income development for others. We guarantee that through these regulation provisions. Even I have never used the word misunderstanding. The media have done that. But we've said that someone has tried to create the impression that we wouldn't meet the Storting's re-regulation requirement. We've done that, and we'd put that in our original budget.
ParlaMint-NO_2003-06-04.ana.ud1647e152	There will be follow-up questions – Bjarne Håkon Hanssen.
