ParlaMint-NO_2003-11-27-2.ana.ud2061e30	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2003-11-27-2.ana.ud2061e33	For a while, until the representative Bastesen got on the list of speakers, I had some fear that I was going to be the only male who dared to move me up on the platform in this debate. I think this is a debate we cannot allow women in the Chamber to monopolise. It hasn't exactly been a direct observational debate, except that we've seen that the Christian People's Party has for the first time embraced the consensual people – I guess I didn't think so – and that the Right has embraced this with a life course. I have registered that the Right Traditional is a party that has underlined the individual's freedom, but also responsibility for his own life and choice. I have also registered party speeches and electionals where a restriction on the growth and governance of the public sector has been called for. I wonder how this can be explained in relation to the fact that the Right now believes that the public should be in charge of a life course, where the State should teach us how to live together. What's next from a Christian People's Party-dominated Right, we can ask ourselves questions about. We've recorded that the Right has dropped most of its policy in the budgetary agreement we've been given, and here we get a new example of it. The chairman of the Committee, who is also the spokesperson of the Right in this matter, has his background from the health care system as a midwife. I guess after assisting thousands of childbirth, she has considerable knowledge in this area. I could imagine asking her as a professional assess how these life courses for newly-baked parents will work. I wonder how smart it is, and if you can really save some marriages by offering one-day courses to worn-out parents in breast-feeding. I am not so lucky that I have children myself, but I have experienced very many of my friends and regulars on a close team who have had children. My impression is that either they're super-happy, or they're worn out – or they're both. I guess most of them are both. The common thing for them is that there's not so much that needs to be done. It may be interesting to hear how to get a rich course in this field in practice.
ParlaMint-NO_2003-11-27-2.ana.ud2061e42	The left is satisfied with the government's family message, which we believe is balanced and takes into account different forms of life and needs. In principle, there may be considerable differences between a Christian-democratic and a liberal party's view of family policy, but there is no major problem in this government. We have agreed and are united behind the family message. The family concept is broad and the focus on children is important and correct. We welcome the measures aimed at strengthening children’s position and rights, such as: the mediation mechanism for cohabiters with children. We are also satisfied with the gender perspective in the communication and the strong weight of the communication in the fight against family violence. I have therefore not given priority to making a long, comprehensive contribution to this debate, but we are joining the majority voting that exists, with the exception of one point. With regard to the Workers' Party and the proposal of the Centre for the Rights of Children in Partnership Relations, proposal No. 5, for which the Left wants to vote. Background Map: The left has always fought for the right of children to know their biological origin. We'll do that in the future as well. Children also have the right to have parents, and there is a child's right we think it is important to fence about. Therefore, it is not possible to punish children because adults have made choices that we in the majority do not always agree with. That is why we want to support the proposal as it stands.
ParlaMint-NO_2003-11-27-2.ana.ud2061e49	It's an extensive message, as I said earlier, that it's hard to cover in five minutes. That's why I want to point out a few more points. That applies to the birth grant scheme with emphasis on their fathers' rights. I am very happy that the message is discussing this. If a parent is to create a mandatory parent, this must be emphasised. I also think it is very important that both mother and father can be home with birth money to a much greater extent than now. I think that will strengthen society and not least a common sense of responsibility for the newborn child. Otherwise, there may be several measures aimed at young children’s parents that can contribute to more association, for example. reduced working time with partial pay compensation, entitlement to unpaid maternity leave until the child is three years old, extended leave or unpaid leave for young children’s parents, etc. Everyone has probably recorded the ongoing debate on divorce, and there has hardly been such a focus on family policy since we debated cash support. Although I disagree with the proposal put forward by the representative Eriksen, I agree that it is important to debate visions, objectives and actions that focus on good living. But I think the debate is more likely to focus on other things than the cost of a divorce. For example, a good local environment, the free schooling principle, where no one should stand outside the so-called good company, that all children are allowed to take part in leisure activities, a working life situation that ensures a relationship between children and adults, and last but not least, the fight against unemployment. The central party also believes that marriage is in a special position, but we cannot adopt a good and happy marriage. The big community's task is to facilitate all relationships, whether it's marriage, cohabitation or other ways of organizing their lives. In conclusion, a little bit on proposal No. 5th@item: inlistbox I have a challenge for the Council of State, because I believe that the Central Party and the Christian People's Party have agreed that all children should have the right to know their mother and father. But if father is unknown and remains unknown, because assisted conception has occurred in countries with laws other than those of Norway, what then? What kind of legal security and rights does that child have? That challenge I will give the Council of State. So an explanation of vote. The party voting in favour of the vote, including II, although we are not co-sponsors.
ParlaMint-NO_2003-11-27-2.ana.ud2061e62	I think it's been a rich and great debate. But there was one post I noticed earlier today, and it was the representative of the Fallet's post. It's probably a clear illustration that the debate that I tried to pull up before the weekend, with a focus on the goal and the visions of what you want to contribute to, was quite hopeless in terms of making real arguments. The problem in a life conflict can often be a lack of communication, I have heard many times while working on this message. The parties put a lot more into what the other says, or one puts a lot less into what the other says, or one adds something quite different into it than what you're actually saying. I want to quote a little bit from the message, just to make it clear what the Government says in relation to the fact that people need to separate: ‘Adults have, and shall have, the freedom to choose a form of life.’ And on the other hand, ‘The government respects the fact that adults make different choices in life, and good growth does not have to stand and fall with family or parents’ choice of living.’ Further: ‘When couples choose to get divorced and couples together break up, the decision may in many cases be a good and correct one.’ All of this is derived from the family message, and it is the policy of the Christian People's Party, the Right and the Government. I wish we could have a debate where we meet where we actually are, instead of adding opinions to each other. And it brings me to the next party, which has also had some statements about the Christian People's Party and this with partners and marriage. There's someone who doesn't choose a form of life, and they're the kids. For the Christian People's Party and for the Government, there has been no threat to marriage to improve children's rights in cohabitation. I wish the Advance Party could also realize that, in terms of the child's right to have a mother and a father with common parental responsibility, and the child's ability to be part of a mediation arrangement, the Christian People's Party or the Government does not see it as a threat to marriage. That's why the statements that the Advance Party had in relation to the Christian People's Party become quite incredible. In addition, one representative from the Progress Party said that we are not saying that the course is not working, while the other representative talked about breast feeding, and that we did not think that we were getting any results again. I'm looking forward to the next debate we're going to have on this, once we've got these life courses going and we're starting to see the effect. Then it might be that I'm going to trick myself into saying, what did we say?
ParlaMint-NO_2003-11-27-2.ana.ud2061e95	First to the representative Woldseth, who before the pause attacked me for calling the Advance Party for naïve. But I didn't. What I did was actually to quote the representative Knudsen from the program ‘Position’ in the NRK Tuesday this week. And since he is the fractional leader of the Committee on the Advancement Party, of course, I take his statements seriously. He said it's incredibly naive to think that the life courses will work. What I said, on the other hand, was that I think the Progress Party is passive if they are not even willing to try to reverse the trend with more and more dissolved marriages. I don't believe, of course, that all life crimes can be prevented or prevented, but at least I'm willing to try. It's actually about dealing with real life. Just through my job as a midwife earlier in life, I have a long experience of such work. There are many good offers already, and the life courses are important. I think it's a good investment for better and lasting living. As a midwife, I arranged a prenatal course, maternity groups and my own groups for newly-baked parents in the health centre. These groups and this work were very valuable to the parents, and I'm sure it prevented a lot of problems right at this stage. I see the proposed life course as a supplement, yes, a valuable addition to the offers that already exist. There is, of course, no coercion – it should be an offer for those who think they need it. So offering a life course, unlike the representative Knudsen, I think is a very good idea.
ParlaMint-NO_2003-11-27-2.ana.ud2061e108	First to the crisis centres, as the Council of State pointed out. It is true that the Municipal Committee sent the Government's proposals back in spring. That was precisely because the government made a very bad proposal. After the Government had been asked by the Stortinget to secure funding through better state grants, they put this into the framework grant to the municipalities, which means that it is entirely right for this government that the municipalities do not spend money on it. For the framework grant, they may be allowed to use for whatever they want, it shall not be decided by the Storting. I can guarantee the Council of State that there will be new proposals on this, because we have to deal with this. In fact, it says about life and death for women – and sometimes also for children. So the representative Bastesen, who had a visit to the biotechnology law that was directly wrong. It's just the Progress Party that has voted against the ultrasonic paragraphs. And it's not that pregnant women's ultrasonic capabilities are restricted, either in maternity care or in foetal diagnostics. But you've put a quality assurance in the last bit, just so it's clear. What really made me take the floor was this debate on the marriage or divorce accounts, which I a bit laughably registered came, and which is not there anymore. But I wonder if representatives of the Government really talk. In the municipal committee we now sit and discuss St.meld. (6) Cost key for social services in the income system of municipalities. There, the Government believes that signs and separations are less expensive and should now be weighted down, so that it should not mean so much for the income in the municipal sector. That's what I'm assuming maybe was some of the expenses that were now to be monitored, and that was so problematic for society. Then I will give the Christian People's Party and Dagrun Pedersen the honour that I believe that her view in this matter is significantly different from that of the Advancement Party and what they have demonstrated here today. But I think maybe the most important thing is how we treat each other, and what attitudes we have to each other when we talk about this. If you keep talking about something better than anything else, you send signals that are not good – not to those of us who have divorced us, and who stand for it, to say it like that, but perhaps to some of the kids you say you're concerned about. To the Progress Party, I guess I only have to say that I think that it seemed, in particular, of the contribution of the representative Woldseth today, that they were not concerned with children's rights at all, but only had a kind of moral approach to this, where everyone who does not exactly as the Progress Party would like, does not take care of their family, or does not live as one should. I think it's a strange position to have for a liberalist party, where it should be up to each and every one of you how you want to decorate your privacy.
ParlaMint-NO_2003-11-27-2.ana.ud2061e121	I would make a careful suggestion that I believe that precisely in the case of child distribution matters, equality has been run right in the ditch. That's why I think it's really good that we have this discussion, because I think keeping this discussion alive about how we can achieve equality in terms of parents' ability to participate in the mission of their kids is very important. I think we've come a little way. That's like 12 pst. of the children who live with one of their parents, live with father today. And this has actually been no development. Over the past 15 years, there have been no more people living with their father. This means that we have not really succeeded in the policy we want. There is currently no overview of how many people live with shared care, although I know that the department is working to get it in place. One of the reasons for this is that when 90 pst. Women don't want to give father the main care of a divorce, it says something about society's view, that one likes to be a mother and being a woman. And it's actually one thing that neither women nor men – or children – have an interest in continuing to be like that. I want equality, and I want children to have two parents who take – and have – responsibility for the education of their children. Experience shows that the fathers who take the most responsibility for the kids after a divorce and who take the most responsibility for the kids during the mission are the fathers who have also been at home and have taken a good deal of maternity leave. That is encouraging, and it shows that politics is actually working. That's why I think the majority in this room are a little pudding and a little cowardly when they're not in our proposal to look at how they do it in Iceland. There they've put in place a system where one third of maternity leave goes to father, one third goes to mother, and one third is up to parents to choose what to do with. Then I am disappointed that the majority here in the Chamber have not realized that the economy actually plays a role for people, even when it comes to these difficult issues. I am particularly disappointed that the Progress Party does not agree with our proposal that transitional allowances should also be given to girls – young girls in particular – who are in a situation where it would be natural for them to choose shared care, but where it would be an economic disaster for them to give up the main care for the child, simply because they would lose the opportunity to get that money. I want to say that I'm very pleased with the part that goes on that the majority now ends up removing the concept of normal right of consensual access. I would like to challenge the Council of State at that very point and ask how she intends to follow up our joint comment on page 28.
ParlaMint-NO_2003-11-27-2.ana.ud2061e136	The President would point out that talking about big business representatives as pudding and cowardly is far from parliamentary practice.
ParlaMint-NO_2003-11-27-2.ana.ud2061e139	I want from SV's point of view to say a little more about the cash support. Cash support has led to a negative trend in equality between mothers and fathers of young children, the participation of young children’s parents in work and the use of kindergarten. Cash support has also led to more part-time for women, and after the introduction of cash support, kindergarten development has stopped. In the SV's view, this is not a desired development. We believe that the pediatric agreement, with a maximum price, which is now in Stortingen and which we are going to deal with in connection with this budget, gives parents greater freedom of choice. I also asked for the floor to reply to the representative, Mr Bastesen, but my colleague, Mr Andersen, has done so very well, so I am not going to come up with that. What I think the debate has been lacking are views on a course of life or not a course of life. To the representative of the Progress Party, I would like to say that I am also a midwife. I have received almost 2,000 children, and have seen an incredible number of breast-feeding women in maternity groups. Such groups are something that there is a great demand for. What we have not said quite clearly here today when it comes to life courses, everything we do in family policy, is that the starting point for a good life must be a safe economic framework. It's important for togetherness and parenting. That is what the Committee has said unanimously. It is estimated that there are quite a number of poor children in this country. And many of these experience social constraints as a result of the family economy. For these families, a strong economic boost is needed. The Committee also points out that unemployment leads to a poor economy for the families affected. This, in turn, can cause social problems, which affect children in particular. The Socialist Left Party will point out that consumption costs for beneficiaries are based on the standard budget of SIFO. These members will also point out that SIFO’s standard budget does not include expenditure on secondary education, specialised in leisure, holiday trips, school trips, etc. What must be the starting point for a good family policy in this country is, in fact, that we are such a rich country that it is unheard of that children live below the poverty line. We have a housing policy that needs to make it possible for families to live, and we need social budgets that enable those who need extra help to live, and we need a social security system that also ensures that children's needs are met. It's much, much more important than being a partner, married, or living in a partnership.
ParlaMint-NO_2003-11-27-2.ana.ud2061e157	It's always exciting when you throw yourself into a debate at the end, to see what reactions are aroused in the hall after you've had the word. It will be very exciting to look after the post I intend to keep now anyway. A small visit to SV: SV has also shown, through the setting here, how family friendly they are in all possible ways. According to what it says, they take care of lone dependants and all that package. I would like to ask a specific question: how does it relate to the claims and the points that have been made in the debate on the family communication here today, when you look at what the Socialist Left Party is doing in the Social Committee? Let's do an organization called AAN, which is now called Amathea. In fact, SV is in favour of removing all subsidies to that organisation – an incorporated organisation that has helped a lot in a phase of life where they really need help, just to meet the family situation that you will face later. It is a pleasure to see that Karin Andersen has already been up with his hand, so now the debate is well under way. I'm a grandpa. I have two small children at home, and in this connection I would like to make a few comments on the comments made by the majority of the committee who are taking a course in life. I must say I have great respect for the midwives in this room. They've done a great job. They've helped a lot of families. But are the midwives going to take on the job of holding a life course? I don't think so. It'll be interesting to hear the comment on that comment. It reads as follows: ‘The advantage of a life course is that it is a low-threshold offer and not a treatment offer.’ That's how far I get. But then it goes on to say: ‘It is for those who want to prevent and for those who want to invest in a sustainable and committed life.’ Honestly! Can I now make sure that I get a life course to signal that I want a commitment – a lasting commitment? I don't think so. In fact, I think I can do it without a life course. And when it comes to how we're going to receive the message that these life courses are going to mean, I'm very questionable about this proposal. I am not surprised that the left side of this room is in favour of it, because they want the state and the public to be in charge of us and help us from cradle to grave. Here you've even gone all the way down to becoming a birth assistant. But the right one amazes me. I do not think the representative Sonja Sjøli answered the question from the representative Knudsen of the Progress Party. What really is behind this proposal? Do you really think that you get the big effects of having a one - day life course with your newly-baked parents?
