Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2017-05-11-tbmm-T26	tbmm-2017-05-11sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 2, Session 91	2017-05-11	Unicameralism	26	2	91	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Ahmet.Aydın1971	Aydın, Ahmet	M	1971	
ParlaMint-TR-en_2017-05-11-tbmm-T26	tbmm-2017-05-11sit02spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 2, Session 91	2017-05-11	Unicameralism	26	2	91	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Ahmet.Aydın1971	Aydın, Ahmet	M	1971	
ParlaMint-TR-en_2017-05-11-tbmm-T26	tbmm-2017-05-11sit02spe0002par0006	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 2, Session 91	2017-05-11	Unicameralism	26	2	91	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Levent.Gök	Gök, Levent	M	1959	
ParlaMint-TR-en_2017-05-11-tbmm-T26	tbmm-2017-05-11sit02spe0003par0008	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 2, Session 91	2017-05-11	Unicameralism	26	2	91	-	-	Reference	English	Regular	MP	notMinister	HDP	Peoples' Democratic Party	Opposition	Centre-left to left	Filiz.Kerestecioğlu	Kerestecioğlu Demir, Filiz	F	1961	
ParlaMint-TR-en_2017-05-11-tbmm-T26	tbmm-2017-05-11sit02spe0001par0009	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 2, Session 91	2017-05-11	Unicameralism	26	2	91	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Ahmet.Aydın1971	Aydın, Ahmet	M	1971	
ParlaMint-TR-en_2017-05-11-tbmm-T26	tbmm-2017-05-11sit02spe0002par0011	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 2, Session 91	2017-05-11	Unicameralism	26	2	91	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Levent.Gök	Gök, Levent	M	1959	
ParlaMint-TR-en_2017-05-11-tbmm-T26	tbmm-2017-05-11sit02spe0003par0012	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 2, Session 91	2017-05-11	Unicameralism	26	2	91	-	-	Reference	English	Regular	MP	notMinister	HDP	Peoples' Democratic Party	Opposition	Centre-left to left	Filiz.Kerestecioğlu	Kerestecioğlu Demir, Filiz	F	1961	
ParlaMint-TR-en_2017-05-11-tbmm-T26	tbmm-2017-05-11sit02spe0002par0013	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 2, Session 91	2017-05-11	Unicameralism	26	2	91	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Levent.Gök	Gök, Levent	M	1959	
ParlaMint-TR-en_2017-05-11-tbmm-T26	tbmm-2017-05-11sit02spe0003par0014	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 2, Session 91	2017-05-11	Unicameralism	26	2	91	-	-	Reference	English	Regular	MP	notMinister	HDP	Peoples' Democratic Party	Opposition	Centre-left to left	Filiz.Kerestecioğlu	Kerestecioğlu Demir, Filiz	F	1961	
ParlaMint-TR-en_2017-05-11-tbmm-T26	tbmm-2017-05-11sit02spe0002par0015	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 2, Session 91	2017-05-11	Unicameralism	26	2	91	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Levent.Gök	Gök, Levent	M	1959	
ParlaMint-TR-en_2017-05-11-tbmm-T26	tbmm-2017-05-11sit02spe0004par0016	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 2, Session 91	2017-05-11	Unicameralism	26	2	91	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Aytuğ.Atıcı	Atıcı, Aytuğ	M	1964	
ParlaMint-TR-en_2017-05-11-tbmm-T26	tbmm-2017-05-11sit02spe0002par0017	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 2, Session 91	2017-05-11	Unicameralism	26	2	91	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Levent.Gök	Gök, Levent	M	1959	
ParlaMint-TR-en_2017-05-11-tbmm-T26	tbmm-2017-05-11sit02spe0005par0019	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 2, Session 91	2017-05-11	Unicameralism	26	2	91	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Ahmet.Aydın1971	Aydın, Ahmet	M	1971	
ParlaMint-TR-en_2017-05-11-tbmm-T26	tbmm-2017-05-11sit02spe0002par0020	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 2, Session 91	2017-05-11	Unicameralism	26	2	91	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Levent.Gök	Gök, Levent	M	1959	
ParlaMint-TR-en_2017-05-11-tbmm-T26	tbmm-2017-05-11sit02spe0006par0021	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 2, Session 91	2017-05-11	Unicameralism	26	2	91	-	-	Reference	English	Regular	MP	notMinister	HDP	Peoples' Democratic Party	Opposition	Centre-left to left	Filiz.Kerestecioğlu	Kerestecioğlu Demir, Filiz	F	1961	
ParlaMint-TR-en_2017-05-11-tbmm-T26	tbmm-2017-05-11sit02spe0002par0022	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 2, Session 91	2017-05-11	Unicameralism	26	2	91	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Levent.Gök	Gök, Levent	M	1959	
ParlaMint-TR-en_2017-05-11-tbmm-T26	tbmm-2017-05-11sit02spe0007par0023	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 2, Session 91	2017-05-11	Unicameralism	26	2	91	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Ahmet.Aydın1971	Aydın, Ahmet	M	1971	
ParlaMint-TR-en_2017-05-11-tbmm-T26	tbmm-2017-05-11sit02spe0002par0024	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 2, Session 91	2017-05-11	Unicameralism	26	2	91	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Levent.Gök	Gök, Levent	M	1959	
