tbmm-2017-01-13sit01spe0001par0001	I am opening the 57th Union of the Grand National Assembly of Turkey.
tbmm-2017-01-13sit01spe0002par0002	Mr. President...
tbmm-2017-01-13sit01spe0001par0003	Here you go.
tbmm-2017-01-13sit01spe0002par0004	I have an off-the-book request.
tbmm-2017-01-13sit01spe0001par0005	We're not making any off-the-book promises, sir.
tbmm-2017-01-13sit01spe0002par0006	I demand it, sir, if that's all right.
tbmm-2017-01-13sit01spe0001par0007	I do not approve of your request, Mr. Horseman.
tbmm-2017-01-13sit01spe0002par0008	In what way, sir?
tbmm-2017-01-13sit01spe0001par0009	In the previous unification, there was also a discussion of procedure in the 53rd merger dated January 9, 2017, which I believe was the request of Mr. Altay/ and we agreed on this procedure debate by the General Assembly's decision. We also made a General Assembly decision that the non-responsibility of promises would not be granted except on Tuesdays, Wednesdays and Thursdays, when the Parliament would have normal, routine working days. So I didn't make any off-the-tops promises today.
tbmm-2017-01-13sit01spe0002par0010	Mr. President, we will act according to the Civil Code. There is no such decree in the Civil Code.
tbmm-2017-01-13sit01spe0001par0011	Open the Civil Charter, look. Where is there no judgment?
tbmm-2017-01-13sit01spe0002par0012	I mean, there's no such thing as working days.
tbmm-2017-01-13sit01spe0001par0013	It's in the Deputy Speaker's discretion, isn't it? That's how I appreciate it.
tbmm-2017-01-13sit01spe0002par0014	Okay, where does it say that?
tbmm-2017-01-13sit01spe0001par0015	Plus, however, a General Assembly decision was made in the debate on the procedure. So we didn't promise anything off the agenda today. It's a matter in accordance with both the Civil Code and the General Assembly's decision and the rules I'm doing.
tbmm-2017-01-13sit01spe0002par0016	Now, shall we discuss this in a manner of speaking, Mr. President?
tbmm-2017-01-13sit01spe0001par0017	And you can't have a formal debate over a matter that's been disputed.
tbmm-2017-01-13sit01spe0002par0018	It's not right to make this an established tradition, Mr. President. I mean, I don't want to be nervous at first, but it has to be talked into something.
tbmm-2017-01-13sit01spe0001par0019	Thank you, Mr. Horseman. I won't take it off the agenda. If there are any members of the group who would like to enter the system, if there are any members of the group who would like to speak, as of today, I will make a promise to the members of the group -- if you have a request -- or else we'll move on to the agenda.
tbmm-2017-01-13sit01spe0003par0022	Are our minutes gone again, Mr. President?
