Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2021-04-22-84	ParlaMint-IS_2021-04-22-84.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-84, 22.04.2021.	2021-04-22	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SvandisSvavarsdottir	Svavarsdóttir, Svandís	F	1964	
ParlaMint-IS-en_2021-04-22-84	ParlaMint-IS_2021-04-22-84.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-84, 22.04.2021.	2021-04-22	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2021-04-22-84	ParlaMint-IS_2021-04-22-84.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-84, 22.04.2021.	2021-04-22	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	HelgiGunnarsson	Gunnarsson, Helgi Hrafn	M	1980	
ParlaMint-IS-en_2021-04-22-84	ParlaMint-IS_2021-04-22-84.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-84, 22.04.2021.	2021-04-22	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	LogiEinarsson	Einarsson, Logi	M	1964	
ParlaMint-IS-en_2021-04-22-84	ParlaMint-IS_2021-04-22-84.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-84, 22.04.2021.	2021-04-22	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	HelgaHelgadottir	Helgadóttir, Helga Vala	F	1972	
ParlaMint-IS-en_2021-04-22-84	ParlaMint-IS_2021-04-22-84.u6	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-84, 22.04.2021.	2021-04-22	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	BergthorOlason	Ólason, Bergþór	M	1975	
ParlaMint-IS-en_2021-04-22-84	ParlaMint-IS_2021-04-22-84.u7	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-84, 22.04.2021.	2021-04-22	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	OddnyHardardottir	Harðardóttir, Oddný G.	F	1957	
ParlaMint-IS-en_2021-04-22-84	ParlaMint-IS_2021-04-22-84.u8	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-84, 22.04.2021.	2021-04-22	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigurdurJohannsson	Jóhannsson, Sigurður Ingi	M	1962	
ParlaMint-IS-en_2021-04-22-84	ParlaMint-IS_2021-04-22-84.u9	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-84, 22.04.2021.	2021-04-22	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	JonOlafsson1977	Ólafsson, Jón Þór	M	1977	
ParlaMint-IS-en_2021-04-22-84	ParlaMint-IS_2021-04-22-84.u10	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-84, 22.04.2021.	2021-04-22	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	KarlHjaltason	Hjaltason, Karl Gauti	M	1959	
ParlaMint-IS-en_2021-04-22-84	ParlaMint-IS_2021-04-22-84.u11	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-84, 22.04.2021.	2021-04-22	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
