Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2021-11-23-1	ParlaMint-IS_2021-11-23-1.u1	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-1, 23.11.2021.	2021-11-23	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	THorgerdurGunnarsdottir	Gunnarsdóttir, Þorgerður K.	F	1965	
ParlaMint-IS-en_2021-11-23-1	ParlaMint-IS_2021-11-23-1.u2	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-1, 23.11.2021.	2021-11-23	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	THorgerdurGunnarsdottir	Gunnarsdóttir, Þorgerður K.	F	1965	
ParlaMint-IS-en_2021-11-23-1	ParlaMint-IS_2021-11-23-1.u3	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-1, 23.11.2021.	2021-11-23	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	THorgerdurGunnarsdottir	Gunnarsdóttir, Þorgerður K.	F	1965	
ParlaMint-IS-en_2021-11-23-1	ParlaMint-IS_2021-11-23-1.u4	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-1, 23.11.2021.	2021-11-23	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	BirgirArmannsson	Ármannsson, Birgir	M	1968	
ParlaMint-IS-en_2021-11-23-1	ParlaMint-IS_2021-11-23-1.u5	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-1, 23.11.2021.	2021-11-23	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	BirgirArmannsson	Ármannsson, Birgir	M	1968	
ParlaMint-IS-en_2021-11-23-1	ParlaMint-IS_2021-11-23-1.u6	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-1, 23.11.2021.	2021-11-23	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	BirgirArmannsson	Ármannsson, Birgir	M	1968	
ParlaMint-IS-en_2021-11-23-1	ParlaMint-IS_2021-11-23-1.u7	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-1, 23.11.2021.	2021-11-23	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	BirgirArmannsson	Ármannsson, Birgir	M	1968	
ParlaMint-IS-en_2021-11-23-1	ParlaMint-IS_2021-11-23-1.u8	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-1, 23.11.2021.	2021-11-23	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	BirgirArmannsson	Ármannsson, Birgir	M	1968	
ParlaMint-IS-en_2021-11-23-1	ParlaMint-IS_2021-11-23-1.u9	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-1, 23.11.2021.	2021-11-23	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	BirgirArmannsson	Ármannsson, Birgir	M	1968	
ParlaMint-IS-en_2021-11-23-1	ParlaMint-IS_2021-11-23-1.u10	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-1, 23.11.2021.	2021-11-23	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	BirgirArmannsson	Ármannsson, Birgir	M	1968	
ParlaMint-IS-en_2021-11-23-1	ParlaMint-IS_2021-11-23-1.u11	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-1, 23.11.2021.	2021-11-23	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	BirgirArmannsson	Ármannsson, Birgir	M	1968	
