Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2021-04-22-83	ParlaMint-IS_2021-04-22-83.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-83, 22.04.2021.	2021-04-22	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	HelgiGunnarsson	Gunnarsson, Helgi Hrafn	M	1980	
ParlaMint-IS-en_2021-04-22-83	ParlaMint-IS_2021-04-22-83.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-83, 22.04.2021.	2021-04-22	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	OlafurGunnarsson	Gunnarsson, Ólafur Þór	M	1963	
ParlaMint-IS-en_2021-04-22-83	ParlaMint-IS_2021-04-22-83.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-83, 22.04.2021.	2021-04-22	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	HelgaHelgadottir	Helgadóttir, Helga Vala	F	1972	
ParlaMint-IS-en_2021-04-22-83	ParlaMint-IS_2021-04-22-83.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-83, 22.04.2021.	2021-04-22	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	HelgiGunnarsson	Gunnarsson, Helgi Hrafn	M	1980	
ParlaMint-IS-en_2021-04-22-83	ParlaMint-IS_2021-04-22-83.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-83, 22.04.2021.	2021-04-22	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	HelgaHelgadottir	Helgadóttir, Helga Vala	F	1972	
ParlaMint-IS-en_2021-04-22-83	ParlaMint-IS_2021-04-22-83.u6	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-83, 22.04.2021.	2021-04-22	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Flf	Flokkur fólksins	-	Centre-left	IngaSaeland	Sæland, Inga	F	1959	
ParlaMint-IS-en_2021-04-22-83	ParlaMint-IS_2021-04-22-83.u7	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-83, 22.04.2021.	2021-04-22	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	HelgiGunnarsson	Gunnarsson, Helgi Hrafn	M	1980	
ParlaMint-IS-en_2021-04-22-83	ParlaMint-IS_2021-04-22-83.u8	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-83, 22.04.2021.	2021-04-22	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	HannaFridriksson	Friðriksson, Hanna Katrín	F	1964	
ParlaMint-IS-en_2021-04-22-83	ParlaMint-IS_2021-04-22-83.u9	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-83, 22.04.2021.	2021-04-22	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	BergthorOlason	Ólason, Bergþór	M	1975	
ParlaMint-IS-en_2021-04-22-83	ParlaMint-IS_2021-04-22-83.u10	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-83, 22.04.2021.	2021-04-22	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	SigridurAndersen	Andersen, Sigríður Á.	F	1971	
ParlaMint-IS-en_2021-04-22-83	ParlaMint-IS_2021-04-22-83.u11	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-83, 22.04.2021.	2021-04-22	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	SigmundurGunnlaugsson	Gunnlaugsson, Sigmundur Davíð	M	1975	
