Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2021-03-03-63	ParlaMint-IS_2021-03-03-63.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-63, 03.03.2021.	2021-03-03	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	AriGudmundsson	Guðmundsson, Ari Trausti	M	1948	
ParlaMint-IS-en_2021-03-03-63	ParlaMint-IS_2021-03-03-63.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-63, 03.03.2021.	2021-03-03	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BrynjarNielsson	Níelsson, Brynjar	M	1960	
ParlaMint-IS-en_2021-03-03-63	ParlaMint-IS_2021-03-03-63.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-63, 03.03.2021.	2021-03-03	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	PallMagnusson	Magnússon, Páll	M	1954	
ParlaMint-IS-en_2021-03-03-63	ParlaMint-IS_2021-03-03-63.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-63, 03.03.2021.	2021-03-03	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	HannaFridriksson	Friðriksson, Hanna Katrín	F	1964	
ParlaMint-IS-en_2021-03-03-63	ParlaMint-IS_2021-03-03-63.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-63, 03.03.2021.	2021-03-03	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	PallMagnusson	Magnússon, Páll	M	1954	
ParlaMint-IS-en_2021-03-03-63	ParlaMint-IS_2021-03-03-63.u6	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-63, 03.03.2021.	2021-03-03	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	AsmundurFridriksson	Friðriksson, Ásmundur	M	1956	
ParlaMint-IS-en_2021-03-03-63	ParlaMint-IS_2021-03-03-63.u7	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-63, 03.03.2021.	2021-03-03	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	PallMagnusson	Magnússon, Páll	M	1954	
ParlaMint-IS-en_2021-03-03-63	ParlaMint-IS_2021-03-03-63.u8	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-63, 03.03.2021.	2021-03-03	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	AsmundurFridriksson	Friðriksson, Ásmundur	M	1956	
ParlaMint-IS-en_2021-03-03-63	ParlaMint-IS_2021-03-03-63.u9	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-63, 03.03.2021.	2021-03-03	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	OliKarason	Kárason, Óli Björn	M	1960	
ParlaMint-IS-en_2021-03-03-63	ParlaMint-IS_2021-03-03-63.u10	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-63, 03.03.2021.	2021-03-03	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	HallaKristjansdottir	Kristjánsdóttir, Halla Signý	F	1964	
ParlaMint-IS-en_2021-03-03-63	ParlaMint-IS_2021-03-03-63.u11	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-63, 03.03.2021.	2021-03-03	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	HelgaHelgadottir	Helgadóttir, Helga Vala	F	1972	
ParlaMint-IS-en_2021-03-03-63	ParlaMint-IS_2021-03-03-63.u12	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-63, 03.03.2021.	2021-03-03	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BryndisHaraldsdottir	Haraldsdóttir, Bryndís	F	1976	
ParlaMint-IS-en_2021-03-03-63	ParlaMint-IS_2021-03-03-63.u13	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-63, 03.03.2021.	2021-03-03	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	HelgaHelgadottir	Helgadóttir, Helga Vala	F	1972	
ParlaMint-IS-en_2021-03-03-63	ParlaMint-IS_2021-03-03-63.u14	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-63, 03.03.2021.	2021-03-03	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BryndisHaraldsdottir	Haraldsdóttir, Bryndís	F	1976	
ParlaMint-IS-en_2021-03-03-63	ParlaMint-IS_2021-03-03-63.u15	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-63, 03.03.2021.	2021-03-03	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	HelgaHelgadottir	Helgadóttir, Helga Vala	F	1972	
ParlaMint-IS-en_2021-03-03-63	ParlaMint-IS_2021-03-03-63.u16	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-63, 03.03.2021.	2021-03-03	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BryndisHaraldsdottir	Haraldsdóttir, Bryndís	F	1976	
ParlaMint-IS-en_2021-03-03-63	ParlaMint-IS_2021-03-03-63.u17	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-63, 03.03.2021.	2021-03-03	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	notMP	notMinister	P	Píratar	-	Pirate Party	SaraTHordardottir	Þórðardóttir, Sara Elísa	F	1981	
