ParlaMint-IS_2021-12-27-17.u1	The president considers it possible for a meeting to last longer than the Council of Congress.
ParlaMint-IS_2021-12-27-17.u2	The president wants to report that this is not expected today's votes, but there is a recession for a conference between 13 and 15 for a council meeting and a committee meeting.
ParlaMint-IS_2021-12-27-17.u3	Borist wrote a letter from the Council of Pirata that Andrés Ingi Jónsson and Leví Gunnarsson will not be able to do any congregational work in the near future. Today, therefore, at the General Assembly, whereby Lunya Run Rún Karim, 1st of the Smoke Company, took up residence. N., and Gunnhildur Fríða Hallgrímsdóttir, 2nd Class of Smoke. As a result, 1st of the lists has announced ahead of time.
ParlaMint-IS_2021-12-27-17.u4	Their letters have already been investigated and agreed, but they have not previously taken their place in the General Assembly, so the commitment to the Constitution is to be signed.
ParlaMint-IS_2021-12-27-17.u5	Gunnhildur Fríða Hallgrímsdóttir and Linya Run Rún Karim have signed their commitment to the Constitution and are welcomed to serve at the General Assembly.
ParlaMint-IS_2021-12-27-17.u6	Mr. President. I hereby recommend a board of committees on bill making legal adjustments in various laws because of the budget for the year 2022. In view of this, more part of the Economic and Business Committee is available; I say here, Guðrún Hafsteinsdóttir, Ágúst Bjarni Garðarsson, Árnadóttir Þóra Aarnadótir, Hafdís Hrönn Hafsteinsdóttir and Diljá Mist Einarsdóttir. I'd like to thank the Committee for good business cooperation during its discussion. As indicated by the committee's opinion, the committee was contacted by the numerous economists and experts, both from councils as well as from various stakeholders. In my opinion, the commission met some 40 people and received some 30 envelopes. What I would like to draw forward in the bill is this: It's an extension of the campaign All Work, correction of parishes to ensure religious activity and an increase in the payoffs made by older citizens. I will come to these changes later in my case. The largest revenues return a 2.5% rise in centenarian taxes and retails in accordance with the prices proposals of the budget bill, i.e. increase in carbon charge, oil tax, general and special fuel fees, common and special mile tax, automobile tax, and tobacco tax. This amount of income is estimated to be 2.4 billion. I will now review the changes made by the committee. A greater proportion of the committee suggests that the initiative will be carried out in 2022 but with adjustments, while the reimbursement of the valuable tax will be reduced as per year so that after August 31, the reimbursement part of the campaign will be returned to the same level as it was prior to the Covid pandemic. In this way the committee believes that it can soften the impact of the reduction in construction work in the country. The committee doesn't think it's time to see that the arrangements for reimbursement from human employment such as it is implemented for temporary purposes in terms of terms of merit tax laws will be completely canceled. So in the August 31, 2022, the Commission suggests that the resources are extended to 31st, 2022, with regard to reimbursement for industrial and construction workers employed at the construction site and maintenance and housing reforms. From September 1, 2022, the return is at 60%. Other factors specified in the provision will be extended to June 30 in 2022 but the intention to remove 1st of July 2022, other than the reimbursement of worth tax on human car repairs, car paint, or car correction will fall on January 1, 2022. According to the financial Ministry it is planned to re-evaluate a total reexamination of the cost tax law in 2020, including a set of credit taxes in the construction industry and that the tax responsibilities in the industry will be reviewed in whole. A greater part of the figure is that in this work there will also be a clear policy to the future on the arrangements for reimbursement of worthwhile taxes to individuals for the work of industrial and industrial workers due to innovation, reform and maintenance. In the 9th. the bill suggests an increase in car costs by 2.5% due to climate change. The committee proposes that a fraction of the automobile charge, minimal automobile charge, will increase by 1,000 dollars. In addition to what is suggested in the bill. The Commission considered that we are facing basic changes in the collection of vehicles. Is this rise in response to a decrease in income intake because of reduced fossil fuel sales. In 1 1. The bill is suggested that the financial expenses paid by the F.I.A. be changed. The check account is divided into two, a fixed price, and a variable price. In 1 1. the bill is, uh... it's... it's... it's... it's... it's... it's... it's... it's... it's... it's... it's... it's... it's... it's... it's... it's... it's... it's... it's... added to the change in pension fund monitoring spending so that the share of fixed fees in the overall burden of pensions will be increased from 60 to 70%. In the reviews received by the Committee came even. comment on, especially from smaller funds, regarding the arrangement that so much of the cost is divided evenly by the fund, which includes the arrangement that the share of total stress is higher in smaller pensions than in more valuables. The committee suggests that there is now no basis for the increase in overall burden of pensions in the expected way and suggests a change in the proportion of fixed fees of overall burden to remain unchanged or 60%. The majority of the exorbitant rights presented in the Committee's panel are more relevant to the current Economic and Business Committee on the bill to adjust the law due to the budget for 2021 on the importance of a review of the monitoring programme, taking into account that there is a further equality between the different Pentateuchs and the fair exchange of the currency. This review is not seen to have been made during the year. 23rd degree. The bill is suggested to add additional fees to the provisional payment of a fixed year's fee of 985 p.m. in a month 2022 per person 16 years of age and older. It is an exception from the principle of the law that the money of parishes will change according to the estimated change in the average taxation product of individuals 16 years of age and older, as well as an increasing number of individuals. The committee points out that in the bill's report there seems to be a misunderstanding, which says in the bill's report that a fixed dollar number is suggested to rise from 980 k. per month according to current law at 985K. or about 0.5%. In accordance with the regulations of XIV for temporary purposes, attendance rate was 1080. in a month, 2021. Is suggested in the bill to reduce attendance charges. The majority suggest a change in terms of an application charge of 1,107. in a month 2022 per person 16 years of age and older. As a result, the increase goes into 2.5%, which is in line with the cost of Iceland's Pentateuch. Temporary payment laws for the pay of persons who are under aseptic conditions as instructed by the health authorities, without being infected, are taken into account. 1.mg. 1st par. The law to pay on the pro-employers who have paid pay from February 1, 2020 to December 31, 2021. In the Department of Social Affairs, dated December 17, 2021, the Ministry suggests that the period covered by the law will be extended to December 31, 2022. In this connection it is noted that in all doubt, how long will the extra contours be used by the health authorities in order to restrict the spread of pandemic crown virus? The Commission agrees with the Ministry's proposals and makes them theirs. The Department of Social Affairs proposed to extend the next year an interim directive so that by 2020, the person who is guaranteed by unemployment insurance law and who has a contribution to children less than 18 years of age will be entitled to 6% of the uninvolved primary non-employment with each child is entitled only to primary non-employment or at the end of the period of income-related unemployment. The Commission agrees with the above statement by making it a part of the Ministry. The majority suggest that, in agreement with the Department of Social Affairs, the decline in the rate of disability, at the same time. 5 mg. 18th par. Act on social security, dropping from 25% to 11%. In chapter 3 of the above - mentioned statement by the Ministry of Social Affairs, it is estimated that according to the bill for 2022, the improvement in microenergy donors is expected to increase by 5.6%. The change will remain as a result of an increase in the cost of the dollar, so that the increase in the income of a pensioner by a dollar may result in loss of the right to pay of disability and related pennies. The proposed changes are intended to stem the problem and to prevent small increases in the amount of income they make. The committee stresses the discovery of future solutions in this regard. The Commission suggests, in consultation with the Department of Social Affairs, that there will be a special cut on the income of individuals paid half of their pensions. In the 18th. The bill is suggested that the perks of the income of those paid full of pensions be raised from 1,200,000 dollars. a year at 2,400,000 a year. So that half of the pensions can be used to suggest that at the same time there be a special payout for the income of those paid half of their pensions who pick up the same amount of money. Otherwise, the majority refer to the Ministry's memo on the matter and accept its viewpoint. It is suggested that the coincidences due to an involved vehicle be removed and discussed by the committee according to various angles of view. The committee stresses the effort to speed up the energy exchange of vehicles on a land that is most efficient. However, on the other hand, I would like to point out that the time has not yet come to eliminate these coincidences now, so I believe that these matters will be considered more carefully in relation to how we can increase the number of automobiles and the number of cars that go before fossil fuels, which is our goal. Other changes that the greater part suggests in its members are technical and not intended to have material influence. According to this, a greater proportion of the Committee suggests that the bill will be agreed with the changes proposed to a special Senate document and that the case should be returned to the committee.
ParlaMint-IS_2021-12-27-17.u7	A respectable president. Thank you. A senator and president of the Economic and Business Committee for a good cooperation on the Committee. I come up here because I think we only need to discuss the severe warning words received from the Ministry of Economic and Economic Affairs on the extension of all the working arrangements. According to the Ministry, the extension is an extension of the expansion. It interferes with sectoral equality and undermines the efficiency of the value tax system. It costs $8 billion next year, making it difficult for the State Fund to subsidize and to hold back inflation. The Ministry also points out that there is no evidence to show that the treatment against black employment or to improve tax rates has not been determined. No diagnosis is available. So I just want to pray. The head of the Economic and Business Committee to explain to the extent that the majority of the Committee disagrees with these warning words, whether the Office of the Ministry of Economic Affairs is wrong. And then I'd also like to ask why most of the Committee will not respond in any way to these indications, why the greater part of the Committee will not respond to these heavy and decisive warning warnings, because we do not often see such a procedure in which the Ministry is specifically warning the Council of Economic Affairs by itself. Why are these warnings not even mentioned in members of the greater section?
ParlaMint-IS_2021-12-27-17.u8	Thank you. paritaprevir Jóhann Páll for the inquiry. All jobs are a work done for a very long time in Icelandic society. This has benefited from the battle against black employment. There's still a little bit more of a construction industry in Iceland, that's clear. And when it has been given up in the Icelandic economy, the man - made sector has been the one that has had to bear very heavy loads and has been severely affected by it. Since the collapse of the bank, all of us know of the economic crisis that the construction site was hit by a massive blow, hardly ever since. The campaign has benefited from the struggle against black employment, and I would like to mention that in this context, Skúla Eggert Þórðarson, a local tax manager, was able to give up the job by not giving up his job by paying off the valuable tax so that the seller can escape from giving up the sale for income tax. So I don't think there's any proof that there's any benefit of this job being given up and on board.
ParlaMint-IS_2021-12-27-17.u9	A respectable president. It is interesting to hear these views. Of course, they are contrary to the reasoning presented by the Ministry. The Ministry gives reasons for its own issues and points to data on the construction sector's position, etc., but it seems more to speak out of some kind of feeling of how things are. I'd also like to remind you that before all the winning arrangements started, there was a natural tax paying out of 60% of the value tax. There have been no analyses and no evidence of any increase in this rate to 100% is likely to occur at a tax rate. What we do know, however, is that this reduces the value of a factor of 7.2 billion, reminds me. But then again and there is the government's priorities in social security, i.e. the increase in income income income from older people. On December 15, we were granted confirmation that the preparation for this operation required about 1,300 persons. He goes to the highest income of the population, of which 67% go to men and 33% to women. I'd love to hear from it. Chairman of the Committee why this is such a priority, whether it is really fair to have an eight-fold more pay-of-the-art-free pension goal in older people. Why is it not that, according to income tens of income, there is a much equal trend in the process that we know is being distributed? Why is that not so?
ParlaMint-IS_2021-12-27-17.u10	Hv. Senator, thank you. I'd like to come back to the campaign Everybody's working where it's at A senator speaks of high costs and high expenses. We missed the Committee not to see from the Ministry as well, or solely, calculating the budget gate, as if there were nothing coming back to the state. Of course, we tend to forget that all employment is given for tax returns to the State. It's paid an answer, there's a income tax, there's income back. It's not fair to look at just one of the axes here and see only the outhand side. Of course, there's a profit coming in against it. Hv. A senator speaks of this as an expensive effort. How expensive it is for the Icelandic state to plan to raise the payoff target to everyone! It runs into more than billions of people. So we've put the emphasis on raising the income market. Most of us may know that the nation's ages are changing. We want to see that people are active for as long as they are men or women.
ParlaMint-IS_2021-12-27-17.u11	Madam President. I'd like to start by saying thank you. President of the Economic and Business Commission. But there are three things I would like to come in on. First of all, everybody's working. Second, what has to do with the new energy cars and third, it has to do with the increased contribution of pensioners. I'd like to ask who first. A senator on details about electric cars, i.e. taxation. I think this is making a considerable serious mistake as to pushing on the trend that has been here in increasing the number of new energy cars, taking the link trucks out of this solution, this approach. Although we were only looking at the development of these cars, to the driver's perspective, I think it would be wise to maintain this at least. for an additional year and a half to two years. But if we watch how these cars are registered, they're more or less, all those 100% electric cars, right here on the southwest corner. In post-mail number 101◯230, about 75% of these cars are right, I think. It's a total of 71 such cars in the old northern ultimatum of the West. There is a big difference between the capital area and the country in this regard, and in that view, even if not for the rest of it, I would be wise to maintain it for a while. But the question is why. The president is: The president's opinion is that it is wise to reevaluate the matter between 2 and 3. For this is to be cut from the next month to the next, which is in a few days?
