Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2021-05-11-95	ParlaMint-IS_2021-05-11-95.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-95, 11.05.2021.	2021-05-11	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	OliKarason	Kárason, Óli Björn	M	1960	
ParlaMint-IS-en_2021-05-11-95	ParlaMint-IS_2021-05-11-95.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-95, 11.05.2021.	2021-05-11	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	OliKarason	Kárason, Óli Björn	M	1960	
ParlaMint-IS-en_2021-05-11-95	ParlaMint-IS_2021-05-11-95.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-95, 11.05.2021.	2021-05-11	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	LineikSaevarsdottir	Sævarsdóttir, Líneik Anna	F	1964	
ParlaMint-IS-en_2021-05-11-95	ParlaMint-IS_2021-05-11-95.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-95, 11.05.2021.	2021-05-11	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	HelgiGunnarsson	Gunnarsson, Helgi Hrafn	M	1980	
ParlaMint-IS-en_2021-05-11-95	ParlaMint-IS_2021-05-11-95.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-95, 11.05.2021.	2021-05-11	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BryndisHaraldsdottir	Haraldsdóttir, Bryndís	F	1976	
ParlaMint-IS-en_2021-05-11-95	ParlaMint-IS_2021-05-11-95.u6	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-95, 11.05.2021.	2021-05-11	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Flf	Flokkur fólksins	-	Centre-left	GudmundurKristinsson	Kristinsson, Guðmundur Ingi	M	1955	
ParlaMint-IS-en_2021-05-11-95	ParlaMint-IS_2021-05-11-95.u7	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-95, 11.05.2021.	2021-05-11	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	HelgiGunnarsson	Gunnarsson, Helgi Hrafn	M	1980	
ParlaMint-IS-en_2021-05-11-95	ParlaMint-IS_2021-05-11-95.u8	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-95, 11.05.2021.	2021-05-11	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	HelgiGunnarsson	Gunnarsson, Helgi Hrafn	M	1980	
ParlaMint-IS-en_2021-05-11-95	ParlaMint-IS_2021-05-11-95.u9	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-95, 11.05.2021.	2021-05-11	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	AgustAgustsson	Ágústsson, Ágúst Ólafur	M	1977	
ParlaMint-IS-en_2021-05-11-95	ParlaMint-IS_2021-05-11-95.u10	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-95, 11.05.2021.	2021-05-11	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	AndresJonsson	Jónsson, Andrés Ingi	M	1979	
ParlaMint-IS-en_2021-05-11-95	ParlaMint-IS_2021-05-11-95.u11	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-95, 11.05.2021.	2021-05-11	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	AgustAgustsson	Ágústsson, Ágúst Ólafur	M	1977	
ParlaMint-IS-en_2021-05-11-95	ParlaMint-IS_2021-05-11-95.u12	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-95, 11.05.2021.	2021-05-11	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	AndresJonsson	Jónsson, Andrés Ingi	M	1979	
ParlaMint-IS-en_2021-05-11-95	ParlaMint-IS_2021-05-11-95.u13	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-95, 11.05.2021.	2021-05-11	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	AgustAgustsson	Ágústsson, Ágúst Ólafur	M	1977	
ParlaMint-IS-en_2021-05-11-95	ParlaMint-IS_2021-05-11-95.u14	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-95, 11.05.2021.	2021-05-11	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	AndresJonsson	Jónsson, Andrés Ingi	M	1979	
ParlaMint-IS-en_2021-05-11-95	ParlaMint-IS_2021-05-11-95.u15	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-95, 11.05.2021.	2021-05-11	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	RosaBrynjolfsdottir	Brynjólfsdóttir, Rósa Björk	F	1975	
ParlaMint-IS-en_2021-05-11-95	ParlaMint-IS_2021-05-11-95.u16	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-95, 11.05.2021.	2021-05-11	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Flf	Flokkur fólksins	-	Centre-left	GudmundurKristinsson	Kristinsson, Guðmundur Ingi	M	1955	
ParlaMint-IS-en_2021-05-11-95	ParlaMint-IS_2021-05-11-95.u17	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-95, 11.05.2021.	2021-05-11	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Flf	Flokkur fólksins	-	Centre-left	GudmundurKristinsson	Kristinsson, Guðmundur Ingi	M	1955	
