Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2012-11-10-tbmm-T24	tbmm-2012-11-10sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 20	2012-11-10	Unicameralism	24	3	20	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Mehmet.Sağlam	Sağlam, Mehmet	M	1938	
ParlaMint-TR-en_2012-11-10-tbmm-T24	tbmm-2012-11-10sit01spe0002par0014	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 20	2012-11-10	Unicameralism	24	3	20	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Kamer.Genç	Genç, Kamer	M	1940	
ParlaMint-TR-en_2012-11-10-tbmm-T24	tbmm-2012-11-10sit01spe0001par0016	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 20	2012-11-10	Unicameralism	24	3	20	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Mehmet.Sağlam	Sağlam, Mehmet	M	1938	
ParlaMint-TR-en_2012-11-10-tbmm-T24	tbmm-2012-11-10sit01spe0003par0019	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 20	2012-11-10	Unicameralism	24	3	20	-	-	Reference	English	Regular	MP	notMinister	MHP	Nationalist Movement Party	Opposition	Right to far-right	Yusuf.Halaçoğlu	Halaçoğlu, Yusuf	M	1949	
ParlaMint-TR-en_2012-11-10-tbmm-T24	tbmm-2012-11-10sit01spe0004par0031	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 20	2012-11-10	Unicameralism	24	3	20	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Mehmet.Sağlam	Sağlam, Mehmet	M	1938	
ParlaMint-TR-en_2012-11-10-tbmm-T24	tbmm-2012-11-10sit01spe0005par0036	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 20	2012-11-10	Unicameralism	24	3	20	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Nurdan.Şanlı	Şanlı, Nurdan	F	1954	
ParlaMint-TR-en_2012-11-10-tbmm-T24	tbmm-2012-11-10sit01spe0006par0055	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 20	2012-11-10	Unicameralism	24	3	20	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Mehmet.Sağlam	Sağlam, Mehmet	M	1938	
ParlaMint-TR-en_2012-11-10-tbmm-T24	tbmm-2012-11-10sit01spe0007par0059	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 20	2012-11-10	Unicameralism	24	3	20	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Kemal.Kılıçdaroğlu	Kılıçdaroğlu, Kemal	M	1948	
ParlaMint-TR-en_2012-11-10-tbmm-T24	tbmm-2012-11-10sit01spe0008par0082	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 20	2012-11-10	Unicameralism	24	3	20	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Mehmet.Sağlam	Sağlam, Mehmet	M	1938	
ParlaMint-TR-en_2012-11-10-tbmm-T24	tbmm-2012-11-10sit01spe0009par0087	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 20	2012-11-10	Unicameralism	24	3	20	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Bülent.Arınç	Arınç, Bülent	M	1948	
ParlaMint-TR-en_2012-11-10-tbmm-T24	tbmm-2012-11-10sit01spe0010par0107	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 3, Session 20	2012-11-10	Unicameralism	24	3	20	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Mehmet.Sağlam	Sağlam, Mehmet	M	1938	
