Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-1	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-5	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q5621490	Dibrani, Adnan	M	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-10	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-13	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q5621490	Dibrani, Adnan	M	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-18	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-20	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q5621490	Dibrani, Adnan	M	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-24	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q5928457	Källström, Emil	M	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-31	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4935938	Andersson, Ulla	F	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-34	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q6010550	Nilsson, Ingemar	M	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-52	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q5737841	Forssmed, Jakob	M	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-58	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q6010550	Nilsson, Ingemar	M	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-63	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q5737841	Forssmed, Jakob	M	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-68	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q6010550	Nilsson, Ingemar	M	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-72	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q1681740	Ericson, Jan	M	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-77	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q6010550	Nilsson, Ingemar	M	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-83	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q1681740	Ericson, Jan	M	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-86	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q6010550	Nilsson, Ingemar	M	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-89	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18238432	Dioukarev, Dennis	M	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-103	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q70731884	Thomsson, Lars	M	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-121	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4949356	Gabrielsson, Ida	F	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-139	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q5737841	Forssmed, Jakob	M	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-144	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4949356	Gabrielsson, Ida	F	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-147	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q5737841	Forssmed, Jakob	M	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-151	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4949356	Gabrielsson, Ida	F	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-153	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q1681740	Ericson, Jan	M	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-159	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4949356	Gabrielsson, Ida	F	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-160	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4949356	Gabrielsson, Ida	F	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-162	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q1681740	Ericson, Jan	M	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-165	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4949356	Gabrielsson, Ida	F	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-168	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q6043377	Persson, Mats	M	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-WoSJKyp4UsFBDHxUeuWu5S	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q18238692	Ericson, Janine Alm	F	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-189	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q1681740	Ericson, Jan	M	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-192	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q18238692	Ericson, Janine Alm	F	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-196	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q1681740	Ericson, Jan	M	-	
ParlaMint-SE-en_2018-12-21-prot-201819--35	i-980db8b76e68bacc-200	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 35	2018-12-21	Unicameralism	2018/19	-	-	2018/19--35	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q18238692	Ericson, Janine Alm	F	-	
