Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2018-01-26-prot-201718--62	i-36327aafa23e5b9e-3	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 62	2018-01-26	Unicameralism	2017/18	-	-	2017/18--62	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q237522	Wallström, Margot	F	-	
ParlaMint-SE-en_2018-01-26-prot-201718--62	i-36327aafa23e5b9e-12	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 62	2018-01-26	Unicameralism	2017/18	-	-	2017/18--62	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4972645	Pethrus, Désirée	F	-	
ParlaMint-SE-en_2018-01-26-prot-201718--62	i-36327aafa23e5b9e-21	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 62	2018-01-26	Unicameralism	2017/18	-	-	2017/18--62	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18245374	Riazat, Daniel	M	-	
ParlaMint-SE-en_2018-01-26-prot-201718--62	i-36327aafa23e5b9e-27	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 62	2018-01-26	Unicameralism	2017/18	-	-	2017/18--62	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q237522	Wallström, Margot	F	-	
ParlaMint-SE-en_2018-01-26-prot-201718--62	i-36327aafa23e5b9e-45	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 62	2018-01-26	Unicameralism	2017/18	-	-	2017/18--62	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4972645	Pethrus, Désirée	F	-	
ParlaMint-SE-en_2018-01-26-prot-201718--62	i-36327aafa23e5b9e-54	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 62	2018-01-26	Unicameralism	2017/18	-	-	2017/18--62	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18245374	Riazat, Daniel	M	-	
ParlaMint-SE-en_2018-01-26-prot-201718--62	i-36327aafa23e5b9e-57	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 62	2018-01-26	Unicameralism	2017/18	-	-	2017/18--62	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q237522	Wallström, Margot	F	-	
ParlaMint-SE-en_2018-01-26-prot-201718--62	i-36327aafa23e5b9e-65	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 62	2018-01-26	Unicameralism	2017/18	-	-	2017/18--62	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4972645	Pethrus, Désirée	F	-	
ParlaMint-SE-en_2018-01-26-prot-201718--62	i-36327aafa23e5b9e-69	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 62	2018-01-26	Unicameralism	2017/18	-	-	2017/18--62	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q237522	Wallström, Margot	F	-	
ParlaMint-SE-en_2018-01-26-prot-201718--62	i-36327aafa23e5b9e-73	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 62	2018-01-26	Unicameralism	2017/18	-	-	2017/18--62	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3369258	Johansson, Ylva	F	-	
ParlaMint-SE-en_2018-01-26-prot-201718--62	i-36327aafa23e5b9e-78	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 62	2018-01-26	Unicameralism	2017/18	-	-	2017/18--62	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4724776	Esbati, Ali	M	-	
ParlaMint-SE-en_2018-01-26-prot-201718--62	i-36327aafa23e5b9e-86	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 62	2018-01-26	Unicameralism	2017/18	-	-	2017/18--62	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3369258	Johansson, Ylva	F	-	
ParlaMint-SE-en_2018-01-26-prot-201718--62	i-36327aafa23e5b9e-92	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 62	2018-01-26	Unicameralism	2017/18	-	-	2017/18--62	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4724776	Esbati, Ali	M	-	
ParlaMint-SE-en_2018-01-26-prot-201718--62	i-36327aafa23e5b9e-100	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 62	2018-01-26	Unicameralism	2017/18	-	-	2017/18--62	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3369258	Johansson, Ylva	F	-	
