Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-Qzm4quCKF7tJJumKy1m8fe	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-0	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q16616153	Yngwe, Kristina	F	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-4	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q4979119	Skog, Karolina	F	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-7	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q16616153	Yngwe, Kristina	F	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-9	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q4979119	Skog, Karolina	F	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-10	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5109735	Holm, Christian	M	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-13	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3369258	Johansson, Ylva	F	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-15	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5109735	Holm, Christian	M	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-16	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3369258	Johansson, Ylva	F	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-17	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q16162546	Bieler, Paula	F	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-20	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3369258	Johansson, Ylva	F	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-22	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q16162546	Bieler, Paula	F	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-26	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3369258	Johansson, Ylva	F	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-29	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q946708	Holm, Jens	M	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-33	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q4979119	Skog, Karolina	F	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-36	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q946708	Holm, Jens	M	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-39	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q4979119	Skog, Karolina	F	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-40	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3374622	Jansson, Eva-Lena	F	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-45	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3369258	Johansson, Ylva	F	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-47	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3374622	Jansson, Eva-Lena	F	-	
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-49	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2018-02-08-prot-201718--69	i-8bfeb8e083d12f12-51	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 69	2018-02-08	Unicameralism	2017/18	-	-	2017/18--69	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3369258	Johansson, Ylva	F	-	
