ParlaMint-RS_2020-11-12-0.u663	It's good, Mr. President, that I've been reported to be in the system. Thank you.
ParlaMint-RS_2020-11-12-0.u664	You're like a quiz, you answer first.
ParlaMint-RS_2020-11-12-0.u665	The Honorable President, the Honorable Presidency, ladies and gentlemen of the People's Parliament, very briefly. I have three questions, actually one finding and one question. First of all, the SPS parliamentary club strongly condemns unscrupulous and brutal threats and attacks against Dr. Predrag Kon, a member of the Crisis Staff, a headquarters to fight the crown of the virus. The invitation to murder, the grandeur of totalitarian regime and fascism is inconceivable in the 21st century. All this is just a few hundred yards from a newly-seded hospital covid where over a few hundred citizens of Novi Sad are examined daily. Unimaginable threats to someone who deserves above all respect, to someone who is a hero today in Serbia, to someone who does the hardest job that some in Serbia seem to have no understanding and no respect. It is good that the city services in Novi Sad have responded in good time, but what we expect as a parliamentary club is that the competent authorities and competent institutions, this is more an appeal than a question to competent authorities and competent institutions, that they too do their part of the job, to find the perpetrators, because this cannot and can not be a norm of social behavior in Serbia today. The next thing is a heist that continues to be led against journalistic professions and against journalists in Serbia by part of the opposition. In fact, we thought that the attempt to edit RTS policy was corrected by a motor saw, that the physical attack on TV journalists "Pink" was an act of shame and shame enough to break up with such a type of campaign and such a kind of policy, and that it was the highlight of political madness by part of the opposition, but representatives of a part of the opposition continue hysteria and hajka on a journalist's profession by sharing journalists with similar and unspeakable ones, as they say, who know they're doing a journalist's profession and those who don't know they're doing a journalist's profession. Instead of having respect for people who carry out their dedicated, serious and responsible work, they attack them at this point in time, when every information for citizens, every timely and real information of great importance and importance, is respected. So who knows which way the representatives of one part of the opposition are trying to deal with the editorial policy of the media. I want to be absolutely clear and precise – we believe that the media must be free, independent and autonomous in decision-making. The topic is and their thesis is completely clear and understandable to us. If present in the media, the media scene is good, if not present in the media, the media scene is bad, but the privatisation strategy was made after 2000 and all media is privatised during the time period. Then the intensity was capitalism. They wanted capitalism, they got capitalism and now the question is -- where does the need to deal with the private sector, when we specifically talk about the media in Serbia? Both private media are monitoring the research, and private media are monitoring the results and how much the political party is worth, and they know well what the news is in Serbia. That they're not news in Serbia, so that's not our problem. The fact that someone has huge support for citizens, and someone has no possibility, actually has no power and the ability to go to the polls and to vote for those famous 3%, so that's not the media problem, is not a problem in the press, the problem is in these political options and their political parties. A concrete question, I do not know who to ask, except the Ministry of Culture and Information, perhaps – how to protect journalists in Serbia so that they can do their job objectively, professionally and professionally? The last question, very briefly – Montenegro's Foreign Ministry on yesterday made it impossible for Serbia's ambassador to place a crown on the monument of the Serbian liberators of Budva on the Day of Truce and Victory in the Great War, explaining that this is the deepest interference in the internal affairs of the sovereign state and the historic counterfeit. So Serbia has never interfered with the internal issue of states in the region, has a clear and principled position, Serbia today is a symbol of new values in the region and wants peace, stability, prosperity, good neighbourly relations. If there are open issues, the issue is resolved through dialogue, never unilateral acts and unilateral moves. Many times Serbia and Serbian President Aleksandar Vukic were accused of interfering with the internal issues of Montenegro... (President: George, finish. Here, President, let me ask you a question. (President: the question should have been asked at the beginning. ) But there is a need for an explanation. (President): Come on, quick. Here you go, Mr. Milicevic. ) So many times, the president of Serbia was accused in the previous period of interfering with Montenegro's internal affairs during the elections. Serbia's president did not call for anyone to be voted for in Serbia, but rather for Rama and others. We are interested in the status of Serbs living in Montenegro, which has 29%. We are interested in the status of our assets, the assets of the SPS, which have been exposed to legal terror. The specific question is whether the Serbian foreign ministry has talked to representatives of the Montenegrin foreign ministry and if so, what are the results of the talks. Thank you.
ParlaMint-RS_2020-11-12-0.u666	Thank you. Marko Atlagic has a word.
ParlaMint-RS_2020-11-12-0.u667	Dear President of the National Assembly of the Republic of Serbia, I ask the prosecutor's office – are there any elements of the crime in the daily media attack on the President of the Republic, his family and his associates? Dear citizens of the Republic of Serbia, we are witnessing daily continuous, unprecedented, malicious and unworthy media attacks on Serbian President Aleksandar Vukic, his family, his associates. These media attacks are a pretext of mob-tacun-political groups, both domestic and foreign. The media attacks on the president are based on lies, bribery, the inventions of the lowest kind. Such abominations must cease immediately because they aim to Satanize, dehumanize, the president and the role of the president. So Sanda Raskovic Ivić, Vice-President of Jeremic's People's Party lied, without shame and shame, that Aleksandar Vukic received gammaglobulin as protection from Kovid-19, and normally, the president denied it. This poor woman lied in this high home of the National Assembly, when she was an MP in 2018, that Aleksandar Vukic would not receive from Putin the award of Alexander Nevski and asked a parliamentary question that day. As you can see, Raskovic lied, and the president received this high Russian medal. Raskovic said and agreed that the criminal action of the Croatian army "Storm 1995" was a humanitarian act. The impertinent woman lied in 2015 on May 4th that Aleksandar Vukic was leading Serbia into the NATO Pact and would introduce her in two years. As you can see, the respected citizens of the Republic of Serbia lied, and you gentlemen the press kept quiet back then. Insults are lower every day, every moment of the President of the Republic. So Dr Slobodan Parvanov said that Vukic and his associates were idiots, and you gentlemen journalists, you kept silent and adding, quote – within the framework of the pandemic I saw that this country was run by complete idiots, finished quote. He told the president, and I quote -- he's a man of twisted face who shows the absence of reason and adds, who he has in his environment without being a moral nitwit and a total fool, a complete quote. I specifically warn you with the N1-CIA, to listen to these quotes, and the journalists don't say a word, and the NGOs suffer. Today's journalist, Nenad Kulačin, on November 3, 2020, says the president of the monster, quoting, a man with no cheek and shame, has completed a quote. I quote - an example of debauchery and an irrelevant character for history in the period in which he lives, a finished quote. What are you gentlemen doing to the press? Shut up. And you from NGOs? Even opposition politicians, some journalists, dead Amphilochy, used to attack Alexander Vukic. So Sinisa Kovacevic is shameless, says, quoting – Wolf, shame, what are you going to do at Amphilochy's funeral, finished quote. And director Goran Markovic, full of hate that President Vukic, quote – the recipient and that the mob is its natural environment, finished quote. Known for the curse, Aleksandra Vukic, Jovo Bakic says, quote – the armed force is the only way to shift power and shed blood, complete quote and add – I would like to give the state summit in Sava and Danube, finished quote. Where are you gentlemen journalists? You kept your mouth shut. And you from NGOs? A close associate of Boška Obradovica is calling for the rape of Vukic's underage daughter. You shut up with N1 and you gentlemen press. Academic Dusan Teodorovic says, I quote -- the head of the state is a hooligan who is unsupervised. Final quote. This academic used the tragedy of soldiers in Little Zvornik to wish Alexander Vukic dead. Academik Teodorovic attacked Zdravko Colic only because he sang in front of President Aleksandar Vukic at the opening of a private hotel. The same academic attacked Momčel Bajagić Bajag just because, I quote, he sang at Vesic's concerts and took pictures and praised modern barbarians, finished the quote. Academic insults Alexander Vukic and his associates compared to citizens who support Vukic and SNS with the inhabitants of Nazi Germany and Adolf Hitler. What are you doing, gentlemen of the press? Where are you from, uh, NGOs? Who sows hate in this country? Mr. Academyman, the title of academics can't make a man of misery, but a poor man doesn't belong to the title of academics. And Bosko Obradovic asked for a coup and threatened Aleksandra Vukic with a slap. This anger and hatred was poured out in particular on 19.11.2019... .
ParlaMint-RS_2020-11-12-0.u668	Mr. Atlagic, your five minutes are up.
ParlaMint-RS_2020-11-12-0.u669	Please, just let me finish my sentence. The wolf needs an emergency heart surgery in the U.S. to survive, which is why now he needs to be hit by all weapons, finished quote. Gentlemen, I end up with a sentence, you from the opposition benches, don't sow hate, sow love, work, order and constructive dialogue in this country, just like our president does. Thank you.
ParlaMint-RS_2020-11-12-0.u670	Thank you. As no one appears on the basis of Article 287 anymore, we continue to work and move on to the search in detail on the first item of the agenda – the draft amending and supplementing law of the Republic of Serbia's 2020 Budget Act, with the proposal for a decision to give consent to the Decision amending the Republic Fund for Health Insurance for 2020, the proposal for a decision to give its consent to the Agreement on Amendments to the Social Insurance Fund for 2020 and the proposal for a decision to amend the National Employment Service Decision for 2020. According to Article 90(1), The Rules of Procedure of the National Assembly inform you that he has been invited to attend the session of Sinisa Mali, Minister of Finance with Associates and Darko Komnenic, Assistant Minister of Finance and Ana Jovic, adviser to the finance minister. Ladies and gentlemen of the People's Parliament, you have received an amendment submitted to the bill by the MPs: Shaip Kamberi, Enis Imamovic, Nadia Beqiri, Selma Kučević, Mirsad Hodzic and Ardend Bajrami. You have received a report from the Committee on Constitutional Affairs and Legislatives and the Committee on Finance, the Republic budget and the control of the spending of public funds, as well as the Government's opinion on the tabled amendment. Since the National Assembly has carried out a principled search, pursuant to Article 157(4) of the Treaty on the Functioning of the European Union, I am opening the Rules of Procedure of the National Assembly to review the draft law in particular. On the 7th amendment with the correction, the MPs together: Shaip Kamberi, Enis Imamovic, Nadija Beqiri, Selma Kučević, Mirsad Hodzic and Ardend Bajrami. You have received reports from the Committee on Constitutional Affairs and Legislatives and the Committee on Finance, the Republic budget and the control of the spending of public funds, as well as the Government's opinion on the tabled amendment. Does anyone want a word? The word has Enis Imamovic.
ParlaMint-RS_2020-11-12-0.u671	Thank you, Mr. President. If there is any need, I will use the time of the parliamentary group. I will talk about the part of the amendment relating to the financing of the work of national councils. We are predicting this amendment to give up the reduction of the basic resources for the work of these bodies of minority self-government. Namely, a few days ago, the national council received a memo from the already shut down Office for Human and Minority Rights, noting that the funds for regular work that are scheduled for the 2020 budget will be reduced by 20%. If that's what the government's office has told them about, the question is, who are the national councils going to address now? If they turn to the newly formed ministry, we have seen that this rebalancing of the ministry is exactly the budget on that item reduced by 20% and that ministry, according to established practice, will say – we have no idea, we are just formed. In fact, this rebalancing means that the further funding of national councils of national minorities or national councils is lifted by the end of this year. It is precisely the objective of this amendment that we try to stop or at least slow down the policy you are conducting over the national councils and the persistent attempt to bring the national council down to the level of the association of citizens, and that is the continuation of the policy of this regime and the dealings with the same-minded, especially if they come from minority communities. We have previously warned of these attempts to degrade national councils, to bring themselves down to the associations of citizens, to bring themselves down to NGOs, to eventually come up with their existence, and to reason out their attempts to fight in accordance with the Constitution and the law of this country for the protection, promotion, preservation of the individual and collective rights of citizens of this country. I don't know when you'll become aware of the fact that the national council is now already a constitutional category, that they are guaranteed by the Constitution as a right which has already been achieved and which cannot be reduced. And more importantly, these are the authorities of the minority self-government of the citizens of this country, the bodies that these citizens choose in the direct elections, the same way as the president of the state, the MPs, the committees, etc. They are chosen by citizens who pay taxes and these citizens have the right to exercise their identity rights through the authorities, their authorities, their minority self-government to protect, improve and protect them, in accordance with the Constitution and the law. You have to understand that you don't give your money here to some foreign citizens, some foreigners, but you take the money from us citizens and citizens that we represent. We separate from our taxes for schools, for kindergartens, for hospitals, for roads, we separate for textbooks. But we get it all or we expect it to come from some foreign donation. You are currently managing our taxes, however, which you manage does not mean that it is yours. And it's good to know what you're taking from us. It is good to know that we, as well as the public in Serbia, that the total resources for the work of 22 national councils representing almost one third of the country's citizens before this reduction are 0.002% of the Republic of Serbia's budget. So one-fifth of the prominence, one-fifth of a thousandth of the percentage of the Republic of Serbia's budget is set aside to improve, protect and preserve the individual and collective rights of one-third of the country's citizens. And it's shrinking by 20% today. We did not ask for any increase in funds with this amendment. With this amendment, we asked for the realisation and realisation of the funds foreseen in the 2020 budget. These funds are necessary for the implementation of projects already launched by the national council and which national councils need to implement in order to achieve their law and Constitution-guaranteed rights. The question arises, for example, who, in this state of emergency, will pay for the realization of education at the distance of members of the national minorities? That's what national councils have been doing so far. After this rebalancing, the question is which means they'll be able to realise it. Who are we going to ask for the means of realisation, here, let's say this program? Shall we ask Turkey? Well, we don't pay taxes to Turkey, we pay taxes to Serbia. This rebalancing was a chance to correct what was left out of the budget, to correct some injustice or mistake that was made by accident or deliberate. However, after you suspended funding for return programmes and the sustainable survival of exiled Bosniaks from Pryboj in 2014, once there is no room for Bosniaks and Albanians in the first place in police, courts, prosecutors and other state authorities with public powers, the question is how to regain trust in the state and state authorities after such a policy is implemented and demonstrated against members of national minorities. I urge you to reconsider this amendment. It doesn't cost the state much, but it means a lot to members of minority communities. It means their individual and collective rights, identity rights guaranteed by the Constitution and the laws of this country. Thank you.
ParlaMint-RS_2020-11-12-0.u672	I'd ask the minister to give the word to Shaip Camberi, so he can answer. Here you go.
ParlaMint-RS_2020-11-12-0.u673	Thank you. Mr. President, Mr. Minister, ladies and gentlemen of the People's Parliament, I will look only at the part of the amendment relating to the financing of the Coordination Body. The proposed rebalance reduced the funding of part of the co-ordination body's budget by 50 million, which is precisely the part from which capital projects for the municipalities of Presevo, Bujanovac and Medvedja are also financed. You know, these municipalities are the poorest in the entire territory of the Republic of Serbia and the only funds they have for capital investment are what comes from the Coordination Body. Given the effects of the virus's coronary, the local economy was weak, local self-government's revenues are also weak, projects that have started these municipalities and sent and executed them will be impossible. In the period when the emergency situation was introduced because of the virus's coronary, I think we all agreed to be solid, because we didn't know what the consequences would be in the inflow and local budgets, but also the republican budget. However, when we heard yesterday that the budget was successfully realised that no capital project would be suspended then the question arises – why is it that in the poorest parts of this country, in these poor municipalities it shrinks by 50 million? Fifty million dinars, 20 Preshevo, 20 Bujanovac, 10 million Bears. There are no large funds that would damage the republican budget or even the realisation of that budget. That is why I propose to the Minister and all MPs that our amendment be accepted, because this will also mean that the municipality of Presevo, Bujanovac and Medvedja will be able to implement their commitments to start capital projects this year. Thank you.
