Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2006-07-14-0	ParlaMint-RS_2006-07-14-0.u29030	Term 6, Meeting v3	2006-07-14	Unicameralism	6. mandat	-	Zasedanje v3	2006-07-14	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	VučićAleksandar	Vučić, Aleksandar	M	1970	
ParlaMint-RS-en_2006-07-14-0	ParlaMint-RS_2006-07-14-0.u29031	Term 6, Meeting v3	2006-07-14	Unicameralism	6. mandat	-	Zasedanje v3	2006-07-14	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2006-07-14-0	ParlaMint-RS_2006-07-14-0.u29032	Term 6, Meeting v3	2006-07-14	Unicameralism	6. mandat	-	Zasedanje v3	2006-07-14	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MijailovićLunePredrag	Mijailovič Lune, Predrag	U	-	
ParlaMint-RS-en_2006-07-14-0	ParlaMint-RS_2006-07-14-0.u29033	Term 6, Meeting v3	2006-07-14	Unicameralism	6. mandat	-	Zasedanje v3	2006-07-14	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2006-07-14-0	ParlaMint-RS_2006-07-14-0.u29034	Term 6, Meeting v3	2006-07-14	Unicameralism	6. mandat	-	Zasedanje v3	2006-07-14	-	Reference	English	Regular	MP	notMinister	SPS	Socijalistička partija Srbije	Opposition	Centre-left	ObradovićŽarko	Obradović, Žarko	M	1960	
ParlaMint-RS-en_2006-07-14-0	ParlaMint-RS_2006-07-14-0.u29035	Term 6, Meeting v3	2006-07-14	Unicameralism	6. mandat	-	Zasedanje v3	2006-07-14	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2006-07-14-0	ParlaMint-RS_2006-07-14-0.u29036	Term 6, Meeting v3	2006-07-14	Unicameralism	6. mandat	-	Zasedanje v3	2006-07-14	-	Reference	English	Regular	MP	notMinister	SPS	Socijalistička partija Srbije	Opposition	Centre-left	DačićIvica	Dačić, Ivica	M	1966	
ParlaMint-RS-en_2006-07-14-0	ParlaMint-RS_2006-07-14-0.u29037	Term 6, Meeting v3	2006-07-14	Unicameralism	6. mandat	-	Zasedanje v3	2006-07-14	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2006-07-14-0	ParlaMint-RS_2006-07-14-0.u29038	Term 6, Meeting v3	2006-07-14	Unicameralism	6. mandat	-	Zasedanje v3	2006-07-14	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MijailovićPredrag	Mijailović, Predrag	U	-	
ParlaMint-RS-en_2006-07-14-0	ParlaMint-RS_2006-07-14-0.u29039	Term 6, Meeting v3	2006-07-14	Unicameralism	6. mandat	-	Zasedanje v3	2006-07-14	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2006-07-14-0	ParlaMint-RS_2006-07-14-0.u29040	Term 6, Meeting v3	2006-07-14	Unicameralism	6. mandat	-	Zasedanje v3	2006-07-14	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	VučićAleksandar	Vučić, Aleksandar	M	1970	
ParlaMint-RS-en_2006-07-14-0	ParlaMint-RS_2006-07-14-0.u29041	Term 6, Meeting v3	2006-07-14	Unicameralism	6. mandat	-	Zasedanje v3	2006-07-14	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2006-07-14-0	ParlaMint-RS_2006-07-14-0.u29042	Term 6, Meeting v3	2006-07-14	Unicameralism	6. mandat	-	Zasedanje v3	2006-07-14	-	Reference	English	Regular	MP	notMinister	DSS	Demokratska stranka Srbije	Opposition	Right	ŠormazDragan	Šormaz, Dragan	M	1967	
ParlaMint-RS-en_2006-07-14-0	ParlaMint-RS_2006-07-14-0.u29043	Term 6, Meeting v3	2006-07-14	Unicameralism	6. mandat	-	Zasedanje v3	2006-07-14	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2006-07-14-0	ParlaMint-RS_2006-07-14-0.u29044	Term 6, Meeting v3	2006-07-14	Unicameralism	6. mandat	-	Zasedanje v3	2006-07-14	-	Reference	English	Regular	MP	notMinister	SPS	Socijalistička partija Srbije	Opposition	Centre-left	DačićIvica	Dačić, Ivica	M	1966	
ParlaMint-RS-en_2006-07-14-0	ParlaMint-RS_2006-07-14-0.u29045	Term 6, Meeting v3	2006-07-14	Unicameralism	6. mandat	-	Zasedanje v3	2006-07-14	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
