Session,Date,Coalition,Opposition
ParlaMint-LV-en_2014-11-04-PT12-264-meta.tsv,2014-11-04,0,0
ParlaMint-LV-en_2014-11-05-PT12-265-meta.tsv,2014-11-05,1,1
ParlaMint-LV-en_2014-11-05-PT12-266-meta.tsv,2014-11-05,13,13
ParlaMint-LV-en_2014-11-06-PT12-267-meta.tsv,2014-11-06,0,1
ParlaMint-LV-en_2014-11-11-PT12-270-meta.tsv,2014-11-11,1,3
ParlaMint-LV-en_2014-11-13-PT12-269-meta.tsv,2014-11-13,7,2
ParlaMint-LV-en_2014-11-13-PT12-271-meta.tsv,2014-11-13,4,4
ParlaMint-LV-en_2014-11-18-PT12-272-meta.tsv,2014-11-18,0,0
ParlaMint-LV-en_2014-11-20-PT12-273-meta.tsv,2014-11-20,8,3
ParlaMint-LV-en_2014-11-27-PT12-274-meta.tsv,2014-11-27,23,11
ParlaMint-LV-en_2014-12-04-PT12-275-meta.tsv,2014-12-04,13,8
ParlaMint-LV-en_2014-12-11-PT12-276-meta.tsv,2014-12-11,19,12
ParlaMint-LV-en_2014-12-17-PT12-278-meta.tsv,2014-12-17,25,15
ParlaMint-LV-en_2014-12-18-PT12-279-meta.tsv,2014-12-18,16,10
ParlaMint-LV-en_2015-01-15-PT12-280-meta.tsv,2015-01-15,9,5
ParlaMint-LV-en_2015-01-22-PT12-281-meta.tsv,2015-01-22,25,6
ParlaMint-LV-en_2015-01-29-PT12-282-meta.tsv,2015-01-29,12,8
ParlaMint-LV-en_2015-02-05-PT12-283-meta.tsv,2015-02-05,11,4
ParlaMint-LV-en_2015-02-12-PT12-285-meta.tsv,2015-02-12,17,9
ParlaMint-LV-en_2015-02-19-PT12-286-meta.tsv,2015-02-19,13,10
ParlaMint-LV-en_2015-02-26-PT12-287-meta.tsv,2015-02-26,10,3
ParlaMint-LV-en_2015-03-05-PT12-289-meta.tsv,2015-03-05,14,10
ParlaMint-LV-en_2015-03-12-PT12-290-meta.tsv,2015-03-12,6,3
ParlaMint-LV-en_2015-03-19-PT12-291-meta.tsv,2015-03-19,11,10
ParlaMint-LV-en_2015-03-26-PT12-292-meta.tsv,2015-03-26,21,11
ParlaMint-LV-en_2015-04-16-PT12-293-meta.tsv,2015-04-16,2,0
ParlaMint-LV-en_2015-04-23-PT12-294-meta.tsv,2015-04-23,3,4
ParlaMint-LV-en_2015-04-23-PT12-295-meta.tsv,2015-04-23,30,12
ParlaMint-LV-en_2015-04-30-PT12-296-meta.tsv,2015-04-30,12,3
ParlaMint-LV-en_2015-04-30-PT12-297-meta.tsv,2015-04-30,17,8
ParlaMint-LV-en_2015-05-04-PT12-298-meta.tsv,2015-05-04,2,0
ParlaMint-LV-en_2015-05-07-PT12-299-meta.tsv,2015-05-07,12,4
ParlaMint-LV-en_2015-05-14-PT12-300-meta.tsv,2015-05-14,6,3
ParlaMint-LV-en_2015-05-21-PT12-301-meta.tsv,2015-05-21,13,4
ParlaMint-LV-en_2015-05-28-PT12-302-meta.tsv,2015-05-28,21,8
ParlaMint-LV-en_2015-06-03-PT12-303-meta.tsv,2015-06-03,8,4
ParlaMint-LV-en_2015-06-04-PT12-304-meta.tsv,2015-06-04,16,4
ParlaMint-LV-en_2015-06-11-PT12-309-meta.tsv,2015-06-11,12,5
ParlaMint-LV-en_2015-06-18-PT12-311-meta.tsv,2015-06-18,32,11
ParlaMint-LV-en_2015-07-08-PT12-312-meta.tsv,2015-07-08,1,0
ParlaMint-LV-en_2015-07-08-PT12-313-meta.tsv,2015-07-08,18,2
ParlaMint-LV-en_2015-07-09-PT12-314-meta.tsv,2015-07-09,2,1
ParlaMint-LV-en_2015-09-03-PT12-315-meta.tsv,2015-09-03,13,6
ParlaMint-LV-en_2015-09-10-PT12-316-meta.tsv,2015-09-10,8,9
ParlaMint-LV-en_2015-09-17-PT12-317-meta.tsv,2015-09-17,17,10
ParlaMint-LV-en_2015-09-24-PT12-318-meta.tsv,2015-09-24,17,3
ParlaMint-LV-en_2015-10-01-PT12-320-meta.tsv,2015-10-01,17,9
ParlaMint-LV-en_2015-10-08-PT12-321-meta.tsv,2015-10-08,20,12
ParlaMint-LV-en_2015-10-15-PT12-322-meta.tsv,2015-10-15,7,8
ParlaMint-LV-en_2015-10-22-PT12-324-meta.tsv,2015-10-22,18,6
ParlaMint-LV-en_2015-10-29-PT12-325-meta.tsv,2015-10-29,16,13
ParlaMint-LV-en_2015-11-03-PT12-326-meta.tsv,2015-11-03,5,5
ParlaMint-LV-en_2015-11-05-PT12-327-meta.tsv,2015-11-05,17,9
