Session,Date,Left,Centre,Right
ParlaMint-LV-en_2014-11-04-PT12-264-meta.tsv,2014-11-04,0,0,2
ParlaMint-LV-en_2014-11-05-PT12-265-meta.tsv,2014-11-05,1,0,1
ParlaMint-LV-en_2014-11-05-PT12-266-meta.tsv,2014-11-05,10,3,16
ParlaMint-LV-en_2014-11-06-PT12-267-meta.tsv,2014-11-06,1,0,0
ParlaMint-LV-en_2014-11-11-PT12-270-meta.tsv,2014-11-11,1,2,2
ParlaMint-LV-en_2014-11-13-PT12-269-meta.tsv,2014-11-13,2,0,7
ParlaMint-LV-en_2014-11-13-PT12-271-meta.tsv,2014-11-13,4,0,5
ParlaMint-LV-en_2014-11-18-PT12-272-meta.tsv,2014-11-18,0,0,0
ParlaMint-LV-en_2014-11-20-PT12-273-meta.tsv,2014-11-20,2,1,8
ParlaMint-LV-en_2014-11-27-PT12-274-meta.tsv,2014-11-27,8,3,24
ParlaMint-LV-en_2014-12-04-PT12-275-meta.tsv,2014-12-04,8,0,14
ParlaMint-LV-en_2014-12-11-PT12-276-meta.tsv,2014-12-11,7,5,21
ParlaMint-LV-en_2014-12-17-PT12-278-meta.tsv,2014-12-17,12,3,29
ParlaMint-LV-en_2014-12-18-PT12-279-meta.tsv,2014-12-18,7,3,20
ParlaMint-LV-en_2015-01-15-PT12-280-meta.tsv,2015-01-15,2,3,11
ParlaMint-LV-en_2015-01-22-PT12-281-meta.tsv,2015-01-22,4,2,27
ParlaMint-LV-en_2015-01-29-PT12-282-meta.tsv,2015-01-29,5,3,15
ParlaMint-LV-en_2015-02-05-PT12-283-meta.tsv,2015-02-05,3,1,12
ParlaMint-LV-en_2015-02-12-PT12-285-meta.tsv,2015-02-12,7,2,18
ParlaMint-LV-en_2015-02-19-PT12-286-meta.tsv,2015-02-19,7,3,15
ParlaMint-LV-en_2015-02-26-PT12-287-meta.tsv,2015-02-26,2,1,12
ParlaMint-LV-en_2015-03-05-PT12-289-meta.tsv,2015-03-05,7,3,15
ParlaMint-LV-en_2015-03-12-PT12-290-meta.tsv,2015-03-12,3,0,6
ParlaMint-LV-en_2015-03-19-PT12-291-meta.tsv,2015-03-19,7,3,12
ParlaMint-LV-en_2015-03-26-PT12-292-meta.tsv,2015-03-26,7,4,25
ParlaMint-LV-en_2015-04-16-PT12-293-meta.tsv,2015-04-16,0,0,3
ParlaMint-LV-en_2015-04-23-PT12-294-meta.tsv,2015-04-23,4,0,4
ParlaMint-LV-en_2015-04-23-PT12-295-meta.tsv,2015-04-23,8,4,32
ParlaMint-LV-en_2015-04-30-PT12-296-meta.tsv,2015-04-30,3,0,14
ParlaMint-LV-en_2015-04-30-PT12-297-meta.tsv,2015-04-30,5,3,18
ParlaMint-LV-en_2015-05-04-PT12-298-meta.tsv,2015-05-04,0,0,2
ParlaMint-LV-en_2015-05-07-PT12-299-meta.tsv,2015-05-07,3,1,13
ParlaMint-LV-en_2015-05-14-PT12-300-meta.tsv,2015-05-14,2,1,7
ParlaMint-LV-en_2015-05-21-PT12-301-meta.tsv,2015-05-21,2,2,16
ParlaMint-LV-en_2015-05-28-PT12-302-meta.tsv,2015-05-28,6,2,23
ParlaMint-LV-en_2015-06-03-PT12-303-meta.tsv,2015-06-03,2,2,9
ParlaMint-LV-en_2015-06-04-PT12-304-meta.tsv,2015-06-04,3,1,19
ParlaMint-LV-en_2015-06-11-PT12-309-meta.tsv,2015-06-11,3,2,15
ParlaMint-LV-en_2015-06-18-PT12-311-meta.tsv,2015-06-18,8,3,36
ParlaMint-LV-en_2015-07-08-PT12-312-meta.tsv,2015-07-08,0,0,1
ParlaMint-LV-en_2015-07-08-PT12-313-meta.tsv,2015-07-08,1,1,20
ParlaMint-LV-en_2015-07-09-PT12-314-meta.tsv,2015-07-09,0,1,3
ParlaMint-LV-en_2015-09-03-PT12-315-meta.tsv,2015-09-03,3,3,15
ParlaMint-LV-en_2015-09-10-PT12-316-meta.tsv,2015-09-10,7,2,11
ParlaMint-LV-en_2015-09-17-PT12-317-meta.tsv,2015-09-17,7,3,18
ParlaMint-LV-en_2015-09-24-PT12-318-meta.tsv,2015-09-24,1,2,19
ParlaMint-LV-en_2015-10-01-PT12-320-meta.tsv,2015-10-01,7,2,21
ParlaMint-LV-en_2015-10-08-PT12-321-meta.tsv,2015-10-08,7,5,23
ParlaMint-LV-en_2015-10-15-PT12-322-meta.tsv,2015-10-15,7,1,8
ParlaMint-LV-en_2015-10-22-PT12-324-meta.tsv,2015-10-22,5,1,19
ParlaMint-LV-en_2015-10-29-PT12-325-meta.tsv,2015-10-29,8,5,19
ParlaMint-LV-en_2015-11-03-PT12-326-meta.tsv,2015-11-03,3,2,9
ParlaMint-LV-en_2015-11-05-PT12-327-meta.tsv,2015-11-05,5,4,19
ParlaMint-LV-en_2015-11-12-PT12-329-meta.tsv,2015-11-12,1,1,13
ParlaMint-LV-en_2015-11-18-PT12-330-meta.tsv,2015-11-18,0,0,2
ParlaMint-LV-en_2015-11-19-PT12-331-meta.tsv,2015-11-19,5,1,19
ParlaMint-LV-en_2015-11-26-PT12-332-meta.tsv,2015-11-26,4,4,13
ParlaMint-LV-en_2015-11-30-PT12-333-meta.tsv,2015-11-30,10,6,22
ParlaMint-LV-en_2015-12-03-PT12-335-meta.tsv,2015-12-03,2,4,21
ParlaMint-LV-en_2015-12-10-PT12-336-meta.tsv,2015-12-10,4,2,16
ParlaMint-LV-en_2015-12-17-PT12-337-meta.tsv,2015-12-17,5,2,29
ParlaMint-LV-en_2016-01-14-PT12-338-meta.tsv,2016-01-14,2,1,17
ParlaMint-LV-en_2016-01-21-PT12-339-meta.tsv,2016-01-21,5,2,21
ParlaMint-LV-en_2016-01-26-PT12-340-meta.tsv,2016-01-26,3,2,16
ParlaMint-LV-en_2016-01-28-PT12-341-meta.tsv,2016-01-28,7,0,9
ParlaMint-LV-en_2016-02-04-PT12-342-meta.tsv,2016-02-04,4,1,14
ParlaMint-LV-en_2016-02-11-PT12-344-meta.tsv,2016-02-11,4,1,11
ParlaMint-LV-en_2016-02-11-PT12-345-meta.tsv,2016-02-11,4,6,10
ParlaMint-LV-en_2016-02-11-PT12-346-meta.tsv,2016-02-11,0,0,3
ParlaMint-LV-en_2016-02-18-PT12-347-meta.tsv,2016-02-18,3,0,6
ParlaMint-LV-en_2016-02-18-PT12-348-meta.tsv,2016-02-18,5,3,12
ParlaMint-LV-en_2016-02-25-PT12-349-meta.tsv,2016-02-25,6,1,10
ParlaMint-LV-en_2016-03-03-PT12-350-meta.tsv,2016-03-03,6,3,20
ParlaMint-LV-en_2016-03-10-PT12-352-meta.tsv,2016-03-10,7,2,17
ParlaMint-LV-en_2016-03-17-PT12-353-meta.tsv,2016-03-17,3,1,15
ParlaMint-LV-en_2016-03-31-PT12-355-meta.tsv,2016-03-31,4,3,18
ParlaMint-LV-en_2016-03-31-PT12-356-meta.tsv,2016-03-31,1,0,1
ParlaMint-LV-en_2016-04-07-PT12-357-meta.tsv,2016-04-07,2,2,13
ParlaMint-LV-en_2016-04-14-PT12-358-meta.tsv,2016-04-14,6,4,17
ParlaMint-LV-en_2016-04-21-PT12-359-meta.tsv,2016-04-21,3,2,23
ParlaMint-LV-en_2016-04-28-PT12-360-meta.tsv,2016-04-28,7,2,16
ParlaMint-LV-en_2016-05-04-PT12-361-meta.tsv,2016-05-04,0,0,2
ParlaMint-LV-en_2016-05-05-PT12-362-meta.tsv,2016-05-05,3,3,18
ParlaMint-LV-en_2016-05-12-PT12-364-meta.tsv,2016-05-12,5,1,16
ParlaMint-LV-en_2016-05-19-PT12-365-meta.tsv,2016-05-19,7,2,19
ParlaMint-LV-en_2016-05-26-PT12-366-meta.tsv,2016-05-26,5,4,19
ParlaMint-LV-en_2016-06-02-PT12-368-meta.tsv,2016-06-02,4,2,20
ParlaMint-LV-en_2016-06-09-PT12-370-meta.tsv,2016-06-09,10,3,24
ParlaMint-LV-en_2016-06-16-PT12-371-meta.tsv,2016-06-16,9,3,34
ParlaMint-LV-en_2016-09-08-PT12-373-meta.tsv,2016-09-08,5,2,13
ParlaMint-LV-en_2016-09-15-PT12-374-meta.tsv,2016-09-15,5,2,25
ParlaMint-LV-en_2016-09-22-PT12-375-meta.tsv,2016-09-22,8,4,20
ParlaMint-LV-en_2016-09-29-PT12-376-meta.tsv,2016-09-29,3,2,12
ParlaMint-LV-en_2016-10-06-PT12-378-meta.tsv,2016-10-06,4,2,21
ParlaMint-LV-en_2016-10-13-PT12-379-meta.tsv,2016-10-13,2,4,13
ParlaMint-LV-en_2016-10-20-PT12-380-meta.tsv,2016-10-20,0,1,9
ParlaMint-LV-en_2016-10-20-PT12-381-meta.tsv,2016-10-20,2,2,9
ParlaMint-LV-en_2016-10-27-PT12-382-meta.tsv,2016-10-27,6,3,25
ParlaMint-LV-en_2016-10-31-PT12-383-meta.tsv,2016-10-31,6,5,12
ParlaMint-LV-en_2016-11-03-PT12-384-meta.tsv,2016-11-03,3,3,20
ParlaMint-LV-en_2016-11-10-PT12-385-meta.tsv,2016-11-10,5,3,16
ParlaMint-LV-en_2016-11-17-PT12-386-meta.tsv,2016-11-17,7,0,17
ParlaMint-LV-en_2016-11-18-PT12-387-meta.tsv,2016-11-18,0,0,2
ParlaMint-LV-en_2016-11-23-PT12-388-meta.tsv,2016-11-23,12,7,34
ParlaMint-LV-en_2016-12-01-PT12-389-meta.tsv,2016-12-01,8,3,12
ParlaMint-LV-en_2016-12-01-PT12-390-meta.tsv,2016-12-01,5,2,16
ParlaMint-LV-en_2016-12-08-PT12-391-meta.tsv,2016-12-08,6,4,19
ParlaMint-LV-en_2016-12-15-PT12-392-meta.tsv,2016-12-15,6,3,28
ParlaMint-LV-en_2016-12-20-PT12-393-meta.tsv,2016-12-20,3,1,15
ParlaMint-LV-en_2016-12-22-PT12-394-meta.tsv,2016-12-22,11,4,32
ParlaMint-LV-en_2017-01-12-PT12-395-meta.tsv,2017-01-12,0,2,6
ParlaMint-LV-en_2017-01-19-PT12-396-meta.tsv,2017-01-19,3,1,15
ParlaMint-LV-en_2017-01-26-PT12-397-meta.tsv,2017-01-26,7,3,24
ParlaMint-LV-en_2017-02-02-PT12-398-meta.tsv,2017-02-02,2,3,21
ParlaMint-LV-en_2017-02-02-PT12-399-meta.tsv,2017-02-02,8,6,24
ParlaMint-LV-en_2017-02-09-PT12-400-meta.tsv,2017-02-09,6,2,18
ParlaMint-LV-en_2017-02-16-PT12-402-meta.tsv,2017-02-16,2,1,12
ParlaMint-LV-en_2017-02-23-PT12-403-meta.tsv,2017-02-23,3,3,14
ParlaMint-LV-en_2017-03-02-PT12-405-meta.tsv,2017-03-02,6,3,14
ParlaMint-LV-en_2017-03-09-PT12-407-meta.tsv,2017-03-09,5,2,13
ParlaMint-LV-en_2017-03-15-PT12-409-meta.tsv,2017-03-15,4,7,13
ParlaMint-LV-en_2017-03-16-PT12-410-meta.tsv,2017-03-16,4,1,12
ParlaMint-LV-en_2017-03-23-PT12-412-meta.tsv,2017-03-23,6,1,18
ParlaMint-LV-en_2017-03-30-PT12-411-meta.tsv,2017-03-30,7,3,23
ParlaMint-LV-en_2017-04-06-PT12-413-meta.tsv,2017-04-06,3,4,15
ParlaMint-LV-en_2017-04-20-PT12-414-meta.tsv,2017-04-20,7,1,13
ParlaMint-LV-en_2017-04-27-PT12-415-meta.tsv,2017-04-27,3,1,14
ParlaMint-LV-en_2017-05-04-PT12-416-meta.tsv,2017-05-04,0,0,2
ParlaMint-LV-en_2017-05-11-PT12-418-meta.tsv,2017-05-11,8,5,29
ParlaMint-LV-en_2017-05-18-PT12-419-meta.tsv,2017-05-18,4,0,23
ParlaMint-LV-en_2017-05-25-PT12-420-meta.tsv,2017-05-25,3,1,16
ParlaMint-LV-en_2017-06-01-PT12-422-meta.tsv,2017-06-01,7,2,17
ParlaMint-LV-en_2017-06-08-PT12-423-meta.tsv,2017-06-08,6,3,29
ParlaMint-LV-en_2017-06-15-PT12-424-meta.tsv,2017-06-15,5,1,34
ParlaMint-LV-en_2017-06-22-PT12-426-meta.tsv,2017-06-22,8,4,24
ParlaMint-LV-en_2017-07-13-PT12-428-meta.tsv,2017-07-13,3,0,9
ParlaMint-LV-en_2017-07-13-PT12-430-meta.tsv,2017-07-13,0,1,4
ParlaMint-LV-en_2017-07-21-PT12-431-meta.tsv,2017-07-21,5,4,30
ParlaMint-LV-en_2017-07-21-PT12-432-meta.tsv,2017-07-21,1,0,4
ParlaMint-LV-en_2017-07-27-PT12-433-meta.tsv,2017-07-27,6,4,18
ParlaMint-LV-en_2017-07-28-PT12-434-meta.tsv,2017-07-28,5,2,16
ParlaMint-LV-en_2017-09-07-PT12-435-meta.tsv,2017-09-07,4,3,16
ParlaMint-LV-en_2017-09-14-PT12-436-meta.tsv,2017-09-14,6,1,12
ParlaMint-LV-en_2017-09-21-PT12-437-meta.tsv,2017-09-21,4,1,17
ParlaMint-LV-en_2017-09-28-PT12-438-meta.tsv,2017-09-28,4,2,13
ParlaMint-LV-en_2017-10-05-PT12-439-meta.tsv,2017-10-05,7,3,19
ParlaMint-LV-en_2017-10-12-PT12-440-meta.tsv,2017-10-12,3,2,15
ParlaMint-LV-en_2017-10-19-PT12-441-meta.tsv,2017-10-19,5,4,19
ParlaMint-LV-en_2017-10-25-PT12-442-meta.tsv,2017-10-25,3,6,9
ParlaMint-LV-en_2017-10-26-PT12-443-meta.tsv,2017-10-26,3,0,9
ParlaMint-LV-en_2017-10-26-PT12-444-meta.tsv,2017-10-26,9,3,25
ParlaMint-LV-en_2017-11-02-PT12-445-meta.tsv,2017-11-02,6,1,16
ParlaMint-LV-en_2017-11-09-PT12-447-meta.tsv,2017-11-09,1,2,10
ParlaMint-LV-en_2017-11-16-PT12-448-meta.tsv,2017-11-16,8,3,25
ParlaMint-LV-en_2017-11-18-PT12-449-meta.tsv,2017-11-18,0,0,2
ParlaMint-LV-en_2017-11-22-PT12-450-meta.tsv,2017-11-22,7,4,21
