Session,Date,Male,Female
ParlaMint-LV-en_2014-11-04-PT12-264-meta.tsv,2014-11-04,73,20
ParlaMint-LV-en_2014-11-05-PT12-265-meta.tsv,2014-11-05,11,2
ParlaMint-LV-en_2014-11-05-PT12-266-meta.tsv,2014-11-05,23,8
ParlaMint-LV-en_2014-11-06-PT12-267-meta.tsv,2014-11-06,2,1
ParlaMint-LV-en_2014-11-11-PT12-270-meta.tsv,2014-11-11,4,3
ParlaMint-LV-en_2014-11-13-PT12-269-meta.tsv,2014-11-13,10,1
ParlaMint-LV-en_2014-11-13-PT12-271-meta.tsv,2014-11-13,9,2
ParlaMint-LV-en_2014-11-18-PT12-272-meta.tsv,2014-11-18,1,1
ParlaMint-LV-en_2014-11-20-PT12-273-meta.tsv,2014-11-20,11,2
ParlaMint-LV-en_2014-11-27-PT12-274-meta.tsv,2014-11-27,29,8
ParlaMint-LV-en_2014-12-04-PT12-275-meta.tsv,2014-12-04,21,4
ParlaMint-LV-en_2014-12-11-PT12-276-meta.tsv,2014-12-11,28,8
ParlaMint-LV-en_2014-12-17-PT12-278-meta.tsv,2014-12-17,35,12
ParlaMint-LV-en_2014-12-18-PT12-279-meta.tsv,2014-12-18,28,6
ParlaMint-LV-en_2015-01-15-PT12-280-meta.tsv,2015-01-15,15,3
ParlaMint-LV-en_2015-01-22-PT12-281-meta.tsv,2015-01-22,29,6
ParlaMint-LV-en_2015-01-29-PT12-282-meta.tsv,2015-01-29,20,3
ParlaMint-LV-en_2015-02-05-PT12-283-meta.tsv,2015-02-05,15,2
ParlaMint-LV-en_2015-02-12-PT12-285-meta.tsv,2015-02-12,23,4
ParlaMint-LV-en_2015-02-19-PT12-286-meta.tsv,2015-02-19,21,4
ParlaMint-LV-en_2015-02-26-PT12-287-meta.tsv,2015-02-26,12,3
ParlaMint-LV-en_2015-03-05-PT12-289-meta.tsv,2015-03-05,23,3
ParlaMint-LV-en_2015-03-12-PT12-290-meta.tsv,2015-03-12,8,1
ParlaMint-LV-en_2015-03-19-PT12-291-meta.tsv,2015-03-19,18,4
