Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2017-10-18-prot-201718--19	i-9c502676a1e481d4-3	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 19	2017-10-18	Unicameralism	2017/18	-	-	2017/18--19	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4953633	Henriksson, Emma	F	-	
ParlaMint-SE-en_2017-10-18-prot-201718--19	i-9c502676a1e481d4-14	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 19	2017-10-18	Unicameralism	2017/18	-	-	2017/18--19	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4990451	Widegren, Cecilia	F	-	
ParlaMint-SE-en_2017-10-18-prot-201718--19	i-9c502676a1e481d4-27	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 19	2017-10-18	Unicameralism	2017/18	-	-	2017/18--19	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q6062372	Ramhorn, Per	M	-	
ParlaMint-SE-en_2017-10-18-prot-201718--19	i-9c502676a1e481d4-37	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 19	2017-10-18	Unicameralism	2017/18	-	-	2017/18--19	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q5616883	Danielsson, Staffan	M	-	
ParlaMint-SE-en_2017-10-18-prot-201718--19	i-9c502676a1e481d4-43	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 19	2017-10-18	Unicameralism	2017/18	-	-	2017/18--19	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q4981914	Sörenson, Anna-Lena	F	-	
ParlaMint-SE-en_2017-10-18-prot-201718--19	i-9c502676a1e481d4-59	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 19	2017-10-18	Unicameralism	2017/18	-	-	2017/18--19	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4953633	Henriksson, Emma	F	-	
ParlaMint-SE-en_2017-10-18-prot-201718--19	i-9c502676a1e481d4-63	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 19	2017-10-18	Unicameralism	2017/18	-	-	2017/18--19	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q4981914	Sörenson, Anna-Lena	F	-	
ParlaMint-SE-en_2017-10-18-prot-201718--19	i-9c502676a1e481d4-69	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 19	2017-10-18	Unicameralism	2017/18	-	-	2017/18--19	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4953633	Henriksson, Emma	F	-	
ParlaMint-SE-en_2017-10-18-prot-201718--19	i-9c502676a1e481d4-76	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 19	2017-10-18	Unicameralism	2017/18	-	-	2017/18--19	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q4981914	Sörenson, Anna-Lena	F	-	
ParlaMint-SE-en_2017-10-18-prot-201718--19	i-9c502676a1e481d4-82	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 19	2017-10-18	Unicameralism	2017/18	-	-	2017/18--19	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4990451	Widegren, Cecilia	F	-	
ParlaMint-SE-en_2017-10-18-prot-201718--19	i-9c502676a1e481d4-88	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 19	2017-10-18	Unicameralism	2017/18	-	-	2017/18--19	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q4981914	Sörenson, Anna-Lena	F	-	
