Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2017-03-03-prot-201617--78	i-096ea5be9b9adc1b-0	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 78	2017-03-03	Unicameralism	2016/17	-	-	2016/17--78	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2017-03-03-prot-201617--78	i-096ea5be9b9adc1b-4	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 78	2017-03-03	Unicameralism	2016/17	-	-	2016/17--78	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4980571	Stockhaus, Maria	F	-	
ParlaMint-SE-en_2017-03-03-prot-201617--78	i-096ea5be9b9adc1b-12	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 78	2017-03-03	Unicameralism	2016/17	-	-	2016/17--78	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2017-03-03-prot-201617--78	i-096ea5be9b9adc1b-23	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 78	2017-03-03	Unicameralism	2016/17	-	-	2016/17--78	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4980571	Stockhaus, Maria	F	-	
ParlaMint-SE-en_2017-03-03-prot-201617--78	i-096ea5be9b9adc1b-31	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 78	2017-03-03	Unicameralism	2016/17	-	-	2016/17--78	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2017-03-03-prot-201617--78	i-096ea5be9b9adc1b-34	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 78	2017-03-03	Unicameralism	2016/17	-	-	2016/17--78	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4980571	Stockhaus, Maria	F	-	
ParlaMint-SE-en_2017-03-03-prot-201617--78	i-096ea5be9b9adc1b-37	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 78	2017-03-03	Unicameralism	2016/17	-	-	2016/17--78	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2017-03-03-prot-201617--78	i-096ea5be9b9adc1b-41	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 78	2017-03-03	Unicameralism	2016/17	-	-	2016/17--78	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18177071	Regnér, Åsa	F	-	
ParlaMint-SE-en_2017-03-03-prot-201617--78	i-096ea5be9b9adc1b-48	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 78	2017-03-03	Unicameralism	2016/17	-	-	2016/17--78	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4980571	Stockhaus, Maria	F	-	
ParlaMint-SE-en_2017-03-03-prot-201617--78	i-096ea5be9b9adc1b-56	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 78	2017-03-03	Unicameralism	2016/17	-	-	2016/17--78	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18177071	Regnér, Åsa	F	-	
ParlaMint-SE-en_2017-03-03-prot-201617--78	i-096ea5be9b9adc1b-62	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 78	2017-03-03	Unicameralism	2016/17	-	-	2016/17--78	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4980571	Stockhaus, Maria	F	-	
ParlaMint-SE-en_2017-03-03-prot-201617--78	i-096ea5be9b9adc1b-67	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 78	2017-03-03	Unicameralism	2016/17	-	-	2016/17--78	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18177071	Regnér, Åsa	F	-	
ParlaMint-SE-en_2017-03-03-prot-201617--78	i-096ea5be9b9adc1b-72	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 78	2017-03-03	Unicameralism	2016/17	-	-	2016/17--78	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4980571	Stockhaus, Maria	F	-	
ParlaMint-SE-en_2017-03-03-prot-201617--78	i-096ea5be9b9adc1b-77	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 78	2017-03-03	Unicameralism	2016/17	-	-	2016/17--78	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18177071	Regnér, Åsa	F	-	
ParlaMint-SE-en_2017-03-03-prot-201617--78	i-096ea5be9b9adc1b-83	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 78	2017-03-03	Unicameralism	2016/17	-	-	2016/17--78	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q2029325	Fridolin, Gustav	M	-	
ParlaMint-SE-en_2017-03-03-prot-201617--78	i-096ea5be9b9adc1b-93	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 78	2017-03-03	Unicameralism	2016/17	-	-	2016/17--78	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q6198899	Svensson, Michael	M	-	
ParlaMint-SE-en_2017-03-03-prot-201617--78	i-096ea5be9b9adc1b-99	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 78	2017-03-03	Unicameralism	2016/17	-	-	2016/17--78	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q2029325	Fridolin, Gustav	M	-	
ParlaMint-SE-en_2017-03-03-prot-201617--78	i-096ea5be9b9adc1b-107	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 78	2017-03-03	Unicameralism	2016/17	-	-	2016/17--78	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q6198899	Svensson, Michael	M	-	
ParlaMint-SE-en_2017-03-03-prot-201617--78	i-096ea5be9b9adc1b-113	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 78	2017-03-03	Unicameralism	2016/17	-	-	2016/17--78	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4980571	Stockhaus, Maria	F	-	
