Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2017-09-07-prot-201617--134	i-2Y4dY559o94r1JnZswxaq9	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 134	2017-09-07	Unicameralism	2016/17	-	-	2016/17--134	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2017-09-07-prot-201617--134	i-7Cy6XSoihWWDp8APfNa9Wq	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 134	2017-09-07	Unicameralism	2016/17	-	-	2016/17--134	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q18923356	Karlsson, Jesper Skalberg	M	-	
ParlaMint-SE-en_2017-09-07-prot-201617--134	i-579a948e71ee974e-34	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 134	2017-09-07	Unicameralism	2016/17	-	-	2016/17--134	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2017-09-07-prot-201617--134	i-579a948e71ee974e-37	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 134	2017-09-07	Unicameralism	2016/17	-	-	2016/17--134	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q18923356	Karlsson, Jesper Skalberg	M	-	
ParlaMint-SE-en_2017-09-07-prot-201617--134	i-579a948e71ee974e-42	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 134	2017-09-07	Unicameralism	2016/17	-	-	2016/17--134	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2017-09-07-prot-201617--134	i-R2HHm8pT4rLQMnoycdWjpH	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 134	2017-09-07	Unicameralism	2016/17	-	-	2016/17--134	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q18923356	Karlsson, Jesper Skalberg	M	-	
ParlaMint-SE-en_2017-09-07-prot-201617--134	i-579a948e71ee974e-52	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 134	2017-09-07	Unicameralism	2016/17	-	-	2016/17--134	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2017-09-07-prot-201617--134	i-579a948e71ee974e-57	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 134	2017-09-07	Unicameralism	2016/17	-	-	2016/17--134	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2017-09-07-prot-201617--134	i-579a948e71ee974e-66	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 134	2017-09-07	Unicameralism	2016/17	-	-	2016/17--134	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q378195	Rothenberg, Hans	M	-	
ParlaMint-SE-en_2017-09-07-prot-201617--134	i-579a948e71ee974e-76	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 134	2017-09-07	Unicameralism	2016/17	-	-	2016/17--134	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2017-09-07-prot-201617--134	i-579a948e71ee974e-85	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 134	2017-09-07	Unicameralism	2016/17	-	-	2016/17--134	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q378195	Rothenberg, Hans	M	-	
ParlaMint-SE-en_2017-09-07-prot-201617--134	i-579a948e71ee974e-92	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 134	2017-09-07	Unicameralism	2016/17	-	-	2016/17--134	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2017-09-07-prot-201617--134	i-579a948e71ee974e-99	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 134	2017-09-07	Unicameralism	2016/17	-	-	2016/17--134	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q378195	Rothenberg, Hans	M	-	
ParlaMint-SE-en_2017-09-07-prot-201617--134	i-579a948e71ee974e-104	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 134	2017-09-07	Unicameralism	2016/17	-	-	2016/17--134	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
