Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2017-04-07-prot-201617--94	i-fca373ae079c9e62-6	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 94	2017-04-07	Unicameralism	2016/17	-	-	2016/17--94	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2017-04-07-prot-201617--94	i-fca373ae079c9e62-13	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 94	2017-04-07	Unicameralism	2016/17	-	-	2016/17--94	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q5801464	Henriksson, Stig	M	-	
ParlaMint-SE-en_2017-04-07-prot-201617--94	i-fca373ae079c9e62-24	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 94	2017-04-07	Unicameralism	2016/17	-	-	2016/17--94	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2017-04-07-prot-201617--94	i-fca373ae079c9e62-31	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 94	2017-04-07	Unicameralism	2016/17	-	-	2016/17--94	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q5801464	Henriksson, Stig	M	-	
ParlaMint-SE-en_2017-04-07-prot-201617--94	i-fca373ae079c9e62-39	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 94	2017-04-07	Unicameralism	2016/17	-	-	2016/17--94	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2017-04-07-prot-201617--94	i-fca373ae079c9e62-47	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 94	2017-04-07	Unicameralism	2016/17	-	-	2016/17--94	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q5801464	Henriksson, Stig	M	-	
ParlaMint-SE-en_2017-04-07-prot-201617--94	i-fca373ae079c9e62-51	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 94	2017-04-07	Unicameralism	2016/17	-	-	2016/17--94	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2017-04-07-prot-201617--94	i-fca373ae079c9e62-55	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 94	2017-04-07	Unicameralism	2016/17	-	-	2016/17--94	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2017-04-07-prot-201617--94	i-fca373ae079c9e62-59	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 94	2017-04-07	Unicameralism	2016/17	-	-	2016/17--94	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q19977128	Ottoson, Erik	M	-	
ParlaMint-SE-en_2017-04-07-prot-201617--94	i-fca373ae079c9e62-69	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 94	2017-04-07	Unicameralism	2016/17	-	-	2016/17--94	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2017-04-07-prot-201617--94	i-fca373ae079c9e62-79	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 94	2017-04-07	Unicameralism	2016/17	-	-	2016/17--94	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q19977128	Ottoson, Erik	M	-	
ParlaMint-SE-en_2017-04-07-prot-201617--94	i-fca373ae079c9e62-85	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 94	2017-04-07	Unicameralism	2016/17	-	-	2016/17--94	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2017-04-07-prot-201617--94	i-fca373ae079c9e62-93	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 94	2017-04-07	Unicameralism	2016/17	-	-	2016/17--94	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q19977128	Ottoson, Erik	M	-	
ParlaMint-SE-en_2017-04-07-prot-201617--94	i-fca373ae079c9e62-97	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 94	2017-04-07	Unicameralism	2016/17	-	-	2016/17--94	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
