Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2017-09-29-prot-201718--13	i-14405a77741c0591-3	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 13	2017-09-29	Unicameralism	2017/18	-	-	2017/18--13	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q237522	Wallström, Margot	F	-	
ParlaMint-SE-en_2017-09-29-prot-201718--13	i-14405a77741c0591-10	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 13	2017-09-29	Unicameralism	2017/18	-	-	2017/18--13	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q3675519	Kakabaveh, Amineh	F	-	
ParlaMint-SE-en_2017-09-29-prot-201718--13	i-14405a77741c0591-16	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 13	2017-09-29	Unicameralism	2017/18	-	-	2017/18--13	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q237522	Wallström, Margot	F	-	
ParlaMint-SE-en_2017-09-29-prot-201718--13	i-14405a77741c0591-25	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 13	2017-09-29	Unicameralism	2017/18	-	-	2017/18--13	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q3675519	Kakabaveh, Amineh	F	-	
ParlaMint-SE-en_2017-09-29-prot-201718--13	i-14405a77741c0591-34	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 13	2017-09-29	Unicameralism	2017/18	-	-	2017/18--13	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q237522	Wallström, Margot	F	-	
ParlaMint-SE-en_2017-09-29-prot-201718--13	i-14405a77741c0591-45	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 13	2017-09-29	Unicameralism	2017/18	-	-	2017/18--13	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q3675519	Kakabaveh, Amineh	F	-	
ParlaMint-SE-en_2017-09-29-prot-201718--13	i-14405a77741c0591-50	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 13	2017-09-29	Unicameralism	2017/18	-	-	2017/18--13	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q237522	Wallström, Margot	F	-	
ParlaMint-SE-en_2017-09-29-prot-201718--13	i-14405a77741c0591-54	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 13	2017-09-29	Unicameralism	2017/18	-	-	2017/18--13	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2017-09-29-prot-201718--13	i-14405a77741c0591-58	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 13	2017-09-29	Unicameralism	2017/18	-	-	2017/18--13	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4948092	Finstorp, Lotta	F	-	
ParlaMint-SE-en_2017-09-29-prot-201718--13	i-14405a77741c0591-67	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 13	2017-09-29	Unicameralism	2017/18	-	-	2017/18--13	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2017-09-29-prot-201718--13	i-14405a77741c0591-72	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 13	2017-09-29	Unicameralism	2017/18	-	-	2017/18--13	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4948092	Finstorp, Lotta	F	-	
