Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2017-01-24-prot-201617--59	i-1af8e51fbec9a694-5	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 59	2017-01-24	Unicameralism	2016/17	-	-	2016/17--59	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q6241556	Wikström, Gabriel	M	-	
ParlaMint-SE-en_2017-01-24-prot-201617--59	i-Mj4b2je7siAkcikKoP9dmb	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 59	2017-01-24	Unicameralism	2016/17	-	-	2016/17--59	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q6241556	Wikström, Gabriel	M	-	
ParlaMint-SE-en_2017-01-24-prot-201617--59	i-1af8e51fbec9a694-15	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 59	2017-01-24	Unicameralism	2016/17	-	-	2016/17--59	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q6241556	Wikström, Gabriel	M	-	
ParlaMint-SE-en_2017-01-24-prot-201617--59	i-1af8e51fbec9a694-24	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 59	2017-01-24	Unicameralism	2016/17	-	-	2016/17--59	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4990451	Widegren, Cecilia	F	-	
ParlaMint-SE-en_2017-01-24-prot-201617--59	i-1af8e51fbec9a694-35	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 59	2017-01-24	Unicameralism	2016/17	-	-	2016/17--59	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4991079	Åsebol, Ann-Britt	F	-	
ParlaMint-SE-en_2017-01-24-prot-201617--59	i-1af8e51fbec9a694-40	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 59	2017-01-24	Unicameralism	2016/17	-	-	2016/17--59	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4766168	Johnsson, Ann-Charlotte Hammar	F	-	
ParlaMint-SE-en_2017-01-24-prot-201617--59	i-1af8e51fbec9a694-46	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 59	2017-01-24	Unicameralism	2016/17	-	-	2016/17--59	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3375042	Larsson, Hillevi	F	-	
ParlaMint-SE-en_2017-01-24-prot-201617--59	i-1af8e51fbec9a694-56	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 59	2017-01-24	Unicameralism	2016/17	-	-	2016/17--59	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q6241556	Wikström, Gabriel	M	-	
ParlaMint-SE-en_2017-01-24-prot-201617--59	i-1af8e51fbec9a694-65	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 59	2017-01-24	Unicameralism	2016/17	-	-	2016/17--59	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4990451	Widegren, Cecilia	F	-	
ParlaMint-SE-en_2017-01-24-prot-201617--59	i-1af8e51fbec9a694-78	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 59	2017-01-24	Unicameralism	2016/17	-	-	2016/17--59	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4991079	Åsebol, Ann-Britt	F	-	
ParlaMint-SE-en_2017-01-24-prot-201617--59	i-1af8e51fbec9a694-83	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 59	2017-01-24	Unicameralism	2016/17	-	-	2016/17--59	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4766168	Johnsson, Ann-Charlotte Hammar	F	-	
ParlaMint-SE-en_2017-01-24-prot-201617--59	i-1af8e51fbec9a694-85	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 59	2017-01-24	Unicameralism	2016/17	-	-	2016/17--59	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3375042	Larsson, Hillevi	F	-	
ParlaMint-SE-en_2017-01-24-prot-201617--59	i-1af8e51fbec9a694-90	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 59	2017-01-24	Unicameralism	2016/17	-	-	2016/17--59	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3358763	Green, Monica	F	-	
