Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2017-05-29-prot-201617--115	i-7bc48bb7f0993643-16	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 115	2017-05-29	Unicameralism	2016/17	-	-	2016/17--115	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2017-05-29-prot-201617--115	i-7bc48bb7f0993643-19	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 115	2017-05-29	Unicameralism	2016/17	-	-	2016/17--115	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4731041	Widman, Allan	M	-	
ParlaMint-SE-en_2017-05-29-prot-201617--115	i-7bc48bb7f0993643-24	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 115	2017-05-29	Unicameralism	2016/17	-	-	2016/17--115	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2017-05-29-prot-201617--115	i-7bc48bb7f0993643-36	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 115	2017-05-29	Unicameralism	2016/17	-	-	2016/17--115	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4731041	Widman, Allan	M	-	
ParlaMint-SE-en_2017-05-29-prot-201617--115	i-7bc48bb7f0993643-41	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 115	2017-05-29	Unicameralism	2016/17	-	-	2016/17--115	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2017-05-29-prot-201617--115	i-7bc48bb7f0993643-45	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 115	2017-05-29	Unicameralism	2016/17	-	-	2016/17--115	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2017-05-29-prot-201617--115	i-7bc48bb7f0993643-48	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 115	2017-05-29	Unicameralism	2016/17	-	-	2016/17--115	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5554868	Andersson, Jan R.	M	-	
ParlaMint-SE-en_2017-05-29-prot-201617--115	i-7bc48bb7f0993643-56	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 115	2017-05-29	Unicameralism	2016/17	-	-	2016/17--115	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2017-05-29-prot-201617--115	i-7bc48bb7f0993643-60	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 115	2017-05-29	Unicameralism	2016/17	-	-	2016/17--115	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5554868	Andersson, Jan R.	M	-	
ParlaMint-SE-en_2017-05-29-prot-201617--115	i-7bc48bb7f0993643-66	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 115	2017-05-29	Unicameralism	2016/17	-	-	2016/17--115	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2017-05-29-prot-201617--115	i-7bc48bb7f0993643-70	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 115	2017-05-29	Unicameralism	2016/17	-	-	2016/17--115	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5554868	Andersson, Jan R.	M	-	
