Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2021-02-02-20201-M60	ParlaMint-DK_20210202165153	Hansard of the session of the Danish Parliament (Folketinget), 20201, M60 (2021-02-02), preliminary version	2021-02-02	Unicameralism	Regeringen Mette Frederiksen	20201	M60	-	-	COVID	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	Opposition	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2021-02-02-20201-M60	ParlaMint-DK_20210202165454	Hansard of the session of the Danish Parliament (Folketinget), 20201, M60 (2021-02-02), preliminary version	2021-02-02	Unicameralism	Regeringen Mette Frederiksen	20201	M60	-	-	COVID	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	Opposition	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2021-02-02-20201-M60	ParlaMint-DK_20210202165505	Hansard of the session of the Danish Parliament (Folketinget), 20201, M60 (2021-02-02), preliminary version	2021-02-02	Unicameralism	Regeringen Mette Frederiksen	20201	M60	-	-	COVID	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	Opposition	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2021-02-02-20201-M60	ParlaMint-DK_20210202165533	Hansard of the session of the Danish Parliament (Folketinget), 20201, M60 (2021-02-02), preliminary version	2021-02-02	Unicameralism	Regeringen Mette Frederiksen	20201	M60	-	-	COVID	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	Opposition	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2021-02-02-20201-M60	ParlaMint-DK_20210202165753	Hansard of the session of the Danish Parliament (Folketinget), 20201, M60 (2021-02-02), preliminary version	2021-02-02	Unicameralism	Regeringen Mette Frederiksen	20201	M60	-	-	COVID	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	Opposition	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2021-02-02-20201-M60	ParlaMint-DK_20210202165817	Hansard of the session of the Danish Parliament (Folketinget), 20201, M60 (2021-02-02), preliminary version	2021-02-02	Unicameralism	Regeringen Mette Frederiksen	20201	M60	-	-	COVID	English	Regular	MP	notMinister	DF	Dansk Folkeparti	Opposition	Right	BøgstedBent	Bøgsted, Bent	M	1956	
ParlaMint-DK-en_2021-02-02-20201-M60	ParlaMint-DK_20210202170829	Hansard of the session of the Danish Parliament (Folketinget), 20201, M60 (2021-02-02), preliminary version	2021-02-02	Unicameralism	Regeringen Mette Frederiksen	20201	M60	-	-	COVID	English	Chairperson	MP	notMinister	SF	Socialistisk Folkeparti	-	Centre-left to left	TorpTrine	Torp, Trine	F	1970	
ParlaMint-DK-en_2021-02-02-20201-M60	ParlaMint-DK_20210202170838	Hansard of the session of the Danish Parliament (Folketinget), 20201, M60 (2021-02-02), preliminary version	2021-02-02	Unicameralism	Regeringen Mette Frederiksen	20201	M60	-	-	COVID	English	Regular	MP	notMinister	EL	Enhedslisten	-	Left to far-left	JuhlChristian	Juhl, Christian	M	1953	
ParlaMint-DK-en_2021-02-02-20201-M60	ParlaMint-DK_20210202171335	Hansard of the session of the Danish Parliament (Folketinget), 20201, M60 (2021-02-02), preliminary version	2021-02-02	Unicameralism	Regeringen Mette Frederiksen	20201	M60	-	-	COVID	English	Chairperson	MP	notMinister	SF	Socialistisk Folkeparti	-	Centre-left to left	TorpTrine	Torp, Trine	F	1970	
ParlaMint-DK-en_2021-02-02-20201-M60	ParlaMint-DK_20210202171345	Hansard of the session of the Danish Parliament (Folketinget), 20201, M60 (2021-02-02), preliminary version	2021-02-02	Unicameralism	Regeringen Mette Frederiksen	20201	M60	-	-	COVID	English	Regular	MP	notMinister	EL	Enhedslisten	-	Left to far-left	JuhlChristian	Juhl, Christian	M	1953	
ParlaMint-DK-en_2021-02-02-20201-M60	ParlaMint-DK_20210202171806	Hansard of the session of the Danish Parliament (Folketinget), 20201, M60 (2021-02-02), preliminary version	2021-02-02	Unicameralism	Regeringen Mette Frederiksen	20201	M60	-	-	COVID	English	Chairperson	MP	notMinister	SF	Socialistisk Folkeparti	-	Centre-left to left	TorpTrine	Torp, Trine	F	1970	
ParlaMint-DK-en_2021-02-02-20201-M60	ParlaMint-DK_20210202171837	Hansard of the session of the Danish Parliament (Folketinget), 20201, M60 (2021-02-02), preliminary version	2021-02-02	Unicameralism	Regeringen Mette Frederiksen	20201	M60	-	-	COVID	English	Regular	MP	notMinister	NB	Nye Borgerlige	Opposition	Right to far-right	MathiesenLarsBoje	Mathiesen, Lars Boje	M	1975	
ParlaMint-DK-en_2021-02-02-20201-M60	ParlaMint-DK_20210202171910	Hansard of the session of the Danish Parliament (Folketinget), 20201, M60 (2021-02-02), preliminary version	2021-02-02	Unicameralism	Regeringen Mette Frederiksen	20201	M60	-	-	COVID	English	Chairperson	MP	notMinister	SF	Socialistisk Folkeparti	-	Centre-left to left	TorpTrine	Torp, Trine	F	1970	
ParlaMint-DK-en_2021-02-02-20201-M60	ParlaMint-DK_20210202171918	Hansard of the session of the Danish Parliament (Folketinget), 20201, M60 (2021-02-02), preliminary version	2021-02-02	Unicameralism	Regeringen Mette Frederiksen	20201	M60	-	-	COVID	English	Chairperson	MP	notMinister	SF	Socialistisk Folkeparti	-	Centre-left to left	TorpTrine	Torp, Trine	F	1970	
ParlaMint-DK-en_2021-02-02-20201-M60	ParlaMint-DK_20210202172042	Hansard of the session of the Danish Parliament (Folketinget), 20201, M60 (2021-02-02), preliminary version	2021-02-02	Unicameralism	Regeringen Mette Frederiksen	20201	M60	-	-	COVID	English	Chairperson	MP	notMinister	SF	Socialistisk Folkeparti	-	Centre-left to left	TorpTrine	Torp, Trine	F	1970	
