Session,Date,Silent Generation,Baby Boomers,Generation X,Millennials,Generation Z
ParlaMint-EE-en_2011-04-04-meta.tsv,2011-04-04,1,4,2,0,0
ParlaMint-EE-en_2011-04-05-meta.tsv,2011-04-05,1,2,3,0,0
ParlaMint-EE-en_2011-04-06-meta.tsv,2011-04-06,1,4,9,0,0
ParlaMint-EE-en_2011-04-07-meta.tsv,2011-04-07,1,1,4,0,0
ParlaMint-EE-en_2011-04-11-meta.tsv,2011-04-11,1,1,1,0,0
ParlaMint-EE-en_2011-04-12-meta.tsv,2011-04-12,1,0,1,0,0
ParlaMint-EE-en_2011-04-13-meta.tsv,2011-04-13,1,10,11,3,0
ParlaMint-EE-en_2011-04-14-meta.tsv,2011-04-14,0,1,2,0,0
ParlaMint-EE-en_2011-04-18-meta.tsv,2011-04-18,1,1,0,0,0
ParlaMint-EE-en_2011-04-19-meta.tsv,2011-04-19,0,1,2,0,0
ParlaMint-EE-en_2011-04-20-meta.tsv,2011-04-20,0,10,9,0,0
ParlaMint-EE-en_2011-04-21-meta.tsv,2011-04-21,0,3,2,0,0
ParlaMint-EE-en_2011-05-02-meta.tsv,2011-05-02,1,3,1,1,0
ParlaMint-EE-en_2011-05-03-meta.tsv,2011-05-03,0,14,11,1,0
ParlaMint-EE-en_2011-05-04-meta.tsv,2011-05-04,2,11,9,1,0
ParlaMint-EE-en_2011-05-05-meta.tsv,2011-05-05,0,4,2,0,0
ParlaMint-EE-en_2011-05-09-meta.tsv,2011-05-09,1,0,3,1,0
ParlaMint-EE-en_2011-05-10-meta.tsv,2011-05-10,1,19,25,4,0
ParlaMint-EE-en_2011-05-11-meta.tsv,2011-05-11,2,11,12,4,0
ParlaMint-EE-en_2011-05-12-meta.tsv,2011-05-12,0,0,1,1,0
ParlaMint-EE-en_2011-05-16-meta.tsv,2011-05-16,2,9,7,2,0
ParlaMint-EE-en_2011-05-17-meta.tsv,2011-05-17,0,3,2,1,0
ParlaMint-EE-en_2011-05-18-meta.tsv,2011-05-18,0,16,10,1,0
ParlaMint-EE-en_2011-05-19-meta.tsv,2011-05-19,0,3,3,1,0
ParlaMint-EE-en_2011-05-30-meta.tsv,2011-05-30,1,18,6,3,0
ParlaMint-EE-en_2011-05-31-meta.tsv,2011-05-31,1,24,18,2,0
ParlaMint-EE-en_2011-06-01-meta.tsv,2011-06-01,1,25,22,3,0
ParlaMint-EE-en_2011-06-02-meta.tsv,2011-06-02,0,9,13,1,0
ParlaMint-EE-en_2011-06-06-meta.tsv,2011-06-06,1,15,9,0,0
ParlaMint-EE-en_2011-06-07-meta.tsv,2011-06-07,0,16,18,3,0
