Session,Date,Male,Female
ParlaMint-EE-en_2011-04-04-meta.tsv,2011-04-04,4,3
ParlaMint-EE-en_2011-04-05-meta.tsv,2011-04-05,3,3
ParlaMint-EE-en_2011-04-06-meta.tsv,2011-04-06,11,3
ParlaMint-EE-en_2011-04-07-meta.tsv,2011-04-07,5,1
ParlaMint-EE-en_2011-04-11-meta.tsv,2011-04-11,2,1
ParlaMint-EE-en_2011-04-12-meta.tsv,2011-04-12,1,1
ParlaMint-EE-en_2011-04-13-meta.tsv,2011-04-13,21,4
ParlaMint-EE-en_2011-04-14-meta.tsv,2011-04-14,1,2
ParlaMint-EE-en_2011-04-18-meta.tsv,2011-04-18,1,1
ParlaMint-EE-en_2011-04-19-meta.tsv,2011-04-19,1,3
ParlaMint-EE-en_2011-04-20-meta.tsv,2011-04-20,15,4
ParlaMint-EE-en_2011-04-21-meta.tsv,2011-04-21,5,0
ParlaMint-EE-en_2011-05-02-meta.tsv,2011-05-02,3,4
ParlaMint-EE-en_2011-05-03-meta.tsv,2011-05-03,23,4
ParlaMint-EE-en_2011-05-04-meta.tsv,2011-05-04,18,5
ParlaMint-EE-en_2011-05-05-meta.tsv,2011-05-05,6,0
ParlaMint-EE-en_2011-05-09-meta.tsv,2011-05-09,4,1
ParlaMint-EE-en_2011-05-10-meta.tsv,2011-05-10,42,8
ParlaMint-EE-en_2011-05-11-meta.tsv,2011-05-11,22,8
ParlaMint-EE-en_2011-05-12-meta.tsv,2011-05-12,2,0
ParlaMint-EE-en_2011-05-16-meta.tsv,2011-05-16,14,7
ParlaMint-EE-en_2011-05-17-meta.tsv,2011-05-17,4,2
ParlaMint-EE-en_2011-05-18-meta.tsv,2011-05-18,17,10
ParlaMint-EE-en_2011-05-19-meta.tsv,2011-05-19,5,2
ParlaMint-EE-en_2011-05-30-meta.tsv,2011-05-30,21,8
ParlaMint-EE-en_2011-05-31-meta.tsv,2011-05-31,33,12
ParlaMint-EE-en_2011-06-01-meta.tsv,2011-06-01,40,11
