Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2018-10-09-16	ParlaMint-IS_2018-10-09-16.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-16, 09.10.2018.	2018-10-09	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	KristjanJuliusson	Júlíusson, Kristján Þór	M	1957	
ParlaMint-IS-en_2018-10-09-16	ParlaMint-IS_2018-10-09-16.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-16, 09.10.2018.	2018-10-09	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	HelgaHelgadottir	Helgadóttir, Helga Vala	F	1972	
ParlaMint-IS-en_2018-10-09-16	ParlaMint-IS_2018-10-09-16.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-16, 09.10.2018.	2018-10-09	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	THordisGylfadottir	Gylfadóttir, Þórdís Kolbrún R.	F	1987	
ParlaMint-IS-en_2018-10-09-16	ParlaMint-IS_2018-10-09-16.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-16, 09.10.2018.	2018-10-09	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	LiljaMagnusdottir	Magnúsdóttir, Lilja Rafney	F	1957	
ParlaMint-IS-en_2018-10-09-16	ParlaMint-IS_2018-10-09-16.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-16, 09.10.2018.	2018-10-09	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	HelgiGunnarsson	Gunnarsson, Helgi Hrafn	M	1980	
ParlaMint-IS-en_2018-10-09-16	ParlaMint-IS_2018-10-09-16.u6	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-16, 09.10.2018.	2018-10-09	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Sf	Samfylking	-	Centre-left	GudjonBrjansson	Brjánsson, Guðjón S.	M	1955	
ParlaMint-IS-en_2018-10-09-16	ParlaMint-IS_2018-10-09-16.u7	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-16, 09.10.2018.	2018-10-09	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	SigurdurJonsson1958	Jónsson, Sigurður Páll	M	1958	
ParlaMint-IS-en_2018-10-09-16	ParlaMint-IS_2018-10-09-16.u8	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-16, 09.10.2018.	2018-10-09	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	GudmundurThorsson	Thorsson, Guðmundur Andri	M	1957	
ParlaMint-IS-en_2018-10-09-16	ParlaMint-IS_2018-10-09-16.u9	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-16, 09.10.2018.	2018-10-09	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	SmariMcCarthy	McCarthy, Smári	M	1984	
ParlaMint-IS-en_2018-10-09-16	ParlaMint-IS_2018-10-09-16.u10	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-16, 09.10.2018.	2018-10-09	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	HalldoraMogensen	Mogensen, Halldóra	F	1979	
ParlaMint-IS-en_2018-10-09-16	ParlaMint-IS_2018-10-09-16.u11	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-16, 09.10.2018.	2018-10-09	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	BjornGunnarsson	Gunnarsson, Björn Leví	M	1976	
ParlaMint-IS-en_2018-10-09-16	ParlaMint-IS_2018-10-09-16.u12	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-16, 09.10.2018.	2018-10-09	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Flf	Flokkur fólksins	-	Centre-left	IngaSaeland	Sæland, Inga	F	1959	
ParlaMint-IS-en_2018-10-09-16	ParlaMint-IS_2018-10-09-16.u13	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-16, 09.10.2018.	2018-10-09	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Flf	Flokkur fólksins	-	Centre-left	KarlHjaltason	Hjaltason, Karl Gauti	M	1959	
