Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2018-03-06-34	ParlaMint-IS_2018-03-06-34.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-34, 06.03.2018.	2018-03-06	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	SmariMcCarthy	McCarthy, Smári	M	1984	
ParlaMint-IS-en_2018-03-06-34	ParlaMint-IS_2018-03-06-34.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-34, 06.03.2018.	2018-03-06	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	BirgirTHorarinsson	Þórarinsson, Birgir	M	1965	
ParlaMint-IS-en_2018-03-06-34	ParlaMint-IS_2018-03-06-34.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-34, 06.03.2018.	2018-03-06	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	HallaKristjansdottir	Kristjánsdóttir, Halla Signý	F	1964	
ParlaMint-IS-en_2018-03-06-34	ParlaMint-IS_2018-03-06-34.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-34, 06.03.2018.	2018-03-06	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	OddnyHardardottir	Harðardóttir, Oddný G.	F	1957	
ParlaMint-IS-en_2018-03-06-34	ParlaMint-IS_2018-03-06-34.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-34, 06.03.2018.	2018-03-06	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	GudmundurThorsson	Thorsson, Guðmundur Andri	M	1957	
ParlaMint-IS-en_2018-03-06-34	ParlaMint-IS_2018-03-06-34.u6	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-34, 06.03.2018.	2018-03-06	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	KolbeinnProppe	Proppé, Kolbeinn Óttarsson	M	1972	
ParlaMint-IS-en_2018-03-06-34	ParlaMint-IS_2018-03-06-34.u7	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-34, 06.03.2018.	2018-03-06	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	BjornGunnarsson	Gunnarsson, Björn Leví	M	1976	
ParlaMint-IS-en_2018-03-06-34	ParlaMint-IS_2018-03-06-34.u8	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-34, 06.03.2018.	2018-03-06	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	OlafurGunnarsson	Gunnarsson, Ólafur Þór	M	1963	
ParlaMint-IS-en_2018-03-06-34	ParlaMint-IS_2018-03-06-34.u9	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-34, 06.03.2018.	2018-03-06	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	BjarkeyGunnarsdottir	Gunnarsdóttir, Bjarkey Olsen	F	1965	
ParlaMint-IS-en_2018-03-06-34	ParlaMint-IS_2018-03-06-34.u10	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-34, 06.03.2018.	2018-03-06	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	NjallFridbertsson	Friðbertsson, Njáll Trausti	M	1969	
ParlaMint-IS-en_2018-03-06-34	ParlaMint-IS_2018-03-06-34.u11	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-34, 06.03.2018.	2018-03-06	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	THorunnEgilsdottir	Egilsdóttir, Þórunn	F	1964	
ParlaMint-IS-en_2018-03-06-34	ParlaMint-IS_2018-03-06-34.u12	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-34, 06.03.2018.	2018-03-06	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	HalldoraMogensen	Mogensen, Halldóra	F	1979	
ParlaMint-IS-en_2018-03-06-34	ParlaMint-IS_2018-03-06-34.u13	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-34, 06.03.2018.	2018-03-06	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	THorsteinnViglundsson	Víglundsson, Þorsteinn	M	1969	
ParlaMint-IS-en_2018-03-06-34	ParlaMint-IS_2018-03-06-34.u14	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-34, 06.03.2018.	2018-03-06	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	JonValdimarsson	Valdimarsson, Jón Steindór	M	1958	
ParlaMint-IS-en_2018-03-06-34	ParlaMint-IS_2018-03-06-34.u15	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-34, 06.03.2018.	2018-03-06	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Flf	Flokkur fólksins	-	Centre-left	GudmundurKristinsson	Kristinsson, Guðmundur Ingi	M	1955	
