ParlaMint-IS_2018-12-10-44.u1	The president considers an agreement that may last longer than the Senate today, if necessary.
ParlaMint-IS_2018-12-10-44.u2	The decision is to make an hour-long break between the hours. In 1920, this is mainly due to the committee's use of products.
ParlaMint-IS_2018-12-10-44.u3	There have been letters from the social and equal minister and secretary of state requesting an appointment to provide written answers to inquiries on one side. 376, on the procreation of people with developmental impairment, from the Birks Bjarkey of Olsen Gunnarsdóttir and on the icicle. 64, of the EU energy package, Community monitoring agencies and the EEA Convention, from Óli Björn Kárason.
ParlaMint-IS_2018-12-10-44.u4	Borist has received a letter from the proconsul of the Independence Party that Guður Þórðarson can't do any next session. So today, on Monday, December 10, takes place at Arms 1 of the Independent Party in the Northern Republic of Reykjavík, Albert Guðmundsson. He has previously taken his place at the General Assembly and is invited to serve again.
ParlaMint-IS_2018-12-10-44.u5	Today, on Monday, December 10, the vice president of the United States Congress received a letter saying that Ágúst Augustus Ólafur Ágústsson would not be able to attend next week. Since Ágúst Ólafur Ágústsson, 3rd Parliament of the South Court of Reykjavík, has decided for personal reasons to accept free leave from council work from December 10, 2018, through January 14, 2018, I request that the 3rd vice - soldier of the South Court of Reykjavík, Ellert B. Schram, arrive at the time of the General Assembly. A guard on a list of the districts has announced ahead of time. Sincerely, Guðmundur Andri Thorsson, Vice President of the Group of Group of the United States. At the request of the president, the national government has assembled and issued a bill for Ellert B. Schramur. At the same time, a board of administrations and monitoring has been arranged to discuss the stock market.
ParlaMint-IS_2018-12-10-44.u6	Mr. President. As mentioned in the case of the highest. The President's commission and surveillance committee has assembled to review Ellert B. Schramur's campaign from the national government. In agreement with the Commission, they failed to make comments to the theme letter.
ParlaMint-IS_2018-12-10-44.u7	The Commission and monitoring committee recommends the approval of the approved convention and considered it approved without a vote if no protests are moved. Ellert B. Schram has once sat at the General Assembly and is invited to serve again. Hv. A senator is familiar with houses here, but he took his first place in the Council of the Isles of 1971.
ParlaMint-IS_2018-12-10-44.u8	To answer, Prime Minister, Minister of Health, Minister of Education and Culture, Social Affairs and Equal Opportunities, Sea diffusion and Agriculture Ministers and District Ministers.
ParlaMint-IS_2018-12-10-44.u9	Mr. President. Last week the Supreme Court sentenced damage to the United States because it was not permitted to abstain from hunting experience in terms of the distribution of macrovota by law. The Icelandic people may be living with billions of losses, and their feelings may be that their possession of the sea resources is less certain than ever. Perhaps the judgment is not particularly surprising, and of course it is to be respected. It reflects, however, that we are still decades after the fishing system was put on the present form in an argument about this and, especially, what attracts limited quality. I also find this to be a reflection of the lack of a discussion on fishing costs from the arrangement and from the basic question: What is the righteous part of the nation's fishing resources? It is clear that Deloitte's assessment of damage caused by the Regulation is very high and not all of us have returned to the grave. If I understand correctly, this is the same party that won the basis for a lower fishing fee. That's why I'm asking the highest. The prime minister may have wondered if there is any harmony. Then I ask a minister if it doesn't consider it normal to extend the present law to us, as was done in spring, and to try to make more peace. Then we can examine the context rules and fishing costs and ensure temporary agreements that are agreed on by most categories. Of course, it would be necessary to establish an acceptable resource directive in a constitution, but like the highest. Minister knows it's shown hunting, not given. Finally, I'd like to ask a minister how she envisions that the cost of the sentence is financed.
ParlaMint-IS_2018-12-10-44.u10	Mr. President. Thank you. A senator for the inquiry. Clearly, the Supreme Court has spoken, and the last word in this matter, actually turned to the court's judgment on the same matter. Hv. A senator is here asking a few questions related to this matter. First of all, I'd like to say, "Hv. A senator asks how this will affect the fishing bill that is in this room for release. My answer is that this judgment is about the distribution of resources and, therefore, a fishing system. It's not about the pressures of hunting fees. We can disagree or agree on whether the right was right back then, 2012, separate the fishing system, i.e. It's a law and a hunting law. It was the decision of the left movement that the green supply was made at that time in the government, and I believe that it was the right decision to separate it at that time. I don't think this judgment has any effect on how we deliver the hunting bill, which I believe was well prepared and is about ensuring a fair share in the resource industry. We can debate the percentage, 33% plus recognizable pressure, or any other figure, but I think that's a fair way. Of course, when it comes to the law about the fishing system, this judgment must be addressed to the future by a change of law. This distribution was at its time determined by the Regulation, i.e. macroil was given by regulations and the law was not specifically altered. Of course, the court calls for us to cross the legal environment. Hv. A senator also asks for financial losses, but this is not the case. I don't know where it is, and I know it's the highest. A marine and agricultural minister also responding has decided to call on experts to review the next steps on the matter, of course, because it is important that very reasonable matters be kept in mind.
ParlaMint-IS_2018-12-10-44.u11	Mr. President. Yes, it is true that we have debated the identity of the hunting fees of propentan. This is 33%, but the government's time as the highest. The result was 60 percent, so it might be considered. Again, I ask how to finance this sentence. I have an idea, topv. Prime Minister, because we now have these fishing fees to issue the project in 2015, which is no less than the best year in the history of the project. Now, as we begin to lose weight and, as I said earlier, the best year in the history of the project, I suggest that we take in what we have justified for one year, as I said before, the best year of the year in the history of the project, and use it at least in part to pay for this damage that has been done.
ParlaMint-IS_2018-12-10-44.u12	Mr. President. The most important thing to me in this case about what has been going on in the discussion of the case after the death of the sentence this weekend is that there is no reason to question the rules of the fishing system that the resource is the national share. There is nothing in the judgment that gives reason to say that there is no doubt about it. On the other hand, I'm gonna say the word with what. A senator in his previous inquiry. It is very important that we gather the resource regulations in a constitution to prepare these laws more clearly. I don't think this judgment would undermine it. The sentence may primarily fall, as I have been reported, on the non-law fishing law given at the time of the time. A seafaring minister was the Þorsteinn chief of Pálsson's son. So it has been a long time since the law was given. Therefore, I don't think that the court would put any doubt on the matter of financing. [[The president calls.]] Then I'd like to reiterate that I don't feel it right to mix up discussions about the fishing system and the laws on the pressures of hunting costs. [[The president calls.]]
ParlaMint-IS_2018-12-10-44.u13	A respectable president. During the last days of the Council, roads are being added throughout the country into a transport program. Pays for all three stock routes out of the capital, expenditures on all tunnels, expenditures on various projects across the country. Instead, construction will be accelerated, and even new projects will be added. It can be estimated that the cost of paying the road will be about 2.5-5.5 billion dollars. This year, depending on how many new projects are added. A year ago, a secretary of transportation said that there was no pretext for major routes from Reykjavík, but since then a minister seems to have changed his mind. I'd like to ask the highest. A secretary of transportation on two things: Why is the solution now a worldwide challenge? How does a minister feel that the basic change in the transport system of the Icelanders is not being properly treated but is being pushed through the Parliament during the last week of the autumn Summit, with a change in the development of more environmental and transport committees in cooperation with the transport secretary? Is this in harmony with the Mosaic Law covenant, that all plans for a longer future will need to be done in more consultation and with better communication?
