Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2018-04-26-56	ParlaMint-IS_2018-04-26-56.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-56, 26.04.2018.	2018-04-26	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2018-04-26-56	ParlaMint-IS_2018-04-26-56.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-56, 26.04.2018.	2018-04-26	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	LogiEinarsson	Einarsson, Logi	M	1964	
ParlaMint-IS-en_2018-04-26-56	ParlaMint-IS_2018-04-26-56.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-56, 26.04.2018.	2018-04-26	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2018-04-26-56	ParlaMint-IS_2018-04-26-56.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-56, 26.04.2018.	2018-04-26	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	LogiEinarsson	Einarsson, Logi	M	1964	
ParlaMint-IS-en_2018-04-26-56	ParlaMint-IS_2018-04-26-56.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-56, 26.04.2018.	2018-04-26	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2018-04-26-56	ParlaMint-IS_2018-04-26-56.u6	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-56, 26.04.2018.	2018-04-26	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	THorgerdurGunnarsdottir	Gunnarsdóttir, Þorgerður K.	F	1965	
ParlaMint-IS-en_2018-04-26-56	ParlaMint-IS_2018-04-26-56.u7	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-56, 26.04.2018.	2018-04-26	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2018-04-26-56	ParlaMint-IS_2018-04-26-56.u8	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-56, 26.04.2018.	2018-04-26	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	THorgerdurGunnarsdottir	Gunnarsdóttir, Þorgerður K.	F	1965	
ParlaMint-IS-en_2018-04-26-56	ParlaMint-IS_2018-04-26-56.u9	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-56, 26.04.2018.	2018-04-26	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2018-04-26-56	ParlaMint-IS_2018-04-26-56.u10	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-56, 26.04.2018.	2018-04-26	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	notMP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	JonTHorvaldsson	Þorvaldsson, Jón Þór	M	1975	
ParlaMint-IS-en_2018-04-26-56	ParlaMint-IS_2018-04-26-56.u11	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-56, 26.04.2018.	2018-04-26	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigurdurJohannsson	Jóhannsson, Sigurður Ingi	M	1962	
ParlaMint-IS-en_2018-04-26-56	ParlaMint-IS_2018-04-26-56.u12	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-56, 26.04.2018.	2018-04-26	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	notMP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	JonTHorvaldsson	Þorvaldsson, Jón Þór	M	1975	
ParlaMint-IS-en_2018-04-26-56	ParlaMint-IS_2018-04-26-56.u13	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-56, 26.04.2018.	2018-04-26	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigurdurJohannsson	Jóhannsson, Sigurður Ingi	M	1962	
