Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2018-06-12-79	ParlaMint-IS_2018-06-12-79.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-79, 12.06.2018.	2018-06-12	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	BirgirTHorarinsson	Þórarinsson, Birgir	M	1965	
ParlaMint-IS-en_2018-06-12-79	ParlaMint-IS_2018-06-12-79.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-79, 12.06.2018.	2018-06-12	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	KolbeinnProppe	Proppé, Kolbeinn Óttarsson	M	1972	
ParlaMint-IS-en_2018-06-12-79	ParlaMint-IS_2018-06-12-79.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-79, 12.06.2018.	2018-06-12	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	THorhildurAEvarsdottir	Ævarsdóttir, Þórhildur Sunna	F	1987	
ParlaMint-IS-en_2018-06-12-79	ParlaMint-IS_2018-06-12-79.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-79, 12.06.2018.	2018-06-12	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	JonValdimarsson	Valdimarsson, Jón Steindór	M	1958	
ParlaMint-IS-en_2018-06-12-79	ParlaMint-IS_2018-06-12-79.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-79, 12.06.2018.	2018-06-12	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	SigridurAndersen	Andersen, Sigríður Á.	F	1971	
ParlaMint-IS-en_2018-06-12-79	ParlaMint-IS_2018-06-12-79.u6	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-79, 12.06.2018.	2018-06-12	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2018-06-12-79	ParlaMint-IS_2018-06-12-79.u7	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-79, 12.06.2018.	2018-06-12	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	OddnyHardardottir	Harðardóttir, Oddný G.	F	1957	
ParlaMint-IS-en_2018-06-12-79	ParlaMint-IS_2018-06-12-79.u8	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-79, 12.06.2018.	2018-06-12	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2018-06-12-79	ParlaMint-IS_2018-06-12-79.u9	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-79, 12.06.2018.	2018-06-12	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2018-06-12-79	ParlaMint-IS_2018-06-12-79.u10	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-79, 12.06.2018.	2018-06-12	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2018-06-12-79	ParlaMint-IS_2018-06-12-79.u11	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-79, 12.06.2018.	2018-06-12	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	NjallFridbertsson	Friðbertsson, Njáll Trausti	M	1969	
ParlaMint-IS-en_2018-06-12-79	ParlaMint-IS_2018-06-12-79.u12	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-79, 12.06.2018.	2018-06-12	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	NjallFridbertsson	Friðbertsson, Njáll Trausti	M	1969	
ParlaMint-IS-en_2018-06-12-79	ParlaMint-IS_2018-06-12-79.u13	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-79, 12.06.2018.	2018-06-12	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	THorgerdurGunnarsdottir	Gunnarsdóttir, Þorgerður K.	F	1965	
ParlaMint-IS-en_2018-06-12-79	ParlaMint-IS_2018-06-12-79.u14	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-79, 12.06.2018.	2018-06-12	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	SmariMcCarthy	McCarthy, Smári	M	1984	
ParlaMint-IS-en_2018-06-12-79	ParlaMint-IS_2018-06-12-79.u15	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-79, 12.06.2018.	2018-06-12	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	notMP	notMinister	P	Píratar	-	Pirate Party	SnaebjornBrynjarsson	Brynjarsson, Snæbjörn	M	1984	
ParlaMint-IS-en_2018-06-12-79	ParlaMint-IS_2018-06-12-79.u16	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-79, 12.06.2018.	2018-06-12	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	OliKarason	Kárason, Óli Björn	M	1960	
ParlaMint-IS-en_2018-06-12-79	ParlaMint-IS_2018-06-12-79.u17	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-79, 12.06.2018.	2018-06-12	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	AlbertinaEliasdottir	Elíasdóttir, Albertína Friðbjörg	F	1980	
ParlaMint-IS-en_2018-06-12-79	ParlaMint-IS_2018-06-12-79.u18	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-79, 12.06.2018.	2018-06-12	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	THorgerdurGunnarsdottir	Gunnarsdóttir, Þorgerður K.	F	1965	
ParlaMint-IS-en_2018-06-12-79	ParlaMint-IS_2018-06-12-79.u19	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-79, 12.06.2018.	2018-06-12	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	JonOlafsson1977	Ólafsson, Jón Þór	M	1977	
ParlaMint-IS-en_2018-06-12-79	ParlaMint-IS_2018-06-12-79.u20	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-79, 12.06.2018.	2018-06-12	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	GudlaugurTHordarson	Þórðarson, Guðlaugur Þór	M	1967	
ParlaMint-IS-en_2018-06-12-79	ParlaMint-IS_2018-06-12-79.u21	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-79, 12.06.2018.	2018-06-12	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	SmariMcCarthy	McCarthy, Smári	M	1984	
ParlaMint-IS-en_2018-06-12-79	ParlaMint-IS_2018-06-12-79.u22	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-79, 12.06.2018.	2018-06-12	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	notMP	notMinister	P	Píratar	-	Pirate Party	SnaebjornBrynjarsson	Brynjarsson, Snæbjörn	M	1984	
ParlaMint-IS-en_2018-06-12-79	ParlaMint-IS_2018-06-12-79.u23	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-79, 12.06.2018.	2018-06-12	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	HaraldurBenediktsson	Benediktsson, Haraldur	M	1966	
