Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2018-10-09-15	ParlaMint-IS_2018-10-09-15.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-15, 09.10.2018.	2018-10-09	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	LiljaMagnusdottir	Magnúsdóttir, Lilja Rafney	F	1957	
ParlaMint-IS-en_2018-10-09-15	ParlaMint-IS_2018-10-09-15.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-15, 09.10.2018.	2018-10-09	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	HelgaHelgadottir	Helgadóttir, Helga Vala	F	1972	
ParlaMint-IS-en_2018-10-09-15	ParlaMint-IS_2018-10-09-15.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-15, 09.10.2018.	2018-10-09	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	LiljaMagnusdottir	Magnúsdóttir, Lilja Rafney	F	1957	
ParlaMint-IS-en_2018-10-09-15	ParlaMint-IS_2018-10-09-15.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-15, 09.10.2018.	2018-10-09	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	HelgaHelgadottir	Helgadóttir, Helga Vala	F	1972	
ParlaMint-IS-en_2018-10-09-15	ParlaMint-IS_2018-10-09-15.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-15, 09.10.2018.	2018-10-09	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	LiljaMagnusdottir	Magnúsdóttir, Lilja Rafney	F	1957	
ParlaMint-IS-en_2018-10-09-15	ParlaMint-IS_2018-10-09-15.u6	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-15, 09.10.2018.	2018-10-09	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	SmariMcCarthy	McCarthy, Smári	M	1984	
ParlaMint-IS-en_2018-10-09-15	ParlaMint-IS_2018-10-09-15.u7	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-15, 09.10.2018.	2018-10-09	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	THorgerdurGunnarsdottir	Gunnarsdóttir, Þorgerður K.	F	1965	
ParlaMint-IS-en_2018-10-09-15	ParlaMint-IS_2018-10-09-15.u8	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-15, 09.10.2018.	2018-10-09	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	AlbertinaEliasdottir	Elíasdóttir, Albertína Friðbjörg	F	1980	
ParlaMint-IS-en_2018-10-09-15	ParlaMint-IS_2018-10-09-15.u9	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-15, 09.10.2018.	2018-10-09	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	AsmundurFridriksson	Friðriksson, Ásmundur	M	1956	
ParlaMint-IS-en_2018-10-09-15	ParlaMint-IS_2018-10-09-15.u10	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-15, 09.10.2018.	2018-10-09	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	BjornGunnarsson	Gunnarsson, Björn Leví	M	1976	
ParlaMint-IS-en_2018-10-09-15	ParlaMint-IS_2018-10-09-15.u11	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-15, 09.10.2018.	2018-10-09	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	HelgiGunnarsson	Gunnarsson, Helgi Hrafn	M	1980	
