ParlaMint-IS_2018-03-22-43.u1	The president considers an agreement that may last longer than the Senate allows.
ParlaMint-IS_2018-03-22-43.u2	The president wants to report that seven letters have been received from the secretary of transportation and rural administration, where they request an deadline to provide written answers to the inquiries of the panels. 260, about the future of Reykjavík's airport, from the Þorsteinn of Katrín Gunnarsdóttir's daughter, to the river. 303, on the Western island vector from Ásmundur Friðriksson, to the river. 426, Regarding the Ministry's staff and the establishments of the minister's case, from the village of Sæmundsson, to the threshing floor. 378, for the ministers and for the driver, from Björn the Leví of Gunnarsson, to the threshing floor. 435 on transport funding, from the University of Bryndís's Haraldsdóttir, to the threshing floor. 337, for the cost of land landings, from Björn the Leví of Gunnarsson and on the threshing floor. 392, of the re-education of passengers and freight trucks, of Rafney Hyn Island Magnúsdóttir. There have been five letters received from the Secretary of Economic and Economic Affairs requesting every time in order to provide written answers to panels. 567, on the tribute of the treasure of the kingdom, from Óli Björn the son of Kárason, to the threshing floor. 382, for the ministers and for the drivers, from Björn the son of Gunnarsson, to the threshing floor. 397, on the recruitment of a minister driver, from Björn the Leví of Gunnarsson, to a threshing floor. 423 members of the Ministry and institutions of the minister's case, the Þorsteinn Sæmundsson of Seymund, to the threshing floor. 463, the payaturities development of government executives and institutions, from Oddný G. Harðardóttir.
ParlaMint-IS_2018-03-22-43.u3	To answer, Prime Minister, Secretary of Economic and Economic Affairs, Education and Culture, and Minister of Foreign Affairs.
ParlaMint-IS_2018-03-22-43.u4	Mr. President. It was really nice to see how much the Germans responded. Prime Ministers, as well as those powerful heads of the nations, were exposed. Germany has shown great responsibility in the affairs of refugees, but sad to say, we Icelanders have been hospitable to children in bad circumstances during the visit. First, all classes met together, except the Independence Party, for the change in law to protect children from flight. In a paper with the bill, the Lawgiver's wish to always address material treatment applications for international protection if the applicant is in a particularly delicate position. Then the same groups resolved to immediately reconsider the alien law in order to ensure the right of children and respect the United Nations Children's Covenant. Four months after the government's start, it's not working. And worse still, the rights of children in this miserable situation have been neared. Now it looks like the highest. Minister of Justice has ignored the lawgiver's will completely by means of a new regulations. Sick children who had previously had the potential for safety and shelter will now be deported. This happens in the present government and, apparently, on the same day as the highest. The minister of justice is protected from confidence in the inadequacy of the majority of government officials. So I must ask the highest. Minister: Did she know of this regulations when the minister of justice was mistrusted? How does she feel about this principle? This is unscrupulous, inhumane, cold - cut, and must be ice - cold in the face of the left green that has spoken for more humanity in this language. Now they really try to see if their language is just empty. So I ask the highest. Prime Minister: Will she rise immediately and contradict conduct of the highest order? Minister of Justice?
ParlaMint-IS_2018-03-22-43.u5	Mr. President. Thank you. A senator warms my words and asks for a very important subject. Because of what? A senator asks me if I have been aware of the contents of the Regulation he referred to in the inquiry, then it wasn't to me. But I had overlooked observing the content of this Regulation. I have subsequently put myself in the criticality established by the Red Cross on the subject of the Regulation, in which the Red Cross feels that it is too far too difficult to pressure those who come here to flee. Because of what? A member in particular asks me how I react, and I have requested a conversation between the Ministry of Presidency and the Ministry of Justice to review the criticism of the Red Cross carefully and to review this matter entirely based on the criticism and how it should be handled. I want to reiterate that in the nucleus of the alien laws that were accepted here at the time, it is particularly noted that humanity should be our guide in the welcome of refugees and, especially, children. That is why it is important that we accept the serious criticism that has developed, and we review it in the realm of the government. Hv. A senator also asks for the cross - political work that was offered in a government contract, not just for a review of foreigners, but also for the development of foreigners. I have specifically asked for this, and I have received answers that there are still a shortage of nods from two political parties at the Council of that committee. So I've requested that they be pressed after them so that this work can start as early as possible because I've put emphasis on it, as it were. A senator also, that of this matter, there is a tendency toward parapolitical solidarity. It's important for a group like this one.
ParlaMint-IS_2018-03-22-43.u6	Mr. President. In fact, there is a possibility that there will not be an entirely parapolitic arrangement on this subject. This was shown in the position of the Independence Party in the last fall. But then, the rest of us, who really have more to do this, have to force our own will. I'm asking, "What's changed now if it's the highest? " Minister is listening to the Red Cross? Because the attitude of the Red Cross was long before the Regulation was signed. I'd like to ask the highest, too. Since she says she will press after the job of this transverse committee: "She is not worried about the highest level. Will Minister of Justice not simply ignore the conclusions made by the Parapolitan Commission and issue regulations in and out of the south? And then, in view of it: A minister does not consider reevaluating whether the office of power to the minister has become too delicate in some matters?
ParlaMint-IS_2018-03-22-43.u7	Mr. President. Because of what? A senator refers again to the transnational Synod committee, which is under the Treaty. So I'm not worried that I'll miss the job that's going to be there. I'm concerned, however, that I might be forced to nominate the committee. I understand from the Prosecutor of Porta that they have been appointing themselves, which is the best case. On the other hand, I also understand that there is still a request from the Central Party. I hope she's on her way because it's important that this job be started as soon as possible. That was in my previous answer to the question of why. A senator that, in turn, I will review this case specifically with the highest degree. The minister of justice, for it is important that we listen to the comments presented in the review of the Red Cross. As mentioned in my first answer, my attention to that comment was not taken until following the confirmation of the Regulation.
ParlaMint-IS_2018-03-22-43.u8	A respectable president. I'm here to direct a question to the highest. Financial and economic ministers. During the weekend, an independent party meeting met and concluded that I saw reason to commend the group in particular for a fine conclusion that turned to the Land Hospital, which has been very controversial here. Independents even reasoned. and said, on permission of the president: The construction will be completed on the National Hospital Building and related to the current activities. The need for immediate local selection for the development of high-risk hospital services with security and a stronger transport guide will be reviewed. Most of the people I know were so obvious that there was reason to celebrate this change of course, especially knowing about the discussion that has taken place. Now, the one here is so lucky to have many good independents for friends. Many of them were agents at a national meeting, not one... [[The article "What National Meeting? "]] That's what I'm talking about. [[Laughter at the Hall of Congress.]] But not one of them understood the conclusion that another hospital was being concluded and that it should be completed on Ring Road. There are two things I would like to ask the highest. Minister for. Is the government alone in this matter? With better articles on this subject that I have seen for a long time, an article is the highest. The Minister of Education for Alfreðsdóttir Alfreddd, under the heading, is there anything to fear about professional food? That article appeared in the morning newspaper. I encourage all members to read it because it is an excellent summary of the case and why we should have a local analysis. The other question I'd like to ask the highest. A minister who has been a financial or prime minister for the past few years: Has the definition of the building points been changed? I don't know any man who is willing to define it as if the treatment center of a land hospital has reached a level of construction. [[The president calls.]]
ParlaMint-IS_2018-03-22-43.u9	A respectable president. I missed what. A senator at the Independence Party meeting, he was a good associate there for years and a confidential member of the pack, year after year. No doubt he had mixed feelings when he from a long distance watched as a thousand came together to conclude on the various issues, including the following: the management of health issues. You're right. A senator says that there was also a part of the Bible. Step into what turns to Land Hospital. It is now that the treatment core of the Land Hospital has been completed in the design phase, for several weeks, for the use of shovels to reach a new treatment core, and so it is up to the level of construction. [[Up front.]] When people talk about the current projects or have advanced performances, they are talking about what has been designed. There's no question that in the context of the Land Hospital, people are talking about the fact that they're going to be in Iceland's emergency and university hospital, but they agreed on that in the Independence Party - and I'm not afraid. A senator just to come back to the category and attend a meeting if he is so interested in the work being done - that it is wise to look for long future in the construction of hospital services in Iceland and that it is time, even though we are in the middle of the process of completing the construction of the land hospital we have been able to accomplish here in the financial programmes of the past few years, to consider another more specialized hospital to support matters that will take up with the Ringway.
ParlaMint-IS_2018-03-22-43.u10	A respectable president. I especially watched this particular resolution made by the National Conference, and especially because the head of the Independence Committee is the same one that goes before our Hospital, I believe that the members of the community are interested in going to the hospital on the Circletrack and building there. But, of course, now I come only to my old friends, and present to defend, the general representative of the country meeting, that there is no one there to conclude that a new hospital is to be placed in a new place that should be in some sort of basic service and that needs to be given the safety, the stronger transportation routes, and so on along the streets if it is merely to replace hip joints and remove a mole. It's completely different, and there's no way that any general member of the United States... could have understood the matter in a way that seems to be replaced in the future. I reiterate my question. With reference to the good article as the highest. Is there anything to fear when it comes to professional food? [[The president calls.]] "Is the government in agreement on this matter?
ParlaMint-IS_2018-03-22-43.u11	A respectable president. I think that's what we're talking about. A senator should even request an immediate meeting on the Independence Party welfare committee and be there to ask just what position the conclusion is of inexplicable reasoning. Hv. A senator may just want to connect himself with the head of the Independence Committee, sit down with him, and ask how it is right to interpret the conclusions made by the Independence Committee. [[Up front.]] I don't know what it's all about in this chamber that a member of the Central Party calls for an explanation for a resolution on the Independence Committee. We may want to make it a practice to review the conclusions of various categories regularly. This could be upbuilding. [[Up front.]] But in this matter, we are simply talking about the rise of a hospital on the Ring Road, the Landspike. He'll be the emergency and university hospital. The Independence Party believes that it is time to consider further building hospital services, including those in the first century C.E. Because of the factors mentioned in that conclusion. [[Up front.]]
