ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u1	Good morning, everyone. Since our president is a little late, I'm going to open our meeting.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u2	Madam Minister, about two weeks ago, Belgium suddenly asked the European Commission for more details on how the target of reducing CO2 emissions by at least 55% by 2030, the European Commission's proposal, was calculated. This figure is intended to be used to reach an agreement at the meeting of the Directorate-General for European Affairs and Coordination, which took place yesterday. Madam Secretary, exactly what question did Belgium ask about this calculation? My second question concerns the so-called agreement. You tweeted "habemus pactum," on which Flemish minister Demir thought you were a little too energetic in communication. In the Flemish press there is even the word disinformation, but I leave it on Mrs Demir's behalf. I am interested in Flanders' concerns about efficiency on the one hand and flexibility on the other, two conditions on the other. The question arises as to whether or not this is contained in Charles Michel's draft texts that were leaked last week. What will happen next Thursday and Friday? The Prime Minister has a mandate to defend the Belgian position on the minus 55%, albeit with an obligation to defend the two important conditions of the Flemish Government, flexibility and efficiency, as well. If the other Member States do not comply with these conditions, I do not think Belgium can vote in favour, but Belgium should abstain. Madam Secretary, could you give us a more detailed explanation?
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u3	Mrs Daems is not present at the moment.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u4	Minister, this is an important day today. It's World Climate Day. It is therefore quite on the agenda to welcome the agreement that was announced yesterday and to question it. For the first time I think we have a national agreement before the European summit. We can welcome this, especially since civil society has been very active. We were able to attend the longest climate event last week from civil society that encouraged you and your government to find a solution. If we understood yesterday's communication correctly, a solution was found to support a 55% reduction in greenhouse gases at the European Summit. Nevertheless, I have three questions on this subject. We heard the communications and read the press, but could you tell us a little more about the terms of the agreement that you found with the federated entities? What is already accomplished at this stage? What is the status of discussions on Belgium's position regarding the acceptance or rejection of theoretical reduction mechanisms, such as carbon sinks or other tricks, in the calculation of greenhouse gas emission reductions?
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u5	Colleagues, on 19 November a discussion took place between our ambassador, representatives of the climate ministers of the Länder, a representative of the Prime Minister, and representatives of the European Commission on the other side of the table. Indeed, the European Commission gave each Member State the opportunity to discuss its impact analyses of the increased climate target of minus 55%. The European Commission stressed that it is crucial to work quickly on the additional measures of the National Energy and Climate Plan and to make sufficient linkages with the National Recovery Plan for Recovery and Resilience. It also addressed the national impact of the min-55 % target, which mainly depends on the policy choices of the different entities, and the funding foreseen at European level. It was a constructive conversation. The position ahead of the European Council is defined in the DGE. The DGE establishes a negotiating position and it is the Prime Minister who conducts the negotiations in the European Council. We want him to be able to serve the interests of Belgium and the various entities in the best possible way. I have worked intensively over the past few weeks to reach an agreement. The federal government agreement supports the minus 35% by 2030, as it is a logical intermediate objective towards carbon neutrality. We need these European objectives and higher ambitions of other major polluters to protect ourselves from the worst consequences of climate change, such as a rapidly rising sea level. As you said, and as reported in the press, Belgium still wishes to highlight important points of attention in the European negotiations. However, all entities expressed their willingness to accept the target of less than 55%. It is therefore with a constructive and positive message that we can go to the European Council. I am pleased that Belgium, together with Bulgaria, does not continue to put a brake on it and has decided to rejoin the countries that want to move forward. Belgium's main focus will be on the fact that the objective to be achieved must be shared between Member States on the basis of justice, solidarity and cost efficiency. We know from recent figures from Climate Action Tracker that such a commitment actually slows down dangerous climate change. At the same time, the European Commission's analysis shows that minus 55% is good for air quality and health, for the economy and for job creation after the corona crisis. We are therefore looking forward to the operationalisation of the objective, and we will not avoid any difficult questions.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u6	Mrs Daems, I see you're here now. The Minister has just replied, but I will give you the floor later in the reply. Your question will be taken into account for the report.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u7	Madam Minister, you are very concerned about the conditionality of the agreement that was concluded yesterday, and you focused above all on the ambition of the federal government, which is, of course, your job. However, the reality is what it is and cost efficiency and flexibility remain very important for the Flemish government. I can therefore imagine that we will once again have a problem if there is no satisfaction at the European summit. We can then ask you again about this in the next few weeks. Thursday and Friday will certainly be a very important moment.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u8	Mr President, Madam Minister, I would like to point out that by agreeing with the various entities, Belgium is sending an excellent signal. We've been waiting for this moment for a long time. This brings great satisfaction and reveals many things. First of all, we must stress the work done by citizens for years and, in any case, over the last two years. This has made us all aware of the climate emergency. It should also be noted that the different governments in Belgium today are able to meet this challenge. This is a great relief, especially since yesterday, we learned that our country has fallen again in the rankings of the Climate Change Performance established by the Germanwatch organisation which places Belgium in 40th place on the 57 countries analysed. This shows, in any case, that we are emerging from several years of inactivity and that today there is a strong political will to move forward in this area. So I repeat once again that it is a real relief. I would also like to recall two or three elements. First of all, 55% is a very important figure, although scientists are asking for even more effort. Let us therefore rejoice in what we have achieved, but bear in mind that we will have to move forward in the months and years to come. Indeed, in its last report, the IPCC requests 65 per cent. I would like to remind you that we know that some are negotiating to cheat on the figures. I really hope that Belgium will be extremely clear and firm on the 55% percentage and that it will not chip with figures on forests, oceans, etc. Finally, let us remember that some countries will push so that European investments can also support nuclear power. But the climate future is not nuclear. In addition, we need money to develop renewable energy. We therefore hope that it is this message that you and Mr. De Croo will take part in the summit which will take place on Thursday and Friday.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u9	Prime Minister De Croo will also be present tomorrow at the meeting of the Advisory Committee on European Affairs, prior to the summit. That's another time you might be able to question him.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u10	Mr President, I was having trouble logging in for the meeting. Madam Secretary, thank you for the answer. In order to achieve the climate objectives of the Paris Agreement, the level of ambition for 2030 needs to be substantially increased. The European Parliament is right to go ahead with 60% reduction in emissions by 2030 compared to 1990. Last week, the Climate Coalition and Greenpeace presented a symbolic 60-hour action to the various parliaments of our country. The latest scientific evidence suggests that even this 60% reduction is no longer sufficient and we need to aim for a 65% reduction by 2030 in order to meet the Paris climate targets. Hopefully that will be taken with you. We are of course very relieved that you have been able to convince Flanders of an increase in the Belgian climate ambition, even if it is not enough to remain below 1.5°C warming by the end of this century, as agreed in the Paris Agreement. However, we find the conditions under which the Flemish Government has promised its support unreasonable. We encourage you to change that, so that both Flanders in Belgium and Belgium in Europe can contribute a fair stone to achieving the climate objectives.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u11	Mr President, Minister, six Portuguese young people are given the green light through a declaration of admissibility to advocate their 'climate case' at the European Court of Human Rights. At the beginning of September 2020, they had filed the case against 33 countries, including the 27 European Member States. In their view, countries have not been able to implement in-depth and urgent emission reductions in order to secure their future. The ECHR is asked de facto to hold 33 countries responsible for triggering the climate crisis. If young people succeed, the countries indicted would, among other things, be legally obliged to increase emission reductions. The declaration of admissibility indicates that the European Court of Human Rights considers that the climate effects faced by Portuguese young people are so serious that their rights are demonstrably violated under Article 3 of the European Convention for the Protection of Human Rights. That is, of course, far-reaching, because Article 3 states that 'no one may be subjected to torture or to inhuman or degrading treatment or punishment'. You may be wondering what you have to do with that, as a Belgian minister. Well, the next step is that the 33 countries are obliged to respond to the charge by the end of February unless a friendly settlement is reached sooner. Experts believe that the declaration of admissibility of the "Portuguese climate case," as already mentioned, can set an important precedent and pave the way for other climate issues based on human rights arguments. We've already had climate issues in our country. A case based on human rights arguments goes a step further, of course. I have the following questions. Is the defence conducted at EU level and to what extent are the individual Member States, including, of course, our country, involved? What is your view on the methodology of climate change issues, which are emerging increasingly before courts?
