Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2020-06-10-55-commissie-ic203x	ParlaMint-BE_2020-06-10-55-commissie-ic203x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-06-2020	2020-06-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	MuylleNathalie	Muylle, Nathalie	F	1969	
ParlaMint-BE-en_2020-06-10-55-commissie-ic203x	ParlaMint-BE_2020-06-10-55-commissie-ic203x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-06-2020	2020-06-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanrobaeysAnja	Vanrobaeys, Anja	F	1968	
ParlaMint-BE-en_2020-06-10-55-commissie-ic203x	ParlaMint-BE_2020-06-10-55-commissie-ic203x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-06-2020	2020-06-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	TillieuxEliane	Tillieux, Eliane	F	1966	
ParlaMint-BE-en_2020-06-10-55-commissie-ic203x	ParlaMint-BE_2020-06-10-55-commissie-ic203x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-06-2020	2020-06-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	JirofléeKarin	Jiroflée, Karin	F	1962	
ParlaMint-BE-en_2020-06-10-55-commissie-ic203x	ParlaMint-BE_2020-06-10-55-commissie-ic203x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-06-2020	2020-06-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	MuylleNathalie	Muylle, Nathalie	F	1969	
ParlaMint-BE-en_2020-06-10-55-commissie-ic203x	ParlaMint-BE_2020-06-10-55-commissie-ic203x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-06-2020	2020-06-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	JirofléeKarin	Jiroflée, Karin	F	1962	
ParlaMint-BE-en_2020-06-10-55-commissie-ic203x	ParlaMint-BE_2020-06-10-55-commissie-ic203x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-06-2020	2020-06-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	MuylleNathalie	Muylle, Nathalie	F	1969	
ParlaMint-BE-en_2020-06-10-55-commissie-ic203x	ParlaMint-BE_2020-06-10-55-commissie-ic203x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-06-2020	2020-06-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	TillieuxEliane	Tillieux, Eliane	F	1966	
ParlaMint-BE-en_2020-06-10-55-commissie-ic203x	ParlaMint-BE_2020-06-10-55-commissie-ic203x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-06-2020	2020-06-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
ParlaMint-BE-en_2020-06-10-55-commissie-ic203x	ParlaMint-BE_2020-06-10-55-commissie-ic203x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-06-2020	2020-06-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	MuylleNathalie	Muylle, Nathalie	F	1969	
ParlaMint-BE-en_2020-06-10-55-commissie-ic203x	ParlaMint-BE_2020-06-10-55-commissie-ic203x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-06-2020	2020-06-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
ParlaMint-BE-en_2020-06-10-55-commissie-ic203x	ParlaMint-BE_2020-06-10-55-commissie-ic203x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-06-2020	2020-06-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	MuylleNathalie	Muylle, Nathalie	F	1969	
ParlaMint-BE-en_2020-06-10-55-commissie-ic203x	ParlaMint-BE_2020-06-10-55-commissie-ic203x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-06-2020	2020-06-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
