ParlaMint-BE_2020-06-16-55-commissie-ic208x.u1	Written copies of the Minister's presentation are available.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u2	Madam President, my question largely lapses in view of the explanatory statement already made by the Minister for the Budget. If additional information is available in the meantime, it is welcome, but I thank the Minister for his explanation last week.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u3	Mr Loones, is the same true of your colleague Van der Donckt, who is not present at the moment? [[Oui]] Mr. Laaouej, would you like to ask your question?
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u4	Madam President, in my view, it is best to hear, first of all, the introductory statement by the Deputy Prime Minister. After that, we may be able to interact.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u5	Of course! Wisely, in peace and discipline.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u6	Good morning, everyone. I propose to go through the slides together, which I will read in French but which will be broadcast in Dutch and which will also be at your disposal. I have endeavoured to offer you as current a summary as possible of the special provision VOCID-19, which consists of two tranches of one billion euros. The figures were finalized by 12 June. I also included in the second part of my presentation the two superkern – pass me the expression! – and their potential impact on the provision. One part of my presentation was scheduled for 12 June, the other part also includes projections based, among other things, on the decisions and proposals adopted at the two meetings mentioned above. The VOCID-19 provision therefore consists of two billion euros, one billion of which is still to be approved by Parliament and which is currently used only for federal public services (FPS), federal public programming services (FPS) and federal departments, as well as for expenditures by federal public administrative agencies and self-accounting administrative services (SACA). I have compiled an updated table for each CPS. You will find that €3,080,000 is spent on commitments to the Chancery. The amounts relating to liquidation are also shown. Similarly, Justice is awarded €975,000, the Interior €1,048,000, Foreign Affairs €3,102,000, Defence €47,700 000, the Police €1,037,000, Social Security €3,400,000, Public Health €820 million, Economy €7,157 000 and, finally, Social Integration €19,062,000. The total, which was arrested on 12 June, amounts to 906 million euros. What has been the use and use of these means? Priority was given to expenditure on protection of the population: Crisis Centre, information centre, medical equipment; and in a second phase, the emphasis was on support and prevention measures: food aid, shelter for homeless people, study on the spread of VOCID-19, purchase of medicines. The Chancery has conducted a federal campaign to fight coronavirus. The appropriations granted of EUR 3 080 000 and EUR 1 561 000 have already been consumed by 3 June 2020. These funds were granted for the financing of the communication linked to VOCID-19: advertising, news programmes in the press, on television, etc. As far as the Inland FPS is concerned, there is mainly the Crisis Centre. The appropriations granted are EUR 1,048,000, of which EUR 411,000 have already been consumed. The resources have been allocated to enable the Crisis Centre to carry out its monitoring and information missions, to set up a call centre, and to cover the costs associated with it. For the FPS Foreign Affairs, in particular for SACA Consular Affairs, appropriations were granted in the amount of EUR 3,102 000. Current consumption is zero for FPS Foreign Affairs. On the other hand, for SACA, consumption amounted to EUR 4 020 000 at the end of April. Consumption is higher than the appropriations provided. This will require an increase in appropriations. These resources were mainly granted for the repatriation of Belgians abroad. For the SPP Social integration, the receptions of the homeless, there is the extension of the winter reception. The appropriations are EUR 852,000. Consumption is already €852,000 in commitment and €639,000 in liquidation. To ensure the support measures for CPAS, up to EUR 15 million was granted, of which EUR 12 million was in liquidation. There is also €3 million for food aid and €241,000 for support for seasonal work. For the moment, the actual consumption is 0 euro but the royal decrees are being published. For the Social Security FPS, the Voluntary Compensation Fund receives €400,000 in funding. The Royal Decree is also being published. For the Kenniscentrum, the Centre of Expertise (KCE), €3 million has been allocated and actual consumption is zero, since the launch of the contracts is under consideration. Credit is granted to participate in the European study on VOCID-19, including the launch of a national study. For the Justice FPS, the ICT services and DG PPE, the appropriations granted are EUR 975,000. Consumption on 3 June 2020 is €434,000. These are mainly hydro-alcoholic gel, protective equipment and ICT equipment to allow the widespread introduction of telework and the adaptation of the Cross-Border platform. As far as the acquisition of protective equipment is concerned, this is obviously the lion's share. The acquisition of protective equipment was allocated to three jurisdictions for the following expenditures. The SPF Economy bought 22 million filters. The Defence purchased 18 million masks and the Public Health FPS purchased 820 million euros worth of equipment. I have prepared a small table that explains in more detail the material used by the Public Health FPS. The cost of masks and protective equipment is EUR 540 million (EUR 476 million was committed and EUR 390 million liquidated). In addition, Defence has entered into a contract for the purchase of equipment for €290 million. It was an existing defence framework market that we used for €200 million. But today, only 40 million are committed and 28 million are liquidated. With regard to the purchase of medicines, $40 million has been earmarked. At present, €20,822 million is committed and €18 million is liquidated. The testing has received 25 million credits, of which 23 million are committed and 12 million are liquidated. There is also an amount of EUR 10 500 million for the air transport of masks. I explain to you: in certain markets, the cost of masks means transport included. In other markets, aircraft must be sent to transport masks. The amount I have just mentioned is intended to cover the cost of these flights. But usually the cost of transportation is included in the price. In any event, EUR 10 500 million has been committed for the airlift of masks. An amount of EUR 4 million is intended for the task force on miscellaneous expenditure. I will come back to the matter in more detail earlier. That's for the headlines! I have then broken down the expenditure by heading. You can see that the purchase of masks represents 56% of the expense. Then there is the purchase of gloves and protective clothing, which accounts for 36%, the purchase of testing equipment at 4%, the purchase of chemicals, medicines at 3%, and the purchase of miscellaneous products at 1%. There are several kinds of masks: FFP2, LK95 and surgical masks. The Public Health FPS ordered more than 377 million masks, amounting to 338 million euros. These masks were mainly purchased in China (49%) and Belgium (46%). When you buy in Belgium, this does not mean that masks are necessarily produced in Belgium. This means that Belgian companies have had the market. They may be supplied in Vietnam, India or China. NATO accounts for 5%. We also had the opportunity to benefit from a market in NATO countries, which buy products. We have sometimes used this NATO framework market for equipment. But it is NATO suppliers that provide. We don't know how to identify them today, but the market is 5%. You then have the details of the masks we bought. Purchases of surgical masks represent 79% in Belgium and 4% in China. In summary, it can be said that surgical masks were purchased mainly from Belgian companies. Surgical masks were also purchased through the NATO framework market. FFP2 masks were purchased through German companies and Belgian companies. You have the details by color. In the case of gloves and protective clothing, 65% of this equipment was purchased in Belgium, 25% in China, 4% in the Netherlands, 3% through the NATO market, and 1% in the United States. We also bought a little in Malaysia, Canada, Panama, France, etc. On pharmaceuticals, orders were placed for 21 million euros by the Federal Agency for Medicines and Health Products. I'm not going to give you the details of all the drugs. I thank you, but know that 43% were bought in Belgium, 29% in China, 15% in Ukraine, 4% in Israel, 3% in the Netherlands, 1% in Germany, Croatia, Hungary, Ireland and even a little bit in Romania. As regards testing equipment, orders were placed for 21 million euros: 40% of orders came from Italy, 25% from China, 12% from Korea, 12% from China and 11% from the United States. Included under this heading are ancillary expenditure arising from the management of the crisis amounting to EUR 3,788,000, of which approximately 2 million in consultancy costs. The government was assisted by consulting companies, including the procurement team. Purchases have been made all over the world. Some consultants were used to find the products to be found quickly: Deloitte Consulting for 1.2 million euros, SOLVINT Supply Management for 159 000 euros, YQ Purchasing for 98 000 euros, Cronos Groep for 96,000 euros, Purson for 77 000 and EMAX for 69 000 euros. At the federal police, one million euros had also been made available for the purchase of masks for the agents, but the market could not be realized because another technique was used for the supply of this equipment. So it was through the defence market that the police got their equipment. This EUR 1 million appropriation is unlikely to be consumed. That is for the firm and definitive measures of 12 June. Now I'm going to tell you about the future, which obviously involves a lot of conjecture. With BOSA (Beleid en Ondersteuning/Strategy and Support) and other services, we tried to quantify the pending expenses. Two expanded kerns were held on 6 and 13 June, respectively, and made several decisions that we charged in this provision. It is important to know that some of them are not integrated. Thus, when we opt for an extension of temporary unemployment or bridge law, these choices are not included in the provision, but are taken over by the ONEM or INASTI in their own appropriations. So here we are talking only about superkern decisions. We decided to grant a cheque of 50 euros for six months to beneficiaries of social integration income. According to our estimates, it will cost 42 million euros. For people with disabilities, we have estimated the likely cost at €56 million, while it will reach €27 million for GRAPA beneficiaries. In addition, a decision is being taken to grant citizens 10 free journeys via SNCB. We have named this measure the Rail Pass. Even if it may not be quite that name, the mechanism will remain the same. According to SNCB, this measure would cost EUR 110 million. I am just repeating this estimate, which is due only to this undertaking. The 15% increase in federal government intervention for RIS beneficiaries represents €21 million. An amount of EUR 100 million is foreseen for aid to the CPAS (superkern decision of 13 June) and an amount of EUR 10 million for support to the CPAS in order to carry out their tasks. As far as hospitals are concerned, the cost of first-line aid to hospitals for a period of three months (March to June 2020) is estimated at EUR 185 million. For the possible renewal of this aid, we have also provided EUR 150 million. Other expenses are anticipated. I'll deliver them to you in bulk. For Fedasil, there is a need to adapt the buildings to accommodate asylum seekers in accordance with the rules for preventing the spread of VOCID-19; this would amount to €45 million. The Public Health FPS plans to set up a systematic testing system for €84 million. At the Chancellery level, a grant of €20 million is granted to two universities to carry out a study. An amount of EUR 50 million is foreseen to finance applications from the various SPFs and public administrative bodies. It's an envelope in the envelope, if you'll allow me to express it. This will enable us to deal with a variety of requests that are not yet made, but which can be feared. We have therefore provided $50 million in the $2 billion envelope for potential miscellaneous expenditures in the organizations. There are still three million for communication requested by the Chancellery and 2.3 million for protection equipment for civil protection (Inner SPF). Also under the VOCID, Fedasil has also requested $6 million for the acquisition of sanitary containers, maintenance products, isolation of affected or suspected applicants. The Defense wanted 1.5 million for the distribution of 15 million masks ordered by citizens via pharmacies. Therefore, these means were not claimed by the Defence; this is indeed the remuneration of pharmacies for the distribution of masks. We also have 12 million studies for the KCE. Also in the field of public health, 4 million for the establishment of an ICT platform for testing and 8 million for ambulance services. For the Social Integration PPS, we have 3 million for food and hygiene aid, and 0.8 million to maintain winter reception until October 31, 2020. In terms of the envelope, we therefore have a first part closed on 12 June and I can tell you that the whole of this envelope amounts to 903 million euros in liquidation. In the second part of my presentation, we have potential expenditures of $992 million. In short, we are almost 1.9 billion if we inject all this data. But as you can see, almost half of the figure concerns forecasts of measures which have not yet been decided and which need to be refined. But at least you know what's hovering over that $2 billion envelope. I am at your disposal to try to answer your questions in more detail.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u7	Thank you, Minister, for this explanation, which gives us some more information on the use of resources. I'm a little freaked out by the big cost of the mouth masks. You provide for a total amount of more than EUR 400 million. Could you give me a little more explanation about that? Then I have a question about other expenditure of non-significant amounts. For Deloitte Consulting you provide 1.2 million. Could you give us some more details on that? Does this have to do with the contact tracing that is or is not going well at the moment? Is your summary table still dealing with the first billion, or is that the second billion already? Page 2 contains a commitment of 906 million and a liquidation of 903 million. Is that related to the first disc or is that also the second disc in it? Thank you for the more detailed explanation, which is yet again sobering and sobering on expenditure on protection measures. In that context, for testing, you still provide a relatively small amount, of almost 22 million, of orders placed. From a scientific point of view, it has been called for several months to roll out large-scale testing. You estimate the cost of that at 22 million. However, the masks and the like cost almost 400 million. That's a huge discrepancy. Could you clarify this further? I also have a question about the Standard Multi, the former Rail Pass, but it will be discussed later.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u8	Mr Minister, thank you for this transparency exercise, which we have also asked for and which is particularly useful. Most of the expenditure announced here has been the subject of consultations or even political decisions to which we have been associated in one way or another. However, I have a few questions to ask you, starting with a general question on the application of the rules on public procurement during this somewhat special period when the slogan was the urgency. Did your firm and administration pay particular attention to compliance or, on the contrary, did we have to compete less often than in normal times? Was a form of special powers regime introduced during this period? In connection with the above, I would like to go back to the table you are referring to in terms of consultancy fees, which are nevertheless quite high. You are announcing an amount of €3.78 million, including about €2 million for the consultation to support the government and the medical equipment procurement team. This means that an amount of about EUR 2 million was spent solely on public procurement, and I do not explain the usefulness of this consultation. Could you give me more details in this regard? If my calculations are good, the total consultancy fee is significantly lower than the €3.78 million you mention in your table. So where does the difference come from, and what is the detail of these expenditures? I come back to the table on the purchase of masks, the amounts of which are pharaonic: half a billion mask purchases in a stressed market environment, with rising prices internationally. I would just like to recall that the strategic stock of masks has not been renewed because of its cost, which was five times less than the masks purchased much more expensive in the emergency. This clearly illustrates that there are sometimes false savings. Trying to compress budgets at all costs puts us at risk. Of course, no one could fully predict this crisis, although recommendations had been made following the H1N1 influenza. These would have been, I think, very usefully met by the government. But I think that this will be the subject of questions for the special committee, which I hope will soon be set up. Finally, I will return to two amounts. First of all, the amount of EUR 110 million entered for free-tracks. You said that these figures were provided by SNCB. It is quite normal that there should be a dialogue between the government and the SNCB and that there should be a compensation from SNCB for this service that is requested. I would like to know more about how this compensation is calculated for SNCB. Is that a lump sum? Is there, behind this, a formal proposal put on the table by SNCB? Finally, at the request of the Chancellery, you overflew grants at two universities quite quickly, but you did not tell us the purpose of these studies or what these two universities were. However, this indication could be useful.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u9	Minister, thank you. The amounts are obviously pharminose for products that are not usually consumed. Necessity is law.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u10	Madam President, I would like to ask my question. 55007136C add to this debate at once. Thank you, Minister, for the clarity that is particularly useful in times when we are faced with budget deficits. The provisional appropriations have today become budgets for three or four months. Provisional appropriations traditionally mean that the amounts of the previous year are shared by twelve and then the monthly amount is obtained. Now there are two phenomena. Firstly, a lot of adjustments are being made and they are substantial. Secondly, there is the interdepartmental commission. It has arisen in the past and this is an extra, from which one can draw on exceptional things. In the past it was terrorism and now it is COOVID. However, I do miss the regular budgetary controls. A budget includes regular budgetary control, normally in March. Then it is decided to spend more somewhere, to look at the consequences and the corrective measures to be taken, to see where savings can be made. You are inciting clarity and transparency to Parliament, and I appreciate that. Is there some kind of budgetary control being carried out? How deep does it go? What conclusions do we draw? Can you share any conclusions? Let us be honest, if we have to make a lot of decisions in these times and take them quickly, then there are some things that are not going to work out very well. You mentioned one. Perhaps there are things to learn from so that next time the money can be spent more favourably, meaningfully or with greater efficiency. However, we must also look at where we could spend less in the present times, where we can save. It is seen that all companies have less car costs, less representation and event costs. I would like to take this opportunity to ask another question. We are in current affairs where provisional appropriations are actually hidden short-term budgets. What about budgetary control? Is there time for that? Does your administration have time for that? Did you give the order to do that? If so, what are the results?
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u11	Minister, thank you for all this information that is informative. I also see that you are trying to be as transparent as possible. However, in addition to these provisions which allow us basically to manage the interim, I would like to take advantage of this exchange of views as to whether the Minister for the Budget is planning in any way in the future, and in particular on the development of the public debt. Do we begin to receive positive signals from the European Commission that could go in the direction of a form of immunisation of the corona debt – in other words, identify the additional public debt since the beginning of the Corona crisis in order to get it out of any form of fiscal straitjacket that Europe could impose on us in the years to come? We hear and read a number of messages indicating that Europe is at the moment a little loose. Everyone will understand that it is difficult to do otherwise. However, with regard to these expenses which were unforeseen but which have the effect of generating an increase in debt and in the same way, all the least revenue which increases the deficit and which, therefore, themselves generate an increase in debt, could we not already plead some form of immunization of this debt, which could have been identified as the so-called "corona" debt? We are working hard on the notions of refinancing. This morning, we talked for long hours about the coronabonds – that's very good – but from the point of view of public debt, would it not be appropriate to try to see what existed at a time "t" and to see at a time "t+1" the over-indebtedness related to the effects of the corona crisis?
