ParlaMint-BE_2020-02-13-55-plenair-ip024x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2020-02-13-55-plenair-ip024x.u2	Minister, for five years, we have repeatedly denounced the budget cuts that your government has imposed on our judiciary, but also the lack of magistrates, the lack of clerks, experts, psychiatrists, the lack of training of judicial actors involved throughout the criminal chain, the lack of follow-up of sex offenders. You then told us that these savings measures, and that these staff shortages ultimately affected all services and not only justice, except, Minister, that justice is not a service like any other. This is our third constituted power. It is this power that makes it possible to balance our democracy and ensure the safety of our fellow citizens. Today, it is no longer only the members of the opposition who tell you, it is no longer only lawyers, judges or the European Court of Human Rights. It is parents, citizens who tell you, in this case, parents who believe that their daughter would still be alive if the judiciary had been able to function properly, if their daughter's repeat offender could have been arrested and tried within a reasonable time, as the European Convention on Human Rights obliges us to do. These parents are all about making sure Julie isn't dead for nothing. It is true, Minister, that we can no longer wait for other tragedies to revive our justice and genuinely ensure that sexual violence is treated to the extent of its seriousness. Minister, my question is very simple. What steps have you taken and what steps are you going to take to ensure that our justice is revived and that the opinions of the Supreme Council of Justice, the judgments of the European Court of Human Rights and the more than legitimate demands of Julie's parents are answered?
ParlaMint-BE_2020-02-13-55-plenair-ip024x.u3	The report of the Supreme Court of Justice following the murder of Julie Van Espen was devastating for the Antwerp justice system. In response to that report, the family sent a letter containing a number of urgent policy recommendations. This has happened in a serene and very dignified way. That deserves our utmost respect. However, the determination is very strict. Without the established mistakes, Julie would still be alive. That's their conclusion, and it's gonna hit hard. Unfortunately, it is not the first time that the Justice Department has been critically criticised. Unfortunately, however, we have to note that each time dramatic events are needed to get something really moving. That is what history has shown. Today is another one of those moments. It is time to carry out thorough reforms. More than ever, there is a need for major reforms, as it were, a sort of marshal's plan for justice. Let us first of all agree that we are giving absolute priority at all levels to the police, the police, the public prosecutor, the court, and always the case of sexual abuse. It should never happen again that such files end up at the bottom of a pile. In fact, they should always be at the top of a pile, at every level, over and over again. In Parliament, there is a solid basis for real work, beyond the borders of all parties. Minister, what is your response? What is your answer to that report from the Supreme Court, but also to the letter from the Van Espen family?
ParlaMint-BE_2020-02-13-55-plenair-ip024x.u4	Respect. The Van Espen family demands immense respect. The letter from the family is impressive. The family members quite rightly complain about the abuses in the Justice Department, but at the same time manage to provide solutions on how to do better and better. That's superhuman. Ladies and gentlemen, let us be humble. Let us learn and listen. Let us continue with the proposals put forward by the Van Espen family. The death of Julie Van Espen is a terrible tragedy. It would be totally unacceptable if we did not do everything possible to avoid a similar tragedy in the future. Fortunately, things have already happened in the Chamber in recent times, but much more can and must be done. For example, it is unacceptable for judges in our country to take decisions on the basis of incomplete files due to a lack of information flow. It is also unacceptable that in our country not all suspects of sexual crimes are systematically observed and monitored. It is unacceptable that there should be little follow-up in our country to magistrates who make serious mistakes, because there is no full committee J. Minister, will you ensure that the mandatory observation of suspects of sexual offences becomes the norm and not the exception? What further steps are we taking together to improve the supervision of Justice?
ParlaMint-BE_2020-02-13-55-plenair-ip024x.u5	I am very surprised that the left-wing parties are drumming here. After all, when it comes to crime and morals, we must always understand the perpetrator. Dialog! dialog! Those criminals always deserve a second chance for the left, a third chance. Never repression, always prevention. Now, dear left-wing friends, it is by promoting such a soft approach that there will be serious crime. But my question was not addressed to colleagues from the left, Minister. Minister None, I may surprise you; you are not only blamed in the matter. We are on the side of the parents, who say that justice should be called man and horse. That is where mistakes have been made. At the same time, you will be blamed if you come to the newspaper now to declare that more money has to go to the Justice Department. That is quite a punishment for a Minister of Justice who had one thread in his policy over the last five years, namely saving, saving, saving. And that was not to spare here in Parliament, to Members of Parliament or to the senators. No, that was saving on the core tasks of the government, on Justice and Security. Mr Minister, my question is clear and clear. What will you finally do so that dramas such as the murder of Julie Van Espen can no longer happen?
ParlaMint-BE_2020-02-13-55-plenair-ip024x.u6	Mr President, ladies and gentlemen, what happened to Julie Van Espen should never have happened. What happened to Julie Van Espen should never happen again in the future. Can we, as a society, guarantee a zero risk? No, unfortunately, we can't. We can, however, ensure that the errors made in the file are not avoided in the future. The Supreme Court of Justice has produced a very clear report. Julie's parents have made a very serene but firm analysis of that. They expect action from politics. Most political parties, whether they are left-wing or right-wing, have today indicated that they want to start working on these recommendations. We have done this, for example, by submitting a proposal in January following a recommendation to extend the conditions for a suspect, currently limited to three months, until someone comes to court effectively. What else can Parliament do? We can make sure that there are sufficient resources for justice. But, ladies and gentlemen, those who have read the report must conclude that it clearly shows that much has gone wrong in the internal organisation of the court, in particular at the court of appeal. Vice files deserve our absolute priority. If everyone, as a result of the terrible drama, were to take up their responsibilities, we would be one step further. Even a magistrate who makes mistakes is not above the law. Mr President, my question is brief and concise and the same as the previous speakers. What will we do with the recommendations in the short term? Do you intend to follow up and implement these recommendations together with the legislative authority in the short term in current cases?
ParlaMint-BE_2020-02-13-55-plenair-ip024x.u7	Mr President, Julie Van Espen was brutally murdered. A shock went through my heart. A shock went through our country. Now Julie's parents have written an open letter. Did you read that letter, Minister? It says, "Julie would still be alive if everyone within the court had taken responsibility." The parents have set nine priorities. I will take one out for you: 'Provide a thorough training in the field of sexual violence by police forces, prosecutors and magistrates, but also by the judicial assistants, who are often young and inexperienced'. Just last week, two young Liege students saw how the court acquitted their perpetrator because the girls would have agreed. Everyone knows the three possible reactions to rape: fighting, fleeing or freezing. How can one judge freezing as consent? The problem is very clear, Minister. It's a lack of training. Julie's parents confirm that in their open letter, but also the Supreme Court of Justice said that last year and women's rights organisations have been standing on the barricades for years. Belgium does not respect the Istanbul Convention. I very much agree with Julie's parents when they say that the fight against violence against women is not a priority in Belgium. Minister, an inter-ministerial conference is currently taking place in our country. The aim is to draw up an action plan. Please look at Spain. 200 measures are being taken there. EUR 200 million per year is also earmarked for the fight against violence against women. How many measures will you take and what budget will you allocate?
ParlaMint-BE_2020-02-13-55-plenair-ip024x.u8	Mr President, ladies and gentlemen, the murder of Julie Van Espen is a murder that has carved deep into the heart of every righteous person. You can rest assured that this has been the case with me and that at such a time a minister must come to terms with his conscience, with the Justice Department and with the next of kin. I do not want to say much more about the emotional aspect at the moment. A few weeks ago, in the context of the report by the Supreme Court of Justice, we held a wide-ranging debate on that report in the Committee on Justice. Everyone has been able to express their opinion, including your servant. I have done so in more detail than I might have liked, because the matter has taken hold of me very strongly. I refer you to the committee's report to know what can be done in depth on a number of points, because my speaking time is now limited. Let me be clear about one thing: there is no such thing as zero risk. I have been arguing for a long time, and not for the first time, Mr van Grieken, with conviction for more resources for justice, but one can never come to an absolute zero risk. I very much regret that, because it is about deep human suffering. Could this have been avoided? The report of the Supreme Court of Justice says what it says. I am particularly pleased that in the 1990s this Parliament set up the High Council because it reports on what has happened between Parliament, the Minister and the judiciary and in an objective manner. I think it is very important to make you realize that we have not spared the past legislature on justice. The resources for the judiciary have increased from EUR 634 million to EUR 694 million. The total budget has not fallen in nominal terms, but we have made a special effort for the judicial system. After the events took place, I immediately sat down with all colleagues from my immediate neighbourhood who were responsible for Education, Health and Home Affairs on the Flemish side. Because we were in full election campaign, I limited myself to my Flemish colleagues. I then worked out a comprehensive plan in the fight against sexual violence, to which I referred. Was that the first plan? No, a lot has happened against sexual violence. This plan contains a number of new elements which have been communicated to whom they should be communicated. In the framework of the negotiations, these elements will be used to lay further new emphasis. People know about it. I will also give a very confidential but detailed answer to the Van Espen family, whom I greatly appreciate. I've never seen people in distress so worthy. I have never been so grateful to people for what they are trying to do with this unimaginable event for the common good. Let me give you two examples that are already working. There are many more in the parliamentary preparation. First of all, the sexual care centers that receive someone immediately after a crime has occurred. Secondly, the observation centre that is currently operating in Saint Gillis' prison, which is giving priority to sexual violence. The training on sexual violence which the IGO is to provide to magistrates is also about to take place. May I remind you that a number of years ago in this Chamber I was the subject of unimaginably many scoundrels when I dared to say that it might be appropriate for magistrates to give specific training on this subject, like all the others involved in this matter? All these points are also shared. I fought in the Inter-Ministerial Conference to combat violence against women. All these points are dealt with in an interministerial way and this is as good as it can be. Ladies and gentlemen, I am pleased that you are all very much underlining that the organisation of the courts is a competence of the independent judiciary. The only thing I can tell you about this is that there are a number of provisions in the Judicial Code, but not very much. If desired, we can all work together to improve this organisation internally. Firstly, however, that is the responsibility of the judiciary. Colleagues, the appointments to the Magistrate have been made with great speed in recent years. I have pointed out to you on several occasions that if we fail, this is due to a lack of influx because we have difficulty finding enough candidates. However, you must not claim that this is only due to a lack of resources. That's contrary to the truth. Otherwise, at the levels where it is necessary, I will continue to do my utmost to avoid cases like this in the future. Once again, I would like to thank the Van Espen family and her counsel, who have done a great deal of good for the cause in general. I can't thank them enough.
ParlaMint-BE_2020-02-13-55-plenair-ip024x.u9	Minister, thank you for the strength and dignity of your remarks. I also thank you for actually initiating this action plan against sexual violence. But it must be noted that this remains largely insufficient in the face of a justice system in which citizens no longer have confidence because they are no longer in a position to ensure their safety. Of course, zero risk does not exist. This cannot be assured, but efforts must be made to prevent these crimes as much as possible. This situation has prompted Parliament to work and not wait for a full-fledged government to table texts, to deal with this issue of violence against women, but also, for example, to make it compulsory to follow up on sexual offenders both during their imprisonment and when they leave prison. In particular, I am targeting people who are struggling and who are at real risk of being time bombs for our society. Mr Minister, I hope that we can count on your cooperation with these texts and on your political will. I am speaking to you as bearer of the royal informant cap so that you may bring together all the democratic parties that want to restore this justice and not the parties that are instrumentalizing this tragedy for electoral purposes.
ParlaMint-BE_2020-02-13-55-plenair-ip024x.u10	Minister, we urgently need to move from the planning stage to the action stage. For example, you refer to the sexual care centers. There are already three in the country that function properly, but there are seven other provinces waiting for such a centre. I call on the Minister to provide funding, including on-going matters, for those care centres in the other provinces to be set up as well. It is also the time to really reform the justice system. For this, we must work together across the borders of majority and opposition, together with the government in current cases. This is not a matter of left or right, this is not a matter of majority or opposition, this is a matter of taking responsibility, even in a period of current cases. You alluded to the need for a firm programme on this issue to be included in a subsequent government agreement. That is what we are asking for and will put on the table if we get that chance.
ParlaMint-BE_2020-02-13-55-plenair-ip024x.u11	Let's get this over with. Mr van Grieken, what you say is shameless. Your political recovery is truly shameless. That is completely contrary to the very dignified attitude of the parents. Minister, we are very pleased that, after 20 years, a penitentiary observation centre has finally been set up, so pay tribute to that. We have been in favour of this for a long time. At the same time, we are concerned. In the Pieter Baan Centrum in the Netherlands, with a very similar concept, the bestaffining is many times higher, and so we are a bit afraid and concerned that sexual offenders will still be able to slip through the loopholes of the net. For us, it is very clear that mandatory observation and therefore the proper follow-up of suspects of sexual offences should be the rule, not the exception. In addition, we count on your support to strengthen the supervision of Justice. We will, of course, continue to support this with our group in the Chamber, across party boundaries.
