Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2020-02-19-55-commissie-ic120x	ParlaMint-BE_2020-02-19-55-commissie-ic120x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2020	2020-02-19	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	VicaireAlbert	Vicaire, Albert	M	1957	
ParlaMint-BE-en_2020-02-19-55-commissie-ic120x	ParlaMint-BE_2020-02-19-55-commissie-ic120x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2020	2020-02-19	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2020-02-19-55-commissie-ic120x	ParlaMint-BE_2020-02-19-55-commissie-ic120x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2020	2020-02-19	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	VicaireAlbert	Vicaire, Albert	M	1957	
ParlaMint-BE-en_2020-02-19-55-commissie-ic120x	ParlaMint-BE_2020-02-19-55-commissie-ic120x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2020	2020-02-19	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	LoonesSander	Loones, Sander	M	1979	
ParlaMint-BE-en_2020-02-19-55-commissie-ic120x	ParlaMint-BE_2020-02-19-55-commissie-ic120x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2020	2020-02-19	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2020-02-19-55-commissie-ic120x	ParlaMint-BE_2020-02-19-55-commissie-ic120x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2020	2020-02-19	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	LoonesSander	Loones, Sander	M	1979	
ParlaMint-BE-en_2020-02-19-55-commissie-ic120x	ParlaMint-BE_2020-02-19-55-commissie-ic120x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2020	2020-02-19	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VerduycktKris	Verduyckt, Kris	M	1977	
ParlaMint-BE-en_2020-02-19-55-commissie-ic120x	ParlaMint-BE_2020-02-19-55-commissie-ic120x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2020	2020-02-19	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2020-02-19-55-commissie-ic120x	ParlaMint-BE_2020-02-19-55-commissie-ic120x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2020	2020-02-19	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VerduycktKris	Verduyckt, Kris	M	1977	
ParlaMint-BE-en_2020-02-19-55-commissie-ic120x	ParlaMint-BE_2020-02-19-55-commissie-ic120x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2020	2020-02-19	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	WarmoesThierry	Warmoes, Thierry	M	1964	
ParlaMint-BE-en_2020-02-19-55-commissie-ic120x	ParlaMint-BE_2020-02-19-55-commissie-ic120x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2020	2020-02-19	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
