Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2020-06-17-55-commissie-ic211x	ParlaMint-BE_2020-06-17-55-commissie-ic211x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-06-2020	2020-06-17	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DeCaluwéRobby	De Caluwé, Robby	M	1975	
ParlaMint-BE-en_2020-06-17-55-commissie-ic211x	ParlaMint-BE_2020-06-17-55-commissie-ic211x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-06-2020	2020-06-17	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DucarmeDenis	Ducarme, Denis	M	1973	
ParlaMint-BE-en_2020-06-17-55-commissie-ic211x	ParlaMint-BE_2020-06-17-55-commissie-ic211x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-06-2020	2020-06-17	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DeCaluwéRobby	De Caluwé, Robby	M	1975	
ParlaMint-BE-en_2020-06-17-55-commissie-ic211x	ParlaMint-BE_2020-06-17-55-commissie-ic211x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-06-2020	2020-06-17	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DucarmeDenis	Ducarme, Denis	M	1973	
ParlaMint-BE-en_2020-06-17-55-commissie-ic211x	ParlaMint-BE_2020-06-17-55-commissie-ic211x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-06-2020	2020-06-17	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	GilissenErik	Gilissen, Erik	M	1968	
ParlaMint-BE-en_2020-06-17-55-commissie-ic211x	ParlaMint-BE_2020-06-17-55-commissie-ic211x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-06-2020	2020-06-17	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DucarmeDenis	Ducarme, Denis	M	1973	
ParlaMint-BE-en_2020-06-17-55-commissie-ic211x	ParlaMint-BE_2020-06-17-55-commissie-ic211x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-06-2020	2020-06-17	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	GijbelsFrieda	Gijbels, Frieda	F	1975	
ParlaMint-BE-en_2020-06-17-55-commissie-ic211x	ParlaMint-BE_2020-06-17-55-commissie-ic211x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-06-2020	2020-06-17	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2020-06-17-55-commissie-ic211x	ParlaMint-BE_2020-06-17-55-commissie-ic211x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-06-2020	2020-06-17	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DucarmeDenis	Ducarme, Denis	M	1973	
ParlaMint-BE-en_2020-06-17-55-commissie-ic211x	ParlaMint-BE_2020-06-17-55-commissie-ic211x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-06-2020	2020-06-17	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	GijbelsFrieda	Gijbels, Frieda	F	1975	
ParlaMint-BE-en_2020-06-17-55-commissie-ic211x	ParlaMint-BE_2020-06-17-55-commissie-ic211x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 17-06-2020	2020-06-17	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	VandenBurreGilles	Vanden Burre, Gilles	M	1978	
