ParlaMint-BE_2020-06-11-55-plenair-ip044x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2020-06-11-55-plenair-ip044x.u2	Mr President, Madam Prime Minister, I am an absolute opponent of racism and discrimination and even a sympathizer of Black Lives Matter, but last Sunday many people seem to have forgotten that all lives matter. It is also discrimination against your government to tolerate ten thousand people coming together, while the good citizens can sit at the table with at most ten people and thirty people at a funeral. It is also discrimination that tens of thousands of people are allowed to train together without taking into account social distancing, while the good citizens have to pay a fine of EUR 250 if they are too close together on a bench. It is also discrimination that ten thousand people are allowed to violate the corona rules, while the staff in hospitals are exhausted by taking care of the coronas victims. It's spitting in the face of our caregivers who're afraid of a re-flammation of the virus. Don't be surprised they'll turn their backs on you if you ever visit them again. It is also discriminatory that the police were allowed to act only when the looting started and not to prevent the raids of criminal scum from traders who already got an uppercut from the coronavirus and now knocked out with an empty shop. It is also discrimination that your ministers keep saying here that there will be zero tolerance against the revolving door criminals, who are always home from an arrest before the policemen from the hospital. I have seen more racism through the excesses of the demonstration than was accused in the demonstration. If this is anti-racism, then I don't know what racism is. There's more violence and hatred against the police than there is of the police. Madam Prime Minister, what will you do against the organizers of these demonstrations and against the politicians who have made this possible?
ParlaMint-BE_2020-06-11-55-plenair-ip044x.u3	Mr President, Madam Prime Minister, ladies and gentlemen, for us Liberals, freedom of expression is a cornerstone of our society. However, in times of COVID-19 pandemic, in which we ask residents to stay in their homes for three months and not to see any family or friends, in which we oblige entrepreneurs to close their cases and they suffer turnover losses and may have to fire workers, and in which we ask carers, nurses, nurses and doctors to take care of our sick, it is irresponsible, unsafe and simply primeval to organise and allow meetings like last Sunday. Yesterday, Minister De Crem stated in the Committee on the Interior that this demonstration did not follow the ministerial decision. He also indicated that the Mayor of Brussels is responsible for organising the demonstration and that, if he does not assume his responsibility, Prime Minister Vervoort, who is also governor of Brussels, should assume his responsibility. Madam Prime Minister, that Prime Minister is part of your National Security Council and has agreed to the measures. Nevertheless, he is unable to apply what he has approved and decided to do on the ground. If the Mayor of Brussels and the Prime Minister of Brussels cannot maintain order, it is time for them to draw their conclusions. If, in two or three weeks' time, the corona pandemic flares up and more patients are admitted to hospitals, the first question should be in the hospitals where the infected patients concerned were on 7 June 2020. If it turns out that they were in Brussels, the hospital bill for the treatment of these patients should be sent in full to the city of Brussels and to Mr Close. Madam Prime Minister, what is the outcome of your meeting with the Mayor of Brussels? Will you ask the Prime Minister of Brussels to carry out an investigation? Is there going to be a ministerial letter that determines when public events can and cannot and cannot take place throughout the territory?
ParlaMint-BE_2020-06-11-55-plenair-ip044x.u4	Madam Prime Minister, your Minister of the Interior has been a bit tough lately. Anyone who violated the corona measures, however unclear or absurd they may have been, was fined. Visit your mobile home on the coast: fine. With two on a couch: fine. With two at the bar: fine. Prepare the opening of a catering shop together with the colleagues: fine. And now even Swissport employees at the airport are fined. They'd get a fine if they grieve together for their collective dismissal. Almost 150,000 corona fines were handed out. So far we can follow a bit, but what did we see open weekend? Not less than ten thousand people trod together in our capital and thereby not only endangered our public health, but also vandalized our streets and looted our stores. Worst of all, your own Home Secretary had expressed his support for that looting. He called the decision of the Brussels mayor to continue the demonstration, a "wise decision." Do you still have control of your government, Madam Prime Minister? Two weeks ago, Minister De Crem said after the incident in Anderlecht that it would be the last time that we would see violence against the policemen. He said he'd take care of that himself. But what did we see last Sunday? Police officers were humiliated and crowned with cobblestones and traffic lights, and above all, we saw how police officers were abandoned by politics, by you, by your government and by the Brussels city government. All they were allowed to do was collect. Will you continue to tolerate that shop owners, citizens and police officers become the victims of your government's world alienation? What do you think of a Minister of the Interior who allows such a demonstration and calls it a sensible decision? Should we, as citizens, still have confidence in that?
ParlaMint-BE_2020-06-11-55-plenair-ip044x.u5	Madam Prime Minister, the events in the United States have received international feedback. Racism and discrimination are unacceptable and demand an answer from us, politicians. However, we must defend this fight against racism and discrimination in a good and smart way. What happened on Sunday is absolutely not okay. Ten thousand people are hunting down the streets of Brussels, while grandparents are not allowed to see their grandchildren all together, while caregivers have fought day and night to save lives from people infected with the corona virus! If within 14 days there is an increase in the number of corona infections, we can all look at the streets of Brussels. The preparation of such a manifestation and its decision lies with the mayor. This is where the mayor of Brussels made a mistake. Yes, the Prime Minister of the Brussels-Capital Region could have whistled him back and perhaps after that, the Minister of the Interior. Was Mr De Crem not clear yesterday? Mr De Crem said yesterday that he had called Mr Close and that he assured him that the social distancing was in order and that mouth masks would be worn. This wasn't like that. This wasn't okay. Is this unwillingness? Is this incompetence from the mayor of Brussels? I don't know, but look at the people who have to take responsibility. After the demonstration, there were lootings and cars were vandalized. There was a lot of things. This was not good, because that kind of snows down the message against racism and discrimination and makes them fade. Madam Prime Minister, do you agree with me that the mayor should have banned this demonstration? Do you agree with me that such great manifestations cannot take place in corona times? There must be free speech, but there may be other forms for that.
ParlaMint-BE_2020-06-11-55-plenair-ip044x.u6	Mr President, Madam Prime Minister, there has been a great deal of reaction to this June 7th event. Indeed, as many as 10,000 people gathered in a space that was known to be too small – I say, by the way, to the Vlaams Belang that the rules are just as valid for parliamentarians! – in the non-compliance with the rules laid down by the National Security Council (CNS). The demonstration was followed by images of riots, destruction and looting that shocked and tarnished the image of the capital of Europe. The city of Brussels is, however, experiencing a great many demonstrations on its territory, so that we can hardly invoke a lack of experience in this field. What happened was therefore predictable and could have been avoided or, at the very least, framed and circumscribed, as was the case in other cities such as Liège, Antwerp and Ghent. The cause was noble and deserves all the manifestations of the world. However, the period of health crisis should have deterred the mayor of Brussels from organising this event under such conditions. At the CNS, you yourself stated, Madam Prime Minister, that there was "a multitude of possibilities for expressing support for a cause that is compatible with the period of health crisis". Last Thursday, in plenary, following my question, you stated unequivocally: "It seems that more than 5,000 people would plan to mobilize. I sincerely hope that the mayor will find with the organizers an alternative to a demonstration that would be contrary to the decisions taken to protect the population." Two days before the events, your Minister of the Interior also issued a ministerial decree prohibiting the gathering of more than 10 people. Unfortunately, not all of these appeals were heard. As a result, 33 police officers were injured, 33 businesses were degraded and looted, not to mention this negative image of our country. Local and regional authorities are now losing their responsibilities. I regret this lack of political courage when they have a representative in the CNS. Madam Prime Minister, far from polemics that are far too sterile and in a constructive spirit, what can you answer them? In the future, how could citizens organise possible requests for public expression?
ParlaMint-BE_2020-06-11-55-plenair-ip044x.u7	Mr President, Madam Prime Minister, the message of the fight against racism must be made loud and clear. There are many ways to express it. This Sunday, this message could have been delivered just as loud but otherwise. I'm so sorry to see what happened. Let us first think of the injured policemen and the vandalized traders who are victims of these violent and unacceptable slippages. As a doctor, I am very concerned about the risks that have been taken to the health of all those present during the demonstrations but also of all those with whom they will be in contact within the next fifteen days. Physical distancing measures were not followed. I also find that this completely disproves the health messages that still apply, which are so important to protect people's health and to avoid a rebound. How can we persuade every citizen to continue the efforts of physical distancing, to be only ten a week? What can be said to all those who have no opportunity to be with their loved ones, in a nursing home, in a hospital, in institutions of disabled people or simply with friends in a wider way? This manifestation, certainly, has been tolerated by some. The commune, first of all, could not tolerate it. Neither is the Brussels-Capital Region. But your government, Madam Prime Minister, without responsible decision-making at the local and regional levels, could and should prohibit it. Has the National Security Council discussed this? What was the decision of the National Security Council on these Sunday demonstrations? Finally, how can we manage the health of the future? Emmanuel André called for all those who participated in the demonstration to strictly respect the barrier gestures for fifteen days to protect others. (...)
ParlaMint-BE_2020-06-11-55-plenair-ip044x.u8	Mr President, Madam Prime Minister, a manifestation took place on Sunday against the corona measures. That manifestation was amazingly not banned in Brussels. In the end, a demonstration of police violence degenerate into violence against the police. This is unacceptable in a rule of law. For months large efforts were demanded of the population at a high price of social isolation and loss of mourning moments. The political debate highlighted the noble purpose of the manifestation. The population then naturally wonders whether visiting grandparents in resting places, visiting sick, even terminal relatives in a hospital, visiting lonely people at home or opening shops in the morning are not noble goals. That's them. Those measures were maintained. Apparently, there is a difference in noble goals. That's right to piss off the people. On many political platforms, it gave rise to debates. Mr De Crem said yesterday in committee: 'I will leave for the nuclear cabinet and the government immediately after the meeting and ask that it give me universal authority to act on the ground'. Is that what happened? What is the result of that? Will you answer our question about an investigation by the General Inspection of the Federal and Local Police? You've called Mayor Close on the floor, and rightly so. What's that supposed to be? I hope his failure will not be drowned in measures that bear witness to distrust in all the mayors. Prime Minister Vervoort said in the Committee on the Interior of the Brussels-Capital Parliament that the National Security Council asked not to ban, but to tolerate. Hij eindigde says, "One of us is not telling the truth." Can you tell me which one that was?
ParlaMint-BE_2020-06-11-55-plenair-ip044x.u9	Mr President, there are indeed tragedies that provoke emotion, anger and revolt all over the world. There are also fighting that knows no borders, fighting that must mobilize all of us, not only today but at all times. The fight against racism and violence, whatever its form, cannot suffer any compromise. The death of George Floyd has tragically reminded us of the discrimination still faced by many people today. Faced with this injustice, faced with this violence, many citizens have meant their anger and, beyond that, their determination to fight the hatred of the other. I have said it and I repeat it: I understand it and I stress it, it is legitimate. The cause is right. However, we must take into account the health context we have been facing for several months. This has resulted in many victims and pressure on the health care staff. The fact that the epidemiological situation is improving does not mean that it is resolved. The freedoms gradually recovered do not yet mean a return to life before. Unfortunately, the virus is still among us. That is why last Wednesday, at the conclusion of the National Security Council extended to Ministers-Presidents, I had made it very clear, once again on the basis of the recommendations of the experts, that any gathering, whatever its objective, however noble or the cause, contravenes the measures taken by the same CNS, taking into account the risks that such gatherings might have on the spread of the epidemic. I made this clear at the press conference because it was in line with the discussions we had during this National Security Council, contrary to what some people claim, even in the gallery of some parliaments. It is very important to remember that these rules are there to protect the people and not, as sometimes shamelessly implied and even declared openly, to curb public events. Last Thursday I also expressed the wish that an alternative would be found, so no demonstration. I therefore found it encouraging that a message from Belga announced that a discussion would take place between Mayor Close and the organisers to find a safe solution. On Friday, the city of Brussels announced that it had decided to tolerate a so-called static action, without prior consultation with the Minister of the Interior. Last Sunday, ten thousand people gathered peacefully on the Poelaertplein in Brussels. The violence that took place after the demonstration is obviously unacceptable and its perpetrators must be prosecuted. Any form of violence is unacceptable. A legal task force has been set up to identify the perpetrators of violence. 39 arrests have already been made, including 7 in court. The parquet confirmed one of them. I would remind you that the disciplinary regime for mayors who do not respect the ministerial decision is a regional competence. In any case, preserving the health of our citizens must remain the priority objective and the holding of such an event where social distancing is virtually impossible to respect was, and I would remind you, formally contrary to the CNS's directives. On Tuesday, on the afternoon of the demonstration, I had a very constructive and calm meeting, that is true, with the mayor of Brussels, Philippe Close. The meeting concluded with a joint press release clearly confirming that any demonstration remains contrary to the guidelines. This message applies of course to all cities and municipalities in Belgium. The press release also indicated that perspectives were going to be given, as was done for other parts of our lives, to allow for public expression taking into account the health situation. It is not a question of making exceptions to the rules applicable to all, but of seeing how to organize requests for public expression in accordance with the rules, which must indeed be followed by everyone, regardless of status or rank. It is imperative that the message vis-à-vis the population is not blurred. We cannot drastically limit the number of people for certain events and see at the same time that thousands of people meet without constraint. So, yes, Mr.Emmanuel André tweeted asking not to quarantine himself but, according to what I read, to respect the barrier gestures scrupulously for 15 days. Of course, caution and common sense would like us not to take part in this type of event first of all, but that, when we take part in it, we know that we take an increased risk for our health but also for the health of others. Therefore, greater caution must be exercised. Let us not be mistaken: the virus continues to cause victims. I therefore call each and every one, as I do regularly - but I am not the only one, many of us have been doing since the beginning of the crisis - to continue to show responsibility, to remain vigilant for ourselves and above all for others. Thank you.
ParlaMint-BE_2020-06-11-55-plenair-ip044x.u10	Madam Prime Minister, I know that making statements afterwards is easy. Parliament has given power of attorneys to the government, so you have powers of attorney as in wartime. In hindsight, it is wrong to say that you should have intervened and that you did not listen. You could have prevented it. I'm gonna go tell you something personal. A month ago, we were talking about the second remaining people who were not allowed to go to the coast. At the time, you had adopted a measure which I had said could not be adopted because we could no longer maintain it. I announced at the time that I wouldn't control anymore. Then I drove home from Parliament, where I got a call from the governor, the sheriff of West Flanders. He had already been instructed by the prosecutor to say that the municipal police might be taken over by the federal police. So do not come here now with the calimero attitude that you have said it but that it has not been done. I'm just waiting to see what kind of punishment you're gonna impose on that mayor. Will you have the courage to do that? You have been given power of attorneys from Parliament which you can use if things go wrong, not to keep ordinary people locked up and give them fines.
ParlaMint-BE_2020-06-11-55-plenair-ip044x.u11	Madam Prime Minister, thank you for the very clear answer. The agreements of the National Security Council have not been complied with, the ministerial decision has not been followed and we now know that the Prime Minister of Brussels will not initiate disciplinary proceedings. If the prime minister and the mayor can't apply the law, I think it's time they jump to conclusions. As far as the protesters are concerned, if within a few weeks there is a flare-up of the corona crisis, then we must first ask where the people concerned were on 7 June. The invoice for the treatment of those sick must then be sent to the city of Brussels. We know who the rioters are and they need to be punished quickly, because their behaviour is unacceptable. I don't care if they have to help clean up the place. In addition, the invoice for the repair of business should also be sent to Mr Close.
