Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2020-05-27-55-commissie-ic190x	ParlaMint-BE_2020-05-27-55-commissie-ic190x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-05-2020	2020-05-27	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	FlahautAndré	Flahaut, André	M	1955	
ParlaMint-BE-en_2020-05-27-55-commissie-ic190x	ParlaMint-BE_2020-05-27-55-commissie-ic190x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-05-2020	2020-05-27	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DeCremPieter	De Crem, Pieter	M	1962	
ParlaMint-BE-en_2020-05-27-55-commissie-ic190x	ParlaMint-BE_2020-05-27-55-commissie-ic190x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-05-2020	2020-05-27	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	FlahautAndré	Flahaut, André	M	1955	
ParlaMint-BE-en_2020-05-27-55-commissie-ic190x	ParlaMint-BE_2020-05-27-55-commissie-ic190x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-05-2020	2020-05-27	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	FlahautAndré	Flahaut, André	M	1955	
ParlaMint-BE-en_2020-05-27-55-commissie-ic190x	ParlaMint-BE_2020-05-27-55-commissie-ic190x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-05-2020	2020-05-27	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	DeWitSophie	De Wit, Sophie	F	1973	
ParlaMint-BE-en_2020-05-27-55-commissie-ic190x	ParlaMint-BE_2020-05-27-55-commissie-ic190x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-05-2020	2020-05-27	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	Opposition	Left to far-left	BoukiliNabil	Boukili, Nabil	M	1985	
ParlaMint-BE-en_2020-05-27-55-commissie-ic190x	ParlaMint-BE_2020-05-27-55-commissie-ic190x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-05-2020	2020-05-27	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	AouastiKhalil	Aouasti, Khalil	M	1986	
ParlaMint-BE-en_2020-05-27-55-commissie-ic190x	ParlaMint-BE_2020-05-27-55-commissie-ic190x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-05-2020	2020-05-27	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	FlahautAndré	Flahaut, André	M	1955	
ParlaMint-BE-en_2020-05-27-55-commissie-ic190x	ParlaMint-BE_2020-05-27-55-commissie-ic190x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-05-2020	2020-05-27	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2020-05-27-55-commissie-ic190x	ParlaMint-BE_2020-05-27-55-commissie-ic190x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-05-2020	2020-05-27	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	DeWitSophie	De Wit, Sophie	F	1973	
ParlaMint-BE-en_2020-05-27-55-commissie-ic190x	ParlaMint-BE_2020-05-27-55-commissie-ic190x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-05-2020	2020-05-27	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	AouastiKhalil	Aouasti, Khalil	M	1986	
ParlaMint-BE-en_2020-05-27-55-commissie-ic190x	ParlaMint-BE_2020-05-27-55-commissie-ic190x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-05-2020	2020-05-27	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	FlahautAndré	Flahaut, André	M	1955	
ParlaMint-BE-en_2020-05-27-55-commissie-ic190x	ParlaMint-BE_2020-05-27-55-commissie-ic190x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-05-2020	2020-05-27	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	Opposition	Left to far-left	BoukiliNabil	Boukili, Nabil	M	1985	
ParlaMint-BE-en_2020-05-27-55-commissie-ic190x	ParlaMint-BE_2020-05-27-55-commissie-ic190x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-05-2020	2020-05-27	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	PasBarbara	Pas, Barbara	F	1981	
ParlaMint-BE-en_2020-05-27-55-commissie-ic190x	ParlaMint-BE_2020-05-27-55-commissie-ic190x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-05-2020	2020-05-27	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2020-05-27-55-commissie-ic190x	ParlaMint-BE_2020-05-27-55-commissie-ic190x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-05-2020	2020-05-27	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	SlegersBercy	Slegers, Bercy	F	1976	
ParlaMint-BE-en_2020-05-27-55-commissie-ic190x	ParlaMint-BE_2020-05-27-55-commissie-ic190x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-05-2020	2020-05-27	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	Opposition	Left to far-left	BoukiliNabil	Boukili, Nabil	M	1985	
ParlaMint-BE-en_2020-05-27-55-commissie-ic190x	ParlaMint-BE_2020-05-27-55-commissie-ic190x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-05-2020	2020-05-27	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	HoutmeyersKatrien	Houtmeyers, Katrien	F	1981	
ParlaMint-BE-en_2020-05-27-55-commissie-ic190x	ParlaMint-BE_2020-05-27-55-commissie-ic190x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-05-2020	2020-05-27	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	PivinPhilippe	Pivin, Philippe	M	1954	
ParlaMint-BE-en_2020-05-27-55-commissie-ic190x	ParlaMint-BE_2020-05-27-55-commissie-ic190x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-05-2020	2020-05-27	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	FlahautAndré	Flahaut, André	M	1955	
ParlaMint-BE-en_2020-05-27-55-commissie-ic190x	ParlaMint-BE_2020-05-27-55-commissie-ic190x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-05-2020	2020-05-27	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2020-05-27-55-commissie-ic190x	ParlaMint-BE_2020-05-27-55-commissie-ic190x.u22	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-05-2020	2020-05-27	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	SlegersBercy	Slegers, Bercy	F	1976	
ParlaMint-BE-en_2020-05-27-55-commissie-ic190x	ParlaMint-BE_2020-05-27-55-commissie-ic190x.u23	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-05-2020	2020-05-27	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	FlahautAndré	Flahaut, André	M	1955	
