Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2020-09-30-55-commissie-ic271x	ParlaMint-BE_2020-09-30-55-commissie-ic271x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-09-2020	2020-09-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
ParlaMint-BE-en_2020-09-30-55-commissie-ic271x	ParlaMint-BE_2020-09-30-55-commissie-ic271x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-09-2020	2020-09-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DucarmeDenis	Ducarme, Denis	M	1973	
ParlaMint-BE-en_2020-09-30-55-commissie-ic271x	ParlaMint-BE_2020-09-30-55-commissie-ic271x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-09-2020	2020-09-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
ParlaMint-BE-en_2020-09-30-55-commissie-ic271x	ParlaMint-BE_2020-09-30-55-commissie-ic271x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-09-2020	2020-09-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2020-09-30-55-commissie-ic271x	ParlaMint-BE_2020-09-30-55-commissie-ic271x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-09-2020	2020-09-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	VandenBurreGilles	Vanden Burre, Gilles	M	1978	
ParlaMint-BE-en_2020-09-30-55-commissie-ic271x	ParlaMint-BE_2020-09-30-55-commissie-ic271x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-09-2020	2020-09-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DucarmeDenis	Ducarme, Denis	M	1973	
ParlaMint-BE-en_2020-09-30-55-commissie-ic271x	ParlaMint-BE_2020-09-30-55-commissie-ic271x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-09-2020	2020-09-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	VandenBurreGilles	Vanden Burre, Gilles	M	1978	
ParlaMint-BE-en_2020-09-30-55-commissie-ic271x	ParlaMint-BE_2020-09-30-55-commissie-ic271x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-09-2020	2020-09-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	DAmicoRoberto	D'Amico, Roberto	M	1967	
ParlaMint-BE-en_2020-09-30-55-commissie-ic271x	ParlaMint-BE_2020-09-30-55-commissie-ic271x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-09-2020	2020-09-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DucarmeDenis	Ducarme, Denis	M	1973	
ParlaMint-BE-en_2020-09-30-55-commissie-ic271x	ParlaMint-BE_2020-09-30-55-commissie-ic271x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-09-2020	2020-09-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	DAmicoRoberto	D'Amico, Roberto	M	1967	
ParlaMint-BE-en_2020-09-30-55-commissie-ic271x	ParlaMint-BE_2020-09-30-55-commissie-ic271x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-09-2020	2020-09-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DucarmeDenis	Ducarme, Denis	M	1973	
ParlaMint-BE-en_2020-09-30-55-commissie-ic271x	ParlaMint-BE_2020-09-30-55-commissie-ic271x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-09-2020	2020-09-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2020-09-30-55-commissie-ic271x	ParlaMint-BE_2020-09-30-55-commissie-ic271x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-09-2020	2020-09-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2020-09-30-55-commissie-ic271x	ParlaMint-BE_2020-09-30-55-commissie-ic271x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-09-2020	2020-09-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DucarmeDenis	Ducarme, Denis	M	1973	
ParlaMint-BE-en_2020-09-30-55-commissie-ic271x	ParlaMint-BE_2020-09-30-55-commissie-ic271x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-09-2020	2020-09-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
