ParlaMint-BE_2020-07-14-55-commissie-ic239x.u1	Question No 1, by Mr De Pasquale (H-l 55006987C and 55007384C by Mr Donné were postponed.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u2	Minister, as you know, I am the gender issues in Parliament in a cross-cutting way. When the Europol report was released, one element caught my attention. Europol points to the link between extreme right-wing ideologies and misogynist and anti-feminist theories. While not all right-wing extremists are anti-feminist, these ideologies, said the report, "are united in the rejection of diversity and minority rights", according to Europol, and bear "an unequal vision by nature" of society, according to Benjamin Biard, a researcher at CRISP. For example, extremist antifeminism is included in the "theories of great replacement". "Feminism would have been invented to distract women from their 'natural' role as mothers and is, therefore, blamed for the fall in birth rates in the countries of Western Europe, which ultimately allowed immigration," stresses Europol's report. Another movement that may be close to these theories is that of the "Incels", the "involuntary singles", who consider themselves unjustly rejected by the female Gentleman. Women who would have been given a little too much rights and lost sight of their "first-role." The emblematic figure of this movement is Elliot Rodger who killed six people in California before dying at the age of 22. Minister, do you have any information on the extent of these movements in our country? Are police services informed and made aware of the danger of such movements and ideologies? Does the State Security Service carry out any specific work with regard to these groups?
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u3	The ideas about involuntary singles (Incels) and the interlacing of this misogyny or anti-feminist ideology with online right-wing extremism are known to the actors of the security chain. With regard to Incels (involuntary single persons), the Coordinating Body for Threat Analysis (OCAM) currently has no indication that a concrete extremist terrorist threat would emanate from this ideology in Belgium. OCAM continuously monitors the situation and the threat from the right-wing or left-wing extremism movement. In order to gain a better understanding of the phenomenon, OCAM is working on several analyses aimed at raising awareness among police and other services. The phenomenon of Incels and, more generally, the role of gender in the ideologies of extremism – on the left and on the right – are part of these analyses. Within the police, field units were sensitized by the Central Directorate for Combating Serious and Organized Crime (DJSOC) and Terro, the Central Terrorism Unit of the Federal Judicial Police. This service ensures – as with other ideologies, such as terrorism and violent extremism – active monitoring at the police level and, as a partner in the R plan, the multidisciplinary structure of the fight against radicalism and terrorism. Finally, your last question is not a matter for me, but for my colleague, the Minister of Justice.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u4	Thank you for your answer, Minister. I will also ask the Minister of Justice about this issue, which is emerging in our country and which will therefore have to be closely monitored. I'm sure I'll be back to interview you in the coming months.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u5	Mr President, Minister, on Sunday 28 June this year there was a demonstration in Brussels against the annexation of Palestinian territories, in which about 500 people took part. The demonstrators called for a boycott of Israel and international sanctions against the country. During this gathering, a particularly violent song could be heard and was filmed and broadcast on social networks. One can hear a phrase that can be translated as: "Khaybar, Khaybar, O Jews, Muhammad's army will return." This slogan is a reference to the battle of Khaybar, which took place in the seventh century and in which many Jews were massacred. Minister, these songs are no more or less than calls for murder against the Jewish population. As a reminder, similar events led to a criminal conviction in Antwerp in 2014. You will agree that such calls to hatred cannot have their place in the streets of the European capital. They must not only be denounced, but also and above all punished. Mr Minister, my questions are, therefore, of two kinds. First of all, did you have any feedback on these songs heard during this demonstration? According to your information, did any arrests take place on that occasion? Then, more generally, how do you assess the phenomenon of hate speech at such a demonstration? It is not uncommon to hear such songs. Do you think their perpetrators are sufficiently prosecuted? Do you consider that measures should be taken to ensure that perpetrators of such crimes are arrested and prosecuted more systematically?
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u6	Minister, Mr De Maegd just quoted it here, a few weeks ago there was a pro-Palestinian manifestation in Brussels, which unfortunately quickly degenerate by chanting anti-Semitic slogans. Have you taken note of the facts through the police themselves? Can you confirm or deny that police reports have been filed? After all, the Mayor of Brussels, Mr Close, has declared that the police forces have started an investigation. Do you know anything about the unsubs? Have they been identified or possibly arrested? What legal possibilities will there be in the future, or specifically today, to appeal to organisers themselves on the facts or to force them to cooperate in the detection of the perpetrators? Was the manifestation itself allowed at all? If yes, by which authority and by which organization was she admitted? Do you think it is appropriate that the anti-racism association Unia should file a bourgeois-party complaint before the facts? I ask that question because Unia in the past felt that such songs would not be punishable. That the judge convicted the offender in 2014 after a similar fact, Unia called crooked speech instead of justice, a very regrettable moment. What is your opinion, Minister?
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u7	Mr President, ladies and gentlemen De Maegd and Freilich, an investigation has been carried out to identify the members of the group of extremists who sang these songs. Four people have already been formally identified and four are in the process of being identified. The results of the investigation were forwarded to the Crown Prosecutor's Office, which is now seized of the case. The demonstration was, to the best of my knowledge, properly requested and authorized by the mayor. The organizer was known by our services as a reliable partner. Protests whose message is hateful or inciting to violence are systematically prohibited. Each candidate organiser is also informed of this. The group that chanted the slogans was not part of the organization and escaped control of it. When the judicial investigation is completed, the organizer will be consulted on the facts and will be informed of his responsibility. Following the COVID-19 epidemic, accelerated work has been done on a general digital reception via police-on-web. It is therefore possible for some time to report such crimes by digital means. In addition, the College of Attorneys-General has stressed that for serious crimes, the principal of the digital complaint should be contacted personally in the short term. The evaluation of the temporary COVID-19 digital window will take place in September 2020, so this year. On the basis of data on use and possible obstacles, improvements and proposals will be offered to the College of Attorneys General in consultation with the Permanent Commission of Local Police. This will be done on the basis of the use by citizens during the first four months following the launch of the COVID-19 comprehensive point of contact and the already existing point of contact for a number of crimes and on the basis of the experience of local police forces in processing these declarations. Finally, I absolutely reject the messages that were brought during the manifestation. I totally disapprove of the messages and songs that have been scanned. This is an unacceptable act. In the future, I will ensure that this is avoided and, if necessary, that such acts are prosecuted.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u8	Minister, thank you for your answer. I sincerely believe that anti-Semitism is one of the forms of racism that gangstifies our society. I hear that an investigation is being carried out, that four people have been identified and that four others are in the process of being identified, according to your information. In my view, it is an absolute necessity. No racist appeal to murder or hatred can be tolerated in our country and, specifically, in Brussels, the capital of Europe. Everyone can of course challenge Israel's settlement policy. It is a fact, but it cannot go through the import of this conflict in our country, nor through this kind of call to hatred. Minister, I encourage you to advocate zero tolerance in this area.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u9	Minister, I agree with what Mr De Maegd said. There is no place for anti-Semitism in the capital of Europe or in this country. I am pleased that you are taking decisive and effective measures to address the problem. I am also pleased to hear that the police have already identified four people. I am also pleased to hear that there is a possibility of using police-on-web for the declaration of such cases. However, may I ask for a very brief clarification? You mentioned a temporary digital counter. Do I understand correctly that reporting anti-Semitism via police-on-web is a temporary measure, which will be reviewed in September 2020 or a measure that has been adopted for the future?
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u10	Mr Freilich, (...) the times in which we live with COVID-19, use that medicine. It is clear, however, that all channels for submitting complaints about anti-Semitism can also be used in post-corona times, either physically or in writing or via that point of contact.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u11	Mr President, Minister, unfortunately it is beginning to become an annual custom for me to question you on this matter. Your predecessors can also talk about this. Should the Deputy Governor's annual language report ever go in a positive direction, it may not be necessary anymore. However, the new figures published by the vice-governor in his 2019 language report show that it is only getting worse dramatically. The enforcement of language legislation in the recruitment of staff to the Brussels municipalities and OCMWs is still deteriorating, which is a great achievement. Let me give you some figures. In the Brussels municipalities, only 15.4% of the contractual recruitments were in line with the Staff Language Act, and in the OCMWs this year it was only 4.7 %. If we continue at this pace, next year almost 0 % will be okay. As you know, the Deputy Governor may suspend the appointment of a non-bilingual official. He did that a record number last year, more specifically 1,829 times. However, these suspensions are only temporary and, like last year, the Brussels guardianship body has not destroyed any recruitment. Not only the appointments are illegal, but also the required parity for the distribution of higher relations, however imposed by law, is falling again. In the municipalities only 29.6 % of the jobs are occupied by Dutch speakers and in the OCMW's barely 19.7 %, in both cases a further decline again, in the case of the OCMW's again a drastic decline. For lower relationships, at least 25% of the jobs must go to both language groups. In practice, in the municipalities last year only 12.3% of the jobs went to Flemings and even in the OCMW's with difficulty 5.1 %. Like all previous years, the language law in administrative matters is therefore violated massively by the Brussels local authorities. Minister, there are no excuses for that. I am sure you already know, but I would like to draw attention once again to the fact that the language law in administrative matters has been democratically approved by Parliament. It is also a law of public order and therefore cannot be departed from. The Council of State has also repeatedly stated that such illegal appointments cannot be made and that the power of destruction is not optional but a mandatory one. According to the Council of State, continuity of service is not a valid argument for abandoning it. We have a recent opinion from the Council of State on a bill on this matter from me. It confirmed that as Minister for the Interior, you are competent to withdraw supervision from the Brussels authorities by setting up specific administrative supervision on the application of the language law in administrative matters in Brussels. This could, for example, be done, as we also stated in our proposal, by granting the Vice-Governor of Brussels, in addition to the power of suspension, the power of destruction. Minister, are you going to take an initiative to introduce such specific administrative supervision, apart from the Brussels guardians who have been refusing to do so for years? Will you, if necessary, take another initiative to put an end to these illegal and self-incivious situations in the short term?
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u12	Mr President, Mrs Pas, you used an adjective that was no longer used in the Chamber for a long time, the incivian thing. Following the report of the Vice-Governor of the Brussels-Capital administrative district on the application of language legislation, I would like to ask a two-fold question. As for your request to grant the Deputy Governor the power to destroy the decisions of the local authorities of the Brussels-Capital administrative district, if these decisions violate the laws and regulations governing the use of language in administrative matters, I must refer to the opinion I delivered on the bill of 8 July 2019 of which you know the document. Referring to the passus of the Vice-Governor Jozef Ostyn in the report of the hearing of 19 February last year, I said that, I quote: "a well-functioning supervision and effective sanctioning of infringements are certainly an essential part of the administrative language law, but that the essence of that law, specifically with regard to the bilingual area of Brussels-Capital, is necessary to achieve a correct bilingual public service and a quality service to the citizen in his or her language." Monitoring is an instrument for this purpose and is not an end in itself. The basic responsibility for achieving the above-mentioned essence of the law in practice lies, of course, with the Brussels local authorities and with them themselves. Regardless of the specific supervision regime in the Staff Act, the essential custody of these local authorities remains a regional responsibility. At the same time, a number of essential conditions must be met. Education, which is the responsibility of the Communities, must ensure that sufficient people master the second language of the country. The regional employment services must assist jobseekers in fulfilling the legal conditions to complete a government relationship. The federal government must ensure that the language certificates required by law can be issued. I must point out, however, that the government is currently unable to take any initiative to extend the specific administrative supervision of the Deputy Governor. On your second question, I must say once again that it is not up to the federal government to supervise the administrative language law. This power lies with the Government of the Brussels-Capital Region. The commitment in my reply to your question of 13 August last year to ask the Chairman of the Standing Committee on Linguistic Supervision to send a circular letter to the local authorities of 19 municipalities of the bilingual region of Brussels Capital, recalling the rules governing the language and language skills of staff with examples from the case law, was honoured by letter dated 16 December 2019. In other words, this has been followed up. Given the timing, the content of the circular is not yet reflected in the results of the 2019 year of operation, but the announcements made in my previous reply were realised in that area. I will also see to it that they are implemented.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u13	Thank you for your reply, Minister. In the meantime, you did what you promised last year. You have already gone further in this area than your predecessor, whom I have been interpreting on several occasions.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u14	You know who your friends are.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u15	You say that the supervision lies with Brussels itself. However, it has been necessary to establish a manifest unwillingness in its application for decades. I fear that if we wait another year for the next report from the vice-governor, a letter will bring little progress. I fear that the figures will be even more drastic. In my view, the only solution is to remove the power of destruction from the Brussels authorities, which deliberately forsake it. You say that this government cannot take any initiative, given the particular constellation. I would therefore like to respond to a motion of recommendation. If Parliament supports you in this, you can take that initiative. In any case, I have made an attempt with the legislative proposal for which you have also given a positive opinion, but which, unfortunately, was voted away by your party in this committee. I can only hope that the motion of recommendation will be followed up and that, after the vote on the motion in the next plenary session, you will indeed be empowered to take the initiatives you cannot take today, as you have been able to do with your previous announcements.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u16	We shall table a simple motion, Mr President.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u17	Since the same party is already coming with a simple motion to move on to the order of the day, I would like to suggest, Minister, that this point should also be taken as a breaking point to the government negotiations, as well as your breaking point on the single police zone, for which there is also a manifest reluctance on the French-speaking side.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u18	A lot has been taken away in the last few days.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u19	At the end of this discussion, further motions were tabled. In conclusion to this discussion, the following motions were tabled. A motion of recommendation was tabled by Mrs Barbara Pas and reads as follows: "The Chamber, heard the interplay of Mrs Barbara Pas and the reply of the Minister for Security and Home Affairs, responsible for Foreign Trade, - having regard to the coordinated laws of 18 July 1966 on the use of languages in administrative matters, in particular Article 21; - having regard to the report of the Deputy Governor of the Administrative Arrondissement of Brussels-Capital for the year 2019; - considering that in 2017 70% of recruitments by Brussels municipalities were in breach of the language law in administrative matters; - whereas in the same year 89.2% of the recruitments by the Brussels OCMWFs were in breach of the language law in administrative matters; - whereas the Brussels custody authorities have not destroyed any of the illegal appointments, although the powers of destruction conferred on them by the settled case law of the Council of State have not been given an optional but an obligation; - having regard to the opinion of the Standing Committee on Language Monitoring (No. 49.126/I/PN of 24 May 2017) and the opinion of the Legislative Section of the Council of State (No. 62.235/AV, Chamber of Representatives, section 54-3399/003), which confirms that the federal government has competence in the area of language law in Brussels-Capital, and that it is also fully competent to withdraw its administrative supervision, which currently rests with the Brussels authorities, by creating special administrative supervision; - whereas the latter can be done by entrusting the power of destruction to the Vice-Governor in future; asks the government take a short-term initiative in this area by removing the power of destruction of illegal appointments in Brussels local authorities under the language law in administrative matters from the Brussels Government and from the Joint Community Commission, and entrusting it to the Vice-Governor of the Brussels-Capital administrative district through the establishment of special administrative supervision." A motion for recommendation was tabled by Ms. Barbara Pas and reads as follows: "The Chamber, having heard the inquiry of Mrs Barbara Pas and the response of the Minister for Security and the Interior, responsible for external trade, - having regard to the coordinated laws of 18 July 1966 on the use of languages in administrative matters and, in particular, Article 21; - having regard to the report of the Vice-Governor of the Brussels-Capital administrative district for the year 2019; - Whereas in 2017, 70% of the recruitments by Brussels municipalities were contrary to the use of languages in administrative matters; - Whereas in the same year 89.2% of recruitments by Brussels CPAS were contrary to language legislation in administrative matters; Whereas the Brussels supervisory authorities have not annulled any of the unlawful appointments, although the power of annulment conferred upon them does not, according to the settled case-law of the Council of State, constitute an optional fact but an obligation; - Having regard to the opinion of the Standing Committee on Linguistic Control (No 49.126/I/PN of 24 May 2017) and the opinion of the Section for Legislation of the Council of State (No 62.235/AV/House of Representatives, Doc. 54-3399/003) which confirm that the federal authorities are competent in matters relating to language legislation in Brussels-Capital and that they also have the full competence to decide to exempt the administrative control of that legislation, which is currently the responsibility of the Brussels authorities, from those same bodies by creating for this purpose a special administrative control; - Whereas this latter measure can only be taken by entrusting the power of annulment to the Vice-Governor; asks the government to take an initiative in this regard in the short term by removing the power of annulment relating to illegal appointments in Brussels local administrations within the framework of the language legislation in administrative matters from the Brussels government and the collegiate body of the Joint Community Commission and entrusting it to the vice-governor of the Brussels-Capital administrative district through the establishment of a special administrative control." A simple motion was tabled by Mr Jan Briers. A simple motion was tabled by Mr. Jan Briers. The motions will be voted on later. The meeting's over. The vote on the motions will take place at a later date. The discussion is closed.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u20	Minister, it is my responsibility that some logistical problems caused by a lack of administrative staff hinder the proper functioning of the federal police. In recent weeks, some federal judicial police units have found themselves unable to refuel vehicles because they did not have gasoline cards. As a result, some police officers were forced to refuel with their own bank card and fill out a fee note for reimbursement. This logistical problem would be one of the consequences of the lack of administrative staff, but it is not the only one. Indeed, the office travels for missions abroad and other international letters rogatory is completely overburdened. However, in accordance with the rules of the European arrest warrant, the detainee must be repatriated within ten days. Due to the lack of staff, market research is sloppy to meet deadlines. Travel costs more and the state loses money. So my questions are as follows. Can you confirm that additional administrative staff will be hired? Have any steps been taken to prevent this from happening again? Can you tell me which police units have been confronted with these logistical problems?
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u21	Mrs Dedonder, the commitment of the administrative and logistical staff, the CaLog, as you know, within the Federal Police, was disrupted by the health crisis but resumed today. In 2018, the federal police hired 329 CaLog staff and in 2019, this number rose to 373. In 2020, the current number is 111 civilian commitments to the federal police. The Federal Police Logistics Directorate has the capacity to manage fuel cards. While problems arise in the distribution of fuel cards within certain units, they have so far not been communicated to the logistics management, yet they are in a position to contribute to their resolution. With regard to the travel office for missions abroad and other international letters rogatory, one staff member did indeed leave that entity. His departure has since been compensated by the arrival of a new colleague on 1 July this year.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u22	Thank you for your answer, Minister. I hear a new recruitment took place on 1 July. I welcome this and invite you to continue to do so with regard to recruitment. I have cited a few examples; we know that the lack of staff is widespread and we must pay attention to them. The period of crisis has inevitably complicated things, but I think that now it is high time to worry about them.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u23	Questions Nos. 55007621C and 55007622C of Ms.Julie Song are converted into written questions.
