ParlaMint-BE_2020-01-22-55-commissie-ic094x.u1	Debates of the European Parliament Mr Francken's 55001521C was converted into a written question.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u2	Mr President, Minister, in order to comply with the law on the release of nuclear energy and to abandon the operation of our power plants by 2025, it is imperative that we develop renewable energies and, in particular, the wind industry. However, many areas prevent the installation of new wind turbines for military reasons (radars, exercise zones), particularly around air bases. While it is obvious that these exclusion zones make sense, it would nevertheless seem necessary, given the urgency of our energy transition, to dialogue with the army and to re-examine the maps more flexibly. It must be possible to re-examine these exclusion zones in order to create new land for wind turbines in the two regions of the country. Is it possible, Minister, to consider setting up a working group with representatives of the army and with our regional counterparts in order to find new areas where wind turbines can be installed in the current exclusion zones?
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u3	Mr President, Mr Vicar, first of all, I would like to reaffirm the importance of environmental aspects for my department, including the production of renewable energy. You will understand, however, that Defence cannot afford to set aside its operational imperatives and that, therefore, a reconciliation of these two interests is necessary. In recent years, Defence has consulted regularly with Regions and organizations dealing with renewable energy. Since 2012, these consultations have led to several relaxations in the protection zones around military airports and training areas. In this context, a number of additional easing measures were introduced before summer 2019. Defence has mitigated some of the restrictions to install wind turbines around military airfields, with the result that the limit on wind turbine height has increased from 122 metres to 150 metres in some areas. The Defence also released a drop zone and adapted a helicopter training area to allow the construction of wind farms. Defence will continue to take a constructive approach in this dialogue and is therefore prepared to consult with regional partners.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u4	Minister, thank you for this good news. I would be happy to follow the evolution of these working groups.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u5	Mr President, Minister, we have talked a number of times in this committee about staff shortages. I have recently been surprised at the outsourcing of the guard, so I am surprised to read in the newspaper that the army and the police in my region of North Limburg will work together to carry out traffic checks. It is about the control of on-board documents and alcohol and drug tests. In itself, I have nothing against cooperation between public administrations, but given the framework outlined, I find that somewhat odd and I therefore have the following questions. Have any financial agreements been made between the police and the army? After all, this way the police are relieved for a piece. The military have a different statute than the police officers, so it would be more than fair for them to work on the same conditions at that time. Have any agreements been made on this? Who's gonna decide this? Is this something that is decided centrally or is it the local unit that makes this decision and which believes that cooperation with the local police services brings added value to them. I note that there is also a similar question about the local fire department on the agenda. Is this something that people will try out in North Limburg to carry out traffic checks in other places together with the police? I submitted this question some time ago, so I wonder if it has started in the meantime. Have such checks already been carried out effectively? What is the first evaluation of this?
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u6	Mr President, Mr Verduyckt, no financial commitments have been made within the framework of this initiative. After all, there is no question of removing the burden on the police. Both the local police and the military police carry out their own tasks within their own powers. So the military police will only control military and military vehicles. The military who take part in this action will work within their normal working regime and working conditions. After all, this is only about targeted and punctual actions that will be limited in time, up to a few hours. There is no question of structural cooperation. The collaboration in Limburg is a local initiative created by the good relationship between the local detachment of the MP Group in Leopoldsburg and the local police area, with the aim of using the mutually available resources, vehicles and personnel in the most efficient way possible by using an operative during control actions. There is no intention to develop this cooperation in a structural or national way.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u7	Minister, that is a very clear answer. I do not really see any added value in organising controls at the same time as police checks. It is basically that the on-board documents of military vehicles are controlled by military personnel. I think that is a rather special situation. Anyway, your answer is certainly clear.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u8	Mr.President, Minister, my question dates back to November 19, 2019. So almost two months ago, the CHOD gave a rather cash interview to the newspaper Le Soir in which he indicated that he feared for the future of his army for structural, budgetary, strategic or human resources reasons. In particular, in view of the budgetary challenge posed by the military programming law and the significant staffing needs, it indicated that it was ready to close certain capabilities, either permanently or temporarily. As you know, for my group, the extensive outsourcing of a whole range of capabilities, especially surveillance, medical and technical assistance including this in operation, is of great concern to us. So, Minister, what are your emergency plans to deal with this budgetary and human reality? What functions and capabilities are threatened in the short or long term? Do you have any new plans for outsourcing that would extend beyond the provision of services such as the Horeca, including outside the national territory? As part of the current provisional twelfths and the difficulty of obtaining a budget during current business, how do you plan to meet the new military commitments planned, as well as urgent human, material and infrastructure expenditures?
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u9	Mr. Chair, Mr. Lacroix, as his name suggests, the transition team must prepare the transition from the current Defence situation to the integration of the new systems. In this context, one of the most important challenges is the evolution of the staff situation. The transition team needs to analyze the situation in more detail and propose control measures that will enable Defence to prepare for the future. This team is in the midst of work and it is premature at this stage to draw conclusions from it. The transition team must make proposals to ensure that the organization operates, despite the wave of retirements, while maintaining maximum operational output and ensuring that new recruits are trained and guided by experienced military personnel. If, despite these measures, the staffing situation causes Defence to temporarily or temporarily terminate certain capabilities, it will always ensure that a core of specialists are retained to re-establish them when the situation permits. A realization of the outsourcing projects provided for in the Strategic Vision is vital to achieve this transition to the future. Defence will therefore continue to implement the phase of outsourcing initiated and planned tasks that do not require military expertise or experience. Where the staffing situation will impose it, this outsourcing should be extended or accelerated. With regard to the budget, it should first be pointed out that the Strategic Vision provided, in addition to the resources required for investments, for an increase in the base envelope, which was necessary, among other things, for the recruitment and enhancement of the attractiveness of Defence. The provisional appropriations for the period from January to March 2020 shall be calculated at three twelfths of the appropriations as set out in the report of the Monitoring Committee. They therefore include the means necessary for the payment of the debt following the contractual obligations of the major material investments included in the Strategic Vision and the military programming law, but also those necessary for the growth of the base envelope. This envelope allows for the implementation of new systems and a build-up of capacity in the field of investments in current equipment and adapted infrastructure and the upgrading of ammunition stocks. In addition, the attractiveness of the military occupation will be increased in all its aspects and all activities that do not require any military expertise and experience will be carried out by non-military personnel by expanding outsourcing contracts.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u10	Minister, thank you for your answers. It seems to me that you are quite optimistic, if not too optimistic, about the transition team. I do not, of course, question the capabilities, intelligence and know-how of this transition team. But even if the appropriations are provided through the provisional twelfths for recruitment, I, what I hear, is that we are, in October 2019, 26,000 military. The goal is to reach 20 0000 by 2025. To achieve this goal, taking into account departures, 2,100 young people would have to be recruited annually. However, there are currently 1,750 recruits. There is already a very large gap from the stated objectives, even if we have the budgetary means. Are we going to recruit all azimuts by focusing on quantity over quality? It's really a question I'll come back to. Similarly, I will not speak again about the departures of non-commissioned officers and officers between the ages of 30 and 40. This is the case of 700 a year, which is enormous. Finally, there is also a very significant fall in the rate of coaching for the training of our military. So I really invite you, together with the transition team, to make sure that what we are told, or what is predictable, does not happen. It would be a disaster for the army. It would be a disaster for Belgium. It would be a disaster for our national and international credibility.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u11	Mrs Moscufo and Mr Boukili are not present, so their combined questions Nos. 55001727C and 55001729C expired. Mr Verduyckt said that his question No. 55001811C is without object, whereas Mr Francken is not present for his question No. 55002727C, which voids those merged questions.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u12	Mr. Chairman, Minister, the military air controllers in Semmerzake moved on December 2. They will thus join Skeyes civil air traffic controllers based in Steenokkerzeel. The agreement concluded in October 2018 between Defence and Skeyes provides for integration between military and civilian personnel in the execution of certain missions by 2022. In other words, our military will be able to work for Skeyes. However, with the same work, both civilian and military will have major differences in status. First, the military has a lower income than Skeyes's employees. Secondly, our military have no right to strike, unlike their civilian counterparts. In my view, these differences in status are problematic and may cause us to fear that the military will decide to leave the army to join Skeyes. In their place, we would probably do the same. Minister, my question is this. How will you resolve these differences in status and avoid the departure of our military air controllers?
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u13	Mr. Chairman, Mr.Vicaire, all the military air controllers present at the Steenokkerzeel sites, as well as the Glons CRC, which will soon be installed in Beauvechain, account for less than 20% of all air controllers. Given that all of these air controllers will have equivalent responsibilities and tasks, Defence focuses on the consistency of a single status and fairness within all controllers. It should be noted, however, that the current licences are not equivalent and that military controllers are currently unable to control civilian air traffic. Studies are currently under way to align the two types of licences. In addition, as part of the increase in the attractiveness of the military air traffic controller occupation, the departure of air traffic controllers to Skeyes is already envisaged in the future for those who wish to do so after their period of profitability within Defence. These potential departures, and thus a greater turnover, are also taken into consideration by the defence human resources policy of this specialty.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u14	Thank you Minister, that does not prevent tensions, and a strike notice is currently pending until January 28. So I think the question came up in the light of the current tensions at Skeyes. I am still afraid that the differences in status make our air force controllers strike breakers. Thank you.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u15	Mr. President, thank you. First of all, I would like to say that I delete my question No 55002223C, which I attach to question No 55002697C, since it also concerns MONUSCO. But as things stand, the minister has not been able to make his trip to the Congo. The Prime Minister has just met with President Tshisekedi in Davos. Everyone's in Davos right now. I believe that it would perhaps be more appropriate and effective for our committee to hold another question-and-answer session on our approach to the Congo in the future in terms of international policy and defence. It will be more positive and we will lose less time. Indeed, today, the two MONUSCO officers, who have been there for some time, have a comprehensive approach to Defence - Foreign Affairs. My question, therefore, was not really one, but rather one of consideration and suggestion.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u16	Indeed, it might be more interesting to take stock after the visit. It had to be postponed for known reasons. A new visit is scheduled for the beginning of February, so we will not be too late for the questions you are asking.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u17	Minister, we have already debated the worrying situation of certain military barracks on a number of occasions in committee. For example, the military barracks in Aarlen were under water and on the campus Saffronberg there were 600 candidate officers without water. In addition to this appalling situation, there is still a great deal of uncertainty about the operationality of the military barracks. At the time, Minister Vandeput's plan was to close 14 barracks, taking into account the geographical distribution. In the run-up to the local elections, in 2018, I think the plan has ended up in the bottom slide. Minister, what is the current state of play of the Vandeput plan, which was announced at the end of 2017? Which army barracks are still operational today and which will close in time? Do you share the view that flexible workplaces should be created, taking into account the correct geographical distribution?
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u18	Mr Vandenput, the previous government decided not to close new quarters. With the implementation of previous political decisions, the 15 minutes of Wispelaere in Jambes was closed last year. Actually, there are 45 headquarters still operational. Pending a new government, no more quarters will be closed. A good geographical distribution of the barracks is appropriate for the promotion of recruitment and the attraction of the profession. In addition, staff are given the possibility, where possible and subject to certain conditions, to work flexibly, either from a satellite workstation in a barracks, located nearer to their place of residence or from their place of residence.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u19	Thank you, Minister. It is fortunate that the previous government did not approve the plan of former Minister Vandeput, so no quarters were closed. As far as geographical distribution is concerned, two weeks ago we had a hearing on HR, where it was also heard that more barracks had to be located closer to the people. I look forward to another government that can implement such a decentralised distribution plan for barracks.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u20	The subject is also dealt with in another question.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u21	Minister, Kleine-Brogel's air base is at the heart of the North Limburg relief zone. There is also an extensive fire station on the air base. It is also a coincidence that this fire station is ideally located within the flight base fence to provide optimal coverage for an area outside the air base. In the past, questions have been raised several times for structural cooperation between the relief zone and the defence sector. Until now, however, this has not been possible. In 2018 there was a fire very close to the airbase. Afterwards it became very clear that aid from the air base would have added value to the provision of the first aid. In the same year, a letter was sent from the relief zone to your predecessor, Minister Vandeput. In his reply he ruled out structural, official cooperation because of a lack of staff, means of intervention for civilian purposes, legal framework, etc. We regret this response. I therefore have the following questions for you, Minister. Are you of the same opinion as your predecessor, Mr Vandeput? According to him, official structural cooperation was excluded. To what extent can there be cooperation between Defence and local authorities, local aid zones and police areas?
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u22	Mr Matheii, on the ground, firefighters are always willing to help wherever possible and ad hoc. The fire services of the 10th Tactical Wing in Kleine-Brogel are only dimensioned to support the flight operations of the airbase. The fight against house fires is no longer even part of the task. The immediate effect of sending out the airbase fire brigade is to stop all operations and to close runways, which is not possible from an operational point of view. There is cooperation between Defence and the services involved in public aid. Defence shall provide support according to its capabilities and taking into account its own tasks. This cooperation is based on the exchange of certain information, knowledge and local procedures when drawing up emergency and intervention plans. On the other hand, Defence also actively participates in planning and conducting exercises to evaluate various emergency and intervention plans, at local and provincial level. A third option falls within the scope of public aid and emergency planning and concerns the provision of assistance to the civil authorities responsible for disaster, catastrophe and damage relief. The discipline of logistical support provided by the Royal Decree on emergency and intervention plans provides for the possibility of supporting the competent civilian authority by a number of means, including military equipment and personnel. In support of the integrated police and customs services, there are operational and non-operational cooperation protocols.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u23	Minister, ad hoc cooperation on the ground is indeed good. I myself am mayor of Peer, to which Little Brogel belongs, so I can certainly speak with that. It is only regrettable to note that there can be no opening-up to more structural cooperation. There is now a situation where there is a fire station, so to speak, within the fence of the airbase, and in the long term 500 metres or one kilometre further, a fire station must be set up. That is difficult to explain and does not make any sense either. We regret that we cannot achieve greater cooperation on this issue.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u24	The President: Mr Flahaut has already been dealt with.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u25	Mr. Minister, in an anonymized interview that appeared in the media on 10 September 2019, a member of the Special Forces mentioned that certain insurances are almost priceless for the members of his group, because of the risks involved in the appeal in question. The man literally said: "Our debt balance insurance is hugely higher than for someone with an ordinary job. Hospitalisation insurance is not even payable anymore." However, on the website of the Central Social and Cultural Action Service of the Ministry of Defence, we find that the members of the armed forces in actual service are beneficiaries of, among other things, a hospitalisation fee. Here's what I'd like to hear from you. Firstly, is this hospitalisation insurance similar to that of what could be called civil insurance? Or has it been specifically adapted for members of the armed forces in actual service? If so, what are the adjustments? Secondly, is the premium for hospitalisation insurance for members of the armed forces in actual service different according to the different components and the task package within the relevant component? If applicable, what are the lowest and the highest premiums respectively? Where appropriate, within the respective components, which functions are covered by the payers of the highest premiums? Thirdly, and finally, do you agree with the ruling of the member of the Special Forces concerned that hospitalisation insurance premiums are virtually unaffordable? What are your reasons for doing so if so? What initiatives do you have in mind to provide a solution?
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u26	Mr Creyelman, the hospitalisation insurance offered through the Defense Department is indeed comparable in terms of coverage to civil insurance. However, there is no obligation as a defence officer to subscribe to this insurance. The calculation of the premium depends on the staff member's age category and not on the job performed. In addition, the contribution for staff who signed up for this insurance is paid in full by the Ministry of Defence. There is therefore no difference in contributions for the persons concerned. Premiums may be high for insurance contracts concluded directly between the insured person and the insurer. This is one of the reasons why the Department of Defense is offering this group insurance.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u27	Thank you, Minister, for the answer. I am pleased that the DOD is meeting potential problems in hospitalisation insurance by offering this insurance itself.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u28	Minister, in the second half of 2019, the Security of the State and the General Intelligence and Security Service advocated a uniform system in order to communicate electronically in a secure manner. They specifically asked for an adequate, secure network to be established by 2024 to enable them to communicate easily with each other. Despite the fact that the outdated BINII network was already modified in 2015 with new cryptographic security features, it is no longer what it should be according to today's standards. It is not sufficiently safe and adequate. Minister, to what degree are messages sent using the BINII network? How are the messages with the highest classification between the different security services, the Crisis Centre, the OCAD and the Federal Office passed on? Do you agree that the current BINII network is not sufficiently safe and adequate according to today's standards? If not, what arguments do you have for that? Are you planning initiatives to set up the requested new adequate and secure network? Where appropriate, what stage are these initiatives at?
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u29	Mr Creyelman, the BINII network is Homologized for sending messages to the classification levels of Belgian secret, NATO secret and European Union secret. Messages with these rating grades are exchanged by mail between the different services. This network is completely isolated and it is therefore not possible to send an e-mail with one of the rating levels already mentioned directly from the BINII network to other networks. The BINII network has been Homologised through current standards. The approval of the entire network and of each individual BINII customer is done by the ADIV according to the quoted standards. These standards are contemporary and of the highest possible level. They focus not only on the security of infrastructure or the means of information such as computers, printers, ICT and network, but also on the screening and rehabilitation of personnel who need access to these systems. No complaints, incidents or network security issues have been reported to date. There is therefore no reason to take initiatives in this area now. With regard to these systems, of course, there is an evolution that is being closely monitored.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u30	Mr President, Minister, thank you for this explanation. If I have understood correctly, you say that the security of the state and the military security services in a memorandum that they made public in the middle of last year asked you a question that you will not answer. That's what I think I understood.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u31	Minister, after a three-year legal battle, the Washington Post newspaper was able to look at certain documents and interview transcripts that give a staggering picture of how policy-makers, military officers and diplomats view the US military operation in Afghanistan; particularly relevant. Interviews show that there was a complete lack of strategy or clear objectives during the conflict. There was no answer to basic questions like 'who is the enemy' and 'who are our allies'. Similarly, the question 'when did we win the war' remained unanswered, leaving the demand for the goals there open. Several stakeholders also admitted that the US simply did not understand Afghanistan, which led to many initiatives based on false assumptions and thus failed. In addition, the US injected much more money into Afghanistan than it could absorb, encouraging corruption. Finally, it appears that citizens were not properly informed about the war. To date, Belgium is also participating in operations in Afghanistan. That is why questions can certainly be asked about the extent to which this Belgian participation is taking place and has been done with a clear objective and a political, diplomatic and humanitarian framework. Minister, what lessons can Belgium draw from these Afghanistan Papers? If you look back at the Belgian participation in the former operations in Afghanistan, do you recognise that our country also failed to set clear objectives, an understanding of the context and a broader strategy? Do you feel that the current development in Afghanistan and, for example, in Mali is taking place within a framework with clear objectives and a clear context? Do you agree that a review framework for military operations and a thorough 3D-LO analysis are a must?
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u32	Mrs Moscufo is not here.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u33	Mr President, Mr De Vriendt, since the start of the War on Terror in 2001, there have been several military operations in Afghanistan. The International Security Assistance Force, later transformed into Resolute Support Mission, are operations under NATO flag. Operation Enduring Freedom, on the other hand, was a purely American operation. For the time being, it is unclear which of these operations the Afghanistan Papers are doing properly. The Defence Lessons Learned Process takes into account the periodic reporting provided by NATO and contains feedback on the engagement of our own troops involved in the operation. These recommendations form an integral part of the evaluation cycle for the continuation or non-continuation of an operation. The statement in the recent article of The Washington Post criticises the American approach on the ground, but it is not yet clear to the defence staff whether there are any points of contact with the deployment of our Belgian military forces in Afghanistan. The deployment of Belgian military forces in Afghanistan has always been part of the Belgian contribution within NATO to improving the security situation and stability in the region. The military objectives have always been clearly defined. The missions carried out by the Belgian detachments in Afghanistan, most of the time within a German unit, were regarded as successes, both at national and international level. Belgian Defence's participation in operations is always subject to a process of appraisal, including a clear strategic vision and objectives that form part of international cooperation within structures such as the United Nations, NATO or the European Union. They are also submitted to the full Council of Ministers for individual approval each year and thereafter. Each participation is therefore already an informed and tested decision, which is borne by the government.
