ParlaMint-BE_2020-02-20-55-plenair-ip025x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2020-02-20-55-plenair-ip025x.u2	There has been a change in the order of questions because Minister De Croo has asked, with the agreement of his colleagues, of course, whether he can answer his questions first. I invite him to come forward and sit next to me.
ParlaMint-BE_2020-02-20-55-plenair-ip025x.u3	Mr President, Minister, we are going to talk about tax evasion and the World Bank. I am therefore speaking to you as Minister of Finance and Minister for Development Cooperation. The IMF estimates global tax evasion at several hundred billions. In Belgium alone, we would be talking about a loss estimated at between 20 and 30 billion for our public finances, while our budget deficit is worrying and is estimated at 12 billion. Tax evasion is a nightmare for our democracies and for our prosperity. It is all the more shocking when it is organized on the backs of official development assistance, and therefore of the most vulnerable people on our planet. However, this is reflected in an internal report of the World Bank, which this institution has tried to hide from us. The report indicates that, on average, 7.5 per cent of World Bank payments to developing countries are diverted to tax havens, rising to 15 per cent for the seven countries most supported by the institution. Belgium, as a good student of multilateralism, actively supports the World Bank. On the other hand, compared with many other donors, Belgium entrusts its public funds to the Bank's common pot, without giving clear guidelines for what this money should contribute to. Since the 1980s, with its policy of structural adjustment, the World Bank has been criticized by people all over the world: for its lack of democracy, its shortcomings in terms of human rights and the environment and, today, for the poor monitoring of its aid and its attempts to conceal its information. However, Belgium's weight is important at the World Bank as it is a member of its Board of Directors. And I would point out that this mandate is not subject to parliamentary scrutiny as regards the guidelines adopted. Minister, what are your conclusions with respect to this report? What reactions does Belgium intend to have within the World Bank to these findings? What are you planning to strengthen the democratic control of this institution?
ParlaMint-BE_2020-02-20-55-plenair-ip025x.u4	Mr President, Mrs de Laveleye, first of all, this is not an official report published by the World Bank but a series of articles based on the resignation of Mrs Penny Goldberg, Chief Economist of the World Bank. According to some sources, his resignation is linked to the fact that the World Bank does not want to publish an internal investigation into increases in transfers to accounts in tax haven countries. Belgium, through its post in Washington and its representations to the World Bank, will examine this issue very closely. It will clearly ask the World Bank to provide it with the data that appears to be part of an internal investigation. In a more general context, integrity is a basic element of Belgian development cooperation. An integrity charter and an anti-corruption clause are included in our partnership agreements. These are important elements and we will support them with the World Bank. On the other hand, the Belgian Cooperation no longer gives any budgetary support. The fact that you mention is linked to budgetary support bodies. It is clear that when direct budgetary support is provided to partner countries, there is much more risk of tax evasion or transfers to tax havens. Belgium does not make direct budgetary support, which, I think, reduces our vulnerability to such elements as those you refer to. If at the World Bank where we are indeed doing a lot of core funding, there was a problem mentioned in these articles, we would immediately ask it to justify itself.
ParlaMint-BE_2020-02-20-55-plenair-ip025x.u5	Minister, thank you. We know how much attention you pay to integrity issues as it is a work that has been going on for some time with all the players in the sector. That said, as a Member, I am still dismayed that the multilateral development agencies are still not up to their mandate in terms of supporting people in the countries of the South and their legitimate desire for prosperity and that they are still contributing to tax evasion. We're an assiduous donor. We know that it is important for you that we be a good supporter of multilateralism, but our country has a strong political role to play as a member of the Board of Directors of the World Bank. It is really time for Belgium to show an even stronger desire for integrity in these very large agencies that have not always been good examples of integrity. I ask you two things: first, to have our influence on this level and then, as we have been asking for years in this Parliament, to allow us to exercise our parliamentary oversight over the mandate of our representatives at the World Bank. This is not the case, with the result that we suffer a lot.
ParlaMint-BE_2020-02-20-55-plenair-ip025x.u6	Minister, there is a humanitarian catastrophe in Idlib. Citizens are endorsed by military actions by Syria and Russia. People are running away. Undoubtedly many of us have seen the images of children in search of safety, freezing to death in the cold. Then a human being, a politician, wonders: what can we do about it; we can do something about it. It makes sense, then, that he or she should be overwhelmed with a sense of powerlessness. However, the good news is that the border crossings between Turkey and Syria are open to emergency humanitarian aid. In January, 1,227 trucks of emergency aid crossed the Syrian border. We must be aware that every euro of emergency humanitarian aid that we can provide to Syria is well spent and ends up correctly with whom it needs. The bad news is it's not enough. In their report, the United Nations states that 900,000 Syrians have fled since December 2019, including 60% of children. The military offensive continues. The UN therefore calls for an additional new contribution of USD 336 million to deal with the emergency situation. Belgium has not yet responded to that question, but the Green Group is asking for a positive response today. After all, what is our indignation worth if we cannot turn it into action? As President of the UN Security Council, it is not a question of simply dismissing the UN's plea. Our country has an exemplary role and is perfectly capable of doing this exemplary role. I look forward to your answer.
ParlaMint-BE_2020-02-20-55-plenair-ip025x.u7	There is a great deal of interest in development cooperation today, and that is right. The situation in Syria is particularly dramatic. Since the war broke out in 2011, it's never been worse. We invest more in humanitarian aid than ever before: in 2019 it was EUR 170 million. I would like to reply to your question with two points. As regards the financing of humanitarian aid, I will propose to the Council of Ministers in the coming weeks to release an additional EUR 7 million from the humanitarian aid budget. This money is intended for the Syrian Cross-border Fund, which is managed by the Office for the Coordination of Humanitarian Affairs (OCHA) of the UN and which focuses specifically on this issue. That amount is higher than the 17 million euros that we make available each year for the Central Emergency Response Fund (CERF) of the OCHA. The second element is the political aspect of this. We won't solve the problem by just offering help. We must also dare to raise the issue politically. You have said that this month our country is chairman of the UN Security Council. Next week, a meeting of the Security Council will discuss the specific report on the humanitarian corridors, which will be presented at the request of Belgium and Germany. I decided to attend the Security Council meeting myself for one day next week, so that I could personally chair it and give the necessary weight to the report and to the debate so that a humanitarian corridor could indeed be established. This makes it possible for people on the run to distinguish between danger for their own lives and exposure to violence, on the one hand, and to escape a situation of insecurity in a safe way, on the other. I want Belgium to be absolutely able to play its part. I hope that the Security Council will be able to give the necessary weight to this debate in order to find a solution for millions of people in extreme need.
ParlaMint-BE_2020-02-20-55-plenair-ip025x.u8	Minister, today the UN has just published a new warning that the crisis is affecting more than a million Syrians. You're right. We must try to take diplomatic initiatives to address the causes of that humanitarian crisis. The first objective must be to achieve a ceasefire in the region as soon as possible. Bringing parties around the table is what we have to do. I look at our country to take an initiative in this. Last week I also had the debate on this with the Foreign Minister, Mr Goffin, in committee. As long as it is not there, it is also Belgium's responsibility to ensure that food, tents, shelters, heaters, medicines are delivered, so that children no longer freeze to death in search of safety. Our group is satisfied with your commitment to make an extra effort towards the UN humanitarian emergency plan in Syria. It is a good thing that our country, as President of the UN Security Council, takes this extra responsibility. Thank you for the answer.
ParlaMint-BE_2020-02-20-55-plenair-ip025x.u9	Mr President, Minister, two out of three adult Belgians play a gambling game at least once a year. Research shows that 5.2 % of that group are problematic or risky players. That's huge. That group itself indicates that advertising is the trigger to go online and open a bet. This is a very good illustration of the problem and also shows how hard and how big the impact of advertising on risk players is. Minister, you have tried to tighten up the rules on advertising. You tried. However, you have also made a division from the outset between those for whom the rules would be applied very strictly and those for whom they were not. We wouldn't have done that. You have allowed an exception for sports betting, which my sp.a fraction has been very hard on from the beginning. After all, we are convinced that a ban on advertising should apply to everyone. You have not followed our arguments on this point. What we expected has also happened. The Council of State has destroyed the article in question on the basis of the principle of equality. The result or result is that nothing has changed at all. You yourself say you regret that the stricter rules are being watered down again, because you know how big the problem is and because you know how big the impact of advertising on the risk players is. Why did you allow an exception? Why didn't you introduce a general ban on advertising? I think it is not too late, Minister. I have two questions for you. First of all, I can tell from the coverage that yesterday there was a meeting with the Game Commission. What came out of that meeting? Secondly, when will you finally work on a total ban on advertising?
ParlaMint-BE_2020-02-20-55-plenair-ip025x.u10	Mr President, Mrs Depraetere, thank you for your question. Firstly, a total ban on advertising requires a parliamentary majority. If you can find that majority, it will approve that measure, as is the case in many cases in Parliament, especially today. Secondly, we have tried to adapt the legislation as far as possible to combat detestable addiction behaviour. The Council of State has delivered two judgments on this matter. Those judgments state that bonuses may no longer be offered. Not only advertising should no longer be allowed, but bonuses should no longer be allowed. In my view, that is the meaning of these two judgments, which makes the gaming legislation stricter than originally envisaged. So the Council of State has gone your way. Perhaps you should thank the Council of State for that. Yesterday, the Gaming Commission approved an information note in which it indicated that it would check compliance with the judgment. That, too, is what you ask and what you like, I think. As far as advertising is concerned, according to the Council of State, the different rules are a violation of the principle of equality. It cannot be demonstrated that they appeal to a completely different clientele. In our view, the ratio of stricter advertising rules was not to appeal to different clients, but to the addictive nature. Anyway, the Council of State has spoken. We thought online casino games and online slot machines are very addictive. To be honest, I regret that the Council of State does not allow stricter rules for these types of gambling. The Council of State did not follow me in this respect. However, I would like to stress that the rules on advertising continue to apply to licence holders of online casinos, online slot machines and online betting, with the exception that the first two licence holders are now allowed to advertise outside their own website. Mrs Depraetere, you know my personal idea of advertising games of chance. We must make further progress in this regard.
ParlaMint-BE_2020-02-20-55-plenair-ip025x.u11	Mr President, Minister, it is true that a parliamentary majority is needed to introduce a total ban, but it has been there for four years. You have had the opportunity to do so for four years, and unfortunately that has not happened. We have tabled a proposal to the Committee on Justice. I call on everyone to do this. The importance for the players with a risk problem is incredibly great.
