ParlaMint-BE_2020-07-14-55-commissie-ic240x.u1	Mr Flahaut is not yet here, but I will ask him my question.
ParlaMint-BE_2020-07-14-55-commissie-ic240x.u2	Minister, World solidarity analysed the expenditure of Belgian development cooperation on social protection. The analysis shows that Belgian expenditure on humanitarian aid increased sharply, from EUR 88.5 million in 2009 to EUR 180.9 million in 2018. It is, of course, important to invest in humanitarian aid. We have made this clear in previous resolutions, including when it was about Syria. In the long term, it is also crucial to invest in robust social protection systems, which in normal times provide a guarantee of income for everyone and ensure access to essential services such as health care. However, we are seeing a decrease in expenditure in the social protection sector, from EUR 8.8 million in 2009 to EUR 1.9 million in 2018. Also in the job creation sector there is a decline from 16.4 million to 10.6. For health care, there was an increase between 2008 and 2014, but since then spending fell again, from 139.8 million in 2014 to 103.5 million in 2018. When we look at spending per actor, we see that Belgium invested around 24 million euros in Wonderful Work, or 2.4 percent of total expenditure on development cooperation. I would therefore like to ask you the following questions. How do you respond to this analysis? What concrete measures will you take to create a policy framework for social protection in Belgian development cooperation? What concrete steps will you take to increase the resources for social protection?
ParlaMint-BE_2020-07-14-55-commissie-ic240x.u3	Madam President, my answer is also an answer to Mr Flahaut's question, which is not present, but we can deliver it to him. Indeed, the figures quoted by World Solidarity are well known. Humanitarian aid budgets have increased considerably in recent years. The world is facing ever-increasing and long-term humanitarian crises, where it would be humanly unthinkable not to make any financial resources available for them. In addition to this emergency aid, it is essential to pay sufficient attention to the resilience of the population. This resilience can make a difference in certain crises, especially in a crisis like we are experiencing with COOVID-19. One of the mechanisms that can support the resilience of the population is strong social protection, which also provides for the weaker. The paper position dated October 2019 and entitled "Pistes de réflexion du dialogue belge sur la protection sociale. Establishing and strengthening social protection in developing countries" is the basis for Belgian development cooperation in the field of social protection. This document contains the consensus guidelines as well as the respective roles of the various Belgian actors in cooperation and suggests ways of thinking for the future. In 2019, Belgian Development Cooperation drew up a framework paper on social protection. This note reflects the willingness of the Belgian actors concerned to act in a coordinated manner on this issue. On the other hand, the non-governmental actors for decent work are also organised among themselves within a coordination platform and have jointly established a common strategic framework, listing the essential objectives they have set themselves for a period of five years. This is a solid basis on which the 2017 to 2021 programmes of these actors are based and is also a way to concretely valorise Belgian expertise in this field. In financial terms, DGD allocates a contribution to social protection through three different funding channels. First, multilateral cooperation in the budget of the International Labour Organization results in a mandatory contribution of some 3 million per year and a voluntary contribution of the same amount. Secondly, bilateral cooperation for the establishment of health mutualities is being carried out in several partner countries, in particular Senegal. Thirdly, non-governmental cooperation is developing a common strategic framework on the themes of decent work, employment, social protection, the right to work and social dialogue, which is implemented by nine Belgian NGOs in 38 countries for a total amount of EUR 92 million. Finally, in response to the COOVID-19 crisis and its socio-economic impact, I have now agreed in principle to finance the ILO EUR 2 million, which will be paid in 2020 for the Flagship Programme on Building Social Protection Floors for All in Senegal and Burkina Faso. With regard to the actions taken by Belgian cooperation in the field of social protection, I would like to remind you of the creation in September 2018 of the Belgian Dialogue on Social Protection, of which DGD is a member, which is a place for information sharing, capacity building and exchange in favour of the inclusion of social protection in development cooperation. The network also organizes conferences such as the universal social protection conference held in November 2019. In October 2019, the document "Pistes de réflexion" was completed after lengthy consultations. At the Belgium-ILO bilateral consultation on 27 December 2019 in Geneva, social protection was discussed as part of the achievement of the sustainable development objectives related to the ILO mandate. Supporting and investing in social protection by strengthening national social protection systems will ensure access to health care, while supporting job security and the incomes of those most affected, thereby reducing the impact of the crisis by increasing the resilience of the population. In addition, in the longer term, investment in the social protection of some of our partners will contribute to the establishment of universal social protection in these countries.
ParlaMint-BE_2020-07-14-55-commissie-ic240x.u4	Thank you, Minister, for your reply. COOVID-19 has made it clear that social protection is indeed a crucial issue for development cooperation. I welcome the fact that, as a result of COOVID-19, you have given additional resources to the ILO. It is important that all channels, strategic frameworks and cooperation platforms around this theme always exist. It may be necessary to look into the future and consider whether additional resources should not be spent on the basis of the crises we are experiencing today, not only in connection with COOVID-19, but all humanitarian crises. Social protection systems need to be developed to ensure that people are given sufficient resilience.
ParlaMint-BE_2020-07-14-55-commissie-ic240x.u5	The restructuring process of Feronia and/or subsidiaries is a process independent of the loans provided to Feronia and therefore does not directly concern BIO. In addition, this restructuring process will take several months. It is currently impossible to estimate the possible impact on the contract between BIO and Feronia. This sale/transfer of Feronia's rights to a consortium based in Mauritius is only one of the possible outcomes of Feronia's restructuring among others. BIO, which must approve the result of the restructuring, will ensure that it complies with the BIO law. Indeed, a reflection is under way on the creation of a foundation to fulfil Feronia's social commitments. Feronia-PHC is required to comply with legal obligations and contracts signed with BIO and other loan providers. Compliance with these obligations is verified by carrying out regular visits to Feronia's activities in the field, together with an independent expert. BIO will question Feronia about the follow-up to the mediation process with local communities. BIO and other development financial institutions will ensure that the mediation process is taken into account in Feronia's restructuring process. BIO and other loan providers will ensure that the restructuring does not affect Feronia-PHC's commitments to communities. The outcome of the restructuring announced on 22 May is far from known. BIO and other loan providers must approve new shareholders of their customers. BIO and other loan providers have Know Your Customer procedures with reference to the duty of vigilance to ensure the acceptability of any new shareholder. Finally, with regard to Feronia's communication on the need for an agreement from Belgium, the Belgian State does not intervene in the restructuring of a commercial entity. The purpose of Feronia's communication is therefore unclear. As I have just indicated, BIO will have to approve the restructuring, and will do so in accordance with the management contract signed with the Belgian State.
ParlaMint-BE_2020-07-14-55-commissie-ic240x.u6	Minister, thank you for your answer. As I understand it, the sales date of August 15 is not confirmed.
ParlaMint-BE_2020-07-14-55-commissie-ic240x.u7	Yes, it is.
ParlaMint-BE_2020-07-14-55-commissie-ic240x.u8	In doing so, everything is still open. It is particularly important to note that this project, which poses many questions and difficulties, is again put on the table with a prospect of resale of the company, while the latter is engaged in a development project with the Belgian State. You've given a lot of information. So I'm going to have to look at the latter a little bit closer. Having said that, you yourself say that you do not fully understand the passage of the letter according to which we must obtain the agreement of Belgium. So we're going to have to follow the question. Furthermore, I should not remind you that Feronia is part of a process of mediation with local communities. Will you personally ensure that this process is carried out to its end, despite the hypothetical resale? I mean, you're going to make sure that all of BIO's objectives can be pursued in case of resale. But this is about a consortium in a tax haven. You've taken actions that are clear enough to stop giving public money to companies based in tax havens. You should therefore be able to use existing levers to ensure respect for local communities and to ensure that public money is not given to tax havens. I hope that if Belgium is to give its consent, you will be clear and clear about these issues. Anyway, I'm afraid I'll have to come back to you in a few weeks to find out what's going on.
ParlaMint-BE_2020-07-14-55-commissie-ic240x.u9	Debates of the European Parliament 55007430C by Mrs Kathleen Depoorter will be converted into a written question.
ParlaMint-BE_2020-07-14-55-commissie-ic240x.u10	Minister, Tunisia has managed to reap the political fruits of the jasmine revolution. It remains nevertheless fragile, not only politically but also economically. Its difficulties, already present before the epidemic, have worsened as the tourist season promises to be catastrophic. This sector, vital for the country, is going through its fourth major crisis in nine years. The IMF, in its April report, announced a growth contraction of 4.3% and the European Bank for Reconstruction and Development of 2.5%. In 2017, a resolution on support for Tunisia by Belgium was adopted. Among the many requests addressed to the federal government, ranging from military cooperation to socio-economic support, was the strengthening of our development cooperation through "all available instruments". Minister, what action has been taken on this point? In the current difficult economic context, what are the actions taken by the Belgian government – both bilaterally and Europeanly – to strengthen our support for this state, which is somewhat at the forefront of the process of democratisation in the Arab world? What about the possibility of making Tunisia a partner country in our government development cooperation?
ParlaMint-BE_2020-07-14-55-commissie-ic240x.u11	Madam President, Mr Ben Achour, Belgium, Belgian Development Cooperation is governed by the Act of 19 March 2013 on development cooperation, as amended on 16 June 2016. It brings together the objectives of Belgian international cooperation, its strategies, the different types and actors of cooperation and the criteria for selecting partner countries for government cooperation. Several criteria have been defined for the choice of partner countries. More specifically, the level of poverty and inequality in the partner country, the cooperative advantage of Belgian Development Cooperation and its role in it, the efforts made by the partner countries on its socio-economic development, the partner country's efforts on good governance and human rights, and the relative importance of Belgian Development Cooperation in the partner country in terms of the volume and existence of a division of labour among donors in the partner countries. The 2014 government agreement provided for a maximum of 15 partner countries. The government has retained fourteen of them, and Tunisia is not one of them. However, according to the criteria, Tunisia could indeed be reintegrated into the list of partner countries, which will no longer be reviewed by the current government in day-to-day affairs. Of course, the future government could undertake a revision of the list of partner countries according to the above criteria. Our contribution through the European Union's development budgets, and more specifically through its neighbourhood instrument, is partially destined for Tunisia. In this regard, I can mention the Team Europe initiative, which aims to help the partner countries of the European Union – including Tunisia – to cope with the consequences of the VOCID-19 crisis in terms of humanitarian aid, health and socio-economic effects. Belgium will actively contribute to this initiative, in addition to the new programming of the aid programmes for the years 2021 to 2027, which is under discussion and of which Tunisia will be one of the beneficiary countries. The budgets available for this programme are steadily increasing.
