ParlaMint-BE_2020-05-27-55-commissie-ic190x.u1	Minister, have you planned an introductory presentation? Would you like to speak?
ParlaMint-BE_2020-05-27-55-commissie-ic190x.u2	Mr President, I have prepared a brief introduction. The latter may already answer some questions. The Committee has already received a detailed explanation of the royal decision at two times. So let me summarize it briefly. In Royal Decree No. 12 of 21 April 2020 concerning the extension of the time limits for judicial proceedings before the Council of State and the written examination of cases, a number of measures were taken with regard to the Council of State. We have already talked about this. It concerned Article 1 with the extension to 30 days after the expiry and Article 3 which provides that claims and actions may be dealt with without a hearing in open court for the period laid down in Article 1, namely the extended period. Mr President, ladies and gentlemen, I would like to inform you about the exact scope of the Royal Decree. The period referred to in Article 1, which is important for the other procedures mentioned in the following Articles, will end on 30 June 2020, as you know, instead of 18 May 2020. I will also share some other details. In the meantime, it has been decided that many of these measures will be extended and will be relaxed only in several stages. The current flexibilities and the general state of public health are insufficient to simply repeal the derived measures taken by Royal Decree No. 12.
ParlaMint-BE_2020-05-27-55-commissie-ic190x.u3	The date of 30 June 2020 allows the Council to organise itself as well as possible in the circumstances, taking into account all precautionary measures, given the current health situation. So that there would be no gap between the initial text of Royal Decree No. 12 of 4 May and the proposed amendment shall enter into force on 19 May.
ParlaMint-BE_2020-05-27-55-commissie-ic190x.u4	Are there any colleagues who have questions and/or comments? Do some colleagues have comments or questions? Mr. Secretary, apparently you were loud and clear, because no one has any questions. You have implicitly received the approval of this committee.
ParlaMint-BE_2020-05-27-55-commissie-ic190x.u5	Mr President, last week we had a short debate in plenary on CAB No. Three down. You did not answer some of my questions at the time. The KB No. 3 was extended from 17 May to 17 June. It deals with the execution of sentences, in particular longer prison leave, early release, the extension of electronic surveillance and people who are 6 months before the end of their sentence. So it's about just about everything to limit the movements in and out of prison. The KB was only extended once again, while the figures are still in the right direction. There are loosenings everywhere. You also allow another visit in the prisons. So there is also an exit strategy for the execution of sentences, which I do not mean the exit from prison, of course, but an exit strategy in the area of measures. I had several questions about that. You did not answer all these questions in plenary last week. I also have a few further questions. Minister, what is the current state of affairs in prisons? What's the status of the contagion? How are they handled? Are there any prisoners being quarantined? How many tests have been carried out? Are there sufficient tests available? How many inmates are currently on extended penitentiary leave? In how many cases has the grant been withdrawn for non-compliance? I hope this didn't happen, but there's always a risk. How many prisoners were released because they were less than six months before the end of their sentence? In how many cases was it necessary to withdraw the grant because of non-compliance with the conditions? Why was the KB extended by one month and not by two weeks, as was the case last time? Finally, I come to my most important question. How do you plan to return to a normal sentence? Are you considering mass testing? Are you considering other measures? Last week, those cases were under-exposed. The exit strategy that I mentioned just now is now being discussed. I hope to hear a little more about this today.
ParlaMint-BE_2020-05-27-55-commissie-ic190x.u6	Mr President, Minister, the government of special powers extended for the second time the measures it had taken in its third decree of special powers concerning criminal procedure, the enforcement of sentences and the security of detention. All maturities are therefore carried over by one month. The main aim of the text is to protect prisoners considered vulnerable during this health crisis, as well as to reduce prison congestion and avoid multiple displacements. Minister, I would like you to tell us the current number of inmates contaminated with VOCID-19. How many hospitalizations have been made necessary? How many prison officers are infected with the VOCID-19 and how many are hospitalized? Next, how many prisoners and officers are ill and/or under quarantine? Finally, what is the quantitative impact of the measures on prison overcrowding, particularly with regard to the theoretical capacity of prisons?
ParlaMint-BE_2020-05-27-55-commissie-ic190x.u7	Mr President, Mr Minister, the period we have been through – and we hope to see the end of it in the near future – has shaken the working habits of many sectors. You know better than we do, justice has not escaped. Within this framework, various royal decrees of special powers (ARPS) have been taken. They have been negotiated, discussed, commented on and set up an organization that has its supporters and critics, but which is primarily based on a balance between the need to maintain the judicial institution, health security and the rights of the defence. Nevertheless, the more time passes and the more disproportionate these exceptional measures, it seems to me. This is the moment of the necessary adaptation of justice to the deconfinition. In the future, it is up to us to ensure the normal short- and medium-term functioning of our courts and tribunals, despite the recent extension of some SPRAs. In this regard, it must be noted that an order of the 18th French-speaking Chamber of the Tribunal de l'Entreprise de Bruxelles – considering the important criticisms made against Royal Decree of Special Powers No. 2 – decided to postpone a case to an indefinite date, as the Royal Decree in question specifically permits, but on a different basis than that. In particular, the order points to the impossibility of favouring, at this time, the amicable resolution of disputes provided for by law and the lack of consideration and specificity of certain disputes or of certain courts, including the court of the undertaking which rules with the presence of consular judges, which would make it difficult to apply the written procedure. The author, president of the chamber, wonders about the appropriateness of the choices that have been made, considering justice as a sector necessary to protect the vital needs of the Nation and the needs of the population. It raises the potential risks, already mentioned by my group in other parliamentary questions, to the use of software for which service providers are established in the United States and which therefore do not benefit from European data protection protection. Finally, the author points to the risk of breach of confidential information. Minister, if such orders were to multiply, the effectiveness of Royal Special Powers Order No. 2 would be weak. As a result, what action do you intend to take? Is a correction of this royal decree envisaged or possible? For the future, the reflection of physical presence is inherent in that of deconfination. Therefore, what rules are envisaged? Are there any planned work or improvements to ensure the safety of courtrooms to protect judicial personnel and magistrates and to prevent the spread of VOCID? If so, could you tell me about the planning agenda by judicial district? Finally, in terms of video conferencing, what are the safeguards put in place in terms of hacking and data protection regarding the particular use of Cisco Webex software?
ParlaMint-BE_2020-05-27-55-commissie-ic190x.u8	Are there any other colleagues who have a question or comments on the extension decision? No? Then I am happy to give you the floor, Minister.
ParlaMint-BE_2020-05-27-55-commissie-ic190x.u9	Mrs De Wit, Mr Boukili, the provisions of the Rules of Procedure No. 3 were extended by Royal Decree of 13 May. With the exception of the provisions on the processing of research data, the temporary measures will cease on 17 June. I do not intend to ask for another extension. Any extension, including other proxy decisions, naturally, in line with the instructions of the National Security Council, took into account the evolution of the virus and the requirements for preventing contamination in the sector concerned. I do not need to explain to you that prisons are critical places, for which special measures were absolutely necessary and for the time being remain extremely necessary for a few weeks. I think I can say, however, that until today we have managed fairly well to ensure the safety and health of staff, detainees and external visitors or services. I give some figures on the infections and diseases related to the virus, both for the prisoners and for the staff. To date, 21 inmates have been tested positive for VOCID-19. Three detainees were hospitalized in a local hospital because they were not transportable. They were then transferred to the VOCID unit in Bruges Prison. The condition of one of them necessitated a transfer to the AZ Sint-Jan of Bruges to be hospitalized in intensive care. Meanwhile, this detainee was able to join Turnhout prison. Currently, six detainees are in the VOCID unit at Bruges Prison. Twelve are cured and three others have been released. Twenty-eight. Inmates are currently being quarantined for suspicion of infection. At the beginning of this week, 1,199 tests had already been carried out on prisoners. There is currently sufficient test material available. To date, the prison administration has 71 staff members who have been tested positive for VOCID-19. The administration is not aware of any hospitalization of any of them. Sixteen staff members are currently ill with VOCID-19 and fifty-five are cured and returned to work. As of May 26, 747 staff members were ill – we get this figure by adding patients other than those infected with VOCID-19. The FPS Justice Department doesn't run any tests on the staff. They are tested like any other citizen via the general practitioner or through a triage centre. So I cannot give you any figures. With regard to the penitentiary population and the measures of interruption and release a few months before the end of the sentence, I can give you the following figures. As at 26 May 2020, the prison population stood at 9,695, with a capacity of 9,279 places, representing an overpopulation of 4.6 per cent. On 4 March 2020, the population was still 10,782 prisoners. On 25 May 2020, 381 convicts were suspended. There were 34 convicts who had been detained in the past period: the majority because they did not comply with the conditions, the others because they asked for it themselves. Also on 25 May, 201 convicts were released for almost reaching the end of the sentence. Two were revoked for non-compliance with the conditions. The KB No. 3 will not be renewed, as I said earlier. This means that the convicts will soon have to return to prison. These persons will be tested, as happened with the persons who have recently been detained, new in prisons, following an arrest warrant in custody by the investigating judge or after the execution of a sentence to prison. The suspension of the execution of night-time permits, penitentiary leave and limited detention will also be terminated shortly. At the same time, the regime and activities within prisons will be gradually reduced to pre-crisis levels. Yesterday we had discussions with the trade unions on visitation measures. That consultation went well. I come to Mr Aouasti's question on the situation of judicial interpreters. Mr Aouasti, being younger than you, I do not share your pessimism. The applications of Article 2 of the ARPS No. 2 are more numerous than refusals. In fact, it is often at the request of, or with the consent of, the parties to an ex officio application. Let us not lose sight of the fact that the intention was merely to create a complementary and optional tool to advance justice, even if it was impossible to hold pleadings because of containment measures. In this context, judges have a broad discretion and have the choice of organizing the hearing, if any, by videoconference, if none of the parties, or just one or a few of them do not object, or to postpone the case to an indeterminate or fixed date or to take the case in deliberation without oral argument. This choice allows them, in particular – this applies particularly to exceptional courts, such as the justice of the peace, the police court, the corporate court, the labour court, the youth and family court and/or under specific conditions – to take their responsibilities on a case-by-case basis, on the one hand, by not taking the case in deliberation without pleading (cf. Article 2(2), fourth paragraph of the decree) and, if necessary, requesting oral explanations (see Article 2(4) of the Order), if it is appropriate to do so. I therefore do not propose to correct this measure as such. Besides, except for another extension, which I do not expect – but we never know! –, it will be extinguished automatically on 17 June next. With respect to your question about the measures taken to protect judicial personnel, I can tell you that the FPS Justice and the Colleges have worked on additional measures to enable the justice system to fully resume its duties as of May 18th. As of May 1, 2020, the College of Courts and Courts issued a communication to the Courts Management Committees as part of the exit strategy. The Communication contains various recommendations on hygiene and work organisation. The Prevention Advisors and the FPS Justice conducted a risk analysis in the various judicial buildings in order to implement the measures on the ground. With regard to protective equipment, approximately 35,000 FFP1 oral masks were delivered to the courts of first instance: 5,000 from 20 April 2020 and 30,000 at the beginning of the week of 11 May 2020, with a view to being distributed locally to all the management committees of the district. Since Thursday, May 14, 2020, 297,000 disposable masks have been delivered to the courts. In terms of security and security for videoconferencing, Cisco Webex uses end-to-end encryption using the highest technical standards (TLS protocol 1.2, 128-bit AES encryption key and 256-bit). It operates in a data centre on European territory in accordance with the GDPR. Since the product works with a Personal Room, no one can participate in the video conferencing without being invited. Vacuumbombing therefore becomes impossible. In addition, a multipoint license to start Webex meetings is activated only for employees with a validated FPS Justice address and at the request of their supervisor within the General Directorate or Support Service.
ParlaMint-BE_2020-05-27-55-commissie-ic190x.u10	Thank you, Minister, for the figures. Let me summarize the exit strategy: there will be no extension after 17 June and the sentence will gradually be resumed. However, it is not quite clear to me what I can or may mean by 'gradually', because that can, of course, cover almost everything. It can go on in weeks, months or even longer, so I'm still a little hungry there. However, I am counting on you, together with the penitentiary institutions and probably also with the trade unions, to draw up a workable plan to ensure that everything can be done in a normal way as soon as possible. This exit strategy applies to every sector, including justice and the prison system. I will certainly come back to it, but if you know what 'gradually' means, you can always let me know.
ParlaMint-BE_2020-05-27-55-commissie-ic190x.u11	Minister, thank you for your answers. Indeed, there are concerns in the judicial world. I also think, like you, that this royal decree of special powers is applied separately. What worries me is that it can be applied significantly in a district such as Brussels, and particularly in the tribunal de l'entreprise francophone de Bruxelles. It is known that the economic sector is important, and therefore, if it becomes recurring, it can have many impacts. Already, the economic impact is significant. I think a contact might be interesting, to see what specific and operational measures can be put in place. You said there were masks and protective tools. I believe that a particular contact may be interesting in this context, in order to avoid adding to the health crisis this crisis caused by the delay in all these judicial proceedings. Finally, I will conclude, minister, by telling you that, like any left-wing man, I know my classics. I will end with this sentence which is not mine, but Gramsci: "To the pessimism of intelligence, one must combine the optimism of the will". I think we were both going today.
