Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2020-02-18-55-commissie-ic111x	ParlaMint-BE_2020-02-18-55-commissie-ic111x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-02-2020	2020-02-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2020-02-18-55-commissie-ic111x	ParlaMint-BE_2020-02-18-55-commissie-ic111x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-02-2020	2020-02-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	ClarinvalDavid	Clarinval, David	M	1976	
ParlaMint-BE-en_2020-02-18-55-commissie-ic111x	ParlaMint-BE_2020-02-18-55-commissie-ic111x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-02-2020	2020-02-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2020-02-18-55-commissie-ic111x	ParlaMint-BE_2020-02-18-55-commissie-ic111x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-02-2020	2020-02-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	ClarinvalDavid	Clarinval, David	M	1976	
ParlaMint-BE-en_2020-02-18-55-commissie-ic111x	ParlaMint-BE_2020-02-18-55-commissie-ic111x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-02-2020	2020-02-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2020-02-18-55-commissie-ic111x	ParlaMint-BE_2020-02-18-55-commissie-ic111x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-02-2020	2020-02-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	LoonesSander	Loones, Sander	M	1979	
ParlaMint-BE-en_2020-02-18-55-commissie-ic111x	ParlaMint-BE_2020-02-18-55-commissie-ic111x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-02-2020	2020-02-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	ClarinvalDavid	Clarinval, David	M	1976	
ParlaMint-BE-en_2020-02-18-55-commissie-ic111x	ParlaMint-BE_2020-02-18-55-commissie-ic111x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-02-2020	2020-02-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	LoonesSander	Loones, Sander	M	1979	
ParlaMint-BE-en_2020-02-18-55-commissie-ic111x	ParlaMint-BE_2020-02-18-55-commissie-ic111x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-02-2020	2020-02-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	ClarinvalDavid	Clarinval, David	M	1976	
ParlaMint-BE-en_2020-02-18-55-commissie-ic111x	ParlaMint-BE_2020-02-18-55-commissie-ic111x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-02-2020	2020-02-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	LoonesSander	Loones, Sander	M	1979	
ParlaMint-BE-en_2020-02-18-55-commissie-ic111x	ParlaMint-BE_2020-02-18-55-commissie-ic111x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-02-2020	2020-02-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
