ParlaMint-BE_2020-09-22-55-commissie-ic263x.u1	Debates of the European Parliament 55008004C by Mrs Thémont was postponed.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u2	Mr. Chairman, Madam Minister, I refer to the questions as tabled. They are quite technical and precise and concern quite distinct subjects, even if the subject cupola remains the ONDRAF. Thank you in advance for your answers.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u3	Finally, the CPN has already sent you a proposal to amend the 2003 Nuclear Provisions Act on February 13, 2018. How do you now intend to bring Belgian legislation into line with European obligations to ensure the sufficiency of nuclear provisions?
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u4	Minister, has ONDRAF already issued the conclusions of the last public consultation on the landfill of highly radioactive waste? If so, what are these conclusions? If not, when does ONDRAF plan to make its full report on this public consultation? Could you share this report with Parliament? What is the legal status of opinions given by both the Belgian population and the population of neighbouring countries? Could the principle of geological storage be reviewed if a majority of opinions were negative? Could ONDRAF then explore other technical options in more depth? What would then be the next step in the consultation process? Will the transboundary impacts of the geological storage project be assessed?
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u5	Mr President, Mr Cogolati, with regard to Question No 55008015C on nuclear provisions for decommissioning, I indicated to you, at our Energy Committee meeting on 15 July 2020, that the amount provided by Synatom was EUR 5,739 million in value 2019 for the dismantling of all the seven Electrabel reactors, which were included in the report of the Commission on nuclear provisions and subject to the supervision of the same committee. This provision for the dismantling of Belgian reactors is carried out in accordance with the provisions of the Act of 11 April 2003 on provisions for the dismantling of nuclear power plants and for the management of irradiated fissile material in these plants. In accordance with the law of 11 April 2003, the full evaluations are conducted on a three-year basis and the last one took place at the end of 2019, with the next one scheduled for the last quarter of 2022. There is no three-year evaluation exercise for provisions in 2020, either in August or September. With regard to the storage cost estimates prepared by ONDRAF, a separate topic from the estimates of decommissioning costs and the costs of downstream management of the nuclear power plant cycle – often confusion – new fees for geological storage will be established by ONDRAF by the end of 2020, thus implementing the decisions taken in 2018 in this context. Following this exercise of ONDRAF, it will then be up to the Commission for Nuclear Supplies to decide on these changes in fees and on how to implement them in nuclear power supplies. I would also like to remind you that there is a difference between costs and cost estimates on the one hand and provisions on the other. The latter are also the result of the application of financial assumptions which take account of the fact that the dismantling will be spread over several years. It is therefore difficult to compare the amounts between them. In other words, apples and pears should not be confused, namely, on the one hand, the present value of a cost which constitutes the target value of the current updated euro provision and, on the other hand, the estimate of future costs in euro not discounted in constant or current value. As far as I am concerned, I give interest only to amounts controlled by the Nuclear Supplies Commission, pursuant to the above-mentioned law. The Commission for Nuclear Supplies is also monitoring technological developments and the different feedback from Europe and the world. Although it is very difficult to compare the costs of dismantling between countries, I would like to draw your particular attention to the fact that Table 4 of the European Commission's report, which you quote, shows an average cost of around EUR 500 million per power plant in Europe, whereas in Belgium we are already, as you mention in your question, more than EUR 1 billion per nuclear power plant. This highlights the quality and seriousness of the Commission on Nuclear Supplies, which I will never cease to stress, and this confirms my confidence in the work that it is doing. So I come to the big work of the ONDRAF caisson factory. The surface storage facility consists of several buildings and installations: the wharf, the clearing road, the casing plant, the monolith production facility, the access cluster, the Tabloo communication centre and finally the final radioactive waste storage modules themselves. Each building is subject to different legal and regulatory procedures depending on its nuclear or non-nuclear nature. As far as the casing plant is concerned, it is important to remember that this building is not a nuclear installation. The construction of the steel structure in the bay of the caisson factory has recently begun, after the foundations were built at the beginning of this year, as you may know. The environmental permit for the caisson plant was issued by the Flemish authority on 23 October 2015 with an amendment to the building façade, which was established on 23 July 2018. According to the current schedule, the reception of the caisson plant is scheduled for 2021. The casing plant will produce high-quality concrete casings in which low-, medium- and short-lived waste will be packaged. These caissons form an important barrier in the containment of radioactive substances and contribute greatly to the safety of surface storage. As regards the surface storage facility itself, an environmental impact report was submitted to AFCN on 31 January 2019 to assess the impact on ionizing radiation and was also submitted to the Flemish authority on 11 October 2019, concerning regional prerogatives and competences in this dossier. The public consultations for the authorization of nuclear creation and exploitation and the regional permit were organised by the various municipalities concerned – Dessel, Mol, Geel, Retie and Kasterlee – for the authorisation of nuclear creation and exploitation. Dessel was also concerned with the regional permit. These consultations took place in December 2019 and January 2020. The observations were submitted to the organising communes, which forwarded them to the Flemish authority and AFCN. The report on environmental impacts was approved by the Flemish authority on 10 March. ONDRAF received a positive opinion from AFCN on 6 March. The Flemish authority granted the regional permit on 6 May. No action has been brought. Before the construction of the storage facility can begin, authorization for the creation and operation of nuclear reactors must be granted by the King. This procedure is still ongoing. Since the file is being processed by AFCN, ONDRAF hopes to obtain this authorization in 2022, after which the construction of the final storage facility will begin. Then, the beginning of the operation will be subject to a second Royal Order of Confirmation which, still on instructions from the AFCN, is expected in 2025. The filling of the facility should end, according to the current schedule, around 2060 – you will remember that these are very long-term procedures, which far exceed the duration of a government – after storing the total volume of 49,346 cubic metres, as stated in the ONDRAF's safety report. The safety of the concept, which provides for the use of concrete casings, has been positively assessed by the Safety Authority. This concept is a widespread practice for the surface disposal of low- and medium-level radioactive waste for short-lived use. ONDRAF is not aware of the widespread use of steel overpack. The safety report prepared by ONDRAF provides for a regulatory nuclear control phase of 350 years after the start of operation of the storage facility. During this phase, continuous monitoring of the environment will be carried out. In particular, groundwater around the storage facility will be periodically monitored to detect any dispersion of radioactive substances. The storage facility was developed by ONDRAF to facilitate any response requested by AFCN in the event of an incident. Monoliths have been developed to ensure the handling of waste for at least the duration of the regulatory nuclear control phase and thus facilitate any intervention. After this last phase, the activity of radioactive waste will have decreased to such an extent that radiological monitoring and control will no longer be required, according to estimates. The assessment of the nuclear safety of this facility does not, of course, belong to me. It is entirely the responsibility of the AFCN, which is the exclusive jurisdiction of the AFCN. I recall that the AFCN is an independent body. This assessment is still under way under the authorisation procedure I mentioned. For this I would obviously refer you to the Minister of the Interior, if you have any further questions. An area of about 11 hectares has been deforested at the Dessel site. As compensation, there is an equivalent reforestation which has been carried out on land belonging to the commune of Dessel. The full cost of storage, i.e. construction, operation and closure, is estimated at around €1,500 million in 2018. It is currently being re-evaluated. A revision of the estimate of category A final storage costs is expected in the course of 2021. I turn to the following question concerning the adaptation of the ONDRAF Act. ONDRAF shall be responsible for establishing the criteria for the acceptance of conditioned and unpackaged radioactive waste and the specifications for the exemption of radioactive waste and, where appropriate, the criteria for the acceptance of any surplus substances or quantities to be taken over in the course of its mission. These criteria must in turn be based on general rules which must be approved on a proposal from ONDRAF by the competent authorities. In the current legislation, there is legal uncertainty as to the authority actually competent to lay down the general rules mentioned above. The purpose of the draft law is therefore to remedy this situation and it is for the King to establish the general rules on which the acceptance criteria are based. The power to lay down general rules for the elaboration of acceptance criteria, it is necessary to know, is expressly entrusted to the King in view of the regulatory nature of these general rules. It's a new story, but it explains the reason. Following this preliminary draft, the AFCN would have the authority to issue a preliminary opinion on the proposal made by ONDRAF. This opinion would be binding on ONDRAF and would be forwarded to the King at the same time as the proposal for general rules. The competence to establish, on the basis of the above-mentioned general rules, the criteria for acceptance of radioactive waste whether or not packaged and, where appropriate, surplus substances or quantities continues to rest with ONDRAF. The AFCN would verify on a purely formal basis the correspondence between the acceptance criteria and the general rules. This control is the subject of a separate bill to amend the Act of 15 April 1994 on the protection of the population and the environment from the dangers arising from ionizing radiation and relating to the AFCN. The draft legislation for the relevant AFCN liability party – which is what you are referring to in your question – also requires the AFCN to provide information to ONDRAF in the event that the Agency establishes on the ground that radioactive waste and, where appropriate, the surplus substances or quantities of a given operator do not meet or exceed the acceptance criteria in force. The draft law will create the legal basis for formalizing by royal decree the general rules for the development of acceptance criteria, thus giving legal anchor to acceptance criteria for all stages of waste management until they are stored. This will strengthen the binding nature of the acceptance criteria up to and including storage. The draft law will also require producers of radioactive waste to take all necessary measures to ensure that their waste, if any, its surplus substances or quantities meet the acceptance criteria throughout the management of the waste and those substances and/or excess quantities. Some analytical questions remain, however, in particular as to the usefulness or added value of a multi-level system – on general rules, on acceptance criteria in parallel with authorisations, etc. The scope, scope and scope of acceptance of the various instruments overlap, which may create some confusion. In my view, it is therefore necessary to define concepts better, to understand and to motivate their usefulness, taking into account their historical reason. For example, the concept of general rules already exists in the Royal Decree of 16 October 1991 amending the Royal Decree ONDRAF of 30 March 1981, so almost 30 years ago. Account shall also be taken of developments in the context, in particular the forthcoming authorisation of final storage facilities and the development of international guidelines on acceptance criteria in relation to such temporary storage and final storage facilities for radioactive waste. If necessary, this could be simplified. The principle is not to make administrative matters administrative, but to have, you will agree, a system that ensures safety, clear division of responsibilities and effective management by the various actors of the State, of course with a view to the general interest. As this bill could not be dealt with by this government, it will be up to the next government to continue work on this matter. I now turn to your question No 55008765C on the re-evaluation of nuclear supplies. For the part of your question concerning the assessment of provisions, I refer to your question No 55008015C and my answer to it. However, I would like to take this opportunity – particularly in the light of the experience gained in recent years – to stress the importance of improving and strengthening the instruments and means available to the State to ensure – I will never say enough – the control of provisions, both through the Nuclear Supplies Commission and through the "Golden Share" mechanism and the presence of government representatives on the Synatom Board of Directors. The Belgian State must have effective means of control and must avoid a dilution of responsibilities or control which is exercised through this Golden share or by the Commission des réservations nucléaires in case of delegation of missions, activities or filialisation. It is also necessary to avoid dilution in the drawing up of opinions, which must be drawn up in a reasoned and detailed manner by the Commission for Nuclear Supplies. Various measures must therefore be conceived, conceptualised and introduced into the new legislation in order to achieve effective control and avoid diluting responsibilities. These are ways of effectively preserving the general interest in nuclear power supplies, so that the polluter pays principle can be guaranteed and no cents paid by the citizen and the consumer for the dismantling of power plants and the management of radioactive waste. It is also necessary for the Belgian State to issue its guidelines through this legislation and to make known what these guidelines are and what objectives it wants to ensure in terms of the adequacy of the provisions. As you already know, I am in favour of strengthening the legal framework of the Nuclear Supplies Act, since I have introduced a bill that deals with this issue. I had it dropped before the election, and maybe it was re-tabled. I don't remember anymore, you have to check, in the run-off of your work since you were established after the May 2019 elections and you started your work as a parliamentarian. I am speaking also to you, Mr. Cogolati. It is my responsibility that the Commission on Nuclear Supplies continues its work of reflection and is also working on a new package of improvements to the law, which takes into account various proposals for amendments submitted to the government that have already been worked on in the past. All this makes an intellectual package of concepts, which must be taken to arms and to work. I can therefore only advise the next government to take up this matter as soon as possible, which I believe is a priority in the context of the gradual exit from industrial electricity production in Belgium by fission of nuclear fuel. I turn to question no. 55008766C concerning public consultation on the ONDRAF project on the management of highly radioactive waste. The analysis by ONDRAF of the results of this public consultation is still under way and the conclusions of this analysis are therefore not yet published. Once this analysis has been carried out, taking into account the provisions of the Act of 13 February 2006 which you are familiar with, ONDRAF will draw up a new proposal for a national policy for the long-term management of high-level radioactive waste and/or long-lived radioactive waste. The full and final report, together with the results of the consultation, will be prepared in accordance with article 16 of the above-mentioned Act of 13 February 2006, which provides for the obligation to prepare a proposal for a declaration summarizing how environmental considerations have been incorporated into the plan, how the environmental impact report and consultations have been taken into account, as well as the reasons for choosing the plan as adopted, taking into account the other reasonable options considered, and specifying the main measures for monitoring the significant environmental impacts of the implementation of the plan or programme. In accordance with the 2006 law, this declaration will be published in the Belgian Monitor at the time of the adoption of the national policy, i.e. at the time of the publication of the Royal Decree. The results of the observations and opinions expressed during the public consultation and the report on environmental impacts will be taken into account in accordance with the provisions of the above-mentioned Act of 13 February 2006, in particular Article 15 thereof, and, from a legal point of view, these opinions rendered by both the Belgian population and the population of neighbouring countries are not binding, I would remind you. However, they are the subject of an in-depth analysis, the results of which will be repeated and must be reflected in the statement referred to in the previous question. As far as opinions from abroad are concerned, since the ONDRAF considers that there is no need for cross-border consultation at this stage – we have discussed it many times before, you will remember – as agreed by the SEA Opinion Committee set up by the Act of 13 February 2006, it is not in principle mandatory to take them into account at this stage. However, the ONDRAF has, at my request, also done the analysis. This does not alter the ONDRAF's view that it is neither necessary nor appropriate to organise a consultation beyond Belgian territory, in accordance with the provisions of the same law. It is a repetition that aims to clarify things completely but you will have fully understood that we are trying to have as much information as possible and that we are analysing what we have, going beyond what is mandatory. "Who can most, can least!" and vice versa. This new proposal for a national policy is expected to be forwarded to the tutelage soon. It will therefore be up to the next government to set national policy in accordance with the requirements of Article 179(6) of the Law of 8 August 1980 and to comply with Belgian and European legal provisions and the infringement procedure of the European Union, thus providing a definitive long-term management solution for high-level radioactive waste and/or long-term radioactive waste. In carrying out its tasks, ONDRAF will continue to examine all possible options throughout the process of adopting national policy, which is supposed to take place over several decades. I'm done with this question.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u6	I assure you, Madam Minister. It's over.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u7	I thought there was still one. I am therefore reassured and thank you for being able to make a comprehensive package with all these questions.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u8	Minister, thank you for the time you have taken to go through the five answers on these five distinct topics. I would like to be able to bounce back on the last issue that is important since the consultation took place just a few months ago. You said that the opinions of the Regions and the population were not binding, that consulting our neighbouring countries was not mandatory in itself, and that finally, on a strictly legal and formal level, in your opinion, it was not mandatory either...
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u9	Not in my opinion! According to the ONDRAF and the SEA opinion.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u10	All right. According to the ONDRAF. You say that this does not alter the opinion of the ONDRAF, but does that mean that the ONDRAF, in its new national policy proposal, will comply with the cost of landfilling? Indeed, that is what we are talking about, the underground storage several hundred meters away from this highly radioactive waste. Or will the ONDRAF hear the views expressed by the three Regions? It's quite exceptional. The three Regions agree on this point. A certain majority of the population clearly say no to burial. The same applies to the views expressed by the Government of the Grand Duchy of Luxembourg and by some Länder in Germany. The question is simple. Does that really mean that even if the consultation proves to be extremely negative, so in opposition to the landfill option, the ONDRAF will still retain this option?
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u11	Mr Cogolati, I cannot answer for ONDRAF and I do not know the future. When I said that the ONDRAF did not change its point of view, it was specifically and exclusively about whether it was necessary or appropriate to organise a consultation beyond Belgian territory. Therefore, ONDRAF does not change its view that it should not be done, but that does not prejudge substantive issues and, of course, ONDRAF is the only competent and empowered to answer this question. We have to wait. We'll have the answer soon. I cannot intervene in this process. I am waiting for you, and I am not aware of the analysis that will be made of all the returns made in the course of this survey by all the citizens of Belgium and elsewhere.
