Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2020-11-05-55-plenair-ip068x	ParlaMint-BE_2020-11-05-55-plenair-ip068x.u1	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 05-11-2020	2020-11-05	Lower house	Zittingperiode 55	-	Plenaire zitting 068 van 05-11-2020	-	-	COVID	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	TillieuxEliane	Tillieux, Eliane	F	1966	
ParlaMint-BE-en_2020-11-05-55-plenair-ip068x	ParlaMint-BE_2020-11-05-55-plenair-ip068x.u2	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 05-11-2020	2020-11-05	Lower house	Zittingperiode 55	-	Plenaire zitting 068 van 05-11-2020	-	-	COVID	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	TillieuxEliane	Tillieux, Eliane	F	1966	
ParlaMint-BE-en_2020-11-05-55-plenair-ip068x	ParlaMint-BE_2020-11-05-55-plenair-ip068x.u3	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 05-11-2020	2020-11-05	Lower house	Zittingperiode 55	-	Plenaire zitting 068 van 05-11-2020	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DeCrooAlexander	De Croo, Alexander	M	1975	
ParlaMint-BE-en_2020-11-05-55-plenair-ip068x	ParlaMint-BE_2020-11-05-55-plenair-ip068x.u4	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 05-11-2020	2020-11-05	Lower house	Zittingperiode 55	-	Plenaire zitting 068 van 05-11-2020	-	-	COVID	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	TillieuxEliane	Tillieux, Eliane	F	1966	
ParlaMint-BE-en_2020-11-05-55-plenair-ip068x	ParlaMint-BE_2020-11-05-55-plenair-ip068x.u5	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 05-11-2020	2020-11-05	Lower house	Zittingperiode 55	-	Plenaire zitting 068 van 05-11-2020	-	-	COVID	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	TillieuxEliane	Tillieux, Eliane	F	1966	
ParlaMint-BE-en_2020-11-05-55-plenair-ip068x	ParlaMint-BE_2020-11-05-55-plenair-ip068x.u6	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 05-11-2020	2020-11-05	Lower house	Zittingperiode 55	-	Plenaire zitting 068 van 05-11-2020	-	-	COVID	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	DepraetereMelissa	Depraetere, Melissa	F	1992	
ParlaMint-BE-en_2020-11-05-55-plenair-ip068x	ParlaMint-BE_2020-11-05-55-plenair-ip068x.u7	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 05-11-2020	2020-11-05	Lower house	Zittingperiode 55	-	Plenaire zitting 068 van 05-11-2020	-	-	COVID	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	HedebouwRaoul	Hedebouw, Raoul	M	1977	
ParlaMint-BE-en_2020-11-05-55-plenair-ip068x	ParlaMint-BE_2020-11-05-55-plenair-ip068x.u8	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 05-11-2020	2020-11-05	Lower house	Zittingperiode 55	-	Plenaire zitting 068 van 05-11-2020	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DeBlockMaggie	De Block, Maggie	F	1962	
ParlaMint-BE-en_2020-11-05-55-plenair-ip068x	ParlaMint-BE_2020-11-05-55-plenair-ip068x.u9	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 05-11-2020	2020-11-05	Lower house	Zittingperiode 55	-	Plenaire zitting 068 van 05-11-2020	-	-	COVID	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	HedebouwRaoul	Hedebouw, Raoul	M	1977	
ParlaMint-BE-en_2020-11-05-55-plenair-ip068x	ParlaMint-BE_2020-11-05-55-plenair-ip068x.u10	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 05-11-2020	2020-11-05	Lower house	Zittingperiode 55	-	Plenaire zitting 068 van 05-11-2020	-	-	COVID	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	TillieuxEliane	Tillieux, Eliane	F	1966	
ParlaMint-BE-en_2020-11-05-55-plenair-ip068x	ParlaMint-BE_2020-11-05-55-plenair-ip068x.u11	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 05-11-2020	2020-11-05	Lower house	Zittingperiode 55	-	Plenaire zitting 068 van 05-11-2020	-	-	COVID	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	HedebouwRaoul	Hedebouw, Raoul	M	1977	
ParlaMint-BE-en_2020-11-05-55-plenair-ip068x	ParlaMint-BE_2020-11-05-55-plenair-ip068x.u12	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 05-11-2020	2020-11-05	Lower house	Zittingperiode 55	-	Plenaire zitting 068 van 05-11-2020	-	-	COVID	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
